# dimensionless [l(l+1)/2pi] C_l's for scalar mode
# for l=2 to 5500, i.e. number of multipoles equal to 5499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.461408291049e-10       5.214726735837e-15       4.014459810041e-13       0.000000000000e+00       8.448496097838e-09       4.776627661617e-10      -2.108169788095e-12 
    3       1.377891425291e-10       7.407383051532e-15       4.706281146432e-13       0.000000000000e+00       5.261623242339e-09       3.393635843379e-10      -1.687940000462e-12 
    4       1.298459731904e-10       7.202221934006e-15       4.570742244583e-13       0.000000000000e+00       3.665940301010e-09       2.570570579000e-10      -1.199502267319e-12 
    5       1.237923818370e-10       5.481994115970e-15       4.037312017554e-13       0.000000000000e+00       2.737122097830e-09       2.031224327076e-10      -7.633630621497e-13 
    6       1.195167781844e-10       3.471320443606e-15       3.364343985965e-13       0.000000000000e+00       2.136559643731e-09       1.653421941792e-10      -4.155615796690e-13 
    7       1.166681170126e-10       1.957937382216e-15       2.711279565408e-13       0.000000000000e+00       1.721765551368e-09       1.375738852185e-10      -1.651329123541e-13 
    8       1.148414248451e-10       1.123394812041e-15       2.160929936128e-13       0.000000000000e+00       1.422127424262e-09       1.164723667464e-10      -5.756317365163e-15 
    9       1.138442635375e-10       7.775464935275e-16       1.747213323276e-13       0.000000000000e+00       1.197725309142e-09       1.000703720511e-10       7.755001202050e-14 
   10       1.134910757530e-10       6.538064871136e-16       1.472745212665e-13       0.000000000000e+00       1.024241503079e-09       8.704715905740e-11       1.040303545690e-13 
   11       1.135544679029e-10       5.805959510671e-16       1.321931617123e-13       0.000000000000e+00       8.624665683616e-10       7.671635822396e-11       9.356078029880e-14 
   12       1.140069027106e-10       5.058185261551e-16       1.268756843950e-13       0.000000000000e+00       7.535438490579e-10       6.793100965205e-11       6.428610477927e-14 
   13       1.147346596262e-10       4.424375779731e-16       1.284176615199e-13       0.000000000000e+00       6.641365102601e-10       6.053897300632e-11       2.960908096880e-14 
   14       1.156791940158e-10       4.107494588134e-16       1.341797545625e-13       0.000000000000e+00       5.897457321257e-10       5.433478797210e-11      -1.010294738524e-15 
   15       1.168221173014e-10       4.137615891155e-16       1.420337456257e-13       0.000000000000e+00       5.271355275315e-10       4.909166809140e-11      -2.259606032301e-14 
   16       1.180875001999e-10       4.414821325435e-16       1.506228848529e-13       0.000000000000e+00       4.739065278216e-10       4.457714392262e-11      -3.392762261191e-14 
   17       1.195312450036e-10       4.840680048130e-16       1.591754161546e-13       0.000000000000e+00       4.282455625158e-10       4.055503473052e-11      -3.649315705018e-14 
   18       1.210633856186e-10       5.393185335340e-16       1.673431180786e-13       0.000000000000e+00       3.886140026887e-10       3.705715124568e-11      -3.279704555715e-14 
   19       1.226837768452e-10       6.113542433059e-16       1.752437530198e-13       0.000000000000e+00       3.543848835489e-10       3.403673286406e-11      -2.545167093015e-14 
   20       1.243822344215e-10       7.054949977296e-16       1.831459084671e-13       0.000000000000e+00       3.242388384706e-10       3.132061671710e-11      -1.763384304795e-14 
   21       1.261592809336e-10       8.237232035463e-16       1.912665181639e-13       0.000000000000e+00       2.977022781648e-10       2.889972287688e-11      -1.105713228664e-14 
   22       1.279888374477e-10       9.661723392751e-16       1.997727516816e-13       0.000000000000e+00       2.741401883654e-10       2.677661848222e-11      -6.888304894110e-15 
   23       1.298821870852e-10       1.131756413147e-15       2.086169709270e-13       0.000000000000e+00       2.532282869907e-10       2.491218432020e-11      -5.189576345165e-15 
   24       1.318384270642e-10       1.318713427033e-15       2.176257938677e-13       0.000000000000e+00       2.344827816303e-10       2.322764633808e-11      -5.492420584166e-15 
   25       1.338481021133e-10       1.527138850760e-15       2.265593630463e-13       0.000000000000e+00       2.176832212089e-10       2.168353949692e-11      -7.192444568872e-15 
   26       1.358861144460e-10       1.757525503941e-15       2.351137996580e-13       0.000000000000e+00       2.025257870738e-10       2.024483198594e-11      -9.503252311063e-15 
   27       1.379609071409e-10       2.010148590196e-15       2.430120566289e-13       0.000000000000e+00       1.888290305810e-10       1.892947603943e-11      -1.169294348502e-14 
   28       1.400803598567e-10       2.285254833958e-15       2.499803367349e-13       0.000000000000e+00       1.763571711173e-10       1.775929051269e-11      -1.307382011938e-14 
   29       1.422500469285e-10       2.583878988359e-15       2.558728374096e-13       0.000000000000e+00       1.650462810837e-10       1.672178533471e-11      -1.356685026531e-14 
   30       1.444609043484e-10       2.907354342694e-15       2.605802350340e-13       0.000000000000e+00       1.547743889946e-10       1.577859514614e-11      -1.332572806765e-14 
   31       1.466935209671e-10       3.257095301079e-15       2.640157259792e-13       0.000000000000e+00       1.453314643254e-10       1.488394549168e-11      -1.256162820497e-14 
   32       1.489540433636e-10       3.634539531590e-15       2.661995694651e-13       0.000000000000e+00       1.366688454174e-10       1.403981796091e-11      -1.146803418887e-14 
   33       1.512491219904e-10       4.041193992557e-15       2.672100386717e-13       0.000000000000e+00       1.287256204319e-10       1.326008369060e-11      -1.027647728223e-14 
   34       1.535774730849e-10       4.478511571441e-15       2.671305671196e-13       0.000000000000e+00       1.213909762161e-10       1.255311762374e-11      -9.233073108487e-15 
   35       1.559372579876e-10       4.947392236187e-15       2.659321960278e-13       0.000000000000e+00       1.146273514183e-10       1.191238938256e-11      -8.433571238820e-15 
   36       1.583194064372e-10       5.448498385813e-15       2.635505082407e-13       0.000000000000e+00       1.083803324292e-10       1.132153427109e-11      -7.932372661094e-15 
   37       1.607115256527e-10       5.982429287376e-15       2.599182866693e-13       0.000000000000e+00       1.025684616762e-10       1.076203443700e-11      -7.761673848917e-15 
   38       1.631215788223e-10       6.549899131890e-15       2.549732153103e-13       0.000000000000e+00       9.717670210018e-11       1.023340929806e-11      -7.848553007592e-15 
   39       1.655609075909e-10       7.151607781603e-15       2.486520172299e-13       0.000000000000e+00       9.218796819625e-11       9.739099027424e-12      -8.067996422039e-15 
   40       1.680373082641e-10       7.788187510842e-15       2.408879465154e-13       0.000000000000e+00       8.755470115435e-11       9.280831713423e-12      -8.262308529191e-15 
   41       1.705542423000e-10       8.460245680161e-15       2.316156673781e-13       0.000000000000e+00       8.321543670706e-11       8.858419793981e-12      -8.282871257611e-15 
   42       1.731092608464e-10       9.168519943923e-15       2.207886366946e-13       0.000000000000e+00       7.915738534354e-11       8.469497891168e-12      -8.136977843856e-15 
   43       1.756942956321e-10       9.913766231990e-15       2.083667954406e-13       0.000000000000e+00       7.536974992199e-11       8.109399798989e-12      -7.885153059011e-15 
   44       1.782954732441e-10       1.069671497327e-14       1.943118423846e-13       0.000000000000e+00       7.182494582486e-11       7.770999935415e-12      -7.602192068361e-15 
   45       1.808986733559e-10       1.151801428250e-14       1.785915347878e-13       0.000000000000e+00       6.848844978687e-11       7.446816552918e-12      -7.361759392802e-15 
   46       1.835093188271e-10       1.237804197107e-14       1.611940899480e-13       0.000000000000e+00       6.535500640834e-11       7.136494963323e-12      -7.182677011156e-15 
   47       1.861376835753e-10       1.327703538247e-14       1.421181135336e-13       0.000000000000e+00       6.242097295907e-11       6.841255592608e-12      -7.068035368441e-15 
   48       1.887932369281e-10       1.421513793798e-14       1.213689414138e-13       0.000000000000e+00       5.967339990698e-11       6.561758057922e-12      -7.019979031424e-15 
   49       1.914845102684e-10       1.519239478308e-14       9.895890085001e-14       0.000000000000e+00       5.708933883410e-11       6.298052813729e-12      -7.039626850871e-15 
   50       1.942176927557e-10       1.620881550621e-14       7.489852643144e-14       0.000000000000e+00       5.464275304495e-11       6.049721677170e-12      -7.125136078886e-15 
   51       1.969922785020e-10       1.726459246531e-14       4.916679102023e-14       0.000000000000e+00       5.232906642112e-11       5.816456553162e-12      -7.265460462062e-15 
   52       1.998040073599e-10       1.835993419813e-14       2.173324581706e-14       0.000000000000e+00       5.014608176616e-11       5.597554215093e-12      -7.444759848822e-15 
   53       2.026458440009e-10       1.949500236057e-14      -7.433801190048e-15       0.000000000000e+00       4.808663412974e-11       5.391702626112e-12      -7.643944936848e-15 
   54       2.055077847527e-10       2.066991052946e-14      -3.836744969403e-14       0.000000000000e+00       4.613825649739e-11       5.196941473715e-12      -7.840510092036e-15 
   55       2.083802125559e-10       2.188471148054e-14      -7.109888511949e-14       0.000000000000e+00       4.428698114272e-11       5.011201433538e-12      -8.014053462840e-15 
   56       2.112653803386e-10       2.313935806413e-14      -1.056460696071e-13       0.000000000000e+00       4.253061540616e-11       4.834169249151e-12      -8.164826171313e-15 
   57       2.141684420187e-10       2.443373051305e-14      -1.420225297063e-13       0.000000000000e+00       4.086817833407e-11       4.665816851350e-12      -8.299498308604e-15 
   58       2.170941005945e-10       2.576764550546e-14      -1.802406246610e-13       0.000000000000e+00       3.929588455472e-11       4.505846673421e-12      -8.425928583799e-15 
   59       2.200465532199e-10       2.714085451858e-14      -2.203115750432e-13       0.000000000000e+00       3.780697109782e-11       4.353674733620e-12      -8.553218725817e-15 
   60       2.230294362805e-10       2.855304218242e-14      -2.622454913876e-13       0.000000000000e+00       3.639152421397e-11       4.208413717646e-12      -8.691767885294e-15 
   61       2.260456443984e-10       3.000382312670e-14      -3.060480808002e-13       0.000000000000e+00       3.503923133854e-11       4.069137949800e-12      -8.850197247409e-15 
   62       2.290968642268e-10       3.149273541881e-14      -3.517098381683e-13       0.000000000000e+00       3.374875059535e-11       3.935786079543e-12      -9.025194138266e-15 
   63       2.321838380706e-10       3.301924272492e-14      -3.992144685717e-13       0.000000000000e+00       3.252014663788e-11       3.808431914286e-12      -9.209474481893e-15 
   64       2.353064229657e-10       3.458273402626e-14      -4.485419199686e-13       0.000000000000e+00       3.135207230902e-11       3.687012594594e-12      -9.394667418580e-15 
   65       2.384635317554e-10       3.618252192515e-14      -4.996683064243e-13       0.000000000000e+00       3.024168827326e-11       3.571320620772e-12      -9.571270400942e-15 
   66       2.416530741652e-10       3.781784095083e-14      -5.525658313396e-13       0.000000000000e+00       2.918458264870e-11       3.460995879456e-12      -9.728604289958e-15 
   67       2.448718978792e-10       3.948784586545e-14      -6.072027106795e-13       0.000000000000e+00       2.817469063922e-11       3.355517670205e-12      -9.854768451034e-15 
   68       2.481169524366e-10       4.119162472392e-14      -6.635465304885e-13       0.000000000000e+00       2.720591334816e-11       3.254349786224e-12      -9.939484904776e-15 
   69       2.513891864937e-10       4.292824491319e-14      -7.215752810456e-13       0.000000000000e+00       2.627753476276e-11       3.157427716095e-12      -9.983400364812e-15 
   70       2.546903380242e-10       4.469671344127e-14      -7.812684308769e-13       0.000000000000e+00       2.538976306018e-11       3.064756291748e-12      -9.990597030423e-15 
   71       2.580217542143e-10       4.649596171561e-14      -8.426037011562e-13       0.000000000000e+00       2.454209229434e-11       2.976261382808e-12      -9.965898766679e-15 
   72       2.613843638132e-10       4.832484422635e-14      -9.055570767667e-13       0.000000000000e+00       2.373326548530e-11       2.891785837607e-12      -9.914900089363e-15 
   73       2.647786494826e-10       5.018213722958e-14      -9.701028173635e-13       0.000000000000e+00       2.296123770872e-11       2.811085424207e-12      -9.843995149887e-15 
   74       2.682046201467e-10       5.206653743060e-14      -1.036213468435e-12       0.000000000000e+00       2.222313918529e-11       2.733824771415e-12      -9.760406720214e-15 
   75       2.716617833419e-10       5.397666066721e-14      -1.103859872366e-12       0.000000000000e+00       2.151523837014e-11       2.659573309802e-12      -9.672215177774e-15 
