# dimensionless [l(l+1)/2pi] C_l's for tensor mode
# for l=2 to 500, i.e. number of multipoles equal to 499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.445865203635e-10       2.736007650109e-15       1.692623635008e-13       4.890089257165e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    3       1.109336945596e-10       2.896193299699e-15      -8.228352167556e-15       4.925600615908e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    4       9.948765215143e-11       2.657931487423e-15      -6.170582138897e-14       4.284169812531e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    5       9.469151455333e-11       2.124485026666e-15      -7.280773028725e-14       3.356208724283e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    6       9.185913331519e-11       1.531163974757e-15      -6.922115018826e-14       2.435398232990e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    7       9.006699056163e-11       1.042399500627e-15      -6.141987783418e-14       1.683580460838e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    8       8.885537275741e-11       7.252537755635e-16      -5.402421393538e-14       1.154884920839e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    9       8.797447061966e-11       5.744896159519e-16      -4.875101086440e-14       8.372472588556e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   10       8.728009326259e-11       5.498427550123e-16      -4.593758660637e-14       6.879794626425e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   11       8.668783466151e-11       6.050271110187e-16      -4.535518709466e-14       6.580297796783e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   12       8.614871142800e-11       7.036309207319e-16      -4.660766642699e-14       7.046225044907e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   13       8.563362799112e-11       8.228838986110e-16      -4.930017120875e-14       7.964649216281e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   14       8.512449429037e-11       9.519944156767e-16      -5.311998635974e-14       9.129858220701e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   15       8.460999291104e-11       1.086864187753e-15      -5.784430738574e-14       1.042789741226e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   16       8.408339086250e-11       1.226733569206e-15      -6.331280339887e-14       1.180263246916e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   17       8.354101851409e-11       1.372354982345e-15      -6.941021611562e-14       1.322590677822e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   18       8.297502007399e-11       1.523574516921e-15      -7.605937029781e-14       1.469421911578e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   19       8.240300768317e-11       1.680264877132e-15      -8.321208330935e-14       1.620536120529e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   20       8.180535828210e-11       1.842480368612e-15      -9.080462159769e-14       1.775693070883e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   21       8.119281510204e-11       2.010014208819e-15      -9.880317693431e-14       1.934790914377e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   22       8.055983503166e-11       2.182609513484e-15      -1.071732917403e-13       2.097844797565e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   23       7.991400241314e-11       2.360121119088e-15      -1.158807143903e-13       2.264755067921e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   24       7.924913260876e-11       2.542475355744e-15      -1.248856091147e-13       2.435413286393e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   25       7.857125453334e-11       2.729613038009e-15      -1.341572253790e-13       2.609623895738e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   26       7.787701255051e-11       2.921531235315e-15      -1.436648108637e-13       2.787170525864e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   27       7.716889876751e-11       3.118334902386e-15      -1.533821375511e-13       2.967792077311e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   28       7.644283032481e-11       3.320139287451e-15      -1.632830107227e-13       3.151225540167e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   29       7.570680156243e-11       3.526762401311e-15      -1.733439512451e-13       3.337247696142e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   30       7.496170950834e-11       3.737898647436e-15      -1.835409120773e-13       3.525661650981e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   31       7.419924473987e-11       3.953210062474e-15      -1.938490359821e-13       3.716275685385e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   32       7.342469652870e-11       4.172399044177e-15      -2.042467262603e-13       3.908846633555e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   33       7.264038796568e-11       4.395157856779e-15      -2.147130921283e-13       4.103115659998e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   34       7.184245389842e-11       4.621173270764e-15      -2.252274118258e-13       4.298828049080e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   35       7.103428660066e-11       4.850216410157e-15      -2.357708381973e-13       4.495751744071e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   36       7.021627423850e-11       5.082083486740e-15      -2.463253899787e-13       4.693665666737e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   37       6.938489344289e-11       5.316576915509e-15      -2.568728804828e-13       4.892344776391e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   38       6.854446944519e-11       5.553521218122e-15      -2.673925392775e-13       5.091524341752e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   39       6.769828233940e-11       5.792753048368e-15      -2.778626594243e-13       5.290923482675e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   40       6.684478078715e-11       6.034117616929e-15      -2.882612492460e-13       5.490254055194e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   41       6.597996027082e-11       6.277463449317e-15      -2.985699099709e-13       5.689227937647e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   42       6.510662809809e-11       6.522623326600e-15      -3.087869536321e-13       5.887583016311e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   43       6.422731488150e-11       6.769428036961e-15      -3.189185787277e-13       6.085064766543e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   44       6.334136224038e-11       7.017711748303e-15      -3.289756493015e-13       6.281419173566e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   45       6.244663962020e-11       7.267299978856e-15      -3.389664795544e-13       6.476388282649e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   46       6.154601692734e-11       7.517968912071e-15      -3.488719597848e-13       6.669695248525e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   47       6.064231435751e-11       7.769474141089e-15      -3.586634673062e-13       6.861054826980e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   48       5.973627191334e-11       8.021561218347e-15      -3.683095650497e-13       7.050177199013e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   49       5.882636428767e-11       8.273965086124e-15      -3.777758481961e-13       7.236767720462e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   50       5.791022046791e-11       8.526401949270e-15      -3.870278041186e-13       7.420540055203e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   51       5.698976629339e-11       8.778543613802e-15      -3.960406632056e-13       7.601260358248e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   52       5.606715780142e-11       9.030035198466e-15      -4.047919568267e-13       7.778714652857e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   53       5.514319150767e-11       9.280501180585e-15      -4.132587264321e-13       7.952696865606e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   54       5.421719480568e-11       9.529544470933e-15      -4.214175119872e-13       8.123009205824e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   55       5.328799830313e-11       9.776784281343e-15      -4.292468331677e-13       8.289464392287e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   56       5.235738677659e-11       1.002198286291e-14      -4.367353812392e-13       8.451892111811e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   57       5.142731353421e-11       1.026494863186e-14      -4.438758419590e-13       8.610134829734e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   58       5.049882761065e-11       1.050550070882e-14      -4.506626648081e-13       8.764046524816e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   59       4.957200631995e-11       1.074346950509e-14      -4.570921485462e-13       8.913493140656e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   60       4.864588780852e-11       1.097869730897e-14      -4.631625267679e-13       9.058353037096e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   61       4.771929552939e-11       1.121102997838e-14      -4.688727040386e-13       9.198514900652e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   62       4.679368050586e-11       1.144028851363e-14      -4.742179392487e-13       9.333869906475e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   63       4.587080026186e-11       1.166629211521e-14      -4.791933407522e-13       9.464318590082e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   64       4.495184482511e-11       1.188886681238e-14      -4.837951721797e-13       9.589773596549e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   65       4.403739758011e-11       1.210784576733e-14      -4.880208951775e-13       9.710160051292e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   66       4.312739612100e-11       1.232306957920e-14      -4.918692121475e-13       9.825415930858e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   67       4.222109310454e-11       1.253438658824e-14      -4.953401089862e-13       9.935492433710e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   68       4.131766809816e-11       1.274164770129e-14      -4.984342848958e-13       1.004034545392e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   69       4.041829459392e-11       1.294468897096e-14      -5.011512121183e-13       1.013990716726e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   70       3.952442342487e-11       1.314334601666e-14      -5.034907580249e-13       1.023410932731e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   71       3.863714673364e-11       1.333745935183e-14      -5.054537898376e-13       1.032289179390e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   72       3.775717547492e-11       1.352687454795e-14      -5.070422016927e-13       1.040620267625e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   73       3.688481691777e-11       1.371144239853e-14      -5.082589417047e-13       1.048399847632e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   74       3.601995214815e-11       1.389101908307e-14      -5.091080390293e-13       1.055624423193e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   75       3.516201357123e-11       1.406546633103e-14      -5.095946309274e-13       1.062291366012e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   76       3.431041357731e-11       1.423465288082e-14      -5.097243128554e-13       1.068398913052e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   77       3.346597051630e-11       1.439845880128e-14      -5.095009920895e-13       1.073946126356e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   78       3.262970309105e-11       1.455677225982e-14      -5.089286900498e-13       1.078932951892e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   79       3.180238923075e-11       1.470948848476e-14      -5.080121975195e-13       1.083360249629e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   80       3.098455284479e-11       1.485650995593e-14      -5.067570878259e-13       1.087229807517e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   81       3.017645057662e-11       1.499774659516e-14      -5.051697300226e-13       1.090544355457e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   82       2.937805855768e-11       1.513311595680e-14      -5.032573020707e-13       1.093307579281e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   83       2.858905916127e-11       1.526254341830e-14      -5.010278040210e-13       1.095524134730e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   84       2.780912809063e-11       1.538595939054e-14      -4.984894921231e-13       1.097199157169e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   85       2.703887934200e-11       1.550329000018e-14      -4.956490444917e-13       1.098336666768e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   86       2.627905333868e-11       1.561446520484e-14      -4.925131141006e-13       1.098940923326e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   87       2.553022244761e-11       1.571942177424e-14      -4.890888842162e-13       1.099016912449e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   88       2.479278278092e-11       1.581810343069e-14      -4.853840718469e-13       1.098570351039e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   89       2.406694599740e-11       1.591046098950e-14      -4.814069311924e-13       1.097607692804e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   90       2.335273110407e-11       1.599645249949e-14      -4.771662570929e-13       1.096136133754e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   91       2.264995625767e-11       1.607604338334e-14      -4.726713884788e-13       1.094163617707e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   92       2.195823056618e-11       1.614920657814e-14      -4.679322118197e-13       1.091698841783e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   93       2.127719286617e-11       1.621592034374e-14      -4.629586629737e-13       1.088750855357e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   94       2.060728694212e-11       1.627616100599e-14      -4.577591395380e-13       1.085327775945e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   95       1.994908828446e-11       1.632990937667e-14      -4.523418549820e-13       1.081437889459e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   96       1.930306275862e-11       1.637715309530e-14      -4.467153155818e-13       1.077090039473e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   97       1.866956179673e-11       1.641788673754e-14      -4.408883169844e-13       1.072293627143e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   98       1.804881758935e-11       1.645211192360e-14      -4.348699407712e-13       1.067058611130e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   99       1.744093827717e-11       1.647983742673e-14      -4.286695510226e-13       1.061395507518e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  100       1.684590314276e-11       1.650107928161e-14      -4.222967908815e-13       1.055315389732e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  101       1.626355780223e-11       1.651586089282e-14      -4.157615791175e-13       1.048829888467e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  102       1.569360939701e-11       1.652421314324e-14      -4.090741066908e-13       1.041951191597e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  103       1.513562178555e-11       1.652617450252e-14      -4.022448333162e-13       1.034692044105e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
