# Matter power spectrum P(k) at redshift z=0
# for k=1.03892e-05 to 108.968 h/Mpc,
# number of wavenumbers equal to 813
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.038922642939e-05       5.211100336111e+01 
       2.321812845777e-05       1.129438587338e+02 
       3.609173375949e-05       1.726376712672e+02 
       4.904439972293e-05       2.318627467845e+02 
       6.211104703766e-05       2.909955018785e+02 
       7.532746857054e-05       3.503150497979e+02 
       8.873064803662e-05       4.100581396808e+02 
       1.023590926717e-04       4.704415333222e+02 
       1.162531841463e-04       5.316734313715e+02 
       1.304555519933e-04       5.939603200220e+02 
       1.450114738307e-04       6.575116738923e+02 
       1.599693066034e-04       7.225435816275e+02 
       1.753809529045e-04       7.892817996200e+02 
       1.913023660834e-04       8.579645187428e+02 
       2.077940972269e-04       9.288449949802e+02 
       2.249218860767e-04       1.002194133463e+03 
       2.427572963652e-04       1.078303066026e+03 
       2.613783937036e-04       1.157485756448e+03 
       2.808704607789e-04       1.240081575030e+03 
       3.013267399005e-04       1.326457862991e+03 
       3.228491865167e-04       1.417012353938e+03 
       3.455492088079e-04       1.512175377005e+03 
       3.695483574944e-04       1.612411646504e+03 
       3.949789163030e-04       1.718221450214e+03 
       4.219843271272e-04       1.830140917966e+03 
       4.507193652352e-04       1.948741054397e+03 
       4.813499601652e-04       2.074625076718e+03 
       5.140525395271e-04       2.208423608877e+03 
       5.490127596148e-04       2.350787206637e+03 
       5.864234840096e-04       2.502375733737e+03 
       6.264818862127e-04       2.663844244851e+03 
       6.693855924581e-04       2.835825150350e+03 
       7.153278526981e-04       3.018906878832e+03 
       7.644918337246e-04       3.213609626993e+03 
       8.170442631527e-04       3.420359403962e+03 
       8.731288004716e-04       3.639462118732e+03 
       9.328596440384e-04       3.871079825892e+03 
       9.963159657110e-04       4.115211780261e+03 
       1.063537764317e-03       4.371682447485e+03 
       1.134523625953e-03       4.640138424033e+03 
       1.209230678886e-03       4.920054950781e+03 
       1.287576767588e-03       5.210752019906e+03 
       1.369444598904e-03       5.511402457049e+03 
       1.454687391583e-03       5.821080272570e+03 
       1.543135431286e-03       6.138825121327e+03 
       1.634602911679e-03       6.463613121629e+03 
       1.728894515035e-03       6.794410093254e+03 
       1.825811320086e-03       7.130196532384e+03 
       1.925155782401e-03       7.469987526577e+03 
       2.026735680812e-03       7.812847965561e+03 
       2.130367041837e-03       8.157902848262e+03 
       2.235876134908e-03       8.504344304682e+03 
       2.343100676070e-03       8.851433559638e+03 
       2.451890393792e-03       9.198501365766e+03 
       2.562107106469e-03       9.544946254844e+03 
       2.673624445201e-03       9.890230775812e+03 
       2.786327333995e-03       1.023387781438e+04 
       2.900111316992e-03       1.057546536120e+04 
       3.014881801364e-03       1.091462380805e+04 
       3.130553266383e-03       1.125102739250e+04 
       3.247048474339e-03       1.158439429563e+04 
       3.364297707344e-03       1.191447699276e+04 
       3.482238045183e-03       1.224106447908e+04 
       3.600812692879e-03       1.256397147024e+04 
       3.719970362018e-03       1.288304403524e+04 
       3.839664706618e-03       1.319814564328e+04 
       3.959853812268e-03       1.350916493237e+04 
       4.080499735881e-03       1.381600894005e+04 
       4.201568092653e-03       1.411859673447e+04 
       4.323027686457e-03       1.441686914272e+04 
       4.444850179783e-03       1.471076918268e+04 
