# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 5500, i.e. number of multipoles equal to 5499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.867173424203e-10       7.832487335775e-15       5.600619474952e-13       4.820520023267e-15       8.259505829493e-09       4.777385283509e-10      -2.071092925835e-12 
    3       2.452644830580e-10       1.012404008115e-14       4.541094530110e-13       4.846633618499e-15       5.138495685676e-09       3.389982481551e-10      -1.656448178206e-12 
    4       2.260293479283e-10       9.658966438563e-15       3.885003137817e-13       4.207078056728e-15       3.579671303050e-09       2.566816432173e-10      -1.174670194363e-12 
    5       2.152048587059e-10       7.426390007474e-15       3.251849710448e-13       3.288867196738e-15       2.672363614400e-09       2.027037445315e-10      -7.450908172322e-13 
    6       2.080948624896e-10       4.868143626582e-15       2.624966708960e-13       2.381578591836e-15       2.085795600785e-09       1.648882440877e-10      -4.032475456327e-13 
    7       2.034530471026e-10       2.913903063172e-15       2.059387570912e-13       1.643347284678e-15       1.681094726049e-09       1.372057750918e-10      -1.578510121466e-13 
    8       2.004258494183e-10       1.797599462043e-15       1.590939199046e-13       1.126208517925e-15       1.388912394938e-09       1.162081255123e-10      -2.420216089125e-15 
    9       1.985342119734e-10       1.320394894404e-15       1.236103881087e-13       8.171198763997e-16       1.169910010406e-09       9.979643711575e-11       7.807528954186e-14 
   10       1.974317419572e-10       1.179641445380e-15       9.945703614440e-14       6.732527986578e-16       1.000389246758e-09       8.672195349183e-11       1.028310363454e-13 
   11       1.968906033765e-10       1.163409118590e-15       8.531241065352e-14       6.462329776259e-16       8.429033997325e-10       7.646417506440e-11       9.163908483827e-14 
   12       1.968093599264e-10       1.187712767316e-15       7.896716567514e-14       6.936263791493e-16       7.364887522696e-10       6.771308365420e-11       6.223039883108e-14 
   13       1.970104554395e-10       1.243864486359e-15       7.786211034592e-14       7.850093209216e-16       6.491348994690e-10       6.044253922840e-11       2.813935668783e-14 
   14       1.973986575073e-10       1.341184505546e-15       7.973613185010e-14       9.002120151344e-16       5.764501633832e-10       5.413735676643e-11      -1.837797198141e-15 
   15       1.979848143588e-10       1.477966102449e-15       8.283316556196e-14       1.028273003427e-15       5.152699375388e-10       4.883836663579e-11      -2.274761002267e-14 
   16       1.987646434556e-10       1.643611755874e-15       8.586672307272e-14       1.163635934563e-15       4.632529527546e-10       4.435677937665e-11      -3.353113882736e-14 
   17       1.995927099446e-10       1.829231548802e-15       8.818384757948e-14       1.303910800739e-15       4.186310163851e-10       4.049241472860e-11      -3.554325775333e-14 
   18       2.005179128833e-10       2.033115300193e-15       8.965179866436e-14       1.448567132515e-15       3.799003222546e-10       3.701173052884e-11      -3.167224905060e-14 
   19       2.015707534514e-10       2.259285564937e-15       9.040842642059e-14       1.597371977710e-15       3.464474432118e-10       3.391111474030e-11      -2.449217288832e-14 
   20       2.026526011537e-10       2.512864780449e-15       9.069622038505e-14       1.750198123319e-15       3.169836990073e-10       3.119460973274e-11      -1.690497895422e-14 
   21       2.037872881824e-10       2.795443050674e-15       9.078344836271e-14       1.906932926885e-15       2.910466144350e-10       2.882836870062e-11      -1.050920491440e-14 
