# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 5000, i.e. number of multipoles equal to 4999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.867178221531e-10       7.832727587115e-15       5.600619434213e-13       4.820760274608e-15       8.259505829493e-09       4.777385283509e-10      -2.071092925835e-12 
    3       2.452654390407e-10       1.012452073657e-14       4.541094348759e-13       4.847114273925e-15       5.138495685676e-09       3.389982481551e-10      -1.656448178206e-12 
    4       2.260309336002e-10       9.659767862397e-15       3.885002617506e-13       4.207879480613e-15       3.579671303050e-09       2.566816432173e-10      -1.174670194363e-12 
    5       2.152072231562e-10       7.427592745954e-15       3.251848527342e-13       3.290069935419e-15       2.672363614400e-09       2.027037445315e-10      -7.450908172322e-13 
    6       2.080981496146e-10       4.869828435358e-15       2.624964387801e-13       2.383263401247e-15       2.085795600785e-09       1.648882440877e-10      -4.032475456327e-13 
    7       2.034573949116e-10       2.916150924025e-15       2.059383462375e-13       1.645595147260e-15       1.681094726049e-09       1.372057750918e-10      -1.578510121466e-13 
    8       2.004313895070e-10       1.800491587700e-15       1.590932460818e-13       1.129100647790e-15       1.388912394938e-09       1.162081255123e-10      -2.420216089125e-15 
    9       1.985410691749e-10       1.324012720853e-15       1.236093462943e-13       8.207377122249e-16       1.169910010406e-09       9.979643711575e-11       7.807528954186e-14 
   10       1.974400341772e-10       1.184066611635e-15       9.945549944847e-14       6.776779843604e-16       1.000389246758e-09       8.672195349183e-11       1.028310363454e-13 
   11       1.969004416096e-10       1.168723434372e-15       8.531022965921e-14       6.515473314106e-16       8.429033997325e-10       7.646417506440e-11       9.163908483827e-14 
   12       1.968208484466e-10       1.193998169601e-15       7.896416818694e-14       6.999118520408e-16       7.364887522696e-10       6.771308365420e-11       6.223039883108e-14 
