# dimensionless [l(l+1)/2pi] C_l's for tensor mode
# for l=2 to 500, i.e. number of multipoles equal to 499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.417530587617e-10       2.693083772474e-15       1.674825003599e-13       4.820520023267e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    3       1.088362522425e-10       2.841533886690e-15      -6.866823643585e-15       4.846633618499e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    4       9.763503290925e-11       2.600138286253e-15      -5.939015099997e-14       4.207078056728e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    5       9.293413084465e-11       2.072254621524e-15      -7.037424921618e-14       3.288867196738e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    6       9.016007254435e-11       1.489368193010e-15      -6.699625928339e-14       2.381578591836e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    7       8.840488593369e-11       1.012143837896e-15      -5.951360656821e-14       1.643347284678e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    8       8.721871744577e-11       7.047355015011e-16      -5.243620797080e-14       1.126208517925e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    9       8.635626119406e-11       5.606314742994e-16      -4.743031683067e-14       8.171198763997e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   10       8.567586310608e-11       5.395747938407e-16      -4.481792142382e-14       6.732527986578e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   11       8.509488036963e-11       5.956906280117e-16      -4.437394643267e-14       6.462329776259e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   12       8.456554621175e-11       6.937440211434e-16      -4.570609270316e-14       6.936263791493e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   13       8.405943411789e-11       8.114867226574e-16      -4.842948937499e-14       7.850093209216e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   14       8.355882265234e-11       9.387121510167e-16      -5.224741816037e-14       9.002120151344e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   15       8.305270301395e-11       1.071498498531e-15      -5.694222819774e-14       1.028273003427e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   16       8.253456627045e-11       1.209357261167e-15      -6.235933207630e-14       1.163635934563e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   17       8.200080395959e-11       1.352729737052e-15      -6.839065545304e-14       1.303910800739e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   18       8.144371704597e-11       1.501683268596e-15      -7.495799187841e-14       1.448567132515e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   19       8.088062046187e-11       1.656133951283e-15      -8.201654941075e-14       1.597371977710e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   20       8.029227920271e-11       1.816038546896e-15      -8.950872705186e-14       1.750198123319e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   21       7.968925500733e-11       1.981141799398e-15      -9.739953237154e-14       1.906932926885e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
