# Matter power spectrum P(k) at redshift z=0
# for k=1.03068e-05 to 108.052 h/Mpc,
# number of wavenumbers equal to 814
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.030680750951e-05       5.231047230916e+01 
       2.300851568405e-05       1.132559016328e+02 
       3.575366586463e-05       1.730579176575e+02 
       4.857560010790e-05       2.323843309664e+02 
       6.150819688834e-05       2.916091098909e+02 
       7.458616486545e-05       3.510087640787e+02 
       8.784534579662e-05       4.108172462044e+02 
       1.013230305217e-04       4.712482771823e+02 
       1.150582919755e-04       5.325067231932e+02 
       1.290923392183e-04       5.947953901130e+02 
       1.434688964825e-04       6.583196576643e+02 
       1.582346111919e-04       7.232910414461e+02 
       1.734394947667e-04       7.899301642781e+02 
       1.891373997217e-04       8.584694439053e+02 
       2.053865360228e-04       9.291556277081e+02 
       2.222500287675e-04       1.002252285243e+03 
       2.397965178658e-04       1.078042278905e+03 
       2.581007983298e-04       1.156830262474e+03 
       2.772444968051e-04       1.238945166628e+03 
       2.973167758187e-04       1.324742653144e+03 
       3.184150515477e-04       1.414607478400e+03 
       3.406457033853e-04       1.508955640649e+03 
       3.641247438470e-04       1.608236186733e+03 
       3.889784051644e-04       1.712932476241e+03 
       4.153435841882e-04       1.823562632799e+03 
       4.433680702883e-04       1.940678903469e+03 
       4.732104627272e-04       2.064865479674e+03 
       5.050396663809e-04       2.196734399804e+03 
       5.390338408123e-04       2.336919019930e+03 
       5.753786721949e-04       2.486064605220e+03 
       6.142648465079e-04       2.644815648026e+03 
       6.558846327154e-04       2.813799691123e+03 
       7.004275427182e-04       2.993607708183e+03 
       7.480751242391e-04       3.184771485323e+03 
       7.989950609661e-04       3.387738993166e+03 
       8.533348896609e-04       3.602849182911e+03 
       9.112157744929e-04       3.830308221595e+03 
       9.727268741355e-04       4.070169407164e+03 
       1.037920865067e-03       4.322319144281e+03 
       1.106811121873e-03       4.586470738503e+03 
       1.179370898779e-03       4.862167496249e+03 
       1.255534628433e-03       5.148794801053e+03 
       1.335201198573e-03       5.445595301071e+03 
       1.418238838587e-03       5.751673956473e+03 
       1.504491092017e-03       6.066120141829e+03 
       1.593783291949e-03       6.387938878499e+03 
       1.685928991330e-03       6.716113942733e+03 
       1.780735905476e-03       7.049633705004e+03 
       1.878011065096e-03       7.387512337767e+03 
       1.977565022249e-03       7.728806583829e+03 
       2.079215075104e-03       8.072628124311e+03 
       2.182787568191e-03       8.418151092741e+03 
       2.288119381131e-03       8.764616670447e+03 
       2.395058745213e-03       9.111334108396e+03 
       2.503465531283e-03       9.457679386518e+03 
       2.613211142181e-03       9.803093596792e+03 
       2.724178124968e-03       1.014707757294e+04 
       2.836259597461e-03       1.048918976942e+04 
       2.949358563215e-03       1.082904130248e+04 
       3.063387170795e-03       1.116628849450e+04 
       3.178265957852e-03       1.150063318791e+04 
       3.293923108115e-03       1.183181315125e+04 
       3.410293739833e-03       1.215960256265e+04 
       3.527319237018e-03       1.248380569925e+04 
       3.644946629579e-03       1.280425420993e+04 
       3.763128024760e-03       1.312080503778e+04 
       3.881820089733e-03       1.343333324644e+04 
       4.000983583600e-03       1.374174288852e+04 
       4.120582935974e-03       1.404594160696e+04 
       4.240585868840e-03       1.434586493733e+04 
       4.360963058062e-03       1.464145046500e+04 
       4.481687830957e-03       1.493265747324e+04 
       4.602735896386e-03       1.521945215283e+04 
       4.724085104073e-03       1.550180763812e+04 
       4.845715230036e-03       1.577971510382e+04 
       4.967607785325e-03       1.605315747247e+04 
       5.089745845481e-03       1.632213404689e+04 
       5.212113898421e-03       1.658665471074e+04 
       5.334697708669e-03       1.684672091982e+04 
       5.457484196088e-03       1.710235175559e+04 
       5.580461327469e-03       1.735355793724e+04 
       5.703618019540e-03       1.760035987263e+04 
       5.826944052074e-03       1.784278625694e+04 
       5.950429989996e-03       1.808088793722e+04 
       6.074067113449e-03       1.831465075136e+04 
       6.197847354953e-03       1.854405875691e+04 
       6.321763242868e-03       1.876925474794e+04 
       6.445807850460e-03       1.899022278155e+04 
       6.569974749968e-03       1.920690208980e+04 
       6.694257971135e-03       1.941938610231e+04 
       6.818651963706e-03       1.962781605952e+04 
       6.943151563501e-03       1.983216471748e+04 
       7.067751961655e-03       2.003245783293e+04 
       7.192448676724e-03       2.022873027536e+04 
       7.317237529339e-03       2.042103325370e+04 
       7.442114619164e-03       2.060940232949e+04 
       7.567076303920e-03       2.079386550647e+04 
       7.692119180259e-03       2.097448168810e+04 
       7.817240066323e-03       2.115127794793e+04 
       7.942435985809e-03       2.132428550655e+04 
       8.067704153404e-03       2.149355509326e+04 
       8.193041961444e-03       2.165912687766e+04 
       8.318446967704e-03       2.182104242416e+04 
       8.443916884192e-03       2.197933057502e+04 
       8.569449566860e-03       2.213403545358e+04 
       8.695043006163e-03       2.228520304609e+04 
       8.820695318359e-03       2.243285809537e+04 
       8.946404737515e-03       2.257704339790e+04 
       9.072169608136e-03       2.271782529869e+04 
       9.197988378369e-03       2.285520945644e+04 
       9.323859593734e-03       2.298923812857e+04 
       9.449781891331e-03       2.311995681431e+04 
       9.575753994494e-03       2.324741389872e+04 
       9.701774707837e-03       2.337160943826e+04 
       9.827842912676e-03       2.349262180381e+04 
       9.953957562788e-03       2.361045673732e+04 
       1.008011768048e-02       2.372517922641e+04 
       1.020632235296e-02       2.383679802331e+04 
       1.033257072891e-02       2.394536039301e+04 
       1.045886201542e-02       2.405090452124e+04 
       1.058519547503e-02       2.415345734322e+04 
       1.071157042300e-02       2.425304415010e+04 
       1.083798622487e-02       2.434974924160e+04 
       1.096444229405e-02       2.444354680553e+04 
       1.109093808970e-02       2.453449342549e+04 
       1.121747311466e-02       2.462263149504e+04 
       1.134404691360e-02       2.470797916457e+04 
       1.147065907127e-02       2.479058056892e+04 
       1.159730921086e-02       2.487046201078e+04 
       1.172399699249e-02       2.494766194760e+04 
       1.185072211180e-02       2.502220929090e+04 
       1.197748429863e-02       2.509411606909e+04 
       1.210428331581e-02       2.516342727190e+04 
       1.223111895804e-02       2.523021378212e+04 
       1.235799105079e-02       2.529445728306e+04 
       1.248489944938e-02       2.535618417299e+04 
       1.261184403802e-02       2.541545924208e+04 
       1.273882472900e-02       2.547229566734e+04 
       1.286584146189e-02       2.552669916841e+04 
       1.299289420284e-02       2.557873997498e+04 
       1.311998294387e-02       2.562843632008e+04 
       1.324710770231e-02       2.567579226103e+04 
       1.337426852017e-02       2.572086740579e+04 
       1.350146546367e-02       2.576367578580e+04 
       1.362869862273e-02       2.580425031423e+04 
       1.375596811056e-02       2.584261189594e+04 
       1.388327406322e-02       2.587878160936e+04 
       1.401061663930e-02       2.591280157657e+04 
       1.413799601955e-02       2.594471331187e+04 
       1.426541240665e-02       2.597450863635e+04 
       1.439286602487e-02       2.600223438977e+04 
       1.452035711991e-02       2.602790719013e+04 
       1.464788595864e-02       2.605156232826e+04 
       1.477545282898e-02       2.607321639993e+04 
       1.490305803969e-02       2.609292462979e+04 
       1.503070192032e-02       2.611065467397e+04 
       1.515838482105e-02       2.612648877597e+04 
       1.528610711265e-02       2.614042534615e+04 
       1.541386918641e-02       2.615250768325e+04 
       1.554167145413e-02       2.616271826873e+04 
       1.566951434811e-02       2.617113476262e+04 
       1.579739832115e-02       2.617775158665e+04 
       1.592532384660e-02       2.618259734459e+04 
       1.605329141839e-02       2.618568718825e+04 
       1.618130155112e-02       2.618706844568e+04 
       1.630935478017e-02       2.618675240433e+04 
       1.643745166177e-02       2.618474380887e+04 
       1.656559277315e-02       2.618110345114e+04 
       1.669377871268e-02       2.617582126217e+04 
       1.682201010006e-02       2.616895370158e+04 
       1.695028757644e-02       2.616048658745e+04 
       1.707861180467e-02       2.615045747383e+04 
       1.720698346952e-02       2.613888524304e+04 
       1.733540327786e-02       2.612579739671e+04 
       1.746387195895e-02       2.611124524241e+04 
       1.759239026469e-02       2.609522525240e+04 
