# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 5500, i.e. number of multipoles equal to 5499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.805292993869e-10       7.579322538370e-15       5.418556364173e-13       4.844285671575e-15       8.039324053458e-09       4.555586465759e-10      -1.970213921734e-12 
    3       2.393698449684e-10       9.802177084404e-15       4.314685113332e-13       4.873654104707e-15       5.019594852863e-09       3.241122420407e-10      -1.582256109394e-12 
    4       2.206731003962e-10       9.386100604650e-15       3.668658995214e-13       4.235329499376e-15       3.503177416132e-09       2.457944630920e-10      -1.126600381330e-12 
    5       2.103384285196e-10       7.250755240733e-15       3.066888393975e-13       3.315591957120e-15       2.618919380892e-09       1.944245176507e-10      -7.179089043164e-13 
    6       2.036098148763e-10       4.777700099583e-15       2.476496424837e-13       2.404324045215e-15       2.046377648160e-09       1.584061663634e-10      -3.910636314273e-13 
    7       1.992455253639e-10       2.872317401448e-15       1.943929637234e-13       1.660900832533e-15       1.650507551526e-09       1.319094240844e-10      -1.552298463642e-13 
    8       1.964119828501e-10       1.774068269908e-15       1.502090697028e-13       1.138329054228e-15       1.364307859620e-09       1.117586265225e-10      -4.899289353052e-15 
    9       1.946832621087e-10       1.299931853784e-15       1.166675966792e-13       8.243694381250e-16       1.149825646533e-09       9.608445818087e-11       7.377185291819e-14 
   10       1.937434825721e-10       1.159248208927e-15       9.374351976485e-14       6.766787998966e-16       9.838989407707e-10       8.363017702854e-11       9.878484514161e-14 
   11       1.932949897864e-10       1.144580359378e-15       8.023848805789e-14       6.467343548882e-16       8.284978805178e-10       7.371183644030e-11       8.882545710597e-14 
   12       1.932650567670e-10       1.170956298667e-15       7.411881369474e-14       6.922760023797e-16       7.242138551571e-10       6.530245578566e-11       6.105383938426e-14 
