# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 5000, i.e. number of multipoles equal to 4999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.805297726524e-10       7.579563100023e-15       5.418556325229e-13       4.844526233230e-15       8.039324053458e-09       4.555586465759e-10      -1.970213921734e-12 
    3       2.393707880710e-10       9.802658356486e-15       4.314684939965e-13       4.874135376799e-15       5.019594852863e-09       3.241122420407e-10      -1.582256109394e-12 
    4       2.206746647209e-10       9.386903047627e-15       3.668658497789e-13       4.236131942414e-15       3.503177416132e-09       2.457944630920e-10      -1.126600381330e-12 
    5       2.103407611703e-10       7.251959492146e-15       3.066887262846e-13       3.316796208767e-15       2.618919380892e-09       1.944245176507e-10      -7.179089043164e-13 
    6       2.036130578460e-10       4.779387000765e-15       2.476494205504e-13       2.406010947114e-15       2.046377648160e-09       1.584061663634e-10      -3.910636314273e-13 
    7       1.992498148533e-10       2.874568013667e-15       1.943925708629e-13       1.663151446654e-15       1.650507551526e-09       1.319094240844e-10      -1.552298463642e-13 
    8       1.964174487497e-10       1.776963878874e-15       1.502084253327e-13       1.141224667716e-15       1.364307859620e-09       1.117586265225e-10      -4.899289353052e-15 
    9       1.946900276573e-10       1.303553961950e-15       1.166666003038e-13       8.279915561593e-16       1.149825646533e-09       9.608445818087e-11       7.377185291819e-14 
   10       1.937516641964e-10       1.163678515548e-15       9.374204993086e-14       6.811091266202e-16       9.838989407707e-10       8.363017702854e-11       9.878484514161e-14 
   11       1.933046971188e-10       1.149900728775e-15       8.023640170798e-14       6.520547629697e-16       8.284978805178e-10       7.371183644030e-11       8.882545710597e-14 
   12       1.932763928357e-10       1.177248717667e-15       7.411594590795e-14       6.985684923178e-16       7.242138551571e-10       6.530245578566e-11       6.105383938426e-14 
   13       1.935308232943e-10       1.235685228180e-15       7.304569466908e-14       7.897587754984e-16       6.385713851388e-10       5.822395559229e-11       2.814021823955e-14 
   14       1.939952806598e-10       1.333881171657e-15       7.484948492796e-14       9.053322137278e-16       5.672802479343e-10       5.227947828572e-11      -9.407791598392e-16 
   15       1.946415998096e-10       1.470686475378e-15       7.773798390378e-14       1.034052007809e-15       5.072528518672e-10       4.725220460760e-11      -2.145568189596e-14 
   16       1.953909555440e-10       1.635893376846e-15       8.058765587529e-14       1.170385548675e-15       4.561988988809e-10       4.292115201721e-11      -3.223277324982e-14 
   17       1.962939363144e-10       1.820921015782e-15       8.278209332964e-14       1.311560916368e-15       4.123869600197e-10       3.906242819755e-11      -3.467565918844e-14 
   18       1.972570988517e-10       2.023564711541e-15       8.406786682220e-14       1.457233176004e-15       3.743465300322e-10       3.570531289790e-11      -3.115995071685e-14 
   19       1.982975510840e-10       2.247652247990e-15       8.460515364099e-14       1.607185757285e-15       3.414802325459e-10       3.280490652044e-11      -2.416935271734e-14 
   20       1.993866761805e-10       2.498334218499e-15       8.471341324174e-14       1.761183544093e-15       3.125250749394e-10       3.019576545520e-11      -1.672640473066e-14 
   21       2.005356350299e-10       2.777317796552e-15       8.463310345984e-14       1.919126846556e-15       2.870287618105e-10       2.786946684494e-11      -1.046440081725e-14 
   22       2.017143113968e-10       3.084498702582e-15       8.455807424942e-14       2.081030839644e-15       2.643836269784e-10       2.582859228095e-11      -6.497495604209e-15 
   23       2.029409239397e-10       3.418717023142e-15       8.447662814564e-14       2.246797663372e-15       2.442797079307e-10       2.403563722882e-11      -4.886104709314e-15 
   24       2.042086007329e-10       3.778238654494e-15       8.426268012437e-14       2.416320764556e-15       2.262535831386e-10       2.241504151572e-11      -5.184350731402e-15 
   25       2.055142872761e-10       4.163113311147e-15       8.371769655882e-14       2.589407869194e-15       2.100944125259e-10       2.092924748382e-11      -6.815509762344e-15 
   26       2.068308581865e-10       4.573824038415e-15       8.258203307281e-14       2.765846227781e-15       1.955110798629e-10       1.954495573340e-11      -9.028827575170e-15 
   27       2.081688370922e-10       5.010748354591e-15       8.061637050352e-14       2.945379187290e-15       1.823298362092e-10       1.827919621747e-11      -1.112561715740e-14 
   28       2.095317719366e-10       5.474245728758e-15       7.758418953349e-14       3.127748243019e-15       1.703245989479e-10       1.715256097960e-11      -1.244939505513e-14 
   29       2.109328266151e-10       5.965138234483e-15       7.336840782714e-14       3.312734000391e-15       1.594343416815e-10       1.615312979740e-11      -1.292446024530e-14 
   30       2.123642720681e-10       6.484412318377e-15       6.788729761420e-14       3.500142945437e-15       1.495421490203e-10       1.524428915832e-11      -1.269718844851e-14 
   31       2.137995115096e-10       7.033100441432e-15       6.108147676533e-14       3.689786685163e-15       1.404463901277e-10       1.438229116826e-11      -1.196895919063e-14 
   32       2.152496027407e-10       7.612298047337e-15       5.299079941189e-14       3.881426381190e-15       1.321005247924e-10       1.356902274476e-11      -1.092491326126e-14 
   33       2.167231762944e-10       8.223157372693e-15       4.370995554681e-14       4.074807863579e-15       1.244461621131e-10       1.281768589976e-11      -9.786863405840e-15 
   34       2.182152366029e-10       8.866773692196e-15       3.333842952752e-14       4.269681058760e-15       1.173768737501e-10       1.213619549180e-11      -8.790615855513e-15 
   35       2.197273327978e-10       9.543796228839e-15       2.186631442498e-14       4.465818200315e-15       1.108566784568e-10       1.151829988061e-11      -8.027934274013e-15 
   36       2.212511630818e-10       1.025467162868e-14       9.248954369291e-15       4.663002359300e-15       1.048333439625e-10       1.094834648232e-11      -7.550991424821e-15 
   37       2.227714389027e-10       1.099979226053e-14      -4.560756292896e-15       4.861012755932e-15       9.922858889426e-11       1.040860654535e-11      -7.390682824677e-15 
   38       2.243000409766e-10       1.177968211822e-14      -1.960273838428e-14       5.059589615304e-15       9.402804874959e-11       9.898629957190e-12      -7.477084685573e-15 
   39       2.258510799194e-10       1.259486334018e-14      -3.591689270093e-14       5.258457327464e-15       8.921536417442e-11       9.421710397070e-12      -7.690328157415e-15 
   40       2.274305704257e-10       1.344580170831e-14      -5.354611053171e-14       5.457333189557e-15       8.474481583263e-11       8.979483685993e-12      -7.879223261667e-15 
   41       2.290379770781e-10       1.433294243276e-14      -7.253545058416e-14       5.655934519641e-15       8.055728036846e-11       8.571742460986e-12      -7.901293816057e-15 
   42       2.306736812903e-10       1.525684038352e-14      -9.292853609963e-14       5.854004032802e-15       7.664050422032e-11       8.196221784614e-12      -7.763545203011e-15 
   43       2.323323877157e-10       1.621806604526e-14      -1.147705530059e-13       6.051291850968e-15       7.298413868856e-11       7.848453772705e-12      -7.524028344456e-15 
   44       2.340001213145e-10       1.721716874598e-14      -1.381095623537e-13       6.247548587246e-15       6.956164996848e-11       7.521604596801e-12      -7.254489482725e-15 
   45       2.356612416403e-10       1.825461013145e-14      -1.629852768645e-13       6.442520952436e-15       6.633981131180e-11       7.208494047636e-12      -7.025602081710e-15 
   46       2.373237669974e-10       1.933054323177e-14      -1.893907902459e-13       6.635936998565e-15       6.331360050306e-11       6.908782190730e-12      -6.855460285570e-15 
   47       2.390003358395e-10       2.044496564069e-14      -2.172998389117e-13       6.827516470771e-15       6.047954311320e-11       6.623636738523e-12      -6.747085494536e-15 
