# dimensionless [l(l+1)/2pi] C_l's for tensor mode
# for l=2 to 500, i.e. number of multipoles equal to 499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.434926539592e-10       2.708935981078e-15       1.685882227583e-13       4.844285671575e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    3       1.098980987439e-10       2.862510249886e-15      -7.768727127019e-15       4.873654104707e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    4       9.844843059095e-11       2.624786542970e-15      -6.083105470494e-14       4.235329499376e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    5       9.362900735447e-11       2.096619036215e-15      -7.185439454690e-14       3.315591957120e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    6       9.077233415246e-11       1.510100830294e-15      -6.832484179982e-14       2.404324045215e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    7       8.895634362564e-11       1.027264013697e-15      -6.062015770793e-14       1.660900832533e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    8       8.772217441465e-11       7.140181636555e-16      -5.331255440241e-14       1.138329054228e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    9       8.682050991873e-11       5.649976292991e-16      -4.809923094830e-14       8.243694381250e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   10       8.610742934224e-11       5.403692365302e-16      -4.531308856190e-14       6.766787998966e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   11       8.549861678998e-11       5.944321221050e-16      -4.472773777058e-14       6.467343548882e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   12       8.494505192995e-11       6.912655443562e-16      -4.595164285850e-14       6.922760023797e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   13       8.441754203615e-11       8.084198745767e-16      -4.859477696252e-14       7.824121247669e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   14       8.389788169173e-11       9.352591218746e-16      -5.234830366643e-14       8.968493009499e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   15       8.337463219773e-11       1.067746773369e-15      -5.699219944693e-14       1.024350769984e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   16       8.284093587268e-11       1.205136009244e-15      -6.236817777523e-14       1.159384023568e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   17       8.229299856273e-11       1.348167650286e-15      -6.836247318335e-14       1.299177304362e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   18       8.172291297812e-11       1.496692115183e-15      -7.489889155190e-14       1.443385900006e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   19       8.114797582808e-11       1.650584988430e-15      -8.192990600720e-14       1.591793510265e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   20       8.054868267175e-11       1.809900109491e-15      -8.939267731506e-14       1.744165343017e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
