# Matter power spectrum P(k) at redshift z=0
# for k=1.03892e-05 to 108.968 h/Mpc,
# number of wavenumbers equal to 813
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.038922642939e-05       4.698341204325e+01 
       2.321812845777e-05       1.026212067025e+02 
       3.609173375949e-05       1.575262295296e+02 
       4.904439972293e-05       2.121921728404e+02 
       6.211104703766e-05       2.669140105398e+02 
       7.532746857054e-05       3.219213747524e+02 
       8.873064803662e-05       3.774162206604e+02 
       1.023590926717e-04       4.335884119531e+02 
       1.162531841463e-04       4.906238900662e+02 
       1.304555519933e-04       5.487097419491e+02 
       1.450114738307e-04       6.080378311019e+02 
       1.599693066034e-04       6.688077239336e+02 
       1.753809529045e-04       7.312292563945e+02 
       1.913023660834e-04       7.955249404247e+02 
       2.077940972269e-04       8.619323142792e+02 
       2.249218860767e-04       9.307062987900e+02 
       2.427572963652e-04       1.002121584011e+03 
       2.613783937036e-04       1.076475069836e+03 
       2.808704607789e-04       1.154088300893e+03 
       3.013267399005e-04       1.235309910727e+03 
       3.228491865167e-04       1.320517948452e+03 
       3.455492088079e-04       1.410122014355e+03 
       3.695483574944e-04       1.504565018934e+03 
       3.949789163030e-04       1.604324385553e+03 
       4.219843271272e-04       1.709912393775e+03 
       4.507193652352e-04       1.821875360421e+03 
       4.813499601652e-04       1.940791219487e+03 
       5.140525395271e-04       2.067265069048e+03 
       5.490127596148e-04       2.201922178647e+03 
       5.864234840096e-04       2.345397990848e+03 
       6.264818862127e-04       2.498324775971e+03 
       6.693855924581e-04       2.661314710966e+03 
       7.153278526981e-04       2.834939569317e+03 
       7.644918337246e-04       3.019707565433e+03 
       8.170442631527e-04       3.216038486340e+03 
       8.731288004716e-04       3.424238765314e+03 
       9.328596440384e-04       3.644478511829e+03 
       9.963159657110e-04       3.876773030790e+03 
       1.063537764317e-03       4.120970902594e+03 
       1.134523625953e-03       4.376750518847e+03 
       1.209230678886e-03       4.643625770850e+03 
       1.287576767588e-03       4.920960932186e+03 
       1.369444598904e-03       5.207978115233e+03 
       1.454687391583e-03       5.503802910951e+03 
       1.543135431286e-03       5.807525481430e+03 
       1.634602911679e-03       6.118173243344e+03 
       1.728894515035e-03       6.434761507963e+03 
       1.825811320086e-03       6.756317477450e+03 
       1.925155782401e-03       7.081899474160e+03 
       2.026735680812e-03       7.410611712486e+03 
       2.130367041837e-03       7.741614404128e+03 
       2.235876134908e-03       8.074130718550e+03 
       2.343100676070e-03       8.407448908405e+03 
       2.451890393792e-03       8.740922942658e+03 
       2.562107106469e-03       9.073971031046e+03 
       2.673624445201e-03       9.406072200622e+03 
       2.786327333995e-03       9.736762918348e+03 
       2.900111316992e-03       1.006563221129e+04 
       3.014881801364e-03       1.039231916942e+04 
       3.130553266383e-03       1.071650485967e+04 
       3.247048474339e-03       1.103791246068e+04 
       3.364297707344e-03       1.135629810306e+04 
