# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 5500, i.e. number of multipoles equal to 5499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.856494527814e-10       7.946983602781e-15       5.666302672834e-13       4.884992890034e-15       8.378335286361e-09       4.684818295099e-10      -2.088007784987e-12 
    3       2.440655258008e-10       1.029652733529e-14       4.582090190016e-13       4.920414232648e-15       5.174940075616e-09       3.325411512484e-10      -1.672547760435e-12 
    4       2.250239571441e-10       9.854378234332e-15       3.918161662970e-13       4.279378698980e-15       3.597561958287e-09       2.519629660643e-10      -1.188872163359e-12 
    5       2.143446059322e-10       7.601630695309e-15       3.278902107788e-13       3.351705267372e-15       2.682666514007e-09       1.991118936878e-10      -7.568757540057e-13 
    6       2.073473290355e-10       4.997322741738e-15       2.646695810528e-13       2.430797584439e-15       2.094287640319e-09       1.621036351814e-10      -4.123573418577e-13 
    7       2.027886974624e-10       2.993369183859e-15       2.075890477172e-13       1.678306110412e-15       1.689284888884e-09       1.349373194183e-10      -1.642279224047e-13 
    8       1.998037582426e-10       1.839152197940e-15       1.602703693210e-13       1.148372389227e-15       1.396009907458e-09       1.142718367785e-10      -6.227302524019e-15 
    9       1.979573947595e-10       1.339919938555e-15       1.243737581342e-13       8.291480661908e-16       1.175560282521e-09       9.815928027763e-11       7.644608334177e-14 
   10       1.969157296902e-10       1.189298241525e-15       9.986675208567e-14       6.778707947594e-16       1.004930511474e-09       8.535781545235e-11       1.028084334778e-13 
   11       1.963991940421e-10       1.169077125463e-15       8.544855983067e-14       6.458056252694e-16       8.472238184730e-10       7.526183133123e-11       9.253588010625e-14 
   12       1.963279303238e-10       1.190748556599e-15       7.891627272806e-14       6.899471647272e-16       7.402212960576e-10       6.664126142648e-11       6.357111542834e-14 
   13       1.965414449314e-10       1.243999392470e-15       7.773113809651e-14       7.792910402685e-16       6.523908333976e-10       5.941330334095e-11       2.930881177465e-14 
   14       1.969602154035e-10       1.338420052766e-15       7.961788223714e-14       8.930844042803e-16       5.793125057214e-10       5.328870374094e-11      -1.008451632949e-15 
   15       1.975779736561e-10       1.472668777627e-15       8.274496829658e-14       1.020137914255e-15       5.178061657132e-10       4.812522077727e-11      -2.239780910974e-14 
   16       1.983265333803e-10       1.636243503863e-15       8.583253224538e-14       1.154590751939e-15       4.655155523279e-10       4.370584791480e-11      -3.364398792213e-14 
   17       1.991956370414e-10       1.819828070503e-15       8.820502353340e-14       1.293907211786e-15       4.206604239877e-10       3.981287578660e-11      -3.613953662889e-14 
   18       2.001437547524e-10       2.021244624872e-15       8.966180948784e-14       1.437594822557e-15       3.817287579259e-10       3.639484073868e-11      -3.248223458658e-14 
   19       2.011890622715e-10       2.244508655867e-15       9.037936415226e-14       1.585392277848e-15       3.481033182846e-10       3.340894758305e-11      -2.527080587353e-14 
   20       2.022738409202e-10       2.494910235195e-15       9.067061951966e-14       1.737120588312e-15       3.184891630133e-10       3.072970649746e-11      -1.759673878686e-14 
   21       2.034173758691e-10       2.774210175194e-15       9.075765417852e-14       1.892726548938e-15       2.924210717171e-10       2.835563557085e-11      -1.111330037937e-14 
   22       2.046066012337e-10       3.082304685751e-15       9.082105570536e-14       2.052261592921e-15       2.692748859074e-10       2.628215498474e-11      -6.942910427804e-15 
   23       2.058488509214e-10       3.418008378810e-15       9.090122045222e-14       2.215596909682e-15       2.487320235945e-10       2.445816681377e-11      -5.177878773737e-15 
   24       2.071185112729e-10       3.779523706044e-15       9.093265191901e-14       2.382565260134e-15       2.303173351915e-10       2.279431468582e-11      -5.406716470780e-15 
   25       2.084184084870e-10       4.166799538572e-15       9.066809399770e-14       2.552922580572e-15       2.138143702544e-10       2.126263406711e-11      -7.043566934755e-15 
   26       2.097343902038e-10       4.580204443447e-15       8.976800022954e-14       2.726426852113e-15       1.989247554594e-10       1.984572574525e-11      -9.309254585462e-15 
   27       2.110790173005e-10       5.020105214333e-15       8.799309552284e-14       2.902911519363e-15       1.854701038764e-10       1.856040105426e-11      -1.147781834068e-14 
   28       2.124539436319e-10       5.486890702584e-15       8.512977732230e-14       3.082235857482e-15       1.732186045526e-10       1.742139103894e-11      -1.286404151299e-14 
   29       2.138708058748e-10       5.981443240231e-15       8.105843344009e-14       3.264171368719e-15       1.621074763976e-10       1.641280719568e-11      -1.337655924507e-14 
   30       2.153196324808e-10       6.504830352179e-15       7.568542725589e-14       3.448464810705e-15       1.520170061216e-10       1.549368900239e-11      -1.314831127530e-14 
   31       2.167711560437e-10       7.058150798465e-15       6.894117898218e-14       3.634869128004e-15       1.427409765974e-10       1.461608838891e-11      -1.237233458606e-14 
   32       2.182360608581e-10       7.642439543492e-15       6.087283729159e-14       3.823160067319e-15       1.342315648357e-10       1.378313145277e-11      -1.125659616381e-14 
   33       2.197231157623e-10       8.258728890926e-15       5.159033220669e-14       4.013126658975e-15       1.264288668722e-10       1.301143434836e-11      -1.006151085528e-14 
   34       2.212274369090e-10       8.908015054127e-15       4.120841266107e-14       4.204558883894e-15       1.192239616324e-10       1.231237860384e-11      -9.057956208402e-15 
   35       2.227513336569e-10       9.591055740105e-15       2.971807233236e-14       4.397217569245e-15       1.125799546773e-10       1.168038859092e-11      -8.323094849566e-15 
   36       2.242874502486e-10       1.030849501736e-14       1.707052850643e-14       4.590853926982e-15       1.064434233324e-10       1.109954925662e-11      -7.874363478735e-15 
   37       2.258213026226e-10       1.106091320013e-14       3.212183005469e-15       4.785214432711e-15       1.007343790888e-10       1.055168409766e-11      -7.709200450706e-15 
   38       2.273649522111e-10       1.184883357517e-14      -1.190922404652e-14       4.980031165246e-15       9.543804918983e-11       1.003578750626e-11      -7.759353818084e-15 
   39       2.289323609677e-10       1.267270899022e-14      -2.834973439319e-14       5.175027615959e-15       9.053763891398e-11       9.554409497748e-12      -7.918999875911e-15 
   40       2.305291678920e-10       1.353291342235e-14      -4.617150391315e-14       5.369920672635e-15       8.598641732857e-11       9.108212698024e-12      -8.054609298604e-15 
   41       2.321544520830e-10       1.442978989412e-14      -6.543454967740e-14       5.564430975818e-15       8.172399548947e-11       8.696022482586e-12      -8.040705564261e-15 
   42       2.338089866544e-10       1.536382542239e-14      -8.616747962304e-14       5.758319165613e-15       7.773781149239e-11       8.315449712723e-12      -7.885558643416e-15 
   43       2.354880792169e-10       1.633552431082e-14      -1.083881308539e-13       5.951360648089e-15       7.401726572602e-11       7.962153762166e-12      -7.643315209937e-15 
   44       2.371783485101e-10       1.734535847671e-14      -1.321114627055e-13       6.143336062014e-15       7.053527019282e-11       7.629452774653e-12      -7.380666854847e-15 
   45       2.388645407317e-10       1.839374007389e-14      -1.573472479822e-13       6.334017768836e-15       6.725792039725e-11       7.310331512458e-12      -7.162911091518e-15 
   46       2.405542000419e-10       1.948093322321e-14      -1.840924970403e-13       6.523123860805e-15       6.418005190487e-11       7.004585662560e-12      -7.005401098360e-15 
   47       2.422590804070e-10       2.060711327837e-14      -2.123366435931e-13       6.710350868983e-15       6.129808125314e-11       6.713521083225e-12      -6.908854660667e-15 
   48       2.439878938918e-10       2.177238742834e-14      -2.420633861532e-13       6.895385847008e-15       5.859928224801e-11       6.437914427305e-12      -6.872686806324e-15 
   49       2.457459867826e-10       2.297679167215e-14      -2.732504856996e-13       7.077905851154e-15       5.606110610729e-11       6.177966829081e-12      -6.894912476678e-15 
   50       2.475358035628e-10       2.422026701830e-14      -3.058763283869e-13       7.257600960420e-15       5.365797103545e-11       5.933399032204e-12      -6.971549171188e-15 
   51       2.493591787045e-10       2.550258748517e-14      -3.399421831570e-13       7.434251909523e-15       5.138538087930e-11       5.703874660987e-12      -7.094859531307e-15 
   52       2.512151071170e-10       2.682340732792e-14      -3.754556359580e-13       7.607672629749e-15       4.924117803488e-11       5.488611786187e-12      -7.254463486482e-15 
   53       2.530987306670e-10       2.818227619783e-14      -4.124244660087e-13       7.777689124560e-15       4.721832564156e-11       5.286212809284e-12      -7.437678595008e-15 
   54       2.550010513777e-10       2.957863513941e-14      -4.508567618193e-13       7.944140057411e-15       4.530457922801e-11       5.094624805378e-12      -7.629399184245e-15 
   55       2.569128328711e-10       3.101190971146e-14      -4.907587928897e-13       8.106870531328e-15       4.348622017705e-11       4.911706123974e-12      -7.815410377024e-15 
   56       2.588380966955e-10       3.248182560979e-14      -5.321277398680e-13       8.265710271391e-15       4.176109444799e-11       4.737181871482e-12      -7.993571130042e-15 
   57       2.607834764207e-10       3.398816444064e-14      -5.749573616278e-13       8.420491051931e-15       4.012823781506e-11       4.571104750015e-12      -8.165197606878e-15 
   58       2.627542022107e-10       3.553067325229e-14      -6.192401093200e-13       8.571053345461e-15       3.858393143979e-11       4.413275673290e-12      -8.331884377330e-15 
