# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 5000, i.e. number of multipoles equal to 4999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.856499349200e-10       7.947222676054e-15       5.666302632094e-13       4.885231963308e-15       8.378335286361e-09       4.684818295099e-10      -2.088007784987e-12 
    3       2.440664865668e-10       1.029700563848e-14       4.582090008660e-13       4.920892535845e-15       5.174940075616e-09       3.325411512484e-10      -1.672547760435e-12 
    4       2.250255507262e-10       9.855175746265e-15       3.918161142637e-13       4.280176210980e-15       3.597561958287e-09       2.519629660643e-10      -1.188872163359e-12 
    5       2.143469821345e-10       7.602827581390e-15       3.278900924608e-13       3.352902153703e-15       2.682666514007e-09       1.991118936878e-10      -7.568757540057e-13 
    6       2.073506324274e-10       4.998999382199e-15       2.646693489167e-13       2.432474225667e-15       2.094287640319e-09       1.621036351814e-10      -4.123573418577e-13 
    7       2.027930666803e-10       2.995606190958e-15       2.075886368160e-13       1.680543119539e-15       1.689284888884e-09       1.349373194183e-10      -1.642279224047e-13 
    8       1.998093254599e-10       1.842030420971e-15       1.602696953978e-13       1.151250617063e-15       1.396009907458e-09       1.142718367785e-10      -6.227302524019e-15 
    9       1.979642853360e-10       1.343520456073e-15       1.243727161255e-13       8.327485941639e-16       1.175560282521e-09       9.815928027763e-11       7.644608334177e-14 
   10       1.969240620074e-10       1.193702340741e-15       9.986521503810e-14       6.822749152175e-16       1.004930511474e-09       8.535781545235e-11       1.028084334778e-13 
   11       1.964090795214e-10       1.174366269287e-15       8.544637823455e-14       6.510948098711e-16       8.472238184730e-10       7.526183133123e-11       9.253588010625e-14 
   12       1.963394736205e-10       1.197004339326e-15       7.891327425684e-14       6.962030220692e-16       7.402212960576e-10       6.664126142648e-11       6.357111542834e-14 
   13       1.965547442899e-10       1.251303485564e-15       7.772712773028e-14       7.865952643805e-16       6.523908333976e-10       5.941330334095e-11       2.930881177465e-14 
   14       1.969753631548e-10       1.346854142586e-15       7.961264273866e-14       9.015187160404e-16       5.793125057214e-10       5.328870374094e-11      -1.008451632949e-15 
   15       1.975950568321e-10       1.482314497238e-15       8.273826100003e-14       1.029783998111e-15       5.178061657132e-10       4.812522077727e-11      -2.239780910974e-14 
   16       1.983456344192e-10       1.647182361280e-15       8.582409811222e-14       1.165530190547e-15       4.655155523279e-10       4.370584791480e-11      -3.364398792213e-14 
   17       1.992168345513e-10       1.832141375795e-15       8.819458442644e-14       1.306221421295e-15       4.206604239877e-10       3.981287578660e-11      -3.613953662889e-14 
   18       2.001671243174e-10       2.035013417309e-15       8.964906963617e-14       1.451364989878e-15       3.817287579259e-10       3.639484073868e-11      -3.248223458658e-14 
   19       2.012146771814e-10       2.259813640719e-15       9.036401162401e-14       1.600699310806e-15       3.481033182846e-10       3.340894758305e-11      -2.527080587353e-14 
   20       2.023017730234e-10       2.511831712773e-15       9.065232801687e-14       1.754045059077e-15       3.184891630133e-10       3.072970649746e-11      -1.759673878686e-14 
   21       2.034476961467e-10       2.792827994566e-15       9.073608454004e-14       1.911348667650e-15       2.924210717171e-10       2.835563557085e-11      -1.111330037937e-14 
   22       2.046393805163e-10       3.102698189064e-15       9.079585776707e-14       2.072661172816e-15       2.692748859074e-10       2.628215498474e-11      -6.942910427804e-15 
   23       2.058841602528e-10       3.440256372653e-15       9.087203453537e-14       2.237853365822e-15       2.487320235945e-10       2.445816681377e-11      -5.177878773737e-15 
   24       2.071564224171e-10       3.803704423376e-15       9.089911068302e-14       2.406757599667e-15       2.303173351915e-10       2.279431468582e-11      -5.406716470780e-15 
   25       2.084589939976e-10       4.192990629125e-15       9.062982386203e-14       2.579129429558e-15       2.138143702544e-10       2.126263406711e-11      -7.043566934755e-15 
   26       2.097777236712e-10       4.608482953577e-15       8.972462319314e-14       2.754726472248e-15       1.989247554594e-10       1.984572574525e-11      -9.309254585462e-15 
   27       2.111251731996e-10       5.050547589312e-15       8.794423065549e-14       2.933381855193e-15       1.854701038764e-10       1.856040105426e-11      -1.147781834068e-14 
   28       2.125029972805e-10       5.519572780792e-15       8.507504259171e-14       3.114954577033e-15       1.732186045526e-10       1.742139103894e-11      -1.286404151299e-14 
   29       2.139228328586e-10       6.016440264259e-15       8.099744723804e-14       3.299215932514e-15       1.621074763976e-10       1.641280719568e-11      -1.337655924507e-14 
   30       2.153747084162e-10       6.542216970975e-15       7.561781036675e-14       3.485912528824e-15       1.520170061216e-10       1.549368900239e-11      -1.314831127530e-14 
   31       2.168293563212e-10       7.098001064514e-15       6.886655677849e-14       3.674797215725e-15       1.427409765974e-10       1.461608838891e-11      -1.237233458606e-14 
   32       2.182974598683e-10       7.684826901975e-15       6.079084197513e-14       3.865645706190e-15       1.342315648357e-10       1.378313145277e-11      -1.125659616381e-14 
   33       2.197877863578e-10       8.303726179066e-15       5.150060518347e-14       4.058247065226e-15       1.264288668722e-10       1.301143434836e-11      -1.006151085528e-14 
   34       2.212954499297e-10       8.955694491446e-15       4.111060722993e-14       4.252391369892e-15       1.192239616324e-10       1.231237860384e-11      -9.057956208402e-15 
   35       2.228227574037e-10       9.641488869496e-15       2.961185716715e-14       4.447839563478e-15       1.125799546773e-10       1.168038859092e-11      -8.323094849566e-15 
   36       2.243623498963e-10       1.036175268137e-14       1.695559081155e-14       4.644343030159e-15       1.064434233324e-10       1.109954925662e-11      -7.874363478735e-15 
   37       2.258997397773e-10       1.111706550091e-14       3.088232046034e-15       4.841648457199e-15       1.007343790888e-10       1.055168409766e-11      -7.709200450706e-15 
   38       2.274469851079e-10       1.190794972879e-14      -1.204245181052e-14       5.039488062490e-15       9.543804918983e-11       1.003578750626e-11      -7.759353818084e-15 
   39       2.290180441628e-10       1.273485725137e-14      -2.849247100647e-14       5.237585484398e-15       9.053763891398e-11       9.554409497748e-12      -7.918999875911e-15 
   40       2.306185517344e-10       1.359816103607e-14      -4.632394585564e-14       5.435657798507e-15       8.598641732857e-11       9.108212698024e-12      -8.054609298604e-15 
   41       2.322475825346e-10       1.449820300867e-14      -6.559685318628e-14       5.633425829485e-15       8.172399548947e-11       8.696022482586e-12      -8.040705564261e-15 
   42       2.339059063918e-10       1.543546887327e-14      -8.633975432614e-14       5.830650241626e-15       7.773781149239e-11       8.315449712723e-12      -7.885558643416e-15 
   43       2.355888278030e-10       1.641046148983e-14      -1.085704342794e-13       6.027106414433e-15       7.401726572602e-11       7.962153762166e-12      -7.643315209937e-15 
   44       2.372829622000e-10       1.742365123149e-14      -1.323037950130e-13       6.222574950741e-15       7.053527019282e-11       7.629452774653e-12      -7.380666854847e-15 
   45       2.389730526783e-10       1.847544859129e-14      -1.575495467450e-13       6.416828134484e-15       6.725792039725e-11       7.310331512458e-12      -7.162911091518e-15 
   46       2.406666418730e-10       1.956611586741e-14      -1.843046326445e-13       6.609583833018e-15       6.418005190487e-11       7.004585662560e-12      -7.005401098360e-15 
   47       2.423754828194e-10       2.069582645435e-14      -2.125584138839e-13       6.800538277622e-15       6.129808125314e-11       6.713521083225e-12      -6.908854660667e-15 
   48       2.441082868802e-10       2.186468545234e-14      -2.422945106893e-13       6.989378173034e-15       5.859928224801e-11       6.437914427305e-12      -6.872686806324e-15 
   49       2.458703998801e-10       2.307272663764e-14      -2.734905998321e-13       7.175780174721e-15       5.606110610729e-11       6.177966829081e-12      -6.894912476678e-15 
   50       2.476642662195e-10       2.431988869696e-14      -3.061249785856e-13       7.359433920835e-15       5.365797103545e-11       5.933399032204e-12      -6.971549171188e-15 
   51       2.494917211008e-10       2.560594335439e-14      -3.401988268781e-13       7.540119711009e-15       5.138538087930e-11       5.703874660987e-12      -7.094859531307e-15 
   52       2.513517606793e-10       2.693054249839e-14      -3.757196379025e-13       7.717651009029e-15       4.924117803488e-11       5.488611786187e-12      -7.254463486482e-15 
   53       2.532395284844e-10       2.829323330226e-14      -4.126950929616e-13       7.891853302830e-15       4.721832564156e-11       5.286212809284e-12      -7.437678595008e-15 
   54       2.551460286350e-10       2.969345421870e-14      -4.511331773829e-13       8.062564690223e-15       4.530457922801e-11       5.094624805378e-12      -7.629399184245e-15 
   55       2.570620268583e-10       3.113062819556e-14      -4.910400545973e-13       8.229629731976e-15       4.348622017705e-11       4.911706123974e-12      -7.815410377024e-15 
   56       2.589915453832e-10       3.260447861658e-14      -5.324128043795e-13       8.392877880987e-15       4.176109444799e-11       4.737181871482e-12      -7.993571130042e-15 
   57       2.609412181428e-10       3.411478483126e-14      -5.752450836632e-13       8.552140720402e-15       4.012823781506e-11       4.571104750015e-12      -8.165197606878e-15 
   58       2.629162757584e-10       3.566129159730e-14      -6.195292382702e-13       8.707258543153e-15       3.858393143979e-11       4.413275673290e-12      -8.331884377330e-15 
   59       2.649204219168e-10       3.724370886296e-14      -6.652563314805e-13       8.858080675373e-15       3.712153176968e-11       4.263227729956e-12      -8.495517384362e-15 
   60       2.669557097463e-10       3.886171154946e-14      -7.124161726016e-13       9.004465799815e-15       3.573130043693e-11       4.120210146927e-12      -8.658286911062e-15 
   61       2.690232776495e-10       4.051490032040e-14      -7.609978748296e-13       9.146285179581e-15       3.440310734407e-11       3.983418520037e-12      -8.821734144950e-15 
   62       2.711260294749e-10       4.220267409227e-14      -8.109916105235e-13       9.283432443200e-15       3.313563374600e-11       3.852782174032e-12      -8.983611454367e-15 
   63       2.732663393048e-10       4.392432839116e-14      -8.623873024117e-13       9.415816579824e-15       3.192894245188e-11       3.728325880931e-12      -9.140337170227e-15 
   64       2.754451506415e-10       4.567909041396e-14      -9.151741735324e-13       9.543359639935e-15       3.078170954847e-11       3.609931127886e-12      -9.287882454882e-15 
   65       2.776618800544e-10       4.746611757290e-14      -9.693407925977e-13       9.665997150793e-15       2.969114546290e-11       3.497327894396e-12      -9.421753605847e-15 
   66       2.799143208263e-10       4.928449604008e-14      -1.024875119357e-12       9.783678531872e-15       2.865291602549e-11       3.390086429508e-12      -9.536974359526e-15 
   67       2.821985466008e-10       5.113323929203e-14      -1.081764549961e-12       9.896367510307e-15       2.766106353247e-11       3.287609029029e-12      -9.628068194941e-15 
   68       2.845106833268e-10       5.301129448049e-14      -1.139994476195e-12       1.000403151265e-14       2.670959687401e-11       3.189288854550e-12      -9.690392683889e-15 
   69       2.868528573992e-10       5.491756629722e-14      -1.199543522765e-12       1.010660641549e-14       2.579781251402e-11       3.095042140062e-12      -9.724496062536e-15 
   70       2.892282852129e-10       5.685089535239e-14      -1.260387422023e-12       1.020402536585e-14       2.492591482849e-11       3.004869548114e-12      -9.732615681489e-15 
   71       2.916394638048e-10       5.881004954341e-14      -1.322500421928e-12       1.029622930410e-14       2.409340683604e-11       2.918694789746e-12      -9.717420645466e-15 
   72       2.940881222832e-10       6.079372279959e-14      -1.385855293408e-12       1.038316709736e-14       2.329905394779e-11       2.836360673874e-12      -9.682028696214e-15 
   73       2.965751732571e-10       6.280053382689e-14      -1.450423337710e-12       1.046479567309e-14       2.254084771722e-11       2.757625156657e-12      -9.630023095431e-15 
   74       2.991006642659e-10       6.482902485255e-14      -1.516174393758e-12       1.054108015255e-14       2.181596959002e-11       2.682157390879e-12      -9.565469507681e-15 
   75       3.016637292084e-10       6.687766036987e-14      -1.583076845506e-12       1.061199398433e-14       2.112075465396e-11       2.609533775326e-12      -9.492932883321e-15 
   76       3.042634033696e-10       6.894488704871e-14      -1.651098202884e-12       1.067751901880e-14       2.045160080567e-11       2.539344409831e-12      -9.416600910838e-15 
   77       3.069013474524e-10       7.102932885488e-14      -1.720206950656e-12       1.073764545208e-14       1.980796778644e-11       2.471543604982e-12      -9.337432517397e-15 
   78       3.095795343510e-10       7.312962539641e-14      -1.790371051638e-12       1.079237211435e-14       1.918986171669e-11       2.406156409023e-12      -9.255517640622e-15 
   79       3.122993992590e-10       7.524437391318e-14      -1.861557421833e-12       1.084170665818e-14       1.859692160499e-11       2.343172213147e-12      -9.170923114936e-15 
   80       3.150618088073e-10       7.737212927590e-14      -1.933731949540e-12       1.088566569078e-14       1.802840248436e-11       2.282543064824e-12      -9.083691233963e-15 
   81       3.178670302022e-10       7.951140398502e-14      -2.006859514479e-12       1.092427490631e-14       1.748315854873e-11       2.224181981140e-12      -8.993838312931e-15 
   82       3.207147003640e-10       8.166066816973e-14      -2.080904006906e-12       1.095756921818e-14       1.695962628935e-11       2.167961262127e-12      -8.901353251074e-15 
   83       3.236037950645e-10       8.381834958689e-14      -2.155828346727e-12       1.098559289136e-14       1.645580763114e-11       2.113710804100e-12      -8.806196094033e-15 
   84       3.265332464626e-10       8.598282667001e-14      -2.231593597778e-12       1.100839517576e-14       1.596975520420e-11       2.061262377865e-12      -8.708380946856e-15 
   85       3.295039809375e-10       8.815240635445e-14      -2.308156100074e-12       1.102601608497e-14       1.550115753026e-11       2.010594591895e-12      -8.608243654988e-15 
   86       3.325171640717e-10       9.032534255708e-14      -2.385469894982e-12       1.103849849156e-14       1.504998692979e-11       1.961708980294e-12      -8.506216069677e-15 
   87       3.355735626215e-10       9.249984268336e-14      -2.463487591652e-12       1.104589247217e-14       1.461601245189e-11       1.914585273955e-12      -8.402745623252e-15 
   88       3.386735245517e-10       9.467406750941e-14      -2.542160370922e-12       1.104825536420e-14       1.419879144981e-11       1.869180486411e-12      -8.298295309177e-15 
   89       3.418169590719e-10       9.684613106422e-14      -2.621437989227e-12       1.104565182251e-14       1.379766115671e-11       1.825427999689e-12      -8.193343662112e-15 
   90       3.450033166717e-10       9.901410051179e-14      -2.701268782513e-12       1.103815387609e-14       1.341173026123e-11       1.783236650163e-12      -8.088384737973e-15 
   91       3.482315691561e-10       1.011759960332e-13      -2.781599670141e-12       1.102584098474e-14       1.303987048316e-11       1.742489814406e-12      -7.983928093989e-15 
   92       3.515001896817e-10       1.033297907090e-13      -2.862376158803e-12       1.100880009577e-14       1.268070814909e-11       1.703044495043e-12      -7.880498768763e-15 
   93       3.548077357108e-10       1.054734625839e-13      -2.943543290377e-12       1.098712159111e-14       1.233294986094e-11       1.664765988412e-12      -7.778590225688e-15 
   94       3.581547415332e-10       1.076051600755e-13      -3.025048640092e-12       1.096088630829e-14       1.199643382860e-11       1.627639837422e-12      -7.678515130760e-15 
   95       3.615420747921e-10       1.097230613413e-13      -3.106839778614e-12       1.093017666315e-14       1.167122181777e-11       1.591675104596e-12      -7.580531990440e-15 
   96       3.649703473952e-10       1.118253249024e-13      -3.188863384919e-12       1.089508058571e-14       1.135727535898e-11       1.556869870517e-12      -7.484889531894e-15 
   97       3.684399038259e-10       1.139100902422e-13      -3.271065263156e-12       1.085569152047e-14       1.105445190933e-11       1.523210808109e-12      -7.391826037382e-15 
   98       3.719508094556e-10       1.159754784050e-13      -3.353390359516e-12       1.081210842667e-14       1.076250101416e-11       1.490672756916e-12      -7.301568678662e-15 
   99       3.755028388550e-10       1.180195925942e-13      -3.435782779101e-12       1.076443577858e-14       1.048106046870e-11       1.459218297382e-12      -7.214332851377e-15 
  100       3.790954641062e-10       1.200405187708e-13      -3.518185802786e-12       1.071278356574e-14       1.020965247978e-11       1.428797325124e-12      -7.130321509452e-15 
  101       3.827278431141e-10       1.220363262521e-13      -3.600541904094e-12       1.065726729326e-14       9.947679827542e-12       1.399346625217e-12      -7.049724499491e-15 
  102       3.863988079186e-10       1.240050683096e-13      -3.682792766054e-12       1.059800798209e-14       9.694422027046e-12       1.370789446471e-12      -6.972717895169e-15 
  103       3.901068530058e-10       1.259447827683e-13      -3.764879298077e-12       1.053513216927e-14       9.449031490019e-12       1.343035075706e-12      -6.899463331628e-15 
  104       3.938505399984e-10       1.278535319842e-13      -3.846741566505e-12       1.046876715480e-14       9.210725520747e-12       1.315999970381e-12      -6.830042804592e-15 
  105       3.976297991601e-10       1.297295276412e-13      -3.928318539262e-12       1.039902601028e-14       8.979400108800e-12       1.289675324582e-12      -6.764254470412e-15 
  106       4.014447827338e-10       1.315710240070e-13      -4.009548338000e-12       1.032602053620e-14       8.755092281029e-12       1.264067879035e-12      -6.701787892295e-15 
  107       4.052954572361e-10       1.333762810772e-13      -4.090368337050e-12       1.024986578325e-14       8.537790005529e-12       1.239178991269e-12      -6.642284754125e-15 
  108       4.091815963447e-10       1.351435656068e-13      -4.170715179344e-12       1.017068000033e-14       8.327430505341e-12       1.215004446793e-12      -6.585337485687e-15 
  109       4.131027737860e-10       1.368711521411e-13      -4.250524792335e-12       1.008858458257e-14       8.123898572164e-12       1.191534270286e-12      -6.530487887877e-15 
  110       4.170583562220e-10       1.385573240468e-13      -4.329732403915e-12       1.000370401940e-14       7.927024880061e-12       1.168752536774e-12      -6.477225757922e-15 
  111       4.210474961381e-10       1.402003745438e-13      -4.408272558332e-12       9.916165842568e-15       7.736584299163e-12       1.146637182820e-12      -6.424987514592e-15 
  112       4.250691247301e-10       1.417986077357e-13      -4.486079132111e-12       9.826100574187e-15       7.552294209384e-12       1.125159817703e-12      -6.373154823418e-15 
  113       4.291219447915e-10       1.433503396416e-13      -4.563085349970e-12       9.733641674761e-15       7.373812814121e-12       1.104285534602e-12      -6.321053221911e-15 
  114       4.332044236011e-10       1.448538992267e-13      -4.639223800741e-12       9.638925491231e-15       7.200737453964e-12       1.083972721783e-12      -6.267950744771e-15 
  115       4.373147858101e-10       1.463076294341e-13      -4.714426453291e-12       9.542091205011e-15       7.032602920405e-12       1.064172873777e-12      -6.213056549107e-15 
  116       4.414513345284e-10       1.477099338767e-13      -4.788625489748e-12       9.443276982705e-15       6.868983364838e-12       1.044841758144e-12      -6.155706982090e-15 
  117       4.456134740777e-10       1.490594211498e-13      -4.861755886107e-12       9.342608008439e-15       6.709815687157e-12       1.025974859677e-12      -6.095952387600e-15 
  118       4.498007988080e-10       1.503547800826e-13      -4.933753176734e-12       9.240206892132e-15       6.555112481522e-12       1.007575911030e-12      -6.034039394655e-15 
  119       4.540127718600e-10       1.515947370662e-13      -5.004552688017e-12       9.136197252021e-15       6.404861197188e-12       9.896458352851e-13      -5.970230138177e-15 
  120       4.582487209546e-10       1.527780574883e-13      -5.074089561515e-12       9.030703629114e-15       6.259023368177e-12       9.721826575355e-13      -5.904802541519e-15 
  121       4.625078341820e-10       1.539035471686e-13      -5.142298777098e-12       8.923851401658e-15       6.117533842943e-12       9.551814164728e-13      -5.838050599001e-15 
  122       4.667891557904e-10       1.549700537932e-13      -5.209115176097e-12       8.815766699602e-15       5.980300014045e-12       9.386340759734e-13      -5.770284658438e-15 
  123       4.710915819758e-10       1.559764683499e-13      -5.274473484446e-12       8.706576319054e-15       5.847201047813e-12       9.225294366851e-13      -5.701831703675e-15 
  124       4.754138566709e-10       1.569217265631e-13      -5.338308335829e-12       8.596407636748e-15       5.718087114021e-12       9.068530476133e-13      -5.633035637118e-15 
  125       4.797545673343e-10       1.578048103286e-13      -5.400554294825e-12       8.485388524506e-15       5.592778615553e-12       8.915871177080e-13      -5.564257562266e-15 
  126       4.841121407394e-10       1.586247491483e-13      -5.461145880053e-12       8.373647263698e-15       5.471065418075e-12       8.767104274493e-13      -5.495876066240e-15 
  127       4.884848387643e-10       1.593806215657e-13      -5.520017587314e-12       8.261312459706e-15       5.352706079703e-12       8.621982404351e-13      -5.428287502321e-15 
  128       4.928707541803e-10       1.600715566003e-13      -5.577103912743e-12       8.148512956385e-15       5.237427080672e-12       8.480222149662e-13      -5.361906272474e-15 
  129       4.972680567862e-10       1.606967686154e-13      -5.632340065495e-12       8.035374962809e-15       5.124981556945e-12       8.341563468874e-13      -5.297070044472e-15 
  130       5.016757712839e-10       1.612556631970e-13      -5.685664145060e-12       7.922013258800e-15       5.015334422035e-12       8.205957229949e-13      -5.233743047110e-15 
  131       5.060930771765e-10       1.617477456554e-13      -5.737015247653e-12       7.808538858494e-15       4.908496192043e-12       8.073396673938e-13      -5.171780608527e-15 
  132       5.105190636768e-10       1.621725902921e-13      -5.786332825887e-12       7.695061607134e-15       4.804464960972e-12       7.943858498464e-13      -5.111020910142e-15 
  133       5.149527272878e-10       1.625298420732e-13      -5.833556716844e-12       7.581690075579e-15       4.703226056185e-12       7.817302405159e-13      -5.051284588935e-15 
  134       5.193929693833e-10       1.628192183041e-13      -5.878627170164e-12       7.468531454826e-15       4.604751693861e-12       7.693670647105e-13      -4.992374339726e-15 
  135       5.238385937888e-10       1.630405103036e-13      -5.921484876116e-12       7.355691450516e-15       4.509000634454e-12       7.572887576273e-13      -4.934074517453e-15 
  136       5.282883043614e-10       1.631935850778e-13      -5.962070993681e-12       7.243274177456e-15       4.415917838151e-12       7.454859190961e-13      -4.876150739451e-15 
  137       5.327407025709e-10       1.632783869944e-13      -6.000327178633e-12       7.131382054128e-15       4.325434120329e-12       7.339472683233e-13      -4.818349487727e-15 
  138       5.371942850802e-10       1.632949394570e-13      -6.036195611615e-12       7.020115697207e-15       4.237465807015e-12       7.226595986361e-13      -4.760397711242e-15 
  139       5.416474413257e-10       1.632433465790e-13      -6.069619026219e-12       6.909573816073e-15       4.151914390339e-12       7.116077322260e-13      -4.702002428191e-15 
  140       5.460984510980e-10       1.631237948579e-13      -6.100540737067e-12       6.799853107328e-15       4.068666183999e-12       7.007744748930e-13      -4.642850328276e-15 
  141       5.505454821224e-10       1.629365548494e-13      -6.128904667890e-12       6.691048149308e-15       3.987591978712e-12       6.901405707892e-13      -4.582607374989e-15 
  142       5.549865876396e-10       1.626819828415e-13      -6.154655379605e-12       6.583251296598e-15       3.908546697675e-12       6.796846571633e-13      -4.520918407886e-15 
  143       5.594197039861e-10       1.623605225291e-13      -6.177738098399e-12       6.476552574548e-15       3.831369052023e-12       6.693832191038e-13      -4.457406744872e-15 
  144       5.638428602778e-10       1.619727126169e-13      -6.198099538530e-12       6.371039090156e-15       3.755915327220e-12       6.592162039928e-13      -4.391772302153e-15 
  145       5.682548358668e-10       1.615192069419e-13      -6.215690402901e-12       6.266793421967e-15       3.682165223646e-12       6.491845842354e-13      -4.324097695965e-15 
  146       5.726545634037e-10       1.610007595269e-13      -6.230463183534e-12       6.163894870176e-15       3.610125844088e-12       6.392944480106e-13      -4.254571702817e-15 
  147       5.770409213648e-10       1.604182205219e-13      -6.242371421343e-12       6.062419818699e-15       3.539798352701e-12       6.295514824212e-13      -4.183393618574e-15 
  148       5.814127328512e-10       1.597725379128e-13      -6.251369738774e-12       5.962441626910e-15       3.471177826613e-12       6.199609607645e-13      -4.110773426929e-15 
  149       5.857687643894e-10       1.590647592291e-13      -6.257413872456e-12       5.864030521373e-15       3.404253107542e-12       6.105277298029e-13      -4.036931967875e-15 
  150       5.901077247295e-10       1.582960332525e-13      -6.260460705847e-12       5.767253487576e-15       3.339006653406e-12       6.012561970357e-13      -3.962101106178e-15 
  151       5.944282636458e-10       1.574676117251e-13      -6.260468301878e-12       5.672174161672e-15       3.275414389939e-12       5.921503179691e-13      -3.886523899850e-15 
  152       5.987289707360e-10       1.565808510574e-13      -6.257395935603e-12       5.578852722205e-15       3.213445562298e-12       5.832135833881e-13      -3.810454768616e-15 
  153       6.030083742204e-10       1.556372140370e-13      -6.251204126847e-12       5.487345781854e-15       3.153062586683e-12       5.744490066268e-13      -3.734159662392e-15 
  154       6.072649397420e-10       1.546382715361e-13      -6.241854672847e-12       5.397706279162e-15       3.094220901942e-12       5.658591108398e-13      -3.657916229753e-15 
  155       6.114970691656e-10       1.535857042205e-13      -6.229310680905e-12       5.309983370272e-15       3.036868821190e-12       5.574459162727e-13      -3.582013986406e-15 
  156       6.157030993775e-10       1.524813042573e-13      -6.213536601029e-12       5.224222320663e-15       2.980947383419e-12       5.492109275337e-13      -3.506754483664e-15 
  157       6.198813010851e-10       1.513269770235e-13      -6.194498258584e-12       5.140464396887e-15       2.926390205107e-12       5.411551208641e-13      -3.432451476915e-15 
  158       6.240298776165e-10       1.501247428140e-13      -6.172162886940e-12       5.058746758299e-15       2.873123331838e-12       5.332789314094e-13      -3.359431094095e-15 
  159       6.281469637196e-10       1.488767385497e-13      -6.146499160111e-12       4.979102348796e-15       2.821065089909e-12       5.255822404904e-13      -3.288032004162e-15 
  160       6.322306243624e-10       1.475852194863e-13      -6.117477225412e-12       4.901559788550e-15       2.770125937945e-12       5.180643628739e-13      -3.218605585563e-15 
  161       6.362790172589e-10       1.462525063067e-13      -6.085069059999e-12       4.826146585991e-15       2.720226796471e-12       5.107240273044e-13      -3.151440620266e-15 
  162       6.402908991226e-10       1.448808175561e-13      -6.049249507417e-12       4.752899320244e-15       2.671356169733e-12       5.035593428859e-13      -3.086529538325e-15 
  163       6.442651620966e-10       1.434724255847e-13      -6.009995395536e-12       4.681854156432e-15       2.623517815234e-12       4.965678053861e-13      -3.023781727438e-15 
  164       6.482006736097e-10       1.420297112754e-13      -5.967285254766e-12       4.613043514168e-15       2.576712657236e-12       4.897462910499e-13      -2.963096970837e-15 
