# dimensionless [l(l+1)/2pi] C_l's for tensor mode
# for l=2 to 500, i.e. number of multipoles equal to 499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.422652557725e-10       2.733966423758e-15       1.684717085416e-13       4.884992890034e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    3       1.088616130020e-10       2.893305026520e-15      -8.147668678140e-15       4.920414232648e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    4       9.761726567650e-11       2.655001586634e-15      -6.107043813383e-14       4.279378698980e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    5       9.288842565403e-11       2.121379269355e-15      -7.205638778008e-14       3.351705267372e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    6       9.009678360568e-11       1.527424027109e-15      -6.846518535722e-14       2.430797584439e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    7       8.833201334473e-11       1.037547784008e-15      -6.069815095393e-14       1.678306110412e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    8       8.713886909651e-11       7.188987629105e-16      -5.333195200105e-14       1.148372389227e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    9       8.627129593701e-11       5.662341855137e-16      -4.806335627353e-14       8.291480661908e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   10       8.558757495297e-11       5.395499180803e-16      -4.522748927398e-14       6.778707947594e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   11       8.500491648685e-11       5.923817434261e-16      -4.460083018115e-14       6.458056252694e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   12       8.447516158504e-11       6.886367714418e-16      -4.578409914382e-14       6.899471647272e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   13       8.396950638333e-11       8.052826338569e-16      -4.838821770909e-14       7.792910402685e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   14       8.346994564802e-11       9.316978961502e-16      -5.210811124363e-14       8.930844042803e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   15       8.296524130581e-11       1.063607314532e-15      -5.671842506537e-14       1.020137914255e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   16       8.244873029443e-11       1.200551956365e-15      -6.206205861627e-14       1.154590751939e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   17       8.191675689130e-11       1.342990317105e-15      -6.802702449601e-14       1.293907211786e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   18       8.136159556848e-11       1.490858033121e-15      -7.453208063730e-14       1.437594822557e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   19       8.080051056910e-11       1.644138486267e-15      -8.153125522890e-14       1.585392277848e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   20       8.021425718192e-11       1.802925791775e-15      -8.896562416908e-14       1.737120588312e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   21       7.961337560713e-11       1.966915466769e-15      -9.679965997363e-14       1.892726548938e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   22       7.899243837502e-11       2.135707994129e-15      -1.049954970856e-13       2.052261592921e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   23       7.835887832550e-11       2.309150963438e-15      -1.135209429941e-13       2.215596909682e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   24       7.770662518476e-11       2.487238521897e-15      -1.223398512055e-13       2.382565260134e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   25       7.704160099776e-11       2.670085183627e-15      -1.314214539678e-13       2.552922580572e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   26       7.636052895138e-11       2.857861001792e-15      -1.407339178308e-13       2.726426852113e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   27       7.566584785589e-11       3.050549569688e-15      -1.502514376265e-13       2.902911519363e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   28       7.495354444524e-11       3.248058692422e-15      -1.599487085798e-13       3.082235857482e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   29       7.423145968154e-11       3.450174617760e-15      -1.698027565334e-13       3.264171368719e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   30       7.350047966146e-11       3.656619253358e-15      -1.797899347719e-13       3.448464810705e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   31       7.275246253636e-11       3.867092733843e-15      -1.898858285453e-13       3.634869128004e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   32       7.199259354535e-11       4.081343890254e-15      -2.000694327155e-13       3.823160067319e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   33       7.122314626758e-11       4.299122778652e-15      -2.103205348607e-13       4.013126658975e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   34       7.044032655286e-11       4.520168006722e-15      -2.206190352722e-13       4.204558883894e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   35       6.964746281596e-11       4.744231211381e-15      -2.309462396812e-13       4.397217569245e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   36       6.884494008678e-11       4.971059494631e-15      -2.412841098215e-13       4.590853926982e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   37       6.802930768439e-11       5.200407918192e-15      -2.516143967735e-13       4.785214432711e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   38       6.720480729273e-11       5.432107228415e-15      -2.619166203870e-13       4.980031165246e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   39       6.637465440722e-11       5.666019017624e-15      -2.721694727154e-13       5.175027615959e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   40       6.553732651783e-11       5.902018721013e-15      -2.823513747352e-13       5.369920672635e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   41       6.468889575657e-11       6.139984608295e-15      -2.924443793053e-13       5.564430975818e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   42       6.383211601105e-11       6.379758332604e-15      -3.024473735059e-13       5.758319165613e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   43       6.296947064248e-11       6.621173020579e-15      -3.123671983402e-13       5.951360648089e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   44       6.210031620648e-11       6.864064114366e-15      -3.222154077099e-13       6.143336062014e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   45       6.122256552048e-11       7.108256560974e-15      -3.320009178578e-13       6.334017768836e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   46       6.033903318793e-11       7.353521679509e-15      -3.417046743150e-13       6.523123860805e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   47       5.945248451371e-11       7.599607495483e-15      -3.512978884146e-13       6.710350868983e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   48       5.856364483100e-11       7.846249822198e-15      -3.607488558801e-13       6.895385847008e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   49       5.767101796843e-11       8.093171576450e-15      -3.700227977918e-13       7.077905851154e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
