# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 5500, i.e. number of multipoles equal to 5499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.857108595148e-10       7.737186215444e-15       5.610482485123e-13       4.752087359311e-15       8.436333595015e-09       4.650966260025e-10      -2.059105387652e-12 
    3       2.437085198182e-10       1.003053564637e-14       4.521820583919e-13       4.790436641964e-15       5.179265417193e-09       3.305026506042e-10      -1.650907314640e-12 
    4       2.247948981422e-10       9.611407150392e-15       3.866734996255e-13       4.170348049294e-15       3.603931654892e-09       2.506457507431e-10      -1.174318771880e-12 
    5       2.142271732185e-10       7.425985333771e-15       3.236698366019e-13       3.270296677794e-15       2.691402312326e-09       1.981754596071e-10      -7.483506833501e-13 
    6       2.072968724054e-10       4.891692602644e-15       2.614218533672e-13       2.375877995845e-15       2.102976711762e-09       1.613522990132e-10      -4.084506303877e-13 
    7       2.027552709928e-10       2.938310459608e-15       2.052907624346e-13       1.644739282351e-15       1.696790668501e-09       1.343074387822e-10      -1.633755847305e-13 
    8       1.998276673510e-10       1.811731037446e-15       1.587596496109e-13       1.130200488148e-15       1.402001907985e-09       1.137586664884e-10      -7.082187948622e-15 
    9       1.980147541036e-10       1.324797174700e-15       1.234562998388e-13       8.207835520889e-16       1.179920534743e-09       9.773289241180e-11       7.491205622064e-14 
   10       1.969613889963e-10       1.179191914038e-15       9.938302762821e-14       6.754678343664e-16       1.007936426458e-09       8.498298206340e-11       1.012931349345e-13 
   11       1.964794814342e-10       1.162198717272e-15       8.522471811281e-14       6.464673089366e-16       8.504935379794e-10       7.498714904315e-11       9.150713882317e-14 
   12       1.964088948641e-10       1.186357204126e-15       7.880952990577e-14       6.924185751960e-16       7.431349602131e-10       6.632827996055e-11       6.295270338775e-14 
   13       1.966347387667e-10       1.241949823793e-15       7.767549116984e-14       7.824504195166e-16       6.550060461906e-10       5.926183196945e-11       2.934774575827e-14 
   14       1.970575349779e-10       1.337797846390e-15       7.957270736243e-14       8.969882461488e-16       5.816814964174e-10       5.310436919879e-11      -7.088459285569e-16 
   15       1.976756233639e-10       1.473497048384e-15       8.272946473886e-14       1.024437362356e-15       5.199621430499e-10       4.793829853590e-11      -2.197680571783e-14 
   16       1.984434159621e-10       1.638541745600e-15       8.584736686524e-14       1.159365030054e-15       4.674867035210e-10       4.352700515521e-11      -3.322870463951e-14 
   17       1.993058377480e-10       1.823644437913e-15       8.822280232664e-14       1.299442770537e-15       4.224716594539e-10       3.969738159401e-11      -3.568921124134e-14 
   18       2.002387373581e-10       2.026855488423e-15       8.978933559490e-14       1.443784302937e-15       3.834010522686e-10       3.630231791335e-11      -3.210444312885e-14 
   19       2.012699851528e-10       2.252017342552e-15       9.065928143566e-14       1.592162077762e-15       3.496542725645e-10       3.331703378592e-11      -2.504735886312e-14 
   20       2.023417076202e-10       2.504124250251e-15       9.100747162774e-14       1.744597816168e-15       3.199316165052e-10       3.068548608246e-11      -1.747558743737e-14 
   21       2.034747835512e-10       2.785001469144e-15       9.110712422241e-14       1.900957419748e-15       2.937664655274e-10       2.836436329700e-11      -1.100153113012e-14 
   22       2.046567555303e-10       3.094731356714e-15       9.124281715797e-14       2.061128730756e-15       2.705328436123e-10       2.627646810006e-11      -6.758756921138e-15 
   23       2.058872203004e-10       3.432119552822e-15       9.140786413626e-14       2.225017090423e-15       2.499115237868e-10       2.439345917117e-11      -4.946602867636e-15 
   24       2.071341044649e-10       3.795311470159e-15       9.145241449838e-14       2.392566046759e-15       2.314260952424e-10       2.268374626325e-11      -5.268543420770e-15 
   25       2.084202182372e-10       4.184304551760e-15       9.117146838171e-14       2.563615118936e-15       2.148593295628e-10       2.115041082934e-11      -7.038861498120e-15 
   26       2.097531858186e-10       4.599549449726e-15       9.029628878376e-14       2.737975147485e-15       1.999115573935e-10       1.978801621201e-11      -9.325842671345e-15 
   27       2.111181514579e-10       5.041430146641e-15       8.854567663833e-14       2.915383303384e-15       1.864035389303e-10       1.856318649293e-11      -1.144244640478e-14 
   28       2.124778486056e-10       5.510329088913e-15       8.564016558271e-14       3.095564968008e-15       1.741024446661e-10       1.742772449575e-11      -1.279754084410e-14 
   29       2.138499866564e-10       6.007109072237e-15       8.149280796478e-14       3.278294640150e-15       1.629455132325e-10       1.637885707722e-11      -1.330719780530e-14 
   30       2.152490204005e-10       6.532808874421e-15       7.608593767511e-14       3.463374695503e-15       1.528130081604e-10       1.542028338649e-11      -1.308139052968e-14 
   31       2.166698451814e-10       7.088501798725e-15       6.941777320897e-14       3.650612716107e-15       1.434983261393e-10       1.454713043879e-11      -1.229207265372e-14 
   32       2.181198077733e-10       7.675239526653e-15       6.149289162527e-14       3.839771031333e-15       1.349534150722e-10       1.375130119679e-11      -1.116005436027e-14 
   33       2.195936845575e-10       8.294089687404e-15       5.233041108875e-14       4.030598676412e-15       1.271178973026e-10       1.301633825849e-11      -9.972906114538e-15 
   34       2.210738562423e-10       8.946084862695e-15       4.196147214953e-14       4.222842046903e-15       1.198821790444e-10       1.232218314114e-11      -9.023182287398e-15 
   35       2.225691246932e-10       9.631991578008e-15       3.040761091718e-14       4.416237035577e-15       1.132092630534e-10       1.167004358835e-11      -8.362631618399e-15 
   36       2.240863177095e-10       1.035245392063e-14       1.769612182726e-14       4.610513670822e-15       1.070456523166e-10       1.106541972501e-11      -7.962529470254e-15 
   37       2.256233226460e-10       1.110805015145e-14       3.846127797225e-15       4.805408043821e-15       1.013111720407e-10       1.051086541155e-11      -7.778851712178e-15 
   38       2.271856504748e-10       1.189929705605e-14      -1.120086556683e-14       5.000697283645e-15       9.599102883874e-11       1.000462948470e-11      -7.758757196920e-15 
   39       2.287731429615e-10       1.272663787344e-14      -2.753533531448e-14       5.196176528033e-15       9.106836293516e-11       9.541031482196e-12      -7.833988353812e-15 
   40       2.303740630736e-10       1.359043428577e-14      -4.526256444125e-14       5.391650237914e-15       8.649624443956e-11       9.110408451416e-12      -7.917506767020e-15 
   41       2.319724793992e-10       1.449102126204e-14      -6.448299320900e-14       5.586912919117e-15       8.221402792338e-11       8.702052234042e-12      -7.924570722815e-15 
   42       2.335760815304e-10       1.542890589759e-14      -8.522293379180e-14       5.781682484355e-15       7.820912498366e-11       8.314953783974e-12      -7.847264193384e-15 
   43       2.351954793535e-10       1.640462431583e-14      -1.074831539346e-13       5.975646077326e-15       7.447092563978e-11       7.950008626493e-12      -7.702098138250e-15 
   44       2.368358919615e-10       1.741868589111e-14      -1.312573602375e-13       6.168477177216e-15       7.097226183302e-11       7.606956611618e-12      -7.510025504803e-15 
