# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 5000, i.e. number of multipoles equal to 4999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.857113442488e-10       7.737430083742e-15       5.610482444072e-13       4.752331227610e-15       8.436333595015e-09       4.650966260025e-10      -2.059105387652e-12 
    3       2.437094857469e-10       1.003102353698e-14       4.521820401182e-13       4.790924532588e-15       5.179265417193e-09       3.305026506042e-10      -1.650907314640e-12 
    4       2.247965002675e-10       9.612220635661e-15       3.866734471973e-13       4.171161534625e-15       3.603931654892e-09       2.506457507431e-10      -1.174318771880e-12 
    5       2.142295621228e-10       7.427206169436e-15       3.236697173893e-13       3.271517513696e-15       2.691402312326e-09       1.981754596071e-10      -7.483506833501e-13 
    6       2.073001933956e-10       4.893402755585e-15       2.614216194835e-13       2.377588149523e-15       2.102976711762e-09       1.613522990132e-10      -4.084506303877e-13 
    7       2.027596633967e-10       2.940592124680e-15       2.052903484559e-13       1.647020949393e-15       1.696790668501e-09       1.343074387822e-10      -1.633755847305e-13 
    8       1.998332639837e-10       1.814666642288e-15       1.587589706703e-13       1.133136097712e-15       1.402001907985e-09       1.137586664884e-10      -7.082187948622e-15 
    9       1.980216809154e-10       1.328469371950e-15       1.234552501240e-13       8.244557597153e-16       1.179920534743e-09       9.773289241180e-11       7.491205622064e-14 
   10       1.969697649075e-10       1.183683560873e-15       9.938147929785e-14       6.799595024640e-16       1.007936426458e-09       8.498298206340e-11       1.012931349345e-13 
   11       1.964894183549e-10       1.167592842754e-15       8.522252063355e-14       6.518614755367e-16       8.504935379794e-10       7.498714904315e-11       9.150713882317e-14 
   12       1.964204978912e-10       1.192736965316e-15       7.880650979915e-14       6.987984120981e-16       7.431349602131e-10       6.632827996055e-11       6.295270338775e-14 
   13       1.966481065431e-10       1.249398452063e-15       7.767145214720e-14       7.898991814363e-16       6.550060461906e-10       5.926183196945e-11       2.934774575827e-14 
   14       1.970727601954e-10       1.346398585732e-15       7.956743081545e-14       9.055892128886e-16       5.816814964174e-10       5.310436919879e-11      -7.088459285569e-16 
   15       1.976927933846e-10       1.483333087821e-15       8.272271054546e-14       1.034273776349e-15       5.199621430499e-10       4.793829853590e-11      -2.197680571783e-14 
   16       1.984626135297e-10       1.649696147990e-15       8.583887446458e-14       1.170520031851e-15       4.674867035210e-10       4.352700515521e-11      -3.322870463951e-14 
   17       1.993271417592e-10       1.836200067547e-15       8.821229201361e-14       1.311999334933e-15       4.224716594539e-10       3.969738159401e-11      -3.568921124134e-14 
   18       2.002622236763e-10       2.040894938557e-15       8.977651000650e-14       1.457825177039e-15       3.834010522686e-10       3.630231791335e-11      -3.210444312885e-14 
   19       2.012957273438e-10       2.267622872305e-15       9.064382704339e-14       1.607769731750e-15       3.496542725645e-10       3.331703378592e-11      -2.504735886312e-14 
   20       2.023697778127e-10       2.521377713806e-15       9.098906055522e-14       1.761854387431e-15       3.199316165052e-10       3.068548608246e-11      -1.747558743737e-14 
   21       2.035052530155e-10       2.803984269061e-15       9.108541576520e-14       1.919944686758e-15       2.937664655274e-10       2.836436329700e-11      -1.100153113012e-14 
   22       2.046896954008e-10       3.115524387920e-15       9.121745966414e-14       2.081928078563e-15       2.705328436123e-10       2.627646810006e-11      -6.758756921138e-15 
   23       2.059227019410e-10       3.454803173067e-15       9.137849650862e-14       2.247709509245e-15       2.499115237868e-10       2.439345917117e-11      -4.946602867636e-15 
   24       2.071721999802e-10       3.819965461113e-15       9.141866806463e-14       2.417232122236e-15       2.314260952424e-10       2.268374626325e-11      -5.268543420770e-15 
   25       2.084610005406e-10       4.211008107989e-15       9.113296832692e-14       2.590335058388e-15       2.148593295628e-10       2.115041082934e-11      -7.038861498120e-15 
   26       2.097967288807e-10       4.628381157220e-15       9.025265598421e-14       2.766828796218e-15       1.999115573935e-10       1.978801621201e-11      -9.325842671345e-15 
   27       2.111645301510e-10       5.072467983317e-15       8.849652916223e-14       2.946450191032e-15       1.864035389303e-10       1.856318649293e-11      -1.144244640478e-14 
   28       2.125271386606e-10       5.543650417083e-15       8.558512052990e-14       3.128924348383e-15       1.741024446661e-10       1.742772449575e-11      -1.279754084410e-14 
   29       2.139022640819e-10       6.042790647707e-15       8.143148300268e-14       3.314025559063e-15       1.629455132325e-10       1.637885707722e-11      -1.330719780530e-14 
   30       2.153043612415e-10       6.570926846635e-15       7.601795301989e-14       3.501556046806e-15       1.528130081604e-10       1.542028338649e-11      -1.308139052968e-14 
   31       2.167283252597e-10       7.129131706001e-15       6.934275383668e-14       3.691323296327e-15       1.434983261393e-10       1.454713043879e-11      -1.229207265372e-14 
   32       2.181815019065e-10       7.718456283729e-15       6.141046953375e-14       3.883089599719e-15       1.349534150722e-10       1.375130119679e-11      -1.116005436027e-14 
   33       2.196586660156e-10       8.339967582745e-15       5.224022769047e-14       4.076604022168e-15       1.271178973026e-10       1.301633825849e-11      -9.972906114538e-15 
   34       2.211421962682e-10       8.994697546831e-15       4.186318098185e-14       4.271613049589e-15       1.198821790444e-10       1.232218314114e-11      -9.023182287398e-15 
   35       2.226408919726e-10       9.683412003890e-15       3.030088116434e-14       4.467852684740e-15       1.132092630534e-10       1.167004358835e-11      -8.362631618399e-15 
   36       2.241615777792e-10       1.040675431824e-14       1.758064150483e-14       4.665053121151e-15       1.070456523166e-10       1.106541972501e-11      -7.962529470254e-15 
   37       2.257021374474e-10       1.116530198643e-14       3.721607317597e-15       4.862950653930e-15       1.013111720407e-10       1.051086541155e-11      -7.778851712178e-15 
   38       2.272680785562e-10       1.195957088515e-14      -1.133468819000e-14       5.061322544734e-15       9.599102883874e-11       1.000462948470e-11      -7.758757196920e-15 
   39       2.288592391694e-10       1.279000326867e-14      -2.767869011683e-14       5.259964071707e-15       9.106836293516e-11       9.541031482196e-12      -7.833988353812e-15 
   40       2.304638780191e-10       1.365695978479e-14      -4.541564539667e-14       5.458679876337e-15       8.649624443956e-11       9.110408451416e-12      -7.917506767020e-15 
   41       2.320660592788e-10       1.456077428065e-14      -6.464595349689e-14       5.657264641479e-15       8.221402792338e-11       8.702052234042e-12      -7.924570722815e-15 
   42       2.336734692403e-10       1.550195251652e-14      -8.539587933501e-14       5.855436299787e-15       7.820912498366e-11       8.314953783974e-12      -7.847264193384e-15 
   43       2.352967146646e-10       1.648102915042e-14      -1.076661378384e-13       6.052881965119e-15       7.447092563978e-11       7.950008626493e-12      -7.702098138250e-15 
   44       2.369410113254e-10       1.749851199059e-14      -1.314503774581e-13       6.249275077728e-15       7.097226183302e-11       7.606956611618e-12      -7.510025504803e-15 
   45       2.386078097060e-10       1.855483437565e-14      -1.567369843739e-13       6.444291168988e-15       6.767911530891e-11       7.284748163366e-12      -7.294859928366e-15 
