# dimensionless [l(l+1)/2pi] C_l's for tensor mode
# for l=2 to 500, i.e. number of multipoles equal to 499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.428818544858e-10       2.662181662939e-15       1.670738441753e-13       4.752087359311e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    3       1.089154965201e-10       2.820134058333e-15      -8.564588703577e-15       4.790436641964e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    4       9.767252902619e-11       2.591460639557e-15      -6.080027179645e-14       4.170348049294e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    5       9.297037070526e-11       2.074336896367e-15      -7.167269644317e-14       3.270296677794e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    6       9.018398472235e-11       1.497479397390e-15      -6.812441684759e-14       2.375877995845e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    7       8.842543615650e-11       1.021427699725e-15      -6.044467924395e-14       1.644739282351e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    8       8.723637363381e-11       7.119258011960e-16      -5.316483886700e-14       1.130200488148e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    9       8.637149210504e-11       5.646277191469e-16      -4.796281719165e-14       8.207835520889e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   10       8.568941114859e-11       5.404327318118e-16      -4.518201763976e-14       6.754678343664e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   11       8.510743198849e-11       5.945276148234e-16      -4.459796164927e-14       6.464673089366e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   12       8.457759084074e-11       6.911337744221e-16      -4.581356818483e-14       6.924185751960e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   13       8.407130966419e-11       8.083378152913e-16      -4.844796234652e-14       7.824504195166e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   14       8.357083292440e-11       9.350214632890e-16      -5.219752554605e-14       8.969882461488e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   15       8.306513797203e-11       1.067592861170e-15      -5.683568841122e-14       1.024437362356e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   16       8.254766886746e-11       1.205192087139e-15      -6.220590901134e-14       1.159365030054e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   17       8.201474638095e-11       1.348033941592e-15      -6.819979396762e-14       1.299442770537e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   18       8.145859278980e-11       1.496517410199e-15      -7.473117038191e-14       1.443784302937e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   19       8.089650959831e-11       1.650591073069e-15      -8.175540633509e-14       1.592162077762e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
