# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 5000, i.e. number of multipoles equal to 4999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.862975487578e-10       7.955207903595e-15       5.635266240011e-13       4.881399328142e-15       8.411449851502e-09       4.688041526026e-10      -2.085323625512e-12 
    3       2.441948895882e-10       1.039141281991e-14       4.554949174531e-13       4.945748846179e-15       5.161264899275e-09       3.329109720955e-10      -1.679204183564e-12 
    4       2.251088717137e-10       1.003151323705e-14       3.905692211594e-13       4.326614249194e-15       3.589775485766e-09       2.523436424778e-10      -1.200867874332e-12 
    5       2.143995227404e-10       7.809750530960e-15       3.278315896222e-13       3.408941062458e-15       2.680207154799e-09       1.994690660900e-10      -7.709129672831e-13 
    6       2.073628635471e-10       5.180092710308e-15       2.654564297075e-13       2.487152252847e-15       2.093893432210e-09       1.624165331389e-10      -4.257323405141e-13 
    7       2.027622953174e-10       3.121848440433e-15       2.088432917884e-13       1.726721667508e-15       1.689316762970e-09       1.351772656349e-10      -1.749453146232e-13 
    8       1.997439818939e-10       1.915500848161e-15       1.616523319957e-13       1.186020190127e-15       1.395806725927e-09       1.144552139222e-10      -1.326922382991e-14 
    9       1.978718531015e-10       1.383281238905e-15       1.256459356911e-13       8.562278428342e-16       1.174702223141e-09       9.832250148122e-11       7.319488399423e-14 
   10       1.968219341057e-10       1.218600309182e-15       1.008417993439e-13       6.965605628770e-16       1.003415366607e-09       8.550435836018e-11       1.027760513970e-13 
   11       1.962881089339e-10       1.194730236542e-15       8.605793318870e-14       6.587705553088e-16       8.468469479309e-10       7.537137692161e-11       9.469674292844e-14 
   12       1.961921503649e-10       1.214914860718e-15       7.925225683594e-14       6.999496679742e-16       7.398969632502e-10       6.673672447249e-11       6.686285030440e-14 
   13       1.963938328383e-10       1.266122305137e-15       7.793573537319e-14       7.881590336835e-16       6.521087171941e-10       5.947694430817e-11       3.263482041044e-14 
   14       1.968166666676e-10       1.358206261353e-15       7.979679803738e-14       9.024634004295e-16       5.790651737241e-10       5.338764817349e-11       1.660098156472e-15 
   15       1.974297633041e-10       1.491664262236e-15       8.295698560298e-14       1.030720525380e-15       5.175887870402e-10       4.824328138525e-11      -2.078854646771e-14 
   16       1.981525641709e-10       1.656161842906e-15       8.610106847190e-14       1.166769647719e-15       4.653238953462e-10       4.381330704885e-11      -3.317437038987e-14 
   17       1.990359784073e-10       1.841290086876e-15       8.856223960253e-14       1.308075722068e-15       4.204899227076e-10       3.986452470234e-11      -3.671663149522e-14 
   18       1.999830957242e-10       2.043982296245e-15       9.010106718036e-14       1.453699492846e-15       3.815768100369e-10       3.642787725125e-11      -3.373989498899e-14 
   19       2.010111078532e-10       2.268036650513e-15       9.084068589952e-14       1.603404194022e-15       3.479668338465e-10       3.345848410590e-11      -2.677506082756e-14 
   20       2.020912068443e-10       2.518798863654e-15       9.104946377915e-14       1.757223981137e-15       3.183665147422e-10       3.078795887972e-11      -1.896908311169e-14 
   21       2.032342263701e-10       2.798534013672e-15       9.098969356478e-14       1.915028390523e-15       2.923108073163e-10       2.840799311782e-11      -1.209002795599e-14 
   22       2.044087447437e-10       3.107760599451e-15       9.091257892041e-14       2.076701543322e-15       2.691755111271e-10       2.632126579328e-11      -7.421274686250e-15 
   23       2.056331672849e-10       3.445221539556e-15       9.087093925588e-14       2.242117636880e-15       2.486422339934e-10       2.448897850970e-11      -5.168874781801e-15 
   24       2.069005577574e-10       3.808805931419e-15       9.079692538391e-14       2.411192429661e-15       2.302361788413e-10       2.283320735073e-11      -5.028455877491e-15 
   25       2.082074814806e-10       4.198380974278e-15       9.046684813899e-14       2.583818350136e-15       2.137408831664e-10       2.131516991923e-11      -6.484786095302e-15 
   26       2.095259768666e-10       4.614291823798e-15       8.956345884448e-14       2.759875606391e-15       1.988579564196e-10       1.990062928632e-11      -8.796827271264e-15 
   27       2.108668705125e-10       5.056859096204e-15       8.780997487947e-14       2.939070644233e-15       1.854092377039e-10       1.860742420669e-11      -1.116243625133e-14 
   28       2.122340409282e-10       5.526410307691e-15       8.494218674999e-14       3.121069288927e-15       1.731632401433e-10       1.745714951273e-11      -1.277981360360e-14 
   29       2.136407817063e-10       6.023774196817e-15       8.085424557007e-14       3.305636963023e-15       1.620571956094e-10       1.643735585991e-11      -1.350853665048e-14 
   30       2.150790230256e-10       6.549957597188e-15       7.549273168250e-14       3.492584623545e-15       1.519713354821e-10       1.551000523526e-11      -1.344718038191e-14 
   31       2.165215458861e-10       7.106009301453e-15       6.882117108388e-14       3.681732365927e-15       1.426994267172e-10       1.462981145383e-11      -1.275687771633e-14 
   32       2.179796422056e-10       7.693010481527e-15       6.084909543392e-14       3.872858221101e-15       1.341936888936e-10       1.379889561010e-11      -1.165089068949e-14 
   33       2.194622530799e-10       8.312084521634e-15       5.161649965973e-14       4.065731177762e-15       1.263943154938e-10       1.303126922166e-11      -1.041107334016e-14 
   34       2.209644576654e-10       8.964311157456e-15       4.117689009945e-14       4.260123424904e-15       1.191925024494e-10       1.233554371912e-11      -9.333536186347e-15 
   35       2.224876931432e-10       9.650412230840e-15       2.955838768488e-14       4.455806120420e-15       1.125513688285e-10       1.170534371898e-11      -8.510528559302e-15 
   36       2.240232747582e-10       1.037094832648e-14       1.679054413732e-14       4.652552380884e-15       1.064174859529e-10       1.112451160970e-11      -7.974051574848e-15 
