# dimensionless [l(l+1)/2pi] C_l's for scalar mode
# for l=2 to 5500, i.e. number of multipoles equal to 5499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.435191871132e-10       5.209126410943e-15       3.979566209442e-13       0.000000000000e+00       8.411449851502e-09       4.688041526026e-10      -2.085323625512e-12 
    3       1.353182868664e-10       7.458296019927e-15       4.673744087919e-13       0.000000000000e+00       5.161264899275e-09       3.329109720955e-10      -1.679204183564e-12 
    4       1.274933363914e-10       7.318209781647e-15       4.553171010726e-13       0.000000000000e+00       3.589775485766e-09       2.523436424778e-10      -1.200867874332e-12 
    5       1.215182941814e-10       5.624306405930e-15       4.033392721599e-13       0.000000000000e+00       2.680207154799e-09       1.994690660900e-10      -7.709129672831e-13 
    6       1.172908972631e-10       3.594330011997e-15       3.369501065426e-13       0.000000000000e+00       2.093893432210e-09       1.624165331389e-10      -4.257323405141e-13 
    7       1.144670191950e-10       2.038506788814e-15       2.720545890773e-13       0.000000000000e+00       1.689316762970e-09       1.351772656349e-10      -1.749453146232e-13 
    8       1.126509962782e-10       1.164967689640e-15       2.169815656843e-13       0.000000000000e+00       1.395806725927e-09       1.144552139222e-10      -1.326922382991e-14 
    9       1.116526304225e-10       7.971852717888e-16       1.752399958227e-13       0.000000000000e+00       1.174702223141e-09       9.832250148122e-11       7.319488399423e-14 
   10       1.112899944522e-10       6.670101282008e-16       1.472148700949e-13       0.000000000000e+00       1.003415366607e-09       8.550435836018e-11       1.027760513970e-13 
   11       1.113404614291e-10       5.941189776096e-16       1.314987956078e-13       0.000000000000e+00       8.468469479309e-10       7.537137692161e-11       9.469674292844e-14 
   12       1.117745232906e-10       5.191358755936e-16       1.256453312386e-13       0.000000000000e+00       7.398969632502e-10       6.673672447249e-11       6.686285030440e-14 
   13       1.124810781594e-10       4.528486324829e-16       1.267685220408e-13       0.000000000000e+00       6.521087171941e-10       5.947694430817e-11       3.263482041044e-14 
   14       1.134018596332e-10       4.170996170022e-16       1.322300264198e-13       0.000000000000e+00       5.790651737241e-10       5.338764817349e-11       1.660098156472e-15 
   15       1.145174454155e-10       4.168182489619e-16       1.399146781370e-13       0.000000000000e+00       5.175887870402e-10       4.824328138525e-11      -2.078854646771e-14 
   16       1.157541414694e-10       4.424958461776e-16       1.483440865681e-13       0.000000000000e+00       4.653238953462e-10       4.381330704885e-11      -3.317437038987e-14 
   17       1.171666374191e-10       4.835524468233e-16       1.567291793145e-13       0.000000000000e+00       4.204899227076e-10       3.986452470234e-11      -3.671663149522e-14 
   18       1.186658419223e-10       5.365053127425e-16       1.647437799914e-13       0.000000000000e+00       3.815768100369e-10       3.642787725125e-11      -3.373989498899e-14 
   19       1.202517510424e-10       6.052092367175e-16       1.724622160533e-13       0.000000000000e+00       3.479668338465e-10       3.345848410590e-11      -2.677506082756e-14 
   20       1.219148299648e-10       6.951860187611e-16       1.800903461755e-13       0.000000000000e+00       3.183665147422e-10       3.078795887972e-11      -1.896908311169e-14 
   21       1.236554013350e-10       8.089659332467e-16       1.878543032577e-13       0.000000000000e+00       2.923108073163e-10       2.840799311782e-11      -1.209002795599e-14 
   22       1.254474742748e-10       9.473168177879e-16       1.959672484634e-13       0.000000000000e+00       2.691755111271e-10       2.632126579328e-11      -7.421274686250e-15 
   23       1.273020194429e-10       1.109083221445e-15       2.044485752679e-13       0.000000000000e+00       2.486422339934e-10       2.448897850970e-11      -5.168874781801e-15 
   24       1.292181511729e-10       1.292169439143e-15       2.131927804456e-13       0.000000000000e+00       2.302361788413e-10       2.283320735073e-11      -5.028455877491e-15 
   25       1.311865185157e-10       1.496479197204e-15       2.219462415262e-13       0.000000000000e+00       2.137408831664e-10       2.131516991923e-11      -6.484786095302e-15 
   26       1.331824364124e-10       1.722352362284e-15       2.303609723995e-13       0.000000000000e+00       1.988579564196e-10       1.990062928632e-11      -8.796827271264e-15 
   27       1.352142848233e-10       1.970016046256e-15       2.381326170429e-13       0.000000000000e+00       1.854092377039e-10       1.860742420669e-11      -1.116243625133e-14 
   28       1.372899383195e-10       2.239699828854e-15       2.449691936959e-13       0.000000000000e+00       1.731632401433e-10       1.745714951273e-11      -1.277981360360e-14 
   29       1.394148537130e-10       2.532415525577e-15       2.507422068977e-13       0.000000000000e+00       1.620571956094e-10       1.643735585991e-11      -1.350853665048e-14 
   30       1.415800768573e-10       2.849471355218e-15       2.553760075958e-13       0.000000000000e+00       1.519713354821e-10       1.551000523526e-11      -1.344718038191e-14 
   31       1.437665245853e-10       3.192245288158e-15       2.588110004143e-13       0.000000000000e+00       1.426994267172e-10       1.462981145383e-11      -1.275687771633e-14 
   32       1.459803074130e-10       3.562089412544e-15       2.610350697198e-13       0.000000000000e+00       1.341936888936e-10       1.379889561010e-11      -1.165089068949e-14 
   33       1.482280936197e-10       3.960397879931e-15       2.620665247874e-13       0.000000000000e+00       1.263943154938e-10       1.303126922166e-11      -1.041107334016e-14 
   34       1.505087528846e-10       4.388530842451e-15       2.619373884882e-13       0.000000000000e+00       1.191925024494e-10       1.233554371912e-11      -9.333536186347e-15 
   35       1.528204006714e-10       4.847450316575e-15       2.606574664428e-13       0.000000000000e+00       1.125513688285e-10       1.170534371898e-11      -8.510528559302e-15 
   36       1.551539735182e-10       5.337950689906e-15       2.582393372007e-13       0.000000000000e+00       1.064174859529e-10       1.112451160970e-11      -7.974051574848e-15 
   37       1.574971565172e-10       5.860766396268e-15       2.546874010767e-13       0.000000000000e+00       1.007108709333e-10       1.057476639261e-11      -7.736773532569e-15 
   38       1.598577616906e-10       6.416633787751e-15       2.499254215077e-13       0.000000000000e+00       9.541675891122e-11       1.005562494616e-11      -7.737030146095e-15 
   39       1.622469730477e-10       7.006240842641e-15       2.438442464105e-13       0.000000000000e+00       9.051837379590e-11       9.570474167862e-12      -7.873308167586e-15 
   40       1.646725161056e-10       7.630204610132e-15       2.363198105379e-13       0.000000000000e+00       8.596901807074e-11       9.121013577928e-12      -8.016600895556e-15 
   41       1.671378617704e-10       8.289096734354e-15       2.272347681640e-13       0.000000000000e+00       8.170834057739e-11       8.707032453915e-12      -8.042992038165e-15 
   42       1.696406040222e-10       8.983541279806e-15       2.165544689204e-13       0.000000000000e+00       7.772378333226e-11       8.326075866368e-12      -7.948592020069e-15 
   43       1.721727995137e-10       9.714140867312e-15       2.042738884520e-13       0.000000000000e+00       7.400474460540e-11       7.973374533999e-12      -7.768917247651e-15 
   44       1.747208061527e-10       1.048144665456e-14       1.903975135199e-13       0.000000000000e+00       7.052413919695e-11       7.641707306904e-12      -7.548209048489e-15 
   45       1.772707406423e-10       1.128595358629e-14       1.749337467414e-13       0.000000000000e+00       6.724806894852e-11       7.323525763426e-12      -7.331823514763e-15 
   46       1.798279093987e-10       1.212809061943e-14       1.578749968687e-13       0.000000000000e+00       6.417137371140e-11       7.018506527875e-12      -7.139443844493e-15 
   47       1.824023835469e-10       1.300822312331e-14       1.392124513975e-13       0.000000000000e+00       6.129047687640e-11       6.727952830618e-12      -6.984757615246e-15 
   48       1.850034462660e-10       1.392665208910e-14       1.189417602548e-13       0.000000000000e+00       5.859266361386e-11       6.452642381496e-12      -6.882957366559e-15 
   49       1.876394621255e-10       1.488361138962e-14       9.706316514878e-14       0.000000000000e+00       5.605540132532e-11       6.192781323603e-12      -6.850799871006e-15 
   50       1.903165053996e-10       1.587928415858e-14       7.357367074716e-14       0.000000000000e+00       5.365312503487e-11       5.948108020986e-12      -6.900924097416e-15 
   51       1.930341092105e-10       1.691386352718e-14       4.844075289868e-14       0.000000000000e+00       5.138134144041e-11       5.718344461033e-12      -7.022849339871e-15 
   52       1.957881366784e-10       1.798750363709e-14       2.162173739379e-14       0.000000000000e+00       4.923789299376e-11       5.502787786445e-12      -7.196921699303e-15 
   53       1.985717365160e-10       1.910030016492e-14      -6.929104945668e-15       0.000000000000e+00       4.721574433455e-11       5.300133100276e-12      -7.399398687553e-15 
   54       2.013751539645e-10       2.025228848173e-14      -3.726080341933e-14       0.000000000000e+00       4.530265403323e-11       5.108434470712e-12      -7.602238319251e-15 
   55       2.041890032540e-10       2.144343414333e-14      -6.941654587919e-14       0.000000000000e+00       4.348490714648e-11       4.925640366638e-12      -7.779803251882e-15 
   56       2.070154701069e-10       2.267360581120e-14      -1.034030330341e-13       0.000000000000e+00       4.176035072494e-11       4.751445061870e-12      -7.931406672607e-15 
   57       2.098595610146e-10       2.394259238074e-14      -1.392139405008e-13       0.000000000000e+00       4.012802163748e-11       4.585828856299e-12      -8.063997871603e-15 
   58       2.127258325167e-10       2.525010796830e-14      -1.768385205778e-13       0.000000000000e+00       3.858420313631e-11       4.428507688099e-12      -8.185795144939e-15 
   59       2.156183370001e-10       2.659578977183e-14      -2.162614816811e-13       0.000000000000e+00       3.712225481348e-11       4.278916518926e-12      -8.306344303914e-15 
   60       2.185405684992e-10       2.797919593159e-14      -2.574628677811e-13       0.000000000000e+00       3.573244255726e-11       4.136192719133e-12      -8.436577184395e-15 
   61       2.214953035542e-10       2.939984724371e-14      -3.004225085190e-13       0.000000000000e+00       3.440464065396e-11       3.999432432064e-12      -8.585768702948e-15 
   62       2.244842046614e-10       3.085736808191e-14      -3.451348095518e-13       0.000000000000e+00       3.313753152994e-11       3.868564497592e-12      -8.751477510614e-15 
   63       2.275080312289e-10       3.235137345486e-14      -3.915970832254e-13       0.000000000000e+00       3.193117864284e-11       3.743644099585e-12      -8.927440960974e-15 
   64       2.305666802732e-10       3.388142721143e-14      -4.398052948202e-13       0.000000000000e+00       3.078425920447e-11       3.624589300643e-12      -9.106438212292e-15 
   65       2.336591288896e-10       3.544704129277e-14      -4.897540870118e-13       0.000000000000e+00       2.969398526835e-11       3.511173088724e-12      -9.280250330089e-15 
   66       2.367833767221e-10       3.704767498444e-14      -5.414368043314e-13       0.000000000000e+00       2.865602481708e-11       3.403015423774e-12      -9.439620389716e-15 
   67       2.399363884338e-10       3.868273416847e-14      -5.948455176267e-13       0.000000000000e+00       2.766442284983e-11       3.299575284355e-12      -9.574213578930e-15 
   68       2.431152215472e-10       4.035152481041e-14      -6.499689677556e-13       0.000000000000e+00       2.671319088905e-11       3.200299477583e-12      -9.674943572300e-15 
   69       2.463208039350e-10       4.205310414794e-14      -7.067858581551e-13       0.000000000000e+00       2.580162589494e-11       3.105121861173e-12      -9.741588219127e-15 
   70       2.495548219162e-10       4.378639786703e-14      -7.652702408676e-13       0.000000000000e+00       2.492993229305e-11       3.014051453913e-12      -9.776652411048e-15 
   71       2.528185758842e-10       4.555024131517e-14      -8.253934488149e-13       0.000000000000e+00       2.409761332177e-11       2.927020749184e-12      -9.783158597779e-15 
   72       2.561129530934e-10       4.734337758291e-14      -8.871240670419e-13       0.000000000000e+00       2.330343479039e-11       2.843881770877e-12      -9.764667408146e-15 
   73       2.594384004458e-10       4.916445558559e-14      -9.504279039606e-13       0.000000000000e+00       2.254538883706e-11       2.764402129315e-12      -9.725298271127e-15 
   74       2.627948972772e-10       5.101202814491e-14      -1.015267962594e-12       0.000000000000e+00       2.182065768684e-11       2.688261077172e-12      -9.669750036883e-15 
   75       2.661819281443e-10       5.288455007060e-14      -1.081604411822e-12       0.000000000000e+00       2.112557740970e-11       2.615045565392e-12      -9.603321597794e-15 
   76       2.695989162324e-10       5.478046780044e-14      -1.149396695513e-12       0.000000000000e+00       2.045654691177e-11       2.544354180812e-12      -9.530882771306e-15 
   77       2.730466749802e-10       5.669851143256e-14      -1.218610367520e-12       0.000000000000e+00       1.981302638941e-11       2.476139559127e-12      -9.453524708888e-15 
   78       2.765261729545e-10       5.863745270880e-14      -1.289211456630e-12       0.000000000000e+00       1.919502235368e-11       2.410421537078e-12      -9.371333299405e-15 
   79       2.800380792312e-10       6.059601814036e-14      -1.361164454082e-12       0.000000000000e+00       1.860217431788e-11       2.347183106255e-12      -9.284383829518e-15 
   80       2.835827456275e-10       6.257288896697e-14      -1.434432328651e-12       0.000000000000e+00       1.803373793838e-11       2.286368681213e-12      -9.192740078989e-15 
   81       2.871601889340e-10       6.456670111599e-14      -1.508976541730e-12       0.000000000000e+00       1.748856815535e-11       2.227882367595e-12      -9.096453415983e-15 
   82       2.907700731463e-10       6.657604516152e-14      -1.584757062417e-12       0.000000000000e+00       1.696510233359e-11       2.171586230254e-12      -8.995561892375e-15 
   83       2.944116916970e-10       6.859946628349e-14      -1.661732382593e-12       0.000000000000e+00       1.646134340332e-11       2.117298561375e-12      -8.890089339048e-15 
   84       2.980843141254e-10       7.063545038401e-14      -1.739858423301e-12       0.000000000000e+00       1.597534494167e-11       2.064839972113e-12      -8.780186951768e-15 
   85       3.017883310383e-10       7.268237988124e-14      -1.819085012506e-12       0.000000000000e+00       1.550679574350e-11       2.014184240512e-12      -8.666586999229e-15 
   86       3.055242672648e-10       7.473857047805e-14      -1.899358848363e-12       0.000000000000e+00       1.505566824969e-11       1.965329411938e-12      -8.550223021188e-15 
   87       3.092924228241e-10       7.680228408371e-14      -1.980624552508e-12       0.000000000000e+00       1.462173166336e-11       1.918251284555e-12      -8.432095493524e-15 
   88       3.130928612823e-10       7.887172854038e-14      -2.062824666509e-12       0.000000000000e+00       1.420454352658e-11       1.872902481209e-12      -8.313273318346e-15 
   89       3.169253981090e-10       8.094505734956e-14      -2.145899648315e-12       0.000000000000e+00       1.380344129718e-11       1.829211521304e-12      -8.194895314091e-15 
   90       3.207895890351e-10       8.302036939858e-14      -2.229787868707e-12       0.000000000000e+00       1.341753392548e-11       1.787081892682e-12      -8.078171705632e-15 
   91       3.246847184089e-10       8.509570868700e-14      -2.314425607744e-12       0.000000000000e+00       1.304569343108e-11       1.746391123499e-12      -7.964385614376e-15 
   92       3.286097875535e-10       8.716906405316e-14      -2.399747051216e-12       0.000000000000e+00       1.268654647963e-11       1.706989854103e-12      -7.854894548371e-15 
   93       3.325638296069e-10       8.923842472811e-14      -2.485686053368e-12       0.000000000000e+00       1.233879999672e-11       1.668737805389e-12      -7.750859486450e-15 
   94       3.365469334973e-10       9.130195714955e-14      -2.572181736057e-12       0.000000000000e+00       1.200229232484e-11       1.631619887885e-12      -7.652382284913e-15 
   95       3.405593531636e-10       9.335785435871e-14      -2.659173729061e-12       0.000000000000e+00       1.167708532241e-11       1.595645920727e-12      -7.559240688140e-15 
   96       3.446011877289e-10       9.540428302853e-14      -2.746600499256e-12       0.000000000000e+00       1.136314062659e-11       1.560814875163e-12      -7.471146955960e-15 
   97       3.486723743391e-10       9.743938395641e-14      -2.834399371310e-12       0.000000000000e+00       1.106031581537e-11       1.527114452897e-12      -7.387745614477e-15 
   98       3.527726810011e-10       9.946127255701e-14      -2.922506548378e-12       0.000000000000e+00       1.076836056954e-11       1.494520664444e-12      -7.308611206908e-15 
   99       3.569016994219e-10       1.014680393551e-13      -3.010857132799e-12       0.000000000000e+00       1.048691283479e-11       1.462997407478e-12      -7.233246044409e-15 
  100       3.610588378466e-10       1.034577504782e-13      -3.099385146786e-12       0.000000000000e+00       1.021549498372e-11       1.432496045181e-12      -7.161077956907e-15 
  101       3.652433138974e-10       1.054284481498e-13      -3.188023553126e-12       0.000000000000e+00       9.953509977878e-12       1.402954984595e-12      -7.091458043936e-15 
  102       3.694541474118e-10       1.073781511814e-13      -3.276704275871e-12       0.000000000000e+00       9.700237529808e-12       1.374299254971e-12      -7.023658425458e-15 
  103       3.736901532812e-10       1.093048554662e-13      -3.365358221034e-12       0.000000000000e+00       9.454830265093e-12       1.346440086119e-12      -6.956869992706e-15 
  104       3.779501924404e-10       1.112065773734e-13      -3.453915583699e-12       0.000000000000e+00       9.216505690028e-12       1.319295740558e-12      -6.890364901908e-15 
  105       3.822339788746e-10       1.130814895477e-13      -3.542306772020e-12       0.000000000000e+00       8.985159894536e-12       1.292858123069e-12      -6.824013898888e-15 
  106       3.865413687835e-10       1.149278044588e-13      -3.630461647202e-12       0.000000000000e+00       8.760829982452e-12       1.267134424934e-12      -6.757835009710e-15 
  107       3.908721078932e-10       1.167437340899e-13      -3.718309271788e-12       0.000000000000e+00       8.543504003037e-12       1.242126487822e-12      -6.691834604724e-15 
  108       3.952258271313e-10       1.185274909018e-13      -3.805777933502e-12       0.000000000000e+00       8.333119264719e-12       1.217830615696e-12      -6.626006959749e-15 
  109       3.996020383023e-10       1.202772887973e-13      -3.892795169088e-12       0.000000000000e+00       8.129560648853e-12       1.194237386721e-12      -6.560333817275e-15 
  110       4.040001297631e-10       1.219913440854e-13      -3.979287788159e-12       0.000000000000e+00       7.932658923462e-12       1.171331465175e-12      -6.494783947648e-15 
  111       4.084193620984e-10       1.236678764457e-13      -4.065181897029e-12       0.000000000000e+00       7.742189056993e-12       1.149091413355e-12      -6.429312710269e-15 
  112       4.128588637957e-10       1.253051098923e-13      -4.150402922567e-12       0.000000000000e+00       7.557868532067e-12       1.127489503486e-12      -6.363861614782e-15 
  113       4.173176269211e-10       1.269012737384e-13      -4.234875636030e-12       0.000000000000e+00       7.379355659224e-12       1.106491529629e-12      -6.298357882268e-15 
  114       4.217945027943e-10       1.284546035604e-13      -4.318524176909e-12       0.000000000000e+00       7.206247890678e-12       1.086056619590e-12      -6.232714006441e-15 
  115       4.262881976643e-10       1.299633421623e-13      -4.401272076771e-12       0.000000000000e+00       7.038080134065e-12       1.066137046829e-12      -6.166827314835e-15 
