# Matter power spectrum P(k) at redshift z=0
# for k=1.03892e-05 to 108.968 h/Mpc,
# number of wavenumbers equal to 813
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.038922642939e-05       5.116730799284e+01 
       2.321812845777e-05       1.108985049459e+02 
       3.609173375949e-05       1.695113110990e+02 
       4.904439972293e-05       2.276638575228e+02 
       6.211104703766e-05       2.857257561853e+02 
       7.532746857054e-05       3.439710637799e+02 
       8.873064803662e-05       4.026322439353e+02 
       1.023590926717e-04       4.619221325086e+02 
       1.162531841463e-04       5.220451588781e+02 
       1.304555519933e-04       5.832040712008e+02 
       1.450114738307e-04       6.456045489345e+02 
       1.599693066034e-04       7.094587694882e+02 
       1.753809529045e-04       7.749883995593e+02 
       1.913023660834e-04       8.424273158753e+02 
       2.077940972269e-04       9.120241918648e+02 
       2.249218860767e-04       9.840450204290e+02 
       2.427572963652e-04       1.058775668300e+03 
       2.613783937036e-04       1.136524406561e+03 
       2.808704607789e-04       1.217624463215e+03 
       3.013267399005e-04       1.302436524157e+03 
       3.228491865167e-04       1.391351125245e+03 
       3.455492088079e-04       1.484790795526e+03 
       3.695483574944e-04       1.583211841055e+03 
       3.949789163030e-04       1.687105477626e+03 
       4.219843271272e-04       1.796998132713e+03 
       4.507193652352e-04       1.913450465620e+03 
       4.813499601652e-04       2.037054771151e+03 
       5.140525395271e-04       2.168430245425e+03 
       5.490127596148e-04       2.308215665619e+03 
       5.864234840096e-04       2.457058935308e+03 
       6.264818862127e-04       2.615603238983e+03 
       6.693855924581e-04       2.784469532071e+03 
       7.153278526981e-04       2.964235580673e+03 
       7.644918337246e-04       3.155412147088e+03 
       8.170442631527e-04       3.358417519675e+03 
       8.731288004716e-04       3.573552049382e+03 
       9.328596440384e-04       3.800974858072e+03 
       9.963159657110e-04       4.040685198511e+03 
       1.063537764317e-03       4.292510712142e+03 
       1.134523625953e-03       4.556104375872e+03 
       1.209230678886e-03       4.830951033507e+03 
       1.287576767588e-03       5.116382866290e+03 
       1.369444598904e-03       5.411587812150e+03 
       1.454687391583e-03       5.715656620065e+03 
       1.543135431286e-03       6.027646377363e+03 
       1.634602911679e-03       6.346551757608e+03 
       1.728894515035e-03       6.671357381454e+03 
       1.825811320086e-03       7.001062174042e+03 
       1.925155782401e-03       7.334699119477e+03 
       2.026735680812e-03       7.671349944942e+03 
       2.130367041837e-03       8.010155524614e+03 
       2.235876134908e-03       8.350322802223e+03 
       2.343100676070e-03       8.691125967567e+03 
       2.451890393792e-03       9.031908123904e+03 
       2.562107106469e-03       9.372078592578e+03 
       2.673624445201e-03       9.711109469445e+03 
       2.786327333995e-03       1.004853252842e+04 
       2.900111316992e-03       1.038393346389e+04 
       3.014881801364e-03       1.071694918095e+04 
       3.130553266383e-03       1.104725980582e+04 
       3.247048474339e-03       1.137458873555e+04 
       3.364297707344e-03       1.169869293538e+04 
       3.482238045183e-03       1.201936514640e+04 
       3.600812692879e-03       1.233642360042e+04 
       3.719970362018e-03       1.264971714585e+04 
       3.839664706618e-03       1.295911172059e+04 
       3.959853812268e-03       1.326449801440e+04 
       4.080499735881e-03       1.356578468681e+04 
       4.201568092653e-03       1.386289228683e+04 
       4.323027686457e-03       1.415576235570e+04 
       4.444850179783e-03       1.444433970786e+04 
       4.567009799409e-03       1.472859345181e+04 
       4.689483074174e-03       1.500848894719e+04 
       4.812248601459e-03       1.528400945275e+04 
       4.935286839263e-03       1.555514745943e+04 
       5.058579921044e-03       1.582188843188e+04 
       5.182111490760e-03       1.608424320272e+04 
       5.305866555835e-03       1.634221105663e+04 
       5.429831356000e-03       1.659580510160e+04 
       5.553993246208e-03       1.684504278213e+04 
       5.678340591997e-03       1.708993570040e+04 
       5.802862675902e-03       1.733051198587e+04 
       5.927549613644e-03       1.756680248842e+04 
       6.052392279003e-03       1.779885436270e+04 
       6.177382236385e-03       1.802663053144e+04 
       6.302511680230e-03       1.825018150447e+04 
       6.427773380501e-03       1.846956906503e+04 
       6.553160633584e-03       1.868479458875e+04 
       6.678667218001e-03       1.889577995520e+04 
