# dimensionless [l(l+1)/2pi] C_l's for scalar mode
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.434943099161e-10       5.120292046087e-15       3.941761145555e-13       0.000000000000e+00       8.287935995112e-09       4.689126794739e-10      -2.069993881104e-12 
    3       1.352938570264e-10       7.273240503281e-15       4.621053625816e-13       0.000000000000e+00       5.160099350701e-09       3.331218894292e-10      -1.657373589083e-12 
    4       1.274945246214e-10       7.071793977528e-15       4.487968061276e-13       0.000000000000e+00       3.594578853564e-09       2.523130878857e-10      -1.177780830116e-12 
    5       1.215506080725e-10       5.382718559106e-15       3.964198653169e-13       0.000000000000e+00       2.683764150327e-09       1.993639467810e-10      -7.495398919903e-13 
    6       1.173524514802e-10       3.408456933758e-15       3.303417809241e-13       0.000000000000e+00       2.095310599969e-09       1.622777874053e-10      -4.080369587337e-13 
    7       1.145553255491e-10       1.922480310417e-15       2.662179406646e-13       0.000000000000e+00       1.689101987830e-09       1.350212439754e-10      -1.621434562325e-13 
    8       1.127616949820e-10       1.103050788665e-15       2.121796313140e-13       0.000000000000e+00       1.395591660539e-09       1.143085509852e-10      -5.653073779899e-15 
    9       1.117825385971e-10       7.634655617780e-16       1.715573794929e-13       0.000000000000e+00       1.175650351431e-09       9.820841144149e-11       7.614467411369e-14 
   10       1.114358993736e-10       6.419664517685e-16       1.446077027748e-13       0.000000000000e+00       1.005622513605e-09       8.542527578609e-11       1.021455574082e-13 
   11       1.114981445132e-10       5.700817381853e-16       1.297992411099e-13       0.000000000000e+00       8.459688756098e-10       7.527881727046e-11       9.186575555726e-14 
   12       1.119421637368e-10       4.966584440274e-16       1.245779122077e-13       0.000000000000e+00       7.391232477656e-10       6.665567671695e-11       6.312137421019e-14 
   13       1.126567466452e-10       4.344252715015e-16       1.260920957165e-13       0.000000000000e+00       6.514234642439e-10       5.940072358759e-11       2.907245202410e-14 
   14       1.135842362541e-10       4.033110167657e-16       1.317499450432e-13       0.000000000000e+00       5.784553205490e-10       5.331216956231e-11      -9.923369771465e-16 
   15       1.147065495092e-10       4.062686332889e-16       1.394614753144e-13       0.000000000000e+00       5.170438152781e-10       4.816696929081e-11      -2.218712704493e-14 
   16       1.159487199396e-10       4.334871744871e-16       1.478951055257e-13       0.000000000000e+00       4.648350294757e-10       4.373642301658e-11      -3.331342515122e-14 
   17       1.173666587828e-10       4.753017933809e-16       1.562927757307e-13       0.000000000000e+00       4.200504306964e-10       3.978860947294e-11      -3.583246304815e-14 
   18       1.188710744940e-10       5.295517954624e-16       1.643124586121e-13       0.000000000000e+00       3.811799825037e-10       3.635528078125e-11      -3.220332027678e-14 
   19       1.204618472904e-10       6.002830344349e-16       1.720699139521e-13       0.000000000000e+00       3.476093687877e-10       3.339088959276e-11      -2.499102251536e-14 
   20       1.221295334156e-10       6.927189249828e-16       1.798290124298e-13       0.000000000000e+00       3.180435958425e-10       3.072564332198e-11      -1.731476711439e-14 
   21       1.238744679482e-10       8.088060460458e-16       1.878026692275e-13       0.000000000000e+00       2.920180791682e-10       2.835021210300e-11      -1.085712243296e-14 
   22       1.256706698179e-10       9.486755728999e-16       1.961548595993e-13       0.000000000000e+00       2.689101648947e-10       2.626658672375e-11      -6.763788739796e-15 
   23       1.275294286915e-10       1.111261091454e-15       2.048388029027e-13       0.000000000000e+00       2.484017167083e-10       2.443674472782e-11      -5.095841133268e-15 
   24       1.294502326926e-10       1.294832385174e-15       2.136843132465e-13       0.000000000000e+00       2.300180675501e-10       2.278399076320e-11      -5.393198110587e-15 
