# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.854580574728e-10       7.806639904165e-15       5.603665712443e-13       4.801532469386e-15       8.287668899696e-09       4.688832636261e-10      -2.069962567090e-12 
    3       2.442143283592e-10       1.011670793023e-14       4.540119330482e-13       4.836400782299e-15       5.159925520181e-09       3.331017844420e-10      -1.657326594537e-12 
    4       2.251760990436e-10       9.681164646133e-15       3.881849326118e-13       4.206585881554e-15       3.594452734716e-09       2.522989024460e-10      -1.177729793700e-12 
    5       2.145226430331e-10       7.468221505136e-15       3.248965586993e-13       3.295429736118e-15       2.683670032600e-09       1.993535041266e-10      -7.494955703662e-13 
    6       2.075429920358e-10       4.911370147570e-15       2.623287584675e-13       2.391294571565e-15       2.095238049531e-09       1.622697294405e-10      -4.080046809408e-13 
    7       2.029857216742e-10       2.945504742153e-15       2.058540265036e-13       1.653091767417e-15       1.689043080841e-09       1.350148566935e-10      -1.621219192319e-13 
    8       2.000019916521e-10       1.814715028551e-15       1.590675220160e-13       1.133970702114e-15       1.395541661722e-09       1.143034551331e-10      -5.638293157066e-15 
    9       1.981575100849e-10       1.327153360743e-15       1.236136044947e-13       8.220849764821e-16       1.175606790794e-09       9.820425034264e-11       7.615543361176e-14 
   10       1.971287891178e-10       1.181520950275e-15       9.942007504191e-14       6.755209050740e-16       1.005583777521e-09       8.542164179242e-11       1.021533072133e-13 
   11       1.966095488853e-10       1.163891460571e-15       8.518470719471e-14       6.461125929804e-16       8.459442450466e-10       7.527637199350e-11       9.186925823615e-14 
   12       1.965246639068e-10       1.187347702589e-15       7.874330227338e-14       6.918629486124e-16       7.391018060573e-10       6.665332846082e-11       6.312288625874e-14 
   13       1.967342602342e-10       1.242262045257e-15       7.762828595005e-14       7.820402370177e-16       6.514044411229e-10       5.939862456223e-11       2.907380206163e-14 
   14       1.971627426025e-10       1.337959324316e-15       7.955042426817e-14       8.964532684281e-16       5.784381765455e-10       5.331021704691e-11      -9.905397661701e-16 
   15       1.977808422392e-10       1.473380046613e-15       8.263603120363e-14       1.023904090121e-15       5.170283099036e-10       4.816511241555e-11      -2.218497958017e-14 
   16       1.985068471017e-10       1.637961629651e-15       8.571043768232e-14       1.158890172830e-15       4.648208290585e-10       4.373472482342e-11      -3.331117093308e-14 
   17       1.993930395212e-10       1.822788810289e-15       8.812898165020e-14       1.298638511958e-15       4.200372006568e-10       3.978708423689e-11      -3.583035916338e-14 
   18       2.003424337973e-10       2.025546151747e-15       8.962584546740e-14       1.442810239292e-15       3.811675429155e-10       3.635384209256e-11      -3.220161888756e-14 
   19       2.013722342327e-10       2.250153857752e-15       9.036446008463e-14       1.591189394009e-15       3.475975845228e-10       3.338948745750e-11      -2.498987254438e-14 
   20       2.024537729851e-10       2.501891332367e-15       9.067178593603e-14       1.743537556648e-15       3.180323782408e-10       3.072431167340e-11      -1.731416044296e-14 
   21       2.035979282461e-10       2.782502014755e-15       9.079412664297e-14       1.899754511117e-15       2.920073500135e-10       2.834895610486e-11      -1.085695721690e-14 
   22       2.047732597029e-10       3.091863965046e-15       9.092944272184e-14       2.059855672408e-15       2.688998556880e-10       2.626535347198e-11      -6.763903000018e-15 
   23       2.059985096584e-10       3.428768172735e-15       9.106466618499e-14       2.223743143304e-15       2.483917689124e-10       2.443551268068e-11      -5.096111233314e-15 
   24       2.072671084266e-10       3.791412463103e-15       9.106884095703e-14       2.391310226762e-15       2.300084388550e-10       2.278279315309e-11      -5.393573008932e-15 
   25       2.085756359566e-10       4.179833139330e-15       9.073688985879e-14       2.562364896479e-15       2.135336258215e-10       2.126831204144e-11      -7.062828403182e-15 
   26       2.098959427438e-10       4.594511792973e-15       8.980088350496e-14       2.736694892984e-15       1.986693613148e-10       1.985726858977e-11      -9.331709070136e-15 
   27       2.112386333678e-10       5.035820345451e-15       8.801447791116e-14       2.914044580830e-15       1.852376613409e-10       1.856712270295e-11      -1.148161837411e-14 
   28       2.126073451208e-10       5.504112499841e-15       8.513441805485e-14       3.094156501976e-15       1.730072452394e-10       1.741922484927e-11      -1.283738072163e-14 
   29       2.140154517545e-10       6.000225967796e-15       8.104067956411e-14       3.276811193468e-15       1.619154045095e-10       1.640135790848e-11      -1.332141226561e-14 
   30       2.154550528187e-10       6.525171159273e-15       7.564971533497e-14       3.461814561471e-15       1.518425108338e-10       1.547596575579e-11      -1.308462427671e-14 
   31       2.168990550457e-10       7.080006502219e-15       6.890087465706e-14       3.648977562527e-15       1.425825709613e-10       1.459823247084e-11      -1.233436472545e-14 
   32       2.183587082056e-10       7.665851953281e-15       6.083519118050e-14       3.838061328949e-15       1.340878562152e-10       1.377013525191e-11      -1.126060428044e-14 
   33       2.198428098498e-10       8.283885313735e-15       5.154986947055e-14       4.028811846267e-15       1.262986233787e-10       1.300530038229e-11      -1.009066758369e-14 
   34       2.213462872859e-10       8.935225816348e-15       4.114701309656e-14       4.220979191023e-15       1.191061885714e-10       1.231195132274e-11      -9.066197098591e-15 
   35       2.228706553199e-10       9.620532087501e-15       2.961667247414e-14       4.414335692816e-15       1.124737137739e-10       1.168363272512e-11      -8.281195825084e-15 
   36       2.244073777884e-10       1.034025387098e-14       1.691328050471e-14       4.608664498883e-15       1.063478344883e-10       1.110421326894e-11      -7.789066318281e-15 
   37       2.259408085685e-10       1.109478506768e-14       2.988738300688e-15       4.803744877985e-15       1.006486630125e-10       1.055545368039e-11      -7.621411927572e-15 
   38       2.274829766378e-10       1.188465486025e-14      -1.219767256669e-14       4.999317001379e-15       9.536145341321e-11       1.003688897187e-11      -7.706643708499e-15 
   39       2.290481904920e-10       1.271039055492e-14      -2.868667182614e-14       5.195105152856e-15       9.046945073172e-11       9.551929670477e-12      -7.922033946965e-15 
   40       2.306425244770e-10       1.357246160354e-14      -4.652208567505e-14       5.390826490009e-15       8.592601332881e-11       9.102316665221e-12      -8.112770016511e-15 
   41       2.322654001187e-10       1.447131625612e-14      -6.574990782327e-14       5.586198134371e-15       8.167086188501e-11       8.687910874396e-12      -8.132949395061e-15 
   42       2.339172101089e-10       1.540751488258e-14      -8.641426543794e-14       5.780962468917e-15       7.769145533757e-11       8.306398386320e-12      -7.989726209638e-15 
   43       2.355925931821e-10       1.638163374036e-14      -1.085607348205e-13       5.974869199708e-15       7.397720678840e-11       7.953196320111e-12      -7.742510493828e-15 
   44       2.372773733442e-10       1.739422736365e-14      -1.322377801726e-13       6.167668458735e-15       7.050106501781e-11       7.621307428309e-12      -7.464719975317e-15 
   45       2.389556778153e-10       1.844576094552e-14      -1.574853913647e-13       6.359106570093e-15       6.722917371292e-11       7.303383994180e-12      -7.228663675707e-15 
   46       2.406356367597e-10       1.953638573284e-14      -1.842963314764e-13       6.548911834688e-15       6.415638105911e-11       6.999071308811e-12      -7.052822554399e-15 
   47       2.423300614351e-10       2.066609478358e-14      -2.126437477824e-13       6.736804498927e-15       6.127911680685e-11       6.709559319742e-12      -6.940237888605e-15 
   48       2.440489207856e-10       2.183477904565e-14      -2.424913914036e-13       6.922500385709e-15       5.858468294073e-11       6.435486531251e-12      -6.893023781412e-15 
   49       2.457990281943e-10       2.304222252100e-14      -2.737932089205e-13       7.105710652375e-15       5.605057488313e-11       6.176892502852e-12      -6.912288859236e-15 
   50       2.475840746389e-10       2.428815600040e-14      -3.065048255733e-13       7.286154559728e-15       5.365125912276e-11       5.933359028107e-12      -6.996233042288e-15 
   51       2.494054655002e-10       2.557244668198e-14      -3.406226169432e-13       7.463602426746e-15       5.138224974892e-11       5.704589051731e-12      -7.134010484477e-15 
   52       2.512611694288e-10       2.689495166345e-14      -3.761545369161e-13       7.637843917035e-15       4.924139387923e-11       5.489902783741e-12      -7.310065447155e-15 
   53       2.531451018945e-10       2.825546183973e-14      -4.131093006600e-13       7.808676408269e-15       4.722166629860e-11       5.288025047204e-12      -7.505651344406e-15 
   54       2.550468282398e-10       2.965369982337e-14      -4.514965358420e-13       7.975905362418e-15       4.531084155344e-11       5.097046655808e-12      -7.698666561574e-15 
   55       2.569557997820e-10       3.108934445178e-14      -4.913259207292e-13       8.139346590068e-15       4.349522225099e-11       4.914949214813e-12      -7.869075346303e-15 
   56       2.588759747144e-10       3.256211620258e-14      -5.326040013288e-13       8.298832853899e-15       4.177265975556e-11       4.741420673709e-12      -8.017123592938e-15 
   57       2.608143092270e-10       3.407170935468e-14      -5.753368484260e-13       8.454209554144e-15       4.014219376012e-11       4.576423145610e-12      -8.149360673288e-15 
   58       2.627764249705e-10       3.561776623953e-14      -6.195311107395e-13       8.605333412603e-15       3.860011330455e-11       4.419652691683e-12      -8.273503089953e-15 
   59       2.647664887236e-10       3.719987619739e-14      -6.651941266663e-13       8.752072916667e-15       3.713978690392e-11       4.270522650287e-12      -8.398487895087e-15 
   60       2.667870920584e-10       3.881757453359e-14      -7.123340360275e-13       8.894308763353e-15       3.575149267665e-11       4.128146966113e-12      -8.534526109150e-15 
   61       2.688398918395e-10       4.047033137118e-14      -7.609553188872e-13       9.031931778385e-15       3.442511750471e-11       3.991603983309e-12      -8.690083049288e-15 
   62       2.709279719477e-10       4.215751764619e-14      -8.110439890640e-13       9.164835123106e-15       3.315934679047e-11       3.860834730937e-12      -8.861906420450e-15 
   63       2.730538005486e-10       4.387842959277e-14      -8.625792603131e-13       9.292921118304e-15       3.195424538641e-11       3.735917602200e-12      -9.042844528353e-15 
   64       2.752184217517e-10       4.563229683601e-14      -9.155377932935e-13       9.416103971506e-15       3.080849330533e-11       3.616798064633e-12      -9.224678643004e-15 
   65       2.774213594173e-10       4.741828102761e-14      -9.698936622172e-13       9.534310140891e-15       2.971930688079e-11       3.503280888147e-12      -9.398078910620e-15 
   66       2.796605209635e-10       4.923547448157e-14      -1.025618321500e-12       9.647478699207e-15       2.868235992755e-11       3.395022373080e-12      -9.552560265556e-15 
   67       2.819321011733e-10       5.108289880987e-14      -1.082680572410e-12       9.755561697685e-15       2.769170490202e-11       3.291522578241e-12      -9.676438342222e-15 
   68       2.842323202936e-10       5.295951263876e-14      -1.141049295534e-12       9.858515801331e-15       2.674136075964e-11       3.192265313257e-12      -9.759621919099e-15 
   69       2.865632623153e-10       5.486423962271e-14      -1.200702365654e-12       9.956274413165e-15       2.583062637000e-11       3.097188427583e-12      -9.802745846230e-15 
   70       2.889280523130e-10       5.679594368201e-14      -1.261619491645e-12       1.004877052942e-14       2.495970705546e-11       3.006295290392e-12      -9.809817990197e-15 
   71       2.913290784263e-10       5.875341931261e-14      -1.323779647207e-12       1.013594510656e-14       2.412810759090e-11       2.919511536521e-12      -9.785574387085e-15 
   72       2.937679425800e-10       6.073539045407e-14      -1.387161108253e-12       1.021774720194e-14       2.333459599071e-11       2.836681073656e-12      -9.735507699984e-15 
   73       2.962454112039e-10       6.274050935747e-14      -1.451741490292e-12       1.029413411452e-14       2.257716729570e-11       2.757562089521e-12      -9.665895676487e-15 
   74       2.987613659526e-10       6.476735545337e-14      -1.517497785819e-12       1.036507152547e-14       2.185300736012e-11       2.681823059058e-12      -9.583829606195e-15 
   75       3.013147544255e-10       6.681443421970e-14      -1.584406401701e-12       1.043053363893e-14       2.115845663862e-11       2.609038751616e-12      -9.497242778214e-15 
   76       3.039044402796e-10       6.888022352028e-14      -1.652442129394e-12       1.049050315210e-14       2.048991832553e-11       2.538795110408e-12      -9.413219836118e-15 
   77       3.065320414734e-10       7.096332487843e-14      -1.721574756166e-12       1.054497084836e-14       1.984685400983e-11       2.471034796987e-12      -9.332506011509e-15 
   78       3.091995224633e-10       7.306233786025e-14      -1.791771900964e-12       1.059393618519e-14       1.922927103853e-11       2.405767697088e-12      -9.254043672351e-15 
