# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.854585442204e-10       7.806894373283e-15       5.603665671692e-13       4.801786938469e-15       8.287668899696e-09       4.688832636261e-10      -2.069962567090e-12 
    3       2.442152983384e-10       1.011721700244e-14       4.540119149067e-13       4.836909854146e-15       5.159925520181e-09       3.331017844420e-10      -1.657326594537e-12 
    4       2.251777079699e-10       9.682013391317e-15       3.881848805596e-13       4.207434624986e-15       3.594452734716e-09       2.522989024460e-10      -1.177729793700e-12 
    5       2.145250422313e-10       7.469495154784e-15       3.248964403329e-13       3.296703379780e-15       2.683670032600e-09       1.993535041266e-10      -7.494955703662e-13 
    6       2.075463275893e-10       4.913154120991e-15       2.623285262241e-13       2.393078528713e-15       2.095238049531e-09       1.622697294405e-10      -4.080046809408e-13 
    7       2.029901337251e-10       2.947884664011e-15       2.058536153879e-13       1.655471651555e-15       1.689043080841e-09       1.350148566935e-10      -1.621219192319e-13 
    8       2.000076138711e-10       1.817776736654e-15       1.590668476971e-13       1.137032332602e-15       1.395541661722e-09       1.143034551331e-10      -5.638293157066e-15 
    9       1.981644693209e-10       1.330982903407e-15       1.236125618018e-13       8.259143736122e-16       1.175606790794e-09       9.820425034264e-11       7.615543361176e-14 
   10       1.971372052324e-10       1.186204572918e-15       9.941853687404e-14       6.802042746380e-16       1.005583777521e-09       8.542164179242e-11       1.021533072133e-13 
   11       1.966195347722e-10       1.169515581589e-15       8.518252384794e-14       6.517363007461e-16       8.459442450466e-10       7.527637199350e-11       9.186925823615e-14 
   12       1.965363256854e-10       1.193998878931e-15       7.874030117600e-14       6.985134856119e-16       7.391018060573e-10       6.665332846082e-11       6.312288625874e-14 
   13       1.967476976056e-10       1.250026928459e-15       7.762427178490e-14       7.898041769291e-16       6.514044411229e-10       5.939862456223e-11       2.907380206163e-14 
   14       1.971780493468e-10       1.346924608083e-15       7.954517945157e-14       9.054172186897e-16       5.784381765455e-10       5.331021704691e-11      -9.905397661701e-16 
   15       1.977981068306e-10       1.483632407313e-15       8.262931668214e-14       1.034154638692e-15       5.170283099036e-10       4.816511241555e-11      -2.218497958017e-14 
   16       1.985261534130e-10       1.649587661313e-15       8.570199400265e-14       1.170513832706e-15       4.648208290585e-10       4.373472482342e-11      -3.331117093308e-14 
   17       1.994144675872e-10       1.835874955848e-15       8.811853025401e-14       1.311721665657e-15       4.200372006568e-10       3.978708423689e-11      -3.583035916338e-14 
   18       2.003660606201e-10       2.040178631559e-15       8.961309018364e-14       1.457439084427e-15       3.811675429155e-10       3.635384209256e-11      -3.220161888756e-14 
   19       2.013981345093e-10       2.266418602172e-15       9.034908863936e-14       1.607449898759e-15       3.475975845228e-10       3.338948745750e-11      -2.498987254438e-14 
   20       2.024820199590e-10       2.519873907046e-15       9.065347178636e-14       1.761515409393e-15       3.180323782408e-10       3.072431167340e-11      -1.731416044296e-14 
   21       2.036285942785e-10       2.802287561664e-15       9.077253053116e-14       1.919535094139e-15       2.920073500135e-10       2.834895610486e-11      -1.085695721690e-14 
   22       2.048064169870e-10       3.113537135111e-15       9.090421458811e-14       2.081524028308e-15       2.688998556880e-10       2.626535347198e-11      -6.763903000018e-15 
   23       2.060342305793e-10       3.452413078671e-15       9.103544671500e-14       2.247383968624e-15       2.483917689124e-10       2.443551268068e-11      -5.096111233314e-15 
