# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 5000, i.e. number of multipoles equal to 4999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.854629352064e-10       7.807012055062e-15       5.603731468682e-13       4.801793415226e-15       8.287931809650e-09       4.689125707835e-10      -2.069993563696e-12 
    3       2.442195837288e-10       1.011750639470e-14       4.540259552452e-13       4.836922643083e-15       5.160096074388e-09       3.331219510632e-10      -1.657373407759e-12 
    4       2.251821391086e-10       9.682461772593e-15       3.882084609111e-13       4.207455959158e-15       3.594577484106e-09       2.523131751805e-10      -1.177780868184e-12 
    5       2.145296838769e-10       7.470035802062e-15       3.249305228021e-13       3.296735284640e-15       2.683764467009e-09       1.993638304413e-10      -7.495399027915e-13 
    6       2.075513582260e-10       4.913721092434e-15       2.623739396460e-13       2.393123338527e-15       2.095313206064e-09       1.622776316611e-10      -4.080369556959e-13 
    7       2.029956747138e-10       2.948442326158e-15       2.059099748103e-13       1.655531589478e-15       1.689107052099e-09       1.350213289692e-10      -1.621434485915e-13 
    8       2.000135988373e-10       1.818309552553e-15       1.591331304540e-13       1.137109548725e-15       1.395599129956e-09       1.143087791392e-10      -5.653073589834e-15 
    9       1.981708852127e-10       1.331477863412e-15       1.236880237036e-13       8.260115581721e-16       1.175659657602e-09       9.820844275538e-11       7.614467396455e-14 
   10       1.971437502384e-10       1.186654141986e-15       9.950023538145e-14       6.803228606500e-16       1.005633760733e-09       8.542506922345e-11       1.021455660444e-13 
   11       1.966260337212e-10       1.169919011139e-15       8.526319376223e-14       6.518802085234e-16       8.460141608651e-10       7.527863966090e-11       9.186575811264e-14 
   12       1.965425940118e-10       1.194367352262e-15       7.881139448707e-14       6.986826263191e-16       7.391649933207e-10       6.665578351003e-11       6.312135869906e-14 
   13       1.967531949597e-10       1.250369873638e-15       7.768068449239e-14       7.900042158266e-16       6.514619404284e-10       5.940097495640e-11       2.907243588648e-14 
   14       1.971825835600e-10       1.347259196104e-15       7.958655350123e-14       9.056463135678e-16       5.784911719998e-10       5.331225423338e-11      -9.923236437805e-16 
   15       1.978015866963e-10       1.483964183456e-15       8.265807314427e-14       1.034419754523e-15       5.170775715525e-10       4.816677811170e-11      -2.218710422610e-14 
   16       1.985290343255e-10       1.649927877253e-15       8.572046811274e-14       1.170812707256e-15       4.648667575033e-10       4.373615530827e-11      -3.331343776524e-14 
   17       1.994162091256e-10       1.836224070553e-15       8.812911446145e-14       1.312060292123e-15       4.200801690018e-10       3.978859114310e-11      -3.583249658346e-14 
   18       2.003670580924e-10       2.040540521787e-15       8.961785402131e-14       1.457818511980e-15       3.812080721562e-10       3.635551594471e-11      -3.220332275723e-14 
   19       2.013987293992e-10       2.266797815831e-15       9.034961084777e-14       1.607870253641e-15       3.476360842411e-10       3.339113598811e-11      -2.499098982359e-14 
   20       2.024819536935e-10       2.520272413892e-15       9.065067563288e-14       1.761979281938e-15       3.180690382792e-10       3.072554428540e-11      -1.731476094773e-14 
   21       2.036277920390e-10       2.802707300725e-15       9.076723608373e-14       1.920045253210e-15       2.920423364526e-10       2.834981187502e-11      -1.085716165086e-14 
   22       2.048051951655e-10       3.113980755305e-15       9.089725576051e-14       2.082082671676e-15       2.689333443780e-10       2.626642475463e-11      -6.763818137956e-15 
   23       2.060326888875e-10       3.452883409741e-15       9.102758273967e-14       2.247993260882e-15       2.484239223494e-10       2.443700181999e-11      -5.095824400886e-15 
   24       2.073033145689e-10       3.817612304369e-15       9.102708381184e-14       2.417670094346e-15       2.300393792201e-10       2.278425726801e-11      -5.393150810598e-15 
   25       2.086137088438e-10       4.208202426304e-15       9.069043174834e-14       2.590920799108e-15       2.135634580590e-10       2.126945602222e-11      -7.062357672124e-15 
   26       2.099359348357e-10       4.625134111197e-15       8.974944022592e-14       2.767532599469e-15       1.986981691703e-10       1.985818886545e-11      -9.331296591918e-15 
   27       2.112807303440e-10       5.068780050003e-15       8.795783075334e-14       2.947248792402e-15       1.852655244008e-10       1.856797832025e-11      -1.148132047021e-14 
   28       2.126518238947e-10       5.539495097059e-15       8.507248571149e-14       3.129810824758e-15       1.730342364564e-10       1.742012834600e-11      -1.283718154156e-14 
   29       2.140625387174e-10       6.038115962040e-15       8.097329746284e-14       3.314999314103e-15       1.619415942978e-10       1.640237158485e-11      -1.332127774029e-14 
   30       2.155048559174e-10       6.565651094785e-15       7.557653554408e-14       3.502620794177e-15       1.518679588309e-10       1.547708729487e-11      -1.308451892312e-14 
   31       2.169515568417e-10       7.123156805474e-15       6.882137950324e-14       3.692486934953e-15       1.426073190569e-10       1.459939501770e-11      -1.233425451000e-14 
   32       2.184138691181e-10       7.711751885687e-15       6.074893522568e-14       3.884358935519e-15       1.341119457583e-10       1.377127564382e-11      -1.126046453570e-14 
   33       2.199006020074e-10       8.332613217682e-15       5.145658189580e-14       4.077982670440e-15       1.263220957854e-10       1.300638516280e-11      -1.009048826692e-14 
   34       2.214066976084e-10       8.986859186506e-15       4.104660224867e-14       4.273108120825e-15       1.191290809770e-10       1.231297947719e-11      -9.065984633183e-15 
   35       2.229336789091e-10       9.675148029348e-15       2.950908342575e-14       4.469507546002e-15       1.124960616187e-10       1.168461623965e-11      -8.280966457793e-15 
   36       2.244730180738e-10       1.039792932238e-14       1.679844869839e-14       4.666964044323e-15       1.063696686686e-10       1.110517249759e-11      -7.788845239864e-15 
   37       2.260090837694e-10       1.115559670258e-14       2.866577401790e-15       4.865256862672e-15       1.006700074507e-10       1.055641556715e-11      -7.621230590289e-15 
   38       2.275539384779e-10       1.194867821211e-14      -1.232729570701e-14       5.064126200123e-15       9.538233202259e-11       1.003787478623e-11      -7.706522996583e-15 
   39       2.291219353750e-10       1.277769966068e-14      -2.882395518447e-14       5.263296405981e-15       9.048988751448e-11       9.552949597207e-12      -7.921976576708e-15 
   40       2.307192020188e-10       1.364312884637e-14      -4.666730797005e-14       5.462484737627e-15       8.594602962865e-11       9.103366960255e-12      -8.112756385208e-15 
   41       2.323452006920e-10       1.454541227140e-14      -6.590339952015e-14       5.661408470867e-15       8.169047502995e-11       8.688974671261e-12      -8.132940177421e-15 
   42       2.340002800422e-10       1.548510869711e-14      -8.657622494812e-14       5.859810260986e-15       7.771068261830e-11       8.307459334263e-12      -7.989688468699e-15 
   43       2.356789995745e-10       1.646279274107e-14      -1.087311508568e-13       6.057440165049e-15       7.399606540340e-11       7.954243252006e-12      -7.742427490743e-15 
   44       2.373670873502e-10       1.747901719878e-14      -1.324163936177e-13       6.254048731689e-15       7.051957037792e-11       7.622335625933e-12      -7.464594845783e-15 
   45       2.390485836784e-10       1.853424543215e-14      -1.576717118390e-13       6.449382599865e-15       6.724733870600e-11       7.304394854364e-12      -7.228518089234e-15 
   46       2.407316295892e-10       1.962862679268e-14      -1.844898424846e-13       6.643169713893e-15       6.417421887896e-11       7.000066461990e-12      -7.052678016466e-15 
   47       2.424290810950e-10       2.076215235388e-14      -2.128439760622e-13       6.835129697103e-15       6.129664103694e-11       6.710538767614e-12      -6.940109584030e-15 
   48       2.441509618933e-10       2.193471097912e-14      -2.426979254825e-13       7.024977632361e-15       5.860190654621e-11       6.436448296460e-12      -6.892919123727e-15 
   49       2.459041506742e-10       2.314608448331e-14      -2.740057188301e-13       7.212423813483e-15       5.606750912161e-11       6.177832258619e-12      -6.912205957869e-15 
   50       2.476923963074e-10       2.439600127101e-14      -3.067230338056e-13       7.397186652576e-15       5.366791316172e-11       5.934270531272e-12      -6.996161422515e-15 
   51       2.495170937089e-10       2.568432563973e-14      -3.408461048449e-13       7.579036109145e-15       5.139863281769e-11       5.705467289707e-12      -7.133939477219e-15 
   52       2.513761780659e-10       2.701091149759e-14      -3.763826729766e-13       7.757761619619e-15       4.925751543396e-11       5.490745109539e-12      -7.309986848755e-15 
   53       2.532635251538e-10       2.837554634094e-14      -4.133412136480e-13       7.933160333438e-15       4.723753541620e-11       5.288831573602e-12      -7.505559950454e-15 
   54       2.551686540728e-10       2.977794916794e-14      -4.517310867506e-13       8.105037483564e-15       4.532646628140e-11       5.097820668216e-12      -7.698560728428e-15 
   55       2.570809757525e-10       3.121779526336e-14      -4.915617135280e-13       8.273208645928e-15       4.351060940854e-11       4.915696870939e-12      -7.868956786913e-15 
   56       2.590044553944e-10       3.269480254324e-14      -5.328395241575e-13       8.437506326270e-15       4.178781632156e-11       4.742148313369e-12      -8.016994589433e-15 
   57       2.609460718153e-10       3.420866300550e-14      -5.755705146644e-13       8.597775658585e-15       4.015712699096e-11       4.577136429435e-12      -8.149223279578e-15 
   58       2.629114732710e-10       3.575901672100e-14      -6.197612632756e-13       8.753873093988e-15       3.861483036675e-11       4.420356410089e-12      -8.273359068342e-15 
   59       2.649048573011e-10       3.734545079403e-14      -6.654190425321e-13       8.905666844814e-15       3.715429448176e-11       4.271220522611e-12      -8.398338649665e-15 
   60       2.669288505738e-10       3.896749832278e-14      -7.125519314010e-13       9.053037328724e-15       3.576579655501e-11       4.128841429928e-12      -8.534372615972e-15 
   61       2.689851400257e-10       4.062462723706e-14      -7.611643424698e-13       9.195875189869e-15       3.443922249693e-11       3.992296214831e-12      -8.689925867726e-15 
   62       2.710768036515e-10       4.231620623550e-14      -8.112421767036e-13       9.334073838648e-15       3.317325784833e-11       3.861525441547e-12      -8.861745976659e-15 
   63       2.732062920483e-10       4.404152932310e-14      -8.627645202944e-13       9.467536017869e-15       3.196796775043e-11       3.736607216418e-12      -9.042681182267e-15 
   64       2.753746288774e-10       4.579982392558e-14      -9.157079028384e-13       9.596176437875e-15       3.082203229554e-11       3.617486670402e-12      -9.224512675803e-15 
   65       2.775813145468e-10       4.759024952858e-14      -9.700462639721e-13       9.719922143767e-15       2.973266767445e-11       3.503968184944e-12      -9.397910511658e-15 
   66       2.798242298944e-10       4.941189631698e-14      -1.025750920009e-12       9.838712882637e-15       2.869554732367e-11       3.395707617838e-12      -9.552389518743e-15 
   67       2.820995398704e-10       5.126378381418e-14      -1.082790530574e-12       9.952501470784e-15       2.770472307276e-11       3.292204529093e-12      -9.676265211879e-15 
   68       2.844034373282e-10       5.314486860600e-14      -1.141133834373e-12       1.006124535957e-14       2.675421323182e-11       3.192942339450e-12      -9.759446257891e-15 
   69       2.867379999956e-10       5.505407237140e-14      -1.200758574772e-12       1.016487852760e-14       2.584331678048e-11       3.097859161888e-12      -9.802567475795e-15 
   70       2.891063527046e-10       5.699025711317e-14      -1.261644331147e-12       1.026333452669e-14       2.497223926659e-11       3.006958845524e-12      -9.809636722913e-15 
   71       2.915108839167e-10       5.895221546770e-14      -1.323769946563e-12       1.035655491887e-14       2.414048556975e-11       2.920167565024e-12      -9.785390026546e-15 
   72       2.939531964675e-10       6.093866957658e-14      -1.387113565230e-12       1.044448941856e-14       2.334682368137e-11       2.837329829912e-12      -9.735320041510e-15 
   73       2.964340583109e-10       6.294826995825e-14      -1.451652669960e-12       1.052709603468e-14       2.258924848471e-11       2.758204493880e-12      -9.665704507685e-15 
   74       2.989533532640e-10       6.497959437961e-14      -1.517364119628e-12       1.060434121273e-14       2.186494553491e-11       2.682460764093e-12      -9.583634707547e-15 
   75       3.015100317510e-10       6.703114672764e-14      -1.584224186627e-12       1.067619997699e-14       2.117025483907e-11       2.609674210507e-12      -9.497043923712e-15 
   76       3.041029596902e-10       6.910140333662e-14      -1.652207521976e-12       1.074265577451e-14       2.050157914617e-11       2.539431404746e-12      -9.413016820149e-15 
   77       3.067337527479e-10       7.118896421718e-14      -1.721283749962e-12       1.080369966027e-14       1.985838010100e-11       2.471674687531e-12      -9.332298759944e-15 
   78       3.094043718383e-10       7.329242748267e-14      -1.791420317682e-12       1.085933122096e-14       1.924066518742e-11       2.406413313073e-12      -9.253832284926e-15 
   79       3.121162404922e-10       7.541034418733e-14      -1.862583527525e-12       1.090955899370e-14       1.864807510910e-11       2.343618662310e-12      -9.176380683338e-15 
   80       3.148702140189e-10       7.754121817105e-14      -1.934738552639e-12       1.095440060207e-14       1.807986693751e-11       2.283222479762e-12      -9.098521196318e-15 
   81       3.176665486676e-10       7.968350590405e-14      -2.007849452397e-12       1.099388289209e-14       1.753489725992e-11       2.225115110369e-12      -9.018638224391e-15 
   82       3.205048707891e-10       8.183561633170e-14      -2.081879187871e-12       1.102804206827e-14       1.701160532734e-11       2.169143736344e-12      -8.934916533955e-15 
   83       3.233841459972e-10       8.399591071919e-14      -2.156789637297e-12       1.105692382959e-14       1.650799620256e-11       2.115110614019e-12      -8.845334463771e-15 
   84       3.263033107701e-10       8.616270945824e-14      -2.232540815624e-12       1.108057862199e-14       1.602212552269e-11       2.062823611104e-12      -8.748242750932e-15 
   85       3.292633551101e-10       8.833431412379e-14      -2.309088350628e-12       1.109904619349e-14       1.555368303652e-11       2.012261306761e-12      -8.644226142391e-15 
   86       3.322655302090e-10       9.050898880614e-14      -2.386385614803e-12       1.111236871608e-14       1.510264190736e-11       1.963432156232e-12      -8.534539378527e-15 
   87       3.353106972922e-10       9.268495343649e-14      -2.464384486148e-12       1.112059549480e-14       1.466877214181e-11       1.916323752811e-12      -8.420552017025e-15 
   88       3.383993079129e-10       9.486038374862e-14      -2.543035350250e-12       1.112378302166e-14       1.425163216827e-11       1.870901943697e-12      -8.303751481697e-15 
   89       3.415313842475e-10       9.703341124070e-14      -2.622287102382e-12       1.112199502955e-14       1.385056041541e-11       1.827109945830e-12      -8.185746111326e-15 
   90       3.447064993907e-10       9.920212313699e-14      -2.702087149592e-12       1.111530254625e-14       1.346466689066e-11       1.784867461745e-12      -8.068268208486e-15 
   91       3.479237576504e-10       1.013645623496e-13      -2.782381412796e-12       1.110378394828e-14       1.309282475868e-11       1.744069795414e-12      -7.953177088385e-15 
   92       3.511817748424e-10       1.035187274402e-13      -2.863114328866e-12       1.108752501489e-14       1.273366191987e-11       1.704586968091e-12      -7.842462127687e-15 
   93       3.544792266409e-10       1.056626183995e-13      -2.944229977278e-12       1.106661510907e-14       1.238588647363e-11       1.666295534764e-12      -7.737841213047e-15 
   94       3.578166307679e-10       1.077943819440e-13      -3.025675649320e-12       1.104113494635e-14       1.204933739388e-11       1.629181427725e-12      -7.639480380371e-15 
   95       3.611947976595e-10       1.099121881028e-13      -3.107398822055e-12       1.101116707759e-14       1.172407703999e-11       1.593251017938e-12      -7.547086350169e-15 
