# dimensionless [l(l+1)/2pi] C_l's for scalar mode
# for l=2 to 5500, i.e. number of multipoles equal to 5499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.434943043979e-10       5.120291093349e-15       3.941760297831e-13       0.000000000000e+00       8.287931809650e-09       4.689125707835e-10      -2.069993563696e-12 
    3       1.352938619699e-10       7.273239688918e-15       4.621053155379e-13       0.000000000000e+00       5.160096074388e-09       3.331219510632e-10      -1.657373407759e-12 
    4       1.274945387714e-10       7.071793918888e-15       4.487968783329e-13       0.000000000000e+00       3.594577484106e-09       2.523131751805e-10      -1.177780868184e-12 
    5       1.215505744074e-10       5.382718417682e-15       3.964198664522e-13       0.000000000000e+00       2.683764467009e-09       1.993638304413e-10      -7.495399027915e-13 
    6       1.173523994286e-10       3.408456866229e-15       3.303417689288e-13       0.000000000000e+00       2.095313206064e-09       1.622776316611e-10      -4.080369556959e-13 
    7       1.145553258378e-10       1.922480284493e-15       2.662179883044e-13       0.000000000000e+00       1.689107052099e-09       1.350213289692e-10      -1.621434485915e-13 
    8       1.127617139929e-10       1.103050790803e-15       2.121796763569e-13       0.000000000000e+00       1.395599129956e-09       1.143087791392e-10      -5.653073589834e-15 
    9       1.117826106928e-10       7.634655824789e-16       1.715572315516e-13       0.000000000000e+00       1.175659657602e-09       9.820844275538e-11       7.614467396455e-14 
   10       1.114358189343e-10       6.419664349477e-16       1.446074660447e-13       0.000000000000e+00       1.005633760733e-09       8.542506922345e-11       1.021455660444e-13 
   11       1.114980630888e-10       5.700816986478e-16       1.297992209219e-13       0.000000000000e+00       8.460141608651e-10       7.527863966090e-11       9.186575811264e-14 
   12       1.119423045662e-10       4.966584491236e-16       1.245780399408e-13       0.000000000000e+00       7.391649933207e-10       6.665578351003e-11       6.312135869906e-14 
   13       1.126568822281e-10       4.344252928252e-16       1.260920929633e-13       0.000000000000e+00       6.514619404284e-10       5.940097495640e-11       2.907243588648e-14 
   14       1.135843116574e-10       4.033110266013e-16       1.317498379205e-13       0.000000000000e+00       5.784911719998e-10       5.331225423338e-11      -9.923236437805e-16 
   15       1.147065372740e-10       4.062686091778e-16       1.394615975231e-13       0.000000000000e+00       5.170775715525e-10       4.816677811170e-11      -2.218710422610e-14 
   16       1.159490048286e-10       4.334871512193e-16       1.478951924917e-13       0.000000000000e+00       4.648667575033e-10       4.373615530827e-11      -3.331343776524e-14 
   17       1.173666042555e-10       4.753018193649e-16       1.562928429397e-13       0.000000000000e+00       4.200801690018e-10       3.978859114310e-11      -3.583249658346e-14 
   18       1.188709987031e-10       5.295517925607e-16       1.643126327981e-13       0.000000000000e+00       3.812080721562e-10       3.635551594471e-11      -3.220332275723e-14 
   19       1.204620455976e-10       6.002829761076e-16       1.720701917522e-13       0.000000000000e+00       3.476360842411e-10       3.339113598811e-11      -2.499098982359e-14 
   20       1.221297451003e-10       6.927188958259e-16       1.798292435293e-13       0.000000000000e+00       3.180690382792e-10       3.072554428540e-11      -1.731476094773e-14 
   21       1.238746103386e-10       8.088060582964e-16       1.878027935305e-13       0.000000000000e+00       2.920423364526e-10       2.834981187502e-11      -1.085716165086e-14 
   22       1.256710346612e-10       9.486755242071e-16       1.961549841609e-13       0.000000000000e+00       2.689333443780e-10       2.626642475463e-11      -6.763818137956e-15 
   23       1.275300968518e-10       1.111260967998e-15       2.048390399084e-13       0.000000000000e+00       2.484239223494e-10       2.443700181999e-11      -5.095824400886e-15 
   24       1.294509104670e-10       1.294832299929e-15       2.136847183848e-13       0.000000000000e+00       2.300393792201e-10       2.278425726801e-11      -5.393150810598e-15 
   25       1.314241914729e-10       1.499483261154e-15       2.224565058312e-13       0.000000000000e+00       2.135634580590e-10       2.126945602222e-11      -7.062357672124e-15 
   26       1.334252966008e-10       1.725697747006e-15       2.308560265965e-13       0.000000000000e+00       1.986981691703e-10       1.985818886545e-11      -9.331296591918e-15 
   27       1.354625160248e-10       1.973745977278e-15       2.386112507707e-13       0.000000000000e+00       1.852655244008e-10       1.856797832025e-11      -1.148132047021e-14 
   28       1.375435866976e-10       2.243870208197e-15       2.454533394162e-13       0.000000000000e+00       1.730342364564e-10       1.742012834600e-11      -1.283718154156e-14 
   29       1.396739820057e-10       2.537086454120e-15       2.512391303617e-13       0.000000000000e+00       1.619415942978e-10       1.640237158485e-11      -1.332127774029e-14 
   30       1.418448020884e-10       2.854703859318e-15       2.558612797771e-13       0.000000000000e+00       1.518679588309e-10       1.547708729487e-11      -1.308451892312e-14 
   31       1.440369873240e-10       3.198111213937e-15       2.592345559978e-13       0.000000000000e+00       1.426073190569e-10       1.459939501770e-11      -1.233425451000e-14 
