# dimensionless [l(l+1)/2pi] C_l's for tensor mode
# for l=2 to 500, i.e. number of multipoles equal to 499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.419681433689e-10       2.686460155399e-15       1.661971211889e-13       4.801532608909e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    3       1.089247503916e-10       2.843744938245e-15      -8.079342025284e-15       4.836400875521e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    4       9.768598908796e-11       2.609797904994e-15      -6.058836501392e-14       4.206586010319e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    5       9.297670677008e-11       2.086011850191e-15      -7.148922449050e-14       3.295429749982e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    6       9.019561831591e-11       1.503435490079e-15      -6.796759551895e-14       2.391294601022e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    7       8.843593021698e-11       1.023522258217e-15      -6.030759976032e-14       1.653091802536e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    8       8.724625407972e-11       7.121198520371e-16      -5.304586742490e-14       1.133970631074e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    9       8.638130454070e-11       5.640859405475e-16      -4.786815895406e-14       8.220852011929e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   10       8.569950198756e-11       5.398854269902e-16      -4.510568371620e-14       6.755205481412e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   11       8.511796882536e-11       5.940704124012e-16      -4.453383191170e-14       6.461132482775e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   12       8.458860877325e-11       6.908885757547e-16      -4.576362881327e-14       6.918621923816e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   13       8.408285324420e-11       8.079819464151e-16      -4.840737465895e-14       7.820413998107e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   14       8.358293958183e-11       9.347543383535e-16      -5.215801548275e-14       8.964521829856e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   15       8.307775556837e-11       1.067181715009e-15      -5.679678101959e-14       1.023905415762e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   16       8.256069002732e-11       1.204518137620e-15      -6.216624705223e-14       1.158889370603e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   17       8.202813955829e-11       1.347502436115e-15      -6.815323870986e-14       1.298639336128e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   18       8.147239106145e-11       1.495983466663e-15      -7.468198067151e-14       1.442811545830e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   19       8.091073760981e-11       1.649836249179e-15      -8.170516265757e-14       1.591189166713e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   20       8.032391116498e-11       1.809114130790e-15      -8.916020363134e-14       1.743536300011e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   21       7.972246056680e-11       1.973614048375e-15      -9.701390874858e-14       1.899752964662e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   22       7.910094338503e-11       2.143083735275e-15      -1.052324462113e-13       2.059854062111e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   23       7.846680647720e-11       2.317380693762e-15      -1.137821832992e-13       2.223741714364e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
