# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.849709633879e-10       7.793549940175e-15       5.594074241770e-13       4.793510642863e-15       8.273662403511e-09       4.681045477728e-10      -2.066425657429e-12 
    3       2.437986452615e-10       1.010005592956e-14       4.532434399533e-13       4.828573958976e-15       5.151215188639e-09       3.325478246688e-10      -1.654516634253e-12 
    4       2.247939324242e-10       9.665753304659e-15       3.875391553535e-13       4.200185068220e-15       3.588391107517e-09       2.518783074145e-10      -1.175750589546e-12 
    5       2.141599056399e-10       7.457132032601e-15       3.243704033284e-13       3.291025300053e-15       2.679144401774e-09       1.990204243590e-10      -7.482478460193e-13 
    6       2.071936279057e-10       4.905212879675e-15       2.619216757519e-13       2.388959990036e-15       2.091703126078e-09       1.619981767732e-10      -4.073335897578e-13 
    7       2.026457423410e-10       2.943308954026e-15       2.055549831428e-13       1.652626788740e-15       1.686192926462e-09       1.347886023841e-10      -1.618639543185e-13 
    8       1.996687848218e-10       1.815109364673e-15       1.588587775972e-13       1.135083661034e-15       1.393187338877e-09       1.141116019505e-10      -5.643327383110e-15 
    9       1.978291907339e-10       1.329100381317e-15       1.234749673607e-13       8.245048291280e-16       1.173624430339e-09       9.803920736050e-11       7.601341882803e-14 
   10       1.968039743842e-10       1.184507026241e-15       9.932896437753e-14       6.790490422444e-16       1.003889111193e-09       8.527810005201e-11       1.019694820693e-13 
   11       1.962871468444e-10       1.167781099056e-15       8.511625896849e-14       6.506335921790e-16       8.445121084702e-10       7.514913634906e-11       9.170740007862e-14 
   12       1.962036241616e-10       1.192163243121e-15       7.867543788943e-14       6.973339069439e-16       7.378504803072e-10       6.654085439655e-11       6.301256759965e-14 
   13       1.964138620232e-10       1.248046619951e-15       7.754680494119e-14       7.884713073969e-16       6.503017210771e-10       5.929840149223e-11       2.902233816796e-14 
   14       1.968425652289e-10       1.344740300427e-15       7.944949716848e-14       9.038894433584e-16       5.774592296697e-10       5.322033753856e-11      -9.906258267767e-16 
   15       1.974605832951e-10       1.481183841594e-15       8.251549712874e-14       1.032409646291e-15       5.161534734097e-10       4.808400192461e-11      -2.214888079356e-14 
   16       1.981864743144e-10       1.646829279590e-15       8.557266666769e-14       1.168538795395e-15       4.640345877265e-10       4.366108930236e-11      -3.325599964286e-14 
   17       1.990724523200e-10       1.832774103932e-15       8.797718770587e-14       1.309508537119e-15       4.193271034551e-10       3.972007799648e-11      -3.577069528801e-14 
