# dimensionless [l(l+1)/2pi] C_l's for scalar mode
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.432469568053e-10       5.111465771605e-15       3.934966403087e-13       0.000000000000e+00       8.273662403511e-09       4.681045477728e-10      -2.066425657429e-12 
    3       1.350606397202e-10       7.260703011967e-15       4.613087930240e-13       0.000000000000e+00       5.151215188639e-09       3.325478246688e-10      -1.654516634253e-12 
    4       1.272747516750e-10       7.059603736393e-15       4.480231776389e-13       0.000000000000e+00       3.588391107517e-09       2.518783074145e-10      -1.175750589546e-12 
    5       1.213410811509e-10       5.373439918154e-15       3.957365233298e-13       0.000000000000e+00       2.679144401774e-09       1.990204243590e-10      -7.482478460193e-13 
    6       1.171501612712e-10       3.402581492243e-15       3.297723432426e-13       0.000000000000e+00       2.091703126078e-09       1.619981767732e-10      -4.073335897578e-13 
    7       1.143578569794e-10       1.919166370752e-15       2.657590385951e-13       0.000000000000e+00       1.686192926462e-09       1.347886023841e-10      -1.618639543185e-13 
    8       1.125673182429e-10       1.101149368015e-15       2.118138795856e-13       0.000000000000e+00       1.393187338877e-09       1.141116019505e-10      -5.643327383110e-15 
    9       1.115898497116e-10       7.621495125088e-16       1.712616517284e-13       0.000000000000e+00       1.173624430339e-09       9.803920736050e-11       7.601341882803e-14 
   10       1.112438080190e-10       6.408598406494e-16       1.443584304158e-13       0.000000000000e+00       1.003889111193e-09       8.527810005201e-11       1.019694820693e-13 
   11       1.113059458614e-10       5.690990407428e-16       1.295754953315e-13       0.000000000000e+00       8.445121084702e-10       7.514913634906e-11       9.170740007862e-14 
   12       1.117491996921e-10       4.958023124413e-16       1.243631668694e-13       0.000000000000e+00       7.378504803072e-10       6.654085439655e-11       6.301256759965e-14 
   13       1.124625508143e-10       4.336764164257e-16       1.258747402538e-13       0.000000000000e+00       6.503017210771e-10       5.929840149223e-11       2.902233816796e-14 
   14       1.133884416321e-10       4.026157959260e-16       1.315228366737e-13       0.000000000000e+00       5.774592296697e-10       5.322033753856e-11      -9.906258267767e-16 
   15       1.145088202622e-10       4.055683141590e-16       1.392210739369e-13       0.000000000000e+00       5.161534734097e-10       4.808400192461e-11      -2.214888079356e-14 
   16       1.157488494598e-10       4.327399364874e-16       1.476401663964e-13       0.000000000000e+00       4.640345877265e-10       4.366108930236e-11      -3.325599964286e-14 
   17       1.171643440835e-10       4.744824760349e-16       1.560233608368e-13       0.000000000000e+00       4.193271034551e-10       3.972007799648e-11      -3.577069528801e-14 
   18       1.186661665079e-10       5.286389628628e-16       1.640292195219e-13       0.000000000000e+00       3.805235854212e-10       3.629266505495e-11      -3.214780835907e-14 
   19       1.202541971566e-10       5.992482764991e-16       1.717733026892e-13       0.000000000000e+00       3.470107740807e-10       3.333338144904e-11      -2.494794300072e-14 
   20       1.219190085521e-10       6.915248275923e-16       1.795190261616e-13       0.000000000000e+00       3.174959073493e-10       3.067272709494e-11      -1.728491976563e-14 
