# dimensionless [l(l+1)/2pi] C_l's for tensor mode
# for l=2 to 500, i.e. number of multipoles equal to 499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.417235212459e-10       2.681829193036e-15       1.659107879315e-13       4.793255667366e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    3       1.087370383721e-10       2.838842833034e-15      -8.065334982621e-15       4.828063874776e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    4       9.751757647956e-11       2.605299136868e-15      -6.048397038667e-14       4.199334638572e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    5       9.281643222692e-11       2.082415937376e-15      -7.136600198472e-14       3.289749128958e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    6       9.004014071136e-11       1.500843878702e-15      -6.785043593492e-14       2.387172497552e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    7       8.828348602953e-11       1.021757952276e-15      -6.020364555712e-14       1.650242195394e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    8       8.709586053949e-11       7.108922404005e-16      -5.295442967755e-14       1.132015982250e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    9       8.623240177585e-11       5.631137745519e-16      -4.778564479016e-14       8.206678801288e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   10       8.555177437524e-11       5.389543442114e-16      -4.502793248335e-14       6.743564534428e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   11       8.497124365783e-11       5.930468883486e-16      -4.445705959071e-14       6.449988346158e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   12       8.444279596895e-11       6.896967126592e-16      -4.568473695909e-14       6.906703268869e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
