# Matter power spectrum P(k) at redshift z=0
# for k=1.03892e-05 to 104.924 h/Mpc,
# number of wavenumbers equal to 622
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.038922642939e-05       5.107910230528e+01 
       2.321812845909e-05       1.107073466875e+02 
       3.609173376214e-05       1.692191035313e+02 
       4.904439972694e-05       2.272714052818e+02 
       6.211104704304e-05       2.852332147363e+02 
       7.532746857735e-05       3.433781181485e+02 
       8.873064804491e-05       4.019381765550e+02 
       1.023590926816e-04       4.611258594376e+02 
       1.162531841578e-04       5.211452446611e+02 
       1.304555520066e-04       5.821987295831e+02 
       1.450114738457e-04       6.444916408102e+02 
       1.599693066204e-04       7.082357880043e+02 
       1.753809529236e-04       7.736524571346e+02 
       1.913023661048e-04       8.409751224225e+02 
       2.077940972509e-04       9.104520248832e+02 
       2.249218861033e-04       9.823487051895e+02 
       2.427572963948e-04       1.056950530189e+03 
       2.613783937365e-04       1.134565246557e+03 
       2.808704608154e-04       1.215525504389e+03 
       3.013267399410e-04       1.300191370822e+03 
       3.228491865615e-04       1.388952703549e+03 
       3.455492088575e-04       1.482231310338e+03 
       3.695483575494e-04       1.580482703234e+03 
       3.949789163640e-04       1.684197263329e+03 
       4.219843271948e-04       1.793900504023e+03 
       4.507193653101e-04       1.910152122929e+03 
       4.813499602484e-04       2.033543392364e+03 
       5.140525396193e-04       2.164692448674e+03 
       5.490127597170e-04       2.304236965328e+03 
       5.864234841228e-04       2.452823739458e+03 
       6.264818863381e-04       2.611094854358e+03 
       6.693855925968e-04       2.779670197421e+03 
       7.153278528513e-04       2.959126545194e+03 
       7.644918338936e-04       3.149973793448e+03 
       8.170442633386e-04       3.352629515488e+03 
       8.731288006755e-04       3.567393562703e+03 
       9.328596442615e-04       3.794424780679e+03 
       9.963159659542e-04       4.033722438991e+03 
       1.063537764581e-03       4.285114479211e+03 
       1.134523626239e-03       4.548254495898e+03 
       1.209230679194e-03       4.822628121197e+03 
       1.287576767919e-03       5.107568812785e+03 
       1.369444599257e-03       5.402265775992e+03 
       1.454687391959e-03       5.705811357611e+03 
       1.543135431684e-03       6.017264229230e+03 
       1.634602912099e-03       6.335620784041e+03 
       1.728894515478e-03       6.659867320643e+03 
       1.825811320550e-03       6.989004523406e+03 
       1.925155782887e-03       7.322066983112e+03 
       2.026735681319e-03       7.658138106518e+03 
       2.130367042364e-03       7.996360219307e+03 
       2.235876135455e-03       8.335941448906e+03 
       2.343100676636e-03       8.676157649345e+03 
       2.451890394377e-03       9.016352825681e+03 
       2.562107107073e-03       9.355937419955e+03 
       2.673624445823e-03       9.694384623704e+03 
       2.786327334635e-03       1.003122677045e+04 
       2.900111317649e-03       1.036605020745e+04 
