# PT power spectra for matter and bias tracers P(k), P_CTR(k) (for c_s^2 = 1 (Mpc/h)^2 ), Id2d2(k), Id2(k), IG2(k), Id2G2(k), IG2G2(k), IFG2(k) at redshift z=0
# for k=1.03892e-05 to 104.924 h/Mpc,
# number of wavenumbers equal to 622
#    1:k (h/Mpc)           2:P_lin + P_1loop (Mpc/h)^3     3:P_CTR (Mpc/h)^3        4:Id2d2 (Mpc/h)^3        5:Id2 (Mpc/h)^3          6:IG2 (Mpc/h)^3          7:Id2G2 (Mpc/h)^3        8:IG2G2 (Mpc/h)^3        9:IFG2 (Mpc/h)^3     
       1.038922642939e-05       5.107910219181e+01      -5.513275304322e-09      -5.107910230528e+01       0.000000000000e+00      -5.107910230528e+01      -5.107910230528e+01       5.107910230528e+01      -5.107910230528e+01 
       2.321812845909e-05       1.107073455087e+02      -5.968028136308e-08      -1.107073466875e+02       0.000000000000e+00      -1.107073466875e+02      -1.107073466875e+02       1.107073466875e+02      -1.107073466875e+02 
       3.609173376214e-05       1.692190997952e+02      -2.204270484192e-07      -1.692191035313e+02       0.000000000000e+00      -1.692191035313e+02      -1.692191035313e+02       1.692191035313e+02      -1.692191035313e+02 
       4.904439972694e-05       2.272713940345e+02      -5.466679893645e-07      -2.272714052818e+02       0.000000000000e+00      -2.272714052818e+02      -2.272714052818e+02       2.272714052818e+02      -2.272714052818e+02 
       6.211104704304e-05       2.852331935607e+02      -1.100367622893e-06      -2.852332147363e+02       0.000000000000e+00      -2.852332147363e+02      -2.852332147363e+02       2.852332147363e+02      -2.852332147363e+02 
       7.532746857735e-05       3.433780796236e+02      -1.948405591637e-06      -3.433781181485e+02       0.000000000000e+00      -3.433781181485e+02      -3.433781181485e+02       3.433781181485e+02      -3.433781181485e+02 
       8.873064804491e-05       4.019381125389e+02      -3.164510691726e-06      -4.019381765550e+02       0.000000000000e+00      -4.019381765550e+02      -4.019381765550e+02       4.019381765550e+02      -4.019381765550e+02 
       1.023590926816e-04       4.611257604589e+02      -4.831392640504e-06      -4.611258594376e+02       0.000000000000e+00      -4.611258594376e+02      -4.611258594376e+02       4.611258594376e+02      -4.611258594376e+02 
       1.162531841578e-04       5.211451013629e+02      -7.043175263880e-06      -5.211452446611e+02       0.000000000000e+00      -5.211452446611e+02      -5.211452446611e+02       5.211452446611e+02      -5.211452446611e+02 
       1.304555520066e-04       5.821985295729e+02      -9.908237163631e-06      -5.821987295831e+02       0.000000000000e+00      -5.821987295831e+02      -5.821987295831e+02       5.821987295831e+02      -5.821987295831e+02 
       1.450114738457e-04       6.444913623671e+02      -1.355258130813e-05      -6.444916408102e+02       0.000000000000e+00      -6.444916408102e+02      -6.444916408102e+02       6.444916408102e+02      -6.444916408102e+02 
       1.599693066204e-04       7.082354197947e+02      -1.812388089091e-05      -7.082357880043e+02       0.000000000000e+00      -7.082357880043e+02      -7.082357880043e+02       7.082357880043e+02      -7.082357880043e+02 
       1.753809529236e-04       7.736519688525e+02      -2.379637257006e-05      -7.736524571346e+02       0.000000000000e+00      -7.736524571346e+02      -7.736524571346e+02       7.736524571346e+02      -7.736524571346e+02 
       1.913023661048e-04       8.409744913892e+02      -3.077682628423e-05      -8.409751224225e+02       0.000000000000e+00      -8.409751224225e+02      -8.409751224225e+02       8.409751224225e+02      -8.409751224225e+02 
       2.077940972509e-04       9.104512219190e+02      -3.931185031007e-05      -9.104520248832e+02       0.000000000000e+00      -9.104520248832e+02      -9.104520248832e+02       9.104520248832e+02      -9.104520248832e+02 
       2.249218861033e-04       9.823476893018e+02      -4.969687915284e-05      -9.823487051895e+02       0.000000000000e+00      -9.823487051895e+02      -9.823487051895e+02       9.823487051895e+02      -9.823487051895e+02 
       2.427572963948e-04       1.056949255109e+03      -6.228726326410e-05      -1.056950530189e+03       0.000000000000e+00      -1.056950530189e+03      -1.056950530189e+03       1.056950530189e+03      -1.056950530189e+03 
       2.613783937365e-04       1.134563657177e+03      -7.751198298654e-05      -1.134565246557e+03       0.000000000000e+00      -1.134565246557e+03      -1.134565246557e+03       1.134565246557e+03      -1.134565246557e+03 
       2.808704608154e-04       1.215523536892e+03      -9.589063819582e-05      -1.215525504389e+03       0.000000000000e+00      -1.215525504389e+03      -1.215525504389e+03       1.215525504389e+03      -1.215525504389e+03 
       3.013267399410e-04       1.300188947856e+03      -1.180545210472e-04      -1.300191370822e+03       0.000000000000e+00      -1.300191370822e+03      -1.300191370822e+03       1.300191370822e+03      -1.300191370822e+03 
       3.228491865615e-04       1.388949732313e+03      -1.447727578654e-04      -1.388952703549e+03       0.000000000000e+00      -1.388952703549e+03      -1.388952703549e+03       1.388952703549e+03      -1.388952703549e+03 
       3.455492088575e-04       1.482227678474e+03      -1.769847248525e-04      -1.482231310338e+03       0.000000000000e+00      -1.482231310338e+03      -1.482231310338e+03       1.482231310338e+03      -1.482231310338e+03 
       3.695483575494e-04       1.580478274993e+03      -2.158401802854e-04      -1.580482703234e+03       0.000000000000e+00      -1.580482703234e+03      -1.580482703234e+03       1.580482703234e+03      -1.580482703234e+03 
       3.949789163640e-04       1.684191873999e+03      -2.627488229068e-04      -1.684197263329e+03       0.000000000000e+00      -1.684197263329e+03      -1.684197263329e+03       1.684197263329e+03      -1.684197263329e+03 
       4.219843271948e-04       1.793893953751e+03      -3.194412429746e-04      -1.793900504023e+03       0.000000000000e+00      -1.793900504023e+03      -1.793900504023e+03       1.793900504023e+03      -1.793900504023e+03 
       4.507193653101e-04       1.910144168289e+03      -3.880434732887e-04      -1.910152122929e+03       0.000000000000e+00      -1.910152122929e+03      -1.910152122929e+03       1.910152122929e+03      -1.910152122929e+03 
       4.813499602484e-04       2.033533736753e+03      -4.711674877067e-04      -2.033543392364e+03       0.000000000000e+00      -2.033543392364e+03      -2.033543392364e+03       2.033543392364e+03      -2.033543392364e+03 
       5.140525396193e-04       2.164680730203e+03      -5.720199942625e-04      -2.164692448674e+03       0.000000000000e+00      -2.164692448674e+03      -2.164692448674e+03       2.164692448674e+03      -2.164692448674e+03 
       5.490127597170e-04       2.304222741473e+03      -6.945315880662e-04      -2.304236965328e+03       0.000000000000e+00      -2.304236965328e+03      -2.304236965328e+03       2.304236965328e+03      -2.304236965328e+03 
       5.864234841228e-04       2.452806470908e+03      -8.435076645197e-04      -2.452823739458e+03       0.000000000000e+00      -2.452823739458e+03      -2.452823739458e+03       2.452823739458e+03      -2.452823739458e+03 
       6.264818863381e-04       2.611073881650e+03      -1.024801298713e-03      -2.611094854358e+03       0.000000000000e+00      -2.611094854358e+03      -2.611094854358e+03       2.611094854358e+03      -2.611094854358e+03 
       6.693855925968e-04       2.779644718125e+03      -1.245506413695e-03      -2.779670197421e+03       0.000000000000e+00      -2.779670197421e+03      -2.779670197421e+03       2.779670197421e+03      -2.779670197421e+03 
       7.153278528513e-04       2.959095583313e+03      -1.514167007585e-03      -2.959126545194e+03       0.000000000000e+00      -2.959126545194e+03      -2.959126545194e+03       2.959126545194e+03      -2.959126545194e+03 
