# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.842033759336e-10       7.780798996065e-15       5.606765431842e-13       4.782451445075e-15       8.322738166286e-09       4.599429470182e-10      -2.068992745376e-12 
    3       2.431755307988e-10       1.010963228996e-14       4.539413003362e-13       4.826041849839e-15       5.188119182281e-09       3.272374482932e-10      -1.658278489788e-12 
    4       2.243497919091e-10       9.704017462565e-15       3.879442103871e-13       4.206030875041e-15       3.614607624104e-09       2.480543830108e-10      -1.180849876758e-12 
    5       2.138582409521e-10       7.511206140710e-15       3.247017147100e-13       3.301924783643e-15       2.698911179772e-09       1.960700180065e-10      -7.539866594762e-13 
    6       2.069902094610e-10       4.956063170423e-15       2.622328611664e-13       2.401074777302e-15       2.107345149423e-09       1.596185754273e-10      -4.128673168629e-13 
    7       2.025147508998e-10       2.978685098366e-15       2.058665466503e-13       1.662916397113e-15       1.698665062317e-09       1.328466569389e-10      -1.664926466302e-13 
    8       1.996015889042e-10       1.833191155023e-15       1.591688763768e-13       1.141867222253e-15       1.403157100633e-09       1.125020884727e-10      -8.934247051993e-15 
    9       1.978066731849e-10       1.334953032020e-15       1.237648917789e-13       8.271867116092e-16       1.181799836180e-09       9.665940675683e-11       7.417468669347e-14 
   10       1.968054904344e-10       1.184186601370e-15       9.955332425749e-14       6.778697643970e-16       1.010857351815e-09       8.408184453011e-11       1.014165208298e-13 
   11       1.963465405494e-10       1.164916736951e-15       8.521436358828e-14       6.461134708396e-16       8.499550561675e-10       7.411517662196e-11       9.207908558788e-14 
   12       1.962457141364e-10       1.187435305138e-15       7.867745166590e-14       6.901903692568e-16       7.425704788751e-10       6.570228380608e-11       6.402234306672e-14 
   13       1.964818441033e-10       1.241061699085e-15       7.753667854246e-14       7.791115821670e-16       6.544282916757e-10       5.844186492181e-11       3.007684708813e-14 
   14       1.969416155488e-10       1.335032587855e-15       7.941971523979e-14       8.927825765326e-16       5.810988350287e-10       5.248421880728e-11      -1.739385580573e-17 
   15       1.975491968202e-10       1.469025289755e-15       8.250945706369e-14       1.019647771257e-15       5.193889809014e-10       4.749484102358e-11      -2.146187903510e-14 
   16       1.983200198521e-10       1.632540289935e-15       8.564036084824e-14       1.154148326360e-15       4.669284270894e-10       4.307387427532e-11      -3.311815506430e-14 
   17       1.991906668623e-10       1.816372976206e-15       8.807348667499e-14       1.293492967309e-15       4.219281901717e-10       3.917390620408e-11      -3.595659637208e-14 
   18       2.001248503095e-10       2.017959635052e-15       8.960298669789e-14       1.437242242830e-15       3.828725956357e-10       3.577234299478e-11      -3.256077686844e-14 
   19       2.011638394038e-10       2.241075723953e-15       9.038581612710e-14       1.585178924345e-15       3.491445401586e-10       3.283987274691e-11      -2.553194702440e-14 
   20       2.022651704329e-10       2.490917348910e-15       9.070336981068e-14       1.737096995377e-15       3.194412362268e-10       3.026792120992e-11      -1.792759936525e-14 
   21       2.034289680930e-10       2.769409364800e-15       9.079984456089e-14       1.892879007560e-15       2.932954985845e-10       2.798369119079e-11      -1.141254722230e-14 
   22       2.046141432416e-10       3.076703712054e-15       9.089191607643e-14       2.052505344536e-15       2.700817383427e-10       2.589683276601e-11      -7.146996413552e-15 
   23       2.058390314482e-10       3.411638598982e-15       9.099979020469e-14       2.215865211859e-15       2.494802514384e-10       2.402308489217e-11      -5.269891317328e-15 
   24       2.071010609743e-10       3.772363692095e-15       9.102657736418e-14       2.382845995206e-15       2.310139821304e-10       2.238262510202e-11      -5.411399719282e-15 
   25       2.084038229912e-10       4.158810585312e-15       9.075454641727e-14       2.553248318153e-15       2.144652175229e-10       2.093073241567e-11      -6.947713730930e-15 
   26       2.097256474720e-10       4.571331345211e-15       8.988616881356e-14       2.726869758808e-15       1.995341299067e-10       1.959083303872e-11      -9.058918001194e-15 
   27       2.110707631797e-10       5.010236853569e-15       8.815854602359e-14       2.903545299849e-15       1.860421407400e-10       1.835182913505e-11      -1.112532798518e-14 
   28       2.124334887619e-10       5.475854261849e-15       8.531967482750e-14       3.083121512361e-15       1.737573207113e-10       1.721449581304e-11      -1.259338403845e-14 
   29       2.138292920363e-10       5.969073082676e-15       8.126606049091e-14       3.265358433243e-15       1.626166207461e-10       1.617898107267e-11      -1.331867399766e-14 
   30       2.152571234983e-10       6.490997511552e-15       7.594348848558e-14       3.449988337339e-15       1.524996340604e-10       1.523558865908e-11      -1.329935294126e-14 
   31       2.166963496209e-10       7.042762667042e-15       6.931691928305e-14       3.636747103969e-15       1.431991983907e-10       1.436668780071e-11      -1.259482970197e-14 
   32       2.181557221771e-10       7.625391035874e-15       6.140870678011e-14       3.825399028316e-15       1.346673725927e-10       1.356861685798e-11      -1.142530187755e-14 
   33       2.196378379217e-10       8.239883691718e-15       5.227767999448e-14       4.015721867608e-15       1.268442386657e-10       1.283637470540e-11      -1.011979513107e-14 
   34       2.211326526606e-10       8.887214490260e-15       4.199044434061e-14       4.207490593663e-15       1.196207127021e-10       1.216021511719e-11      -9.021066280621e-15 
   35       2.226477947423e-10       9.568181741075e-15       3.054898157561e-14       4.400441488898e-15       1.129597510539e-10       1.153624489097e-11      -8.221224290991e-15 
   36       2.241856741765e-10       1.028349904052e-14       1.793849154002e-14       4.594295036205e-15       1.068076606390e-10       1.095858304595e-11      -7.735368957753e-15 
   37       2.257396979331e-10       1.103380430627e-14       4.140121046741e-15       4.788778151552e-15       1.010841107568e-10       1.041883919126e-11      -7.557794444222e-15 
   38       2.273143251941e-10       1.181957158823e-14      -1.089056284428e-14       4.983669830302e-15       9.577428578402e-11       9.915550877145e-12      -7.618884015784e-15 
   39       2.289094056925e-10       1.264116039487e-14      -2.720985571357e-14       5.178770945915e-15       9.086138215683e-11       9.447310153899e-12      -7.811345365064e-15 
   40       2.305133503937e-10       1.349883101379e-14      -4.488091402691e-14       5.373892804800e-15       8.629858620124e-11       9.009923584373e-12      -7.999298882081e-15 
   41       2.321109022440e-10       1.439283325992e-14      -6.396676322087e-14       5.568836775325e-15       8.202538371017e-11       8.597982840190e-12      -8.053000404286e-15 
   42       2.337122329887e-10       1.532372298677e-14      -8.450515693153e-14       5.763323761422e-15       7.802916751663e-11       8.210779923136e-12      -7.971184539664e-15 
   43       2.353313983449e-10       1.629213774354e-14      -1.065265331440e-13       5.957042776993e-15       7.429927883459e-11       7.847905485074e-12      -7.795341060517e-15 
   44       2.369777256022e-10       1.729871055087e-14      -1.300609646212e-13       6.149669105387e-15       7.080851793848e-11       7.507481789366e-12      -7.577125638936e-15 
   45       2.386560967551e-10       1.834399310688e-14      -1.551314444916e-13       6.340880013220e-15       6.752285265819e-11       7.186931182108e-12      -7.368763698861e-15 
   46       2.403691461497e-10       1.942819786535e-14      -1.817311864121e-13       6.530409480895e-15       6.443710742410e-11       6.885838319832e-12      -7.189390273091e-15 
   47       2.421148194788e-10       2.055137896637e-14      -2.098396556193e-13       6.718008400052e-15       6.154770435920e-11       6.603739460609e-12      -7.049694215814e-15 
   48       2.438851483915e-10       2.171349816039e-14      -2.394284500885e-13       6.903429544553e-15       5.884190063501e-11       6.339241178864e-12      -6.961283061429e-15 
   49       2.456657679772e-10       2.291442045061e-14      -2.704609789802e-13       7.086427680825e-15       5.629710687786e-11       6.089951505792e-12      -6.936710500549e-15 
   50       2.474420146101e-10       2.415394125019e-14      -3.029028716842e-13       7.266760970009e-15       5.388769100882e-11       5.853215204257e-12      -6.984988399983e-15 
   51       2.492202902276e-10       2.543188665403e-14      -3.367572818486e-13       7.444195367094e-15       5.160914829001e-11       5.628714635704e-12      -7.096622964724e-15 
   52       2.510116630861e-10       2.674803285215e-14      -3.720386104058e-13       7.618501606617e-15       4.945931378755e-11       5.416455841154e-12      -7.254564305244e-15 
   53       2.528256254955e-10       2.810207418717e-14      -4.087627915905e-13       7.789454182316e-15       4.743112882161e-11       5.215995827433e-12      -7.438186265585e-15 
   54       2.546699209674e-10       2.949362027973e-14      -4.469474763554e-13       7.956831518262e-15       4.551231162835e-11       5.026411549207e-12      -7.623101407320e-15 
   55       2.565502423467e-10       3.092224874423e-14      -4.866076858576e-13       8.120424598427e-15       4.368910218430e-11       4.846587911687e-12      -7.786865043325e-15 
   56       2.584696343760e-10       3.238768525703e-14      -5.277410872884e-13       8.280064973753e-15       4.195934056650e-11       4.676236620680e-12      -7.928170549334e-15 
   57       2.604286399523e-10       3.388966318597e-14      -5.703393815109e-13       8.435604012400e-15       4.032206067628e-11       4.515076106367e-12      -8.052098509725e-15 
   58       2.624252421344e-10       3.542787122585e-14      -6.143925192898e-13       8.586905540692e-15       3.877353383840e-11       4.362516494078e-12      -8.164688917515e-15 
   59       2.644546862644e-10       3.700195268966e-14      -6.598887082167e-13       8.733846343802e-15       3.730709819658e-11       4.217641015713e-12      -8.272985601810e-15 
   60       2.665093020900e-10       3.861150479987e-14      -7.068144196353e-13       8.876316666445e-15       3.591298810900e-11       4.079187421146e-12      -8.385080655261e-15 
   61       2.685814891467e-10       4.025605809967e-14      -7.551557569912e-13       9.014215814334e-15       3.458104544552e-11       3.945897091191e-12      -8.508076060683e-15 
   62       2.706738583699e-10       4.193501089009e-14      -8.049029041256e-13       9.147436672158e-15       3.330995059674e-11       3.817695999944e-12      -8.641333407595e-15 
   63       2.727910615880e-10       4.364767875190e-14      -8.560466922821e-13       9.275878583163e-15       3.209977015299e-11       3.694747052711e-12      -8.781780943882e-15 
   64       2.749367531607e-10       4.539331181402e-14      -9.085773759172e-13       9.399452280132e-15       3.094918024384e-11       3.577098990995e-12      -8.925841445573e-15 
   65       2.771135124680e-10       4.717109341389e-14      -9.624846828234e-13       9.518080230623e-15       2.985538737422e-11       3.464679470808e-12      -9.069410558594e-15 
   66       2.793227664008e-10       4.898013875801e-14      -1.017757864251e-12       9.631696982208e-15       2.881404926053e-11       3.357288140971e-12      -9.207835140531e-15 
   67       2.815647118496e-10       5.081949358238e-14      -1.074385745029e-12       9.740249507716e-15       2.781919566669e-11       3.254589721424e-12      -9.335891602390e-15 
   68       2.838392015635e-10       5.268813669412e-14      -1.132355079220e-12       9.843690150648e-15       2.686482245260e-11       3.156218690822e-12      -9.448682982159e-15 
   69       2.861487834202e-10       5.458499118871e-14      -1.191645118127e-12       9.941953029829e-15       2.595022574424e-11       3.062133453745e-12      -9.544589654198e-15 
   70       2.884961405784e-10       5.650891310967e-14      -1.252232026607e-12       1.003497345195e-14       2.507561135953e-11       2.972321832385e-12      -9.622880350532e-15 
   71       2.908831306747e-10       5.845868655053e-14      -1.314090486814e-12       1.012269504157e-14       2.424048150970e-11       2.886691812548e-12      -9.682848135981e-15 
   72       2.933107329520e-10       6.043302241453e-14      -1.377193704991e-12       1.020506989708e-14       2.344359842865e-11       2.805067476411e-12      -9.723812246892e-15 
   73       2.957789953872e-10       6.243055717432e-14      -1.441513418249e-12       1.028205874670e-14       2.268294800213e-11       2.727184935290e-12      -9.745119929879e-15 
   74       2.982869818203e-10       6.444985163175e-14      -1.507019901355e-12       1.035363110446e-14       2.195570339697e-11       2.652688262401e-12      -9.746148280553e-15 
   75       3.008327190819e-10       6.648938967755e-14      -1.573681973518e-12       1.041976542619e-14       2.125818869039e-11       2.581125425622e-12      -9.726306082265e-15 
   76       3.034142295514e-10       6.854763453463e-14      -1.641467388090e-12       1.048044774772e-14       2.058679111162e-11       2.512058136390e-12      -9.685318994379e-15 
   77       3.060329630842e-10       7.062321207046e-14      -1.710344068714e-12       1.053566696787e-14       1.994097021629e-11       2.445423513186e-12      -9.624141092168e-15 
   78       3.086908977629e-10       7.271475881454e-14      -1.780279111970e-12       1.058541898471e-14       1.932073392066e-11       2.381231286193e-12      -9.544213663507e-15 
   79       3.113894798695e-10       7.482086737988e-14      -1.851238438855e-12       1.062970825984e-14       1.872572192484e-11       2.319454028656e-12      -9.447204130990e-15 
   80       3.141295932706e-10       7.694008640141e-14      -1.923186809419e-12       1.066854794331e-14       1.815518879410e-11       2.260025425593e-12      -9.335013700981e-15 
   81       3.169115288039e-10       7.907092047452e-14      -1.996087837407e-12       1.070195999843e-14       1.760798704019e-11       2.202838542491e-12      -9.209785012665e-15 
   82       3.197349536640e-10       8.121183009348e-14      -2.069904004890e-12       1.072997532665e-14       1.708255020266e-11       2.147744094022e-12      -9.073909787091e-15 
   83       3.225988807879e-10       8.336123158996e-14      -2.144596676907e-12       1.075263389244e-14       1.657687593012e-11       2.094548712742e-12      -8.930036476221e-15 
   84       3.255022923234e-10       8.551749499932e-14      -2.220125769000e-12       1.076998092571e-14       1.608901255751e-11       2.043064704591e-12      -8.780848609583e-15 
   85       3.284461958477e-10       8.767893738796e-14      -2.296448654429e-12       1.078205453223e-14       1.561864857893e-11       1.993272584982e-12      -8.628340859476e-15 
   86       3.314318544820e-10       8.984382830184e-14      -2.373521101793e-12       1.078889624870e-14       1.516575688129e-11       1.945182438792e-12      -8.474436428856e-15 
   87       3.344601437848e-10       9.201039164538e-14      -2.451297614695e-12       1.079055484057e-14       1.473010634473e-11       1.898783976084e-12      -8.321209422496e-15 
   88       3.375315321312e-10       9.417680558505e-14      -2.529731440547e-12       1.078708636100e-14       1.431125338604e-11       1.854045666136e-12      -8.170888642205e-15 
   89       3.406460610916e-10       9.634120245312e-14      -2.608774579373e-12       1.077855420981e-14       1.390853350208e-11       1.810913871472e-12      -8.025861382060e-15 
   90       3.438033258107e-10       9.850166865119e-14      -2.688377792613e-12       1.076502919241e-14       1.352105281322e-11       1.769311981891e-12      -7.888677223626e-15 
   91       3.470024553863e-10       1.006562445539e-13      -2.768490611927e-12       1.074658957873e-14       1.314767960676e-11       1.729139548498e-12      -7.762051831187e-15 
   92       3.502420932481e-10       1.028029244127e-13      -2.849061347997e-12       1.072332116220e-14       1.278703588035e-11       1.690271417731e-12      -7.648870746970e-15 
   93       3.535209475348e-10       1.049397049814e-13      -2.930037504262e-12       1.069531303271e-14       1.243782420960e-11       1.652587825736e-12      -7.551445577354e-15 
   94       3.568395795314e-10       1.070647399685e-13      -3.011367070175e-12       1.066264404060e-14       1.209988295412e-11       1.616071739932e-12      -7.469146340143e-15 
   95       3.601988491870e-10       1.091762087448e-13      -3.092997439632e-12       1.062539439638e-14       1.177327485767e-11       1.580724624653e-12      -7.400418382215e-15 
   96       3.635993574448e-10       1.112722702555e-13      -3.174875037544e-12       1.058364977533e-14       1.145796206269e-11       1.546536350200e-12      -7.343491879347e-15 
   97       3.670414344451e-10       1.133510635927e-13      -3.256945334200e-12       1.053750131764e-14       1.115380225671e-11       1.513484751860e-12      -7.296375369138e-15 
   98       3.705251277286e-10       1.154107085679e-13      -3.339152859629e-12       1.048704562850e-14       1.086054481867e-11       1.481535188922e-12      -7.256849283927e-15 
   99       3.740501904394e-10       1.174493062847e-13      -3.421441217963e-12       1.043238477818e-14       1.057782696535e-11       1.450640103694e-12      -7.222459483711e-15 
  100       3.776160695281e-10       1.194649397108e-13      -3.503753101794e-12       1.037362630219e-14       1.030516989768e-11       1.420738580522e-12      -7.190510789066e-15 
  101       3.812218939553e-10       1.214556742507e-13      -3.586030306543e-12       1.031088320135e-14       1.004197494712e-11       1.391755904806e-12      -7.158060514066e-15 
  102       3.848664628944e-10       1.234195583181e-13      -3.668213744818e-12       1.024427394191e-14       9.787519722042e-12       1.363603122017e-12      -7.121911999206e-15 
  103       3.885482339348e-10       1.253546239085e-13      -3.750243460777e-12       1.017392245566e-14       9.540954254080e-12       1.336176596716e-12      -7.078608144318e-15 
  104       3.922657376669e-10       1.272589278759e-13      -3.832058841215e-12       1.009995358081e-14       9.301493657121e-12       1.309382478708e-12      -7.025219974274e-15 
  105       3.960189106279e-10       1.291306808809e-13      -3.913599250369e-12       1.002247868307e-14       9.069034044277e-12       1.283214815335e-12      -6.961847582997e-15 
  106       3.998079212628e-10       1.309681370104e-13      -3.994803508038e-12       9.941608083382e-15       8.843613015375e-12       1.257687218023e-12      -6.889446546797e-15 
  107       4.036327525968e-10       1.327695556351e-13      -4.075609716843e-12       9.857455394231e-15       8.625218900373e-12       1.232808732142e-12      -6.809065302479e-15 
  108       4.074931951237e-10       1.345332024305e-13      -4.155955278750e-12       9.770137469694e-15       8.413789065207e-12       1.208583669731e-12      -6.721847416895e-15 
