# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.842038653638e-10       7.781055708132e-15       5.606765391112e-13       4.782708157104e-15       8.322738166286e-09       4.599429470182e-10      -2.068992745376e-12 
    3       2.431765061075e-10       1.011014584861e-14       4.539412822038e-13       4.826555408122e-15       5.188119182281e-09       3.272374482932e-10      -1.658278489788e-12 
    4       2.243514096407e-10       9.704873686408e-15       3.879441583594e-13       4.206887097056e-15       3.614607624104e-09       2.480543830108e-10      -1.180849876758e-12 
    5       2.138606532167e-10       7.512491010690e-15       3.247015963944e-13       3.303209647378e-15       2.698911179772e-09       1.960700180065e-10      -7.539866594762e-13 
    6       2.069935630763e-10       4.957862856274e-15       2.622326290112e-13       2.402874446169e-15       2.107345149423e-09       1.596185754273e-10      -4.128673168629e-13 
    7       2.025191866857e-10       2.981085976341e-15       2.058661356671e-13       1.665317235710e-15       1.698665062317e-09       1.328466569389e-10      -1.664926466302e-13 
    8       1.996072411490e-10       1.836279815887e-15       1.591682022319e-13       1.144955802050e-15       1.403157100633e-09       1.125020884727e-10      -8.934247051993e-15 
    9       1.978136692935e-10       1.338816278595e-15       1.237638492803e-13       8.310498060984e-16       1.181799836180e-09       9.665940675683e-11       7.417468669347e-14 
   10       1.968139507645e-10       1.188911435298e-15       9.955178625591e-14       6.825943336832e-16       1.010857351815e-09       8.408184453011e-11       1.014165208298e-13 
   11       1.963565784333e-10       1.170590334708e-15       8.521218029309e-14       6.517866361254e-16       8.499550561675e-10       7.411517662196e-11       9.207908558788e-14 
   12       1.962574360805e-10       1.194144983695e-15       7.867445036847e-14       6.968993781021e-16       7.425704788751e-10       6.570228380608e-11       6.402234306672e-14 
   13       1.964953501509e-10       1.248894871977e-15       7.753266372602e-14       7.869437658146e-16       6.544282916757e-10       5.844186492181e-11       3.007684708813e-14 
   14       1.969569997862e-10       1.344076712730e-15       7.941446904590e-14       9.018253009372e-16       5.810988350287e-10       5.248421880728e-11      -1.739385580573e-17 
   15       1.975665480012e-10       1.479367808759e-15       8.250274007698e-14       1.029988383734e-15       5.193889809014e-10       4.749484102358e-11      -2.146187903510e-14 
