# dimensionless [l(l+1)/2pi] C_l's for tensor mode
# for l=2 to 500, i.e. number of multipoles equal to 499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.421814007049e-10       2.679760598536e-15       1.648993273405e-13       4.782451445075e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    3       1.090141369880e-10       2.845891803072e-15      -9.296826781127e-15       4.826041849839e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    4       9.773960834971e-11       2.619402352661e-15      -6.179109413829e-14       4.206030875041e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    5       9.301916818201e-11       2.099870249138e-15      -7.261221724325e-14       3.301924783643e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    6       9.023148879606e-11       1.517642141884e-15      -6.894831914448e-14       2.401074777302e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    7       8.846726677686e-11       1.035126491862e-15      -6.111216097019e-14       1.662916397113e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    8       8.727421458501e-11       7.196938697872e-16      -5.366518514063e-14       1.141867222253e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    9       8.640695084533e-11       5.676982131102e-16      -4.831246137386e-14       8.271867116092e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   10       8.572377779483e-11       5.403553484896e-16      -4.539803447392e-14       6.778697643970e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   11       8.514162109040e-11       5.925053576307e-16      -4.469827878212e-14       6.461134708396e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   12       8.461213048493e-11       6.880710512178e-16      -4.582470866102e-14       6.901903692568e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   13       8.410661567804e-11       8.045744805904e-16      -4.838661154704e-14       7.791115821670e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   14       8.360730851265e-11       9.308564817138e-16      -5.207090075765e-14       8.927825765326e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   15       8.310301500577e-11       1.062899450032e-15      -5.665297761192e-14       1.019647771257e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   16       8.258702846867e-11       1.199811312130e-15      -6.197254524031e-14       1.154148326360e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   17       8.205569366805e-11       1.342269126335e-15      -6.791708602688e-14       1.293492967309e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   18       8.150125920486e-11       1.490182230760e-15      -7.440574510468e-14       1.437242242830e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   19       8.094101898441e-11       1.643481151911e-15      -8.139085547548e-14       1.585178924345e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   20       8.035570338679e-11       1.802261012322e-15      -8.881096506379e-14       1.737096995377e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   21       7.975583479722e-11       1.966276981660e-15      -9.663082205838e-14       1.892879007560e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   22       7.913593504933e-11       2.135203842859e-15      -1.048137007398e-13       2.052505344536e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   23       7.850346855517e-11       2.308874984420e-15      -1.133274604099e-13       2.215865211859e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   24       7.785238900073e-11       2.487232485575e-15      -1.221357042203e-13       2.382845995206e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   25       7.718859420383e-11       2.670338016613e-15      -1.312080904994e-13       2.553248318153e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   26       7.650875510645e-11       2.858311865668e-15      -1.405132773000e-13       2.726869758808e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   27       7.581533557039e-11       3.051139303952e-15      -1.500250132849e-13       2.903545299849e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   28       7.510435482464e-11       3.248746231940e-15      -1.597172449002e-13       3.083121512361e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   29       7.438365605526e-11       3.450920570281e-15      -1.695668032060e-13       3.265358433243e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   30       7.365409758403e-11       3.657381929518e-15      -1.795500008881e-13       3.449988337339e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   31       7.290749737890e-11       3.867833725505e-15      -1.896424476581e-13       3.636747103969e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   32       7.214905351681e-11       4.082048867193e-15      -1.998234988914e-13       3.825399028316e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   33       7.138106147496e-11       4.299813696427e-15      -2.100734807086e-13       4.015721867608e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   34       7.059973818913e-11       4.520907089217e-15      -2.203728354269e-13       4.207490593663e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   35       6.980840670729e-11       4.745107751257e-15      -2.307030213318e-13       4.400441488898e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   36       6.900743146456e-11       4.972188296589e-15      -2.410460189705e-13       4.594295036205e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   37       6.819333570592e-11       5.201918469137e-15      -2.513835348860e-13       4.788778151552e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   38       6.737036296508e-11       5.434084980849e-15      -2.616948765743e-13       4.983669830302e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   39       6.654173457334e-11       5.668477692495e-15      -2.719584185361e-13       5.178770945915e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   40       6.570592808464e-11       5.904884117503e-15      -2.821521802964e-13       5.373892804800e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   41       6.485901177831e-11       6.143105917072e-15      -2.922577727221e-13       5.568836775325e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   42       6.400373959876e-11       6.383015170764e-15      -3.022737599339e-13       5.763323761422e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   43       6.314259252136e-11       6.624516194843e-15      -3.122066626142e-13       5.957042776993e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   44       6.227491954183e-11       6.867531481017e-15      -3.220676710640e-13       6.149669105387e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   45       6.139862369995e-11       7.111966936249e-15      -3.318655074162e-13       6.340880013220e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
