# PT power spectra for matter and bias tracers P(k), P_CTR(k) (for c_s^2 = 1 (Mpc/h)^2 ), Id2d2(k), Id2(k), IG2(k), Id2G2(k), IG2G2(k), IFG2(k) at redshift z=0
# for k=1.04732e-05 to 105.137 h/Mpc,
# number of wavenumbers equal to 621
#    1:k (h/Mpc)           2:P_lin + P_1loop (Mpc/h)^3     3:P_CTR (Mpc/h)^3        4:Id2d2 (Mpc/h)^3        5:Id2 (Mpc/h)^3          6:IG2 (Mpc/h)^3          7:Id2G2 (Mpc/h)^3        8:IG2G2 (Mpc/h)^3        9:IFG2 (Mpc/h)^3     
       1.047322304298e-05       5.003680424810e+01      -5.488457056804e-09      -5.003680436009e+01       0.000000000000e+00      -5.003680436009e+01      -5.003680436009e+01       5.003680436009e+01      -5.003680436009e+01 
       2.343189338109e-05       1.085642927334e+02      -5.960761941344e-08      -1.085642939205e+02       0.000000000000e+00      -1.085642939205e+02      -1.085642939205e+02       1.085642939205e+02      -1.085642939205e+02 
       3.643657839078e-05       1.659981794930e+02      -2.203832153165e-07      -1.659981831876e+02       0.000000000000e+00      -1.659981831876e+02      -1.659981831876e+02       1.659981831876e+02      -1.659981831876e+02 
       4.952269248234e-05       2.229870309196e+02      -5.468750676137e-07      -2.229870420625e+02       0.000000000000e+00      -2.229870420625e+02      -2.229870420625e+02       2.229870420625e+02      -2.229870420625e+02 
       6.272624189175e-05       2.798961137645e+02      -1.101274146112e-06      -2.798961347964e+02       0.000000000000e+00      -2.798961347964e+02      -2.798961347964e+02       2.798961347964e+02      -2.798961347964e+02 
       7.608414960894e-05       3.369970443599e+02      -1.950808001951e-06      -3.369970824690e+02       0.000000000000e+00      -3.369970824690e+02      -3.369970824690e+02       3.369970824690e+02      -3.369970824690e+02 
       8.963459080298e-05       3.945208108609e+02      -3.169722696421e-06      -3.945208747402e+02       0.000000000000e+00      -3.945208747402e+02      -3.945208747402e+02       3.945208747402e+02      -3.945208747402e+02 
       1.034173432557e-04       4.526793792437e+02      -4.841473507825e-06      -4.526794778336e+02       0.000000000000e+00      -4.526794778336e+02      -4.526794778336e+02       4.526794778336e+02      -4.526794778336e+02 
       1.174741573490e-04       5.116767573532e+02      -7.061232142782e-06      -5.116769002999e+02       0.000000000000e+00      -5.116769002999e+02      -5.116769002999e+02       5.116769002999e+02      -5.116769002999e+02 
       1.318491501861e-04       5.717156526168e+02      -9.938821935332e-06      -5.717158516531e+02       0.000000000000e+00      -5.717158516531e+02      -5.717158516531e+02       5.717158516531e+02      -5.717158516531e+02 
