# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.907308754753e-10       8.047287289059e-15       5.800951812685e-13       4.759174233784e-15       8.553190072248e-09       4.827383042335e-10      -2.174833589339e-12 
    3       2.493489549215e-10       1.044801896666e-14       4.777793032302e-13       4.799444784061e-15       5.311680878418e-09       3.424755656546e-10      -1.736058062403e-12 
    4       2.299301894082e-10       9.991470876891e-15       4.105905825483e-13       4.178046640151e-15       3.693990651282e-09       2.590961725598e-10      -1.231285001088e-12 
    5       2.189294983625e-10       7.696923683634e-15       3.440139769099e-13       3.275397516242e-15       2.754494903318e-09       2.045132630435e-10      -7.825618798638e-13 
    6       2.116778121927e-10       5.052202397329e-15       2.777493884160e-13       2.378342263888e-15       2.148336354545e-09       1.663188146164e-10      -4.257432957213e-13 
    7       2.069117657168e-10       3.022961753115e-15       2.179179117168e-13       1.645325534059e-15       1.730352220227e-09       1.382721846261e-10      -1.693596739100e-13 
    8       2.037654335043e-10       1.858031400229e-15       1.684251078401e-13       1.129634476294e-15       1.428579667049e-09       1.169754122464e-10      -6.455956656036e-15 
    9       2.017952978729e-10       1.356287520579e-15       1.309892216631e-13       8.198115263246e-16       1.202602683466e-09       1.004329966244e-10       7.859337089394e-14 
   10       2.006692763746e-10       1.205321669228e-15       1.054808426790e-13       6.743676524291e-16       1.028025939896e-09       8.730810181701e-11       1.056214703705e-13 
   11       2.000718058324e-10       1.184450566942e-15       9.047842685070e-14       6.454938244115e-16       8.647886246979e-10       7.693097550910e-11       9.501122544096e-14 
   12       1.999250022230e-10       1.204740590878e-15       8.367844828958e-14       6.914504526291e-16       7.552011110856e-10       6.808540389467e-11       6.525989528934e-14 
   13       2.000845262377e-10       1.256981670721e-15       8.248198750361e-14       7.816705237155e-16       6.652958284928e-10       6.064622423055e-11       3.003634217766e-14 
   14       2.004722331222e-10       1.351179878989e-15       8.449132670400e-14       8.960571452352e-16       5.905273120703e-10       5.440667155009e-11      -1.045677804538e-15 
   15       2.010578115832e-10       1.486352676185e-15       8.775038492185e-14       1.023459822577e-15       5.276279033578e-10       4.913768230268e-11      -2.294301497436e-14 
   16       2.017572153438e-10       1.651571719561e-15       9.103180475541e-14       1.158396677057e-15       4.741760084570e-10       4.460303515949e-11      -3.442992114740e-14 
   17       2.026234329860e-10       1.837561199892e-15       9.366138050626e-14       1.298101766966e-15       4.283426860234e-10       4.056252140166e-11      -3.702752227623e-14 
   18       2.035567147959e-10       2.041892049739e-15       9.535966049248e-14       1.442237154885e-15       3.885764065468e-10       3.704995972269e-11      -3.328122594394e-14 
   19       2.045742686430e-10       2.268578972520e-15       9.629253696636e-14       1.590586354231e-15       3.542440804580e-10       3.401877558259e-11      -2.584009503803e-14 
   20       2.056466831562e-10       2.523029976105e-15       9.679347907941e-14       1.742909857595e-15       3.240172666640e-10       3.129446159651e-11      -1.792317181623e-14 
   21       2.067847232857e-10       2.807025103748e-15       9.711448528997e-14       1.899106789082e-15       2.974182811358e-10       2.886716662233e-11      -1.126376324823e-14 
   22       2.079559736760e-10       3.120424244904e-15       9.745757730610e-14       2.059191882209e-15       2.738081824933e-10       2.673880639380e-11      -7.039943262997e-15 
   23       2.091794856746e-10       3.461967068043e-15       9.780810805210e-14       2.223066869971e-15       2.528601402098e-10       2.487043895020e-11      -5.313447151016e-15 
   24       2.104485799603e-10       3.829779843008e-15       9.802980882448e-14       2.390624741557e-15       2.340875522751e-10       2.318355231316e-11      -5.609579640134e-15 
   25       2.117595100782e-10       4.223882816771e-15       9.791042220241e-14       2.561673363120e-15       2.172683944569e-10       2.163805309146e-11      -7.317665852281e-15 
   26       2.130832737486e-10       4.644753900971e-15       9.717302194793e-14       2.736000423416e-15       2.020972974580e-10       2.019804012514e-11      -9.643539424390e-15 
   27       2.144306751054e-10       5.092760258823e-15       9.556415845388e-14       2.913350264723e-15       1.883917377080e-10       1.888157283602e-11      -1.184807272127e-14 
   28       2.158055126657e-10       5.568251308064e-15       9.283390769036e-14       3.093465421594e-15       1.759148562026e-10       1.771083300934e-11      -1.323677872693e-14 
   29       2.172213341323e-10       6.072079507170e-15       8.885913388146e-14       3.276126450844e-15       1.646021495828e-10       1.667325738628e-11      -1.373008627405e-14 
   30       2.186699582093e-10       6.605277253444e-15       8.355417601235e-14       3.461139299929e-15       1.543310650565e-10       1.573022446321e-11      -1.348352215510e-14 
   31       2.201236604340e-10       7.168926736285e-15       7.685684386157e-14       3.648314980356e-15       1.448908924727e-10       1.483570844459e-11      -1.271052927741e-14 
   32       2.215938491982e-10       7.764171165458e-15       6.880947282102e-14       3.837414668524e-15       1.362326281468e-10       1.399174199587e-11      -1.160607351695e-14 
   33       2.230894733247e-10       8.392212838156e-15       5.951207077090e-14       4.028184405295e-15       1.282950727918e-10       1.321236613187e-11      -1.040320766179e-14 
   34       2.246053625923e-10       9.054193956405e-15       4.906965315968e-14       4.220374330365e-15       1.209671028950e-10       1.250610685676e-11      -9.349634346509e-15 
   35       2.261430150311e-10       9.750782320870e-15       3.747227319074e-14       4.413756797089e-15       1.142109565373e-10       1.186634285339e-11      -8.541655823267e-15 
   36       2.276936864104e-10       1.048243088057e-14       2.467341365354e-14       4.608114972446e-15       1.079720426567e-10       1.127651946188e-11      -8.033912857885e-15 
   37       2.292413993234e-10       1.124953496819e-14       1.062392781806e-14       4.803228142935e-15       1.021687298041e-10       1.071793557771e-11      -7.858708724053e-15 
   38       2.307983677075e-10       1.205262733864e-14      -4.717755304997e-15       4.998836451514e-15       9.678586106358e-11       1.019010500485e-11      -7.942733012275e-15 
   39       2.323791373812e-10       1.289223820045e-14      -2.139324296393e-14       5.194664139984e-15       9.180625389382e-11       9.696525355584e-12      -8.160313845551e-15 
   40       2.339898813393e-10       1.376883809020e-14      -3.944738468184e-14       5.390428323709e-15       8.718226425831e-11       9.239001228353e-12      -8.352908339164e-15 
   41       2.356300009524e-10       1.468287568689e-14      -5.892716762054e-14       5.585846079611e-15       8.285235500338e-11       8.817418914300e-12      -8.371087349519e-15 
   42       2.372998547038e-10       1.563491526031e-14      -7.987707860622e-14       5.780659733285e-15       7.880367316464e-11       8.429407208035e-12      -8.222164880247e-15 
   43       2.389939362597e-10       1.662553752488e-14      -1.023428565460e-13       5.974618929845e-15       7.502537283550e-11       8.070268679211e-12      -7.966959927537e-15 
   44       2.406977683624e-10       1.765530091289e-14      -1.263731021788e-13       6.167473740975e-15       7.148983849377e-11       7.732841876153e-12      -7.680622724044e-15 
   45       2.423951532694e-10       1.872467266534e-14      -1.520078313000e-13       6.358970424776e-15       6.816252670164e-11       7.409611176681e-12      -7.437156291929e-15 
   46       2.440943480888e-10       1.983379987524e-14      -1.792394270937e-13       6.548837186722e-15       6.503814429978e-11       7.100212780153e-12      -7.255436581715e-15 
   47       2.458083872157e-10       2.098266830797e-14      -2.080404663254e-13       6.736794166825e-15       6.211301623607e-11       6.805866455793e-12      -7.138517210636e-15 
   48       2.475474210702e-10       2.217115960004e-14      -2.383740204392e-13       6.922557078032e-15       5.937417566383e-11       6.527233552966e-12      -7.088487855972e-15 
   49       2.493183981283e-10       2.339904635573e-14      -2.701932468756e-13       7.105836964813e-15       5.679867320463e-11       6.264368838185e-12      -7.106393215308e-15 
   50       2.511250870093e-10       2.466604725744e-14      -3.034530341370e-13       7.286352967695e-15       5.436047891086e-11       6.016859810317e-12      -7.190310385714e-15 
   51       2.529688874871e-10       2.597202140784e-14      -3.381496115494e-13       7.463875261546e-15       5.205499929140e-11       5.784400965213e-12      -7.329153774767e-15 
   52       2.548476899913e-10       2.731681826393e-14      -3.742909846896e-13       7.638193355118e-15       4.988002117388e-11       5.566292156041e-12      -7.507048520508e-15 
   53       2.567552599922e-10       2.870022020412e-14      -4.118859761280e-13       7.809104465616e-15       4.782837512220e-11       5.361226331724e-12      -7.704861376807e-15 
   54       2.586809360346e-10       3.012194044902e-14      -4.509443839808e-13       7.976413889341e-15       4.588760200285e-11       5.167250196455e-12      -7.900033010987e-15 
   55       2.606139448177e-10       3.158164733559e-14      -4.914760195003e-13       8.139937268704e-15       4.404374667945e-11       4.982300395269e-12      -8.072112334759e-15 
   56       2.625582935010e-10       3.307904896439e-14      -5.334871766408e-13       8.299507203688e-15       4.229460658266e-11       4.806058177485e-12      -8.221353675080e-15 
   57       2.645210480508e-10       3.461382593868e-14      -5.769835631743e-13       8.454968932015e-15       4.063919033424e-11       4.638486563524e-12      -8.354445795904e-15 
   58       2.665079209061e-10       3.618560582397e-14      -6.219714571909e-13       8.606179011512e-15       3.907371009737e-11       4.479278636743e-12      -8.479267905117e-15 
   59       2.685231488976e-10       3.779396209557e-14      -6.684578219780e-13       8.753005764633e-15       3.759140894022e-11       4.327840626038e-12      -8.604944109313e-15 
