# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.907313714142e-10       8.047543467914e-15       5.800951769957e-13       4.759430412603e-15       8.553190072248e-09       4.827383042335e-10      -2.174833589339e-12 
    3       2.493499431962e-10       1.044853146441e-14       4.777792842100e-13       4.799957281456e-15       5.311680878418e-09       3.424755656546e-10      -1.736058062403e-12 
    4       2.299318286368e-10       9.992325344514e-15       4.105905279787e-13       4.178901106044e-15       3.693990651282e-09       2.590961725598e-10      -1.231285001088e-12 
    5       2.189319426637e-10       7.698205941009e-15       3.440138528298e-13       3.276679767709e-15       2.754494903318e-09       2.045132630435e-10      -7.825618798638e-13 
    6       2.116812103140e-10       5.053998460631e-15       2.777491449868e-13       2.380138311137e-15       2.148336354545e-09       1.663188146164e-10      -4.257432957213e-13 
    7       2.069162603179e-10       3.025357853129e-15       2.179174808512e-13       1.647721596887e-15       1.730352220227e-09       1.382721846261e-10      -1.693596739100e-13 
    8       2.037711606129e-10       1.861113990482e-15       1.684244012220e-13       1.132716990078e-15       1.428579667049e-09       1.169754122464e-10      -6.455956656036e-15 
    9       2.018023865263e-10       1.360143274584e-15       1.309881291896e-13       8.236671370577e-16       1.202602683466e-09       1.004329966244e-10       7.859337089394e-14 
   10       2.006778484498e-10       1.210037466495e-15       1.054792313395e-13       6.790832007888e-16       1.028025939896e-09       8.730810181701e-11       1.056214703705e-13 
   11       2.000819760652e-10       1.190113467829e-15       9.047614004689e-14       6.511563193211e-16       8.647886246979e-10       7.693097550910e-11       9.501122544096e-14 
   12       1.999368784067e-10       1.211437800711e-15       8.367530558500e-14       6.981470352382e-16       7.552011110856e-10       6.808540389467e-11       6.525989528934e-14 
   13       2.000982095878e-10       1.264800494006e-15       8.247778478016e-14       7.894884231384e-16       6.652958284928e-10       6.064622423055e-11       3.003634217766e-14 
   14       2.004878187857e-10       1.360207664866e-15       8.448583669218e-14       9.050836277521e-16       5.905273120703e-10       5.440667155009e-11      -1.045677804538e-15 
   15       2.010753892683e-10       1.496676756555e-15       8.774335806293e-14       1.033782136290e-15       5.276279033578e-10       4.913768230268e-11      -2.294301497436e-14 
   16       2.017768700418e-10       1.663279341561e-15       9.102297034712e-14       1.170101994200e-15       4.741760084570e-10       4.460303515949e-11      -3.442992114740e-14 
   17       2.026452457539e-10       1.850739454543e-15       9.365044808025e-14       1.311277126172e-15       4.283426860234e-10       4.056252140166e-11      -3.702752227623e-14 
   18       2.035807635810e-10       2.056627797838e-15       9.534632139409e-14       1.456969404565e-15       3.885764065468e-10       3.704995972269e-11      -3.328122594394e-14 
   19       2.046006290284e-10       2.284958774889e-15       9.627646594237e-14       1.606962106266e-15       3.542440804580e-10       3.401877558259e-11      -2.584009503803e-14 
   20       2.056754292338e-10       2.541140016272e-15       9.677433620593e-14       1.761015434924e-15       3.240172666640e-10       3.129446159651e-11      -1.792317181623e-14 
   21       2.068159282414e-10       2.826951127183e-15       9.709191758788e-14       1.919028198343e-15       2.974182811358e-10       2.886716662233e-11      -1.126376324823e-14 
   22       2.079897105215e-10       3.142251489510e-15       9.743122073364e-14       2.081014778790e-15       2.738081824933e-10       2.673880639380e-11      -7.039943262997e-15 
   23       2.092158276169e-10       3.485780215786e-15       9.777758909486e-14       2.246876551364e-15       2.528601402098e-10       2.487043895020e-11      -5.313447151016e-15 
   24       2.104876009178e-10       3.855662962643e-15       9.799474647009e-14       2.416506133155e-15       2.340875522751e-10       2.318355231316e-11      -5.609579640134e-15 
   25       2.118012847484e-10       4.251919332642e-15       9.787042944195e-14       2.589711035380e-15       2.172683944569e-10       2.163805309146e-11      -7.317665852281e-15 
   26       2.131278778578e-10       4.675026550823e-15       9.712770769978e-14       2.766278599900e-15       2.020972974580e-10       2.019804012514e-11      -9.643539424390e-15 
   27       2.144781852493e-10       5.125351075133e-15       9.551312911933e-14       2.945952856724e-15       1.883917377080e-10       1.888157283602e-11      -1.184807272127e-14 
   28       2.158560062638e-10       5.603241592048e-15       9.277676906231e-14       3.128476056915e-15       1.759148562026e-10       1.771083300934e-11      -1.323677872693e-14 
   29       2.172748888371e-10       6.109549832516e-15       8.879549269220e-14       3.313628529172e-15       1.646021495828e-10       1.667325738628e-11      -1.373008627405e-14 
