# dimensionless [l(l+1)/2pi] C_l's for tensor mode
# for l=2 to 500, i.e. number of multipoles equal to 499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.404605628176e-10       2.664194285467e-15       1.638389428042e-13       4.759174233784e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    3       1.079603021184e-10       2.825111425070e-15      -8.383619676808e-15       4.799444784061e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    4       9.692954843492e-11       2.594900079911e-15      -6.034576452602e-14       4.178046640151e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    5       9.232902699936e-11       2.075462490353e-15      -7.112560422360e-14       3.275397516242e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    6       8.962262396570e-11       1.496803509669e-15      -6.761207955741e-14       2.378342263888e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    7       8.791860555488e-11       1.019797850111e-15      -5.999658636086e-14       1.645325534059e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    8       8.677295129131e-11       7.102295991779e-16      -5.278047905729e-14       1.129634476294e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    9       8.594435038668e-11       5.631780065610e-16      -4.763817879506e-14       8.198115263246e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   10       8.529353205289e-11       5.394028287197e-16      -4.489922365730e-14       6.743676524291e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   11       8.473903720256e-11       5.937103122354e-16      -4.434076332106e-14       6.454938244115e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   12       8.423368032092e-11       6.905117202321e-16      -4.557638857659e-14       6.914504526291e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   13       8.374950816252e-11       8.075461498799e-16      -4.822071202695e-14       7.816705237155e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   14       8.326919506848e-11       9.342495522967e-16      -5.196844202061e-14       8.960571452352e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   15       8.278195017335e-11       1.066619123196e-15      -5.660206333131e-14       1.023459822577e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   16       8.228140512513e-11       1.203900644234e-15      -6.196499207290e-14       1.158396677057e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   17       8.176414498600e-11       1.346839215190e-15      -6.794467101952e-14       1.298101766966e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   18       8.122264805600e-11       1.495277285596e-15      -7.446573229405e-14       1.442237154885e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   19       8.067420303250e-11       1.649088425285e-15      -8.148107494503e-14       1.590586354231e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   20       8.009977643771e-11       1.808327968592e-15      -8.892837517437e-14       1.742909857595e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   21       7.950993436444e-11       1.972793033909e-15      -9.677456125148e-14       1.899106789082e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   22       7.889934313603e-11       2.142230875718e-15      -1.049859184125e-13       2.059191882209e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   23       7.827546875565e-11       2.316498904225e-15      -1.135288874087e-13       2.223066869971e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   24       7.763233438831e-11       2.495524801349e-15      -1.223644296711e-13       2.390624741557e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   25       7.697587543715e-11       2.679250230205e-15      -1.314623922150e-13       2.561673363120e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   26       7.630286120715e-11       2.867671871436e-15      -1.407926183176e-13       2.736000423416e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   27       7.561576410638e-11       3.060891948034e-15      -1.503293708499e-13       2.913350264723e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   28       7.491063318972e-11       3.259022827903e-15      -1.600469428106e-13       3.093465421594e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   29       7.419530762111e-11       3.461886281600e-15      -1.699222797223e-13       3.276126450844e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   30       7.347069206559e-11       3.669183306424e-15      -1.799317718291e-13       3.461139299929e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   31       7.272869761368e-11       3.880583202883e-15      -1.900510177890e-13       3.648314980356e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   32       7.197451544391e-11       4.095794119211e-15      -2.002588015337e-13       3.837414668524e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   33       7.121043614667e-11       4.314514024501e-15      -2.105345987052e-13       4.028184405295e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   34       7.043270307925e-11       4.536435451430e-15      -2.208580526283e-13       4.220374330365e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   35       6.964464961817e-11       4.761333586028e-15      -2.312106378183e-13       4.413756797089e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   36       6.884667191594e-11       4.989008156553e-15      -2.415746783298e-13       4.608114972446e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   37       6.803534259692e-11       5.219264968999e-15      -2.519322990704e-13       4.803228142935e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   38       6.721490438382e-11       5.451931682655e-15      -2.622630887306e-13       4.998836451514e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   39       6.638857720447e-11       5.686847908408e-15      -2.725457197287e-13       5.194664139984e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   40       6.555485717068e-11       5.923861656707e-15      -2.827585896358e-13       5.390428323709e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   41       6.470984153878e-11       6.162824226545e-15      -2.928836218791e-13       5.585846079611e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   42       6.385628679797e-11       6.403571611285e-15      -3.029191214712e-13       5.780659733285e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   43       6.299667803369e-11       6.645937922058e-15      -3.128711283529e-13       5.974618929845e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   44       6.213038135379e-11       6.889760634796e-15      -3.227502618314e-13       6.167473740975e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   45       6.125532281951e-11       7.134868678542e-15      -3.325646426628e-13       6.358970424776e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
