# PT power spectra for matter and bias tracers P(k), P_CTR(k) (for c_s^2 = 1 (Mpc/h)^2 ), Id2d2(k), Id2(k), IG2(k), Id2G2(k), IG2G2(k), IFG2(k) at redshift z=0
# for k=1.03892e-05 to 104.924 h/Mpc,
# number of wavenumbers equal to 622
#    1:k (h/Mpc)           2:P_lin + P_1loop (Mpc/h)^3     3:P_CTR (Mpc/h)^3        4:Id2d2 (Mpc/h)^3        5:Id2 (Mpc/h)^3          6:IG2 (Mpc/h)^3          7:Id2G2 (Mpc/h)^3        8:IG2G2 (Mpc/h)^3        9:IFG2 (Mpc/h)^3     
       1.038922642939e-05       5.572377235984e+01      -6.014602544577e-09      -5.572377248406e+01       0.000000000000e+00      -5.572377248406e+01      -5.572377248406e+01       5.572377248406e+01      -5.572377248406e+01 
       2.321812845909e-05       1.198434530439e+02      -6.460538788355e-08      -1.198434543118e+02       0.000000000000e+00      -1.198434543118e+02      -1.198434543118e+02       1.198434543118e+02      -1.198434543118e+02 
       3.609173376214e-05       1.824082361665e+02      -2.376073931405e-07      -1.824082400186e+02       0.000000000000e+00      -1.824082400186e+02      -1.824082400186e+02       1.824082400186e+02      -1.824082400186e+02 
       4.904439972694e-05       2.442636060395e+02      -5.875402620693e-07      -2.442636181706e+02       0.000000000000e+00      -2.442636181706e+02      -2.442636181706e+02       2.442636181706e+02      -2.442636181706e+02 
       6.211104704304e-05       3.058632802212e+02      -1.179954012377e-06      -3.058633026853e+02       0.000000000000e+00      -3.058633026853e+02      -3.058633026853e+02       3.058633026853e+02      -3.058633026853e+02 
       7.532746857735e-05       3.675309535474e+02      -2.085454514334e-06      -3.675309946043e+02       0.000000000000e+00      -3.675309946043e+02      -3.675309946043e+02       3.675309946043e+02      -3.675309946043e+02 
       8.873064804491e-05       4.295329022653e+02      -3.381768040615e-06      -4.295329707057e+02       0.000000000000e+00      -4.295329707057e+02      -4.295329707057e+02       4.295329707057e+02      -4.295329707057e+02 
       1.023590926816e-04       4.921072306097e+02      -5.155997470246e-06      -4.921073365442e+02       0.000000000000e+00      -4.921073365442e+02      -4.921073365442e+02       4.921073365442e+02      -4.921073365442e+02 
       1.162531841578e-04       5.554785568170e+02      -7.507185285509e-06      -5.554787098292e+02       0.000000000000e+00      -5.554787098292e+02      -5.554787098292e+02       5.554787098292e+02      -5.554787098292e+02 
       1.304555520066e-04       6.198666025900e+02      -1.054929720989e-05      -6.198668156443e+02       0.000000000000e+00      -6.198668156443e+02      -6.198668156443e+02       6.198668156443e+02      -6.198668156443e+02 
       1.450114738457e-04       6.854919189110e+02      -1.441475483089e-05      -6.854922160823e+02       0.000000000000e+00      -6.854922160823e+02      -6.854922160823e+02       6.854922160823e+02      -6.854922160823e+02 
       1.599693066204e-04       7.525801891018e+02      -1.925867214097e-05      -7.525805809630e+02       0.000000000000e+00      -7.525805809630e+02      -7.525805809630e+02       7.525805809630e+02      -7.525805809630e+02 
       1.753809529236e-04       8.213656480885e+02      -2.526397373054e-05      -8.213661681655e+02       0.000000000000e+00      -8.213661681655e+02      -8.213661681655e+02       8.213661681655e+02      -8.213661681655e+02 
       1.913023661048e-04       8.920942129128e+02      -3.264763554504e-05      -8.920948843939e+02       0.000000000000e+00      -8.920948843939e+02      -8.920948843939e+02       8.920948843939e+02      -8.920948843939e+02 
       2.077940972509e-04       9.650262714045e+02      -4.166831519797e-05      -9.650271245995e+02       0.000000000000e+00      -9.650271245995e+02      -9.650271245995e+02       9.650271245995e+02      -9.650271245995e+02 
       2.249218861033e-04       1.040439428511e+03      -5.263573514634e-05      -1.040440507228e+03       0.000000000000e+00      -1.040440507228e+03      -1.040440507228e+03       1.040440507228e+03      -1.040440507228e+03 
       2.427572963948e-04       1.118631208278e+03      -6.592225368265e-05      -1.118632561707e+03       0.000000000000e+00      -1.118632561707e+03      -1.118632561707e+03       1.118632561707e+03      -1.118632561707e+03 
       2.613783937365e-04       1.199921726677e+03      -8.197716575033e-05      -1.199923413019e+03       0.000000000000e+00      -1.199923413019e+03      -1.199923413019e+03       1.199923413019e+03      -1.199923413019e+03 
       2.808704608154e-04       1.284656322661e+03      -1.013444097611e-04      -1.284658409103e+03       0.000000000000e+00      -1.284658409103e+03      -1.284658409103e+03       1.284658409103e+03      -1.284658409103e+03 
       3.013267399410e-04       1.373208149117e+03      -1.246845173763e-04      -1.373210717033e+03       0.000000000000e+00      -1.373210717033e+03      -1.373210717033e+03       1.373210717033e+03      -1.373210717033e+03 
       3.228491865615e-04       1.465980607155e+03      -1.528018273076e-04      -1.465983754152e+03       0.000000000000e+00      -1.465983754152e+03      -1.465983754152e+03       1.465983754152e+03      -1.465983754152e+03 
