# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.865917844306e-10       7.676516859129e-15       5.585189644760e-13       4.718584009220e-15       8.384106775164e-09       4.690004016062e-10      -2.049098234664e-12 
    3       2.443815428425e-10       9.938679836709e-15       4.498648314626e-13       4.752912892059e-15       5.165583456148e-09       3.331561683716e-10      -1.642151653088e-12 
    4       2.253554154861e-10       9.510045037156e-15       3.846359177230e-13       4.134279202218e-15       3.598981354190e-09       2.524250487921e-10      -1.166784831288e-12 
    5       2.147224684190e-10       7.336938475984e-15       3.219797135126e-13       3.239517036132e-15       2.688503688897e-09       1.994797776508e-10      -7.422318797841e-13 
    6       2.077461840237e-10       4.827135993896e-15       2.600543400510e-13       2.352101514912e-15       2.100673086258e-09       1.623992840728e-10      -4.038014929257e-13 
    7       2.031950804768e-10       2.899036896997e-15       2.042097553074e-13       1.628086132119e-15       1.694247294355e-09       1.351373823502e-10      -1.601457402802e-13 
    8       2.002152229968e-10       1.791398915654e-15       1.579949862651e-13       1.119696326772e-15       1.399292990995e-09       1.143999321437e-10      -5.113157872877e-15 
    9       1.983718848178e-10       1.315257156884e-15       1.230220186518e-13       8.151495171947e-16       1.177364147705e-09       9.826782597072e-11       7.586435980397e-14 
   10       1.973491617247e-10       1.174537784976e-15       9.914353925314e-14       6.732084832046e-16       1.005281021663e-09       8.546443622364e-11       1.015139406248e-13 
   11       1.968319484216e-10       1.159293775218e-15       8.506722652315e-14       6.465490263801e-16       8.455972249377e-10       7.532839763372e-11       9.120101682184e-14 
   12       1.967357083894e-10       1.184452073052e-15       7.871601925467e-14       6.938862590178e-16       7.388034184216e-10       6.671539689831e-11       6.265699576961e-14 
   13       1.969388797182e-10       1.240996937104e-15       7.763085722844e-14       7.848300284683e-16       6.511446434197e-10       5.941969896339e-11       2.884208869212e-14 
   14       1.973743280403e-10       1.337824464306e-15       7.954090696718e-14       8.999597665501e-16       5.782108682939e-10       5.334566919877e-11      -9.258457290844e-16 
   15       1.979826653212e-10       1.474369182544e-15       8.261198370037e-14       1.027800607427e-15       5.168289156537e-10       4.822571956928e-11      -2.188967915747e-14 
   16       1.987039506674e-10       1.639964910430e-15       8.565671018914e-14       1.163225771131e-15       4.646454243307e-10       4.377571700314e-11      -3.294469525085e-14 
   17       1.995952805972e-10       1.825900262350e-15       8.804560361433e-14       1.303518097854e-15       4.198814199302e-10       3.981554463473e-11      -3.544958029919e-14 
   18       2.005362626993e-10       2.029984426647e-15       8.957202913999e-14       1.448211943292e-15       3.810289514531e-10       3.636808438200e-11      -3.189325095160e-14 
   19       2.015530881216e-10       2.256008956930e-15       9.037124297027e-14       1.597128209120e-15       3.474739190806e-10       3.339791204102e-11      -2.481300019088e-14 
   20       2.026364443213e-10       2.509065225340e-15       9.070883140941e-14       1.750109155485e-15       3.179218995696e-10       3.075497355974e-11      -1.725305102493e-14 
   21       2.037850321547e-10       2.790889104217e-15       9.083252755303e-14       1.907000795904e-15       2.919084847166e-10       2.840127288024e-11      -1.085133839247e-14 
   22       2.049471905648e-10       3.101426080383e-15       9.096575034392e-14       2.067727446600e-15       2.688112697128e-10       2.629946048370e-11      -6.729141787226e-15 
   23       2.061528961422e-10       3.439524718066e-15       9.111317864643e-14       2.232220253858e-15       2.483123192671e-10       2.443612338703e-11      -4.991621617450e-15 
   24       2.074155877423e-10       3.803425142038e-15       9.115350013770e-14       2.400437338493e-15       2.299372374811e-10       2.277737380003e-11      -5.245779993302e-15 
   25       2.087286201136e-10       4.193091032730e-15       9.085363991152e-14       2.572180329355e-15       2.134697440124e-10       2.127910997853e-11      -6.910736565309e-15 
   26       2.100528658670e-10       4.608923462852e-15       8.990828289915e-14       2.747211229577e-15       1.986118420117e-10       1.988523455231e-11      -9.207106363964e-15 
   27       2.113944049459e-10       5.051411131089e-15       8.807305842241e-14       2.925283016694e-15       1.851857719700e-10       1.860351868545e-11      -1.140280894232e-14 
   28       2.127548999348e-10       5.521074367631e-15       8.512277508372e-14       3.106154519994e-15       1.729605773024e-10       1.745043117702e-11      -1.280535811732e-14 
   29       2.141499567154e-10       6.018746936437e-15       8.096109801437e-14       3.289597215019e-15       1.618735677977e-10       1.641834273613e-11      -1.332374629623e-14 
   30       2.155760129676e-10       6.545369203441e-15       7.553505903054e-14       3.475396710527e-15       1.518050650863e-10       1.547895600822e-11      -1.309448820150e-14 
   31       2.170102908362e-10       7.101922923563e-15       6.880920786587e-14       3.663343687771e-15       1.425490618301e-10       1.459657348607e-11      -1.231501197084e-14 
   32       2.184638031377e-10       7.689503421203e-15       6.079877254859e-14       3.853198489308e-15       1.340578665809e-10       1.377199270913e-11      -1.119634702906e-14 
   33       2.199433586313e-10       8.309278577209e-15       5.155161708901e-14       4.044713755380e-15       1.262718226587e-10       1.301363535537e-11      -1.000209797498e-14 
   34       2.214421133293e-10       8.962361426303e-15       4.112565132515e-14       4.237646783814e-15       1.190823506610e-10       1.232443206754e-11      -9.005344658287e-15 
   35       2.229629782967e-10       9.649422466123e-15       2.953381003226e-14       4.431770529242e-15       1.124526238979e-10       1.169751233680e-11      -8.278488984998e-15 
   36       2.245000852864e-10       1.037093262449e-14       1.678088113807e-14       4.626866921375e-15       1.063292719300e-10       1.111796179133e-11      -7.831001276580e-15 
   37       2.260398164035e-10       1.112731721726e-14       2.864960593357e-15       4.822714095572e-15       1.006324122195e-10       1.056878446827e-11      -7.654056420962e-15 
   38       2.275915786504e-10       1.191916169545e-14      -1.226806100044e-14       5.019051293526e-15       9.534730747941e-11       1.004967465777e-11      -7.686691362501e-15 
   39       2.291650418719e-10       1.274706583135e-14      -2.869488188256e-14       5.215602005733e-15       9.045722204665e-11       9.563874441404e-12      -7.836113998325e-15 
   40       2.307606156278e-10       1.361158484125e-14      -4.650375129784e-14       5.412082711496e-15       8.591554773754e-11       9.112923236548e-12      -7.984621113719e-15 
   41       2.323729514228e-10       1.451322256162e-14      -6.577988587732e-14       5.608210861830e-15       8.166204267500e-11       8.696537334695e-12      -8.019382547587e-15 
   42       2.340052359793e-10       1.545241546012e-14      -8.655386301165e-14       5.803733183280e-15       7.768416996750e-11       8.312624635748e-12      -7.937457579525e-15 
   43       2.356578597179e-10       1.642953841046e-14      -1.088379303743e-13       5.998405726954e-15       7.397134067599e-11       7.956978341139e-12      -7.772162207545e-15 
   44       2.373236290768e-10       1.744490490944e-14      -1.326398641752e-13       6.191986240441e-15       7.049650596204e-11       7.623052631679e-12      -7.565058297797e-15 
   45       2.389929469180e-10       1.849877010965e-14      -1.579612371334e-13       6.384227071031e-15       6.722581515999e-11       7.303914061502e-12      -7.359161283594e-15 
   46       2.406728393285e-10       1.959134866711e-14      -1.847920159363e-13       6.574851178381e-15       6.415412062001e-11       6.999197272394e-12      -7.174963802350e-15 
   47       2.423724341609e-10       2.072279669401e-14      -2.131140519410e-13       6.763569071084e-15       6.127785873013e-11       6.709935802249e-12      -7.028094383692e-15 
   48       2.440972312966e-10       2.189320311809e-14      -2.429022412960e-13       6.950085018640e-15       5.858434225959e-11       6.436570370132e-12      -6.936065174439e-15 
   49       2.458487456290e-10       2.310258679057e-14      -2.741242608181e-13       7.134096709502e-15       5.605108184291e-11       6.178898952589e-12      -6.918351852779e-15 
   50       2.476260519206e-10       2.435089207379e-14      -3.067507999237e-13       7.315311032424e-15       5.365255975604e-11       5.936267398148e-12      -6.989599012651e-15 
   51       2.494317420071e-10       2.563798090168e-14      -3.407901434039e-13       7.493497263849e-15       5.138429300968e-11       5.708318090365e-12      -7.136876638999e-15 
   52       2.512669674837e-10       2.696363356508e-14      -3.762625192009e-13       7.668447726556e-15       4.924412905432e-11       5.494358204752e-12      -7.336388296368e-15 
   53       2.531294179888e-10       2.832754715044e-14      -4.131906471508e-13       7.839963335079e-15       4.722504431709e-11       5.293099243437e-12      -7.559568278584e-15 
   54       2.550130536873e-10       2.972933257620e-14      -4.515999687936e-13       8.007854012505e-15       4.531481638198e-11       5.102618430932e-12      -7.772838015637e-15 
   55       2.569112092042e-10       3.116855613802e-14      -4.915124560333e-13       8.171940673485e-15       4.349975143438e-11       4.920888080991e-12      -7.945885729443e-15 
   56       2.588274212453e-10       3.264488301951e-14      -5.329257095322e-13       8.332060795318e-15       4.177770194762e-11       4.747606133649e-12      -8.079472077885e-15 
   57       2.607668222132e-10       3.415796424169e-14      -5.758290704382e-13       8.488064960887e-15       4.014770866717e-11       4.582752744524e-12      -8.184105357228e-15 
   58       2.627328712231e-10       3.570739407496e-14      -6.202095666841e-13       8.639815881114e-15       3.860606255227e-11       4.426046038772e-12      -8.272210003688e-15 
   59       2.647272179418e-10       3.729270880963e-14      -6.660518926225e-13       8.787188872772e-15       3.714613495343e-11       4.276925635587e-12      -8.358215074964e-15 
   60       2.667495664258e-10       3.891338552641e-14      -7.133383886606e-13       8.930072336299e-15       3.575820779002e-11       4.134536172707e-12      -8.458642731755e-15 
   61       2.687990080050e-10       4.056884976753e-14      -7.620509163312e-13       9.068363049835e-15       3.443217187641e-11       3.997983102263e-12      -8.587760651529e-15 
   62       2.708786775824e-10       4.225850334361e-14      -8.121770214021e-13       9.201949736030e-15       3.316671384667e-11       3.867204444743e-12      -8.743198748017e-15 
   63       2.729919056265e-10       4.398170061498e-14      -8.637051242996e-13       9.330726637729e-15       3.196189936538e-11       3.742266364017e-12      -8.917246289301e-15 
   64       2.751407535751e-10       4.573773921354e-14      -9.166227857321e-13       9.454598683397e-15       3.081640968576e-11       3.623100481365e-12      -9.100951841987e-15 
   65       2.773259242860e-10       4.752585909568e-14      -9.709167464646e-13       9.573481800454e-15       2.972746283145e-11       3.509496038950e-12      -9.284070999655e-15 
