# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.865922712821e-10       7.676774747644e-15       5.585189603978e-13       4.718841897700e-15       8.384106775164e-09       4.690004016062e-10      -2.049098234664e-12 
    3       2.443825130280e-10       9.939195745790e-15       4.498648133080e-13       4.753428800791e-15       5.165583456148e-09       3.331561683716e-10      -1.642151653088e-12 
    4       2.253570247535e-10       9.510905172943e-15       3.846358656340e-13       4.135139336296e-15       3.598981354190e-09       2.524250487921e-10      -1.166784831288e-12 
    5       2.147248681236e-10       7.338229203844e-15       3.219795950651e-13       3.240807758156e-15       2.688503688897e-09       1.994797776508e-10      -7.422318797841e-13 
    6       2.077495202775e-10       4.828943864228e-15       2.600541076538e-13       2.353909369382e-15       2.100673086258e-09       1.623992840728e-10      -4.038014929257e-13 
    7       2.031994934484e-10       2.901448662431e-15       2.042093439306e-13       1.630497860802e-15       1.694247294355e-09       1.351373823502e-10      -1.601457402802e-13 
    8       2.002208463812e-10       1.794501538628e-15       1.579943115385e-13       1.122798874151e-15       1.399292990995e-09       1.143999321437e-10      -5.113157872877e-15 
    9       1.983788454858e-10       1.319137806904e-15       1.230209753640e-13       8.190300255396e-16       1.177364147705e-09       9.826782597072e-11       7.586435980397e-14 
   10       1.973575795576e-10       1.179283825242e-15       9.914200026510e-14       6.779542772480e-16       1.005281021663e-09       8.546443622364e-11       1.015139406248e-13 
   11       1.968419363304e-10       1.164992738656e-15       8.506504210043e-14       6.522475880465e-16       8.455972249377e-10       7.532839763372e-11       9.120101682184e-14 
   12       1.967473725087e-10       1.191191628161e-15       7.871301680846e-14       7.006251930780e-16       7.388034184216e-10       6.671539689831e-11       6.265699576961e-14 
   13       1.969523197621e-10       1.248864844373e-15       7.762684144421e-14       7.926970203953e-16       6.511446434197e-10       5.941969896339e-11       2.884208869212e-14 
   14       1.973896378002e-10       1.346908524281e-15       7.953566029033e-14       9.090425341918e-16       5.782108682939e-10       5.334566919877e-11      -9.258457290844e-16 
   15       1.979999332806e-10       1.484757176884e-15       8.260526713982e-14       1.038186848389e-15       5.168289156537e-10       4.822571956928e-11      -2.188967915747e-14 
   16       1.987232607065e-10       1.651744537521e-15       8.564826439402e-14       1.175003107953e-15       4.646454243307e-10       4.377571700314e-11      -3.294469525085e-14 
   17       1.996167127567e-10       1.839159069206e-15       8.803515017519e-14       1.316774023167e-15       4.198814199302e-10       3.981554463473e-11      -3.544958029919e-14 
