# dimensionless [l(l+1)/2pi] C_l's for tensor mode
# for l=2 to 500, i.e. number of multipoles equal to 499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.430157501474e-10       2.641852313989e-15       1.672133562356e-13       4.718584009220e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    3       1.089991776654e-10       2.794513224737e-15      -7.991298777470e-15       4.752912892059e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    4       9.777061875546e-11       2.564897962853e-15      -6.007942323124e-14       4.134279202218e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    5       9.307689284986e-11       2.050933471028e-15      -7.092806037197e-14       3.239517036132e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    6       9.029504051368e-11       1.479639524116e-15      -6.747071173911e-14       2.352101514912e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    7       8.854013092479e-11       1.009636393622e-15      -5.991642526241e-14       1.628086132119e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    8       8.735395110412e-11       7.054358923916e-16      -5.276228605960e-14       1.119696326772e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    9       8.649165587088e-11       5.619735775448e-16      -4.767273380700e-14       8.151495171947e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   10       8.581177243134e-11       5.403437353576e-16      -4.498425279285e-14       6.732084832046e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   11       8.523134810664e-11       5.958042764107e-16      -4.447013759442e-14       6.465490263801e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   12       8.470236503285e-11       6.932170814129e-16      -4.574460752860e-14       6.938862590178e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   13       8.419649519307e-11       8.108422196516e-16      -4.842854070461e-14       7.848300284683e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   14       8.369621979217e-11       9.378625866899e-16      -5.221224456940e-14       8.999597665501e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
