# PT power spectra for matter and bias tracers P(k), P_CTR(k) (for c_s^2 = 1 (Mpc/h)^2 ), Id2d2(k), Id2(k), IG2(k), Id2G2(k), IG2G2(k), IFG2(k) at redshift z=0
# for k=1.03828e-05 to 104.74 h/Mpc,
# number of wavenumbers equal to 622
#    1:k (h/Mpc)           2:P_lin + P_1loop (Mpc/h)^3     3:P_CTR (Mpc/h)^3        4:Id2d2 (Mpc/h)^3        5:Id2 (Mpc/h)^3          6:IG2 (Mpc/h)^3          7:Id2G2 (Mpc/h)^3        8:IG2G2 (Mpc/h)^3        9:IFG2 (Mpc/h)^3     
       1.038280408088e-05       5.125946556356e+01      -5.525904729700e-09      -5.125946567781e+01       0.000000000000e+00      -5.125946567781e+01      -5.125946567781e+01       5.125946567781e+01      -5.125946567781e+01 
       2.319621331819e-05       1.110634127467e+02      -5.975925949440e-08      -1.110634139282e+02       0.000000000000e+00      -1.110634139282e+02      -1.110634139282e+02       1.110634139282e+02      -1.110634139282e+02 
       3.605418047140e-05       1.697475873711e+02      -2.206555634161e-07      -1.697475911388e+02       0.000000000000e+00      -1.697475911388e+02      -1.697475911388e+02       1.697475911388e+02      -1.697475911388e+02 
       4.899093821692e-05       2.279703343647e+02      -5.471543685260e-07      -2.279703456718e+02       0.000000000000e+00      -2.279703456718e+02      -2.279703456718e+02       2.279703456718e+02      -2.279703456718e+02 
       6.204127928559e-05       2.861012922581e+02      -1.101238398270e-06      -2.861013135682e+02       0.000000000000e+00      -2.861013135682e+02      -2.861013135682e+02       2.861013135682e+02      -2.861013135682e+02 
       7.524086346702e-05       3.444144452077e+02      -1.949795006370e-06      -3.444144839496e+02       0.000000000000e+00      -3.444144839496e+02      -3.444144839496e+02       3.444144839496e+02      -3.444144839496e+02 
       8.862653432867e-05       4.031421447540e+02      -3.166546046466e-06      -4.031422090695e+02       0.000000000000e+00      -4.031422090695e+02      -4.031422090695e+02       4.031422090695e+02      -4.031422090695e+02 
       1.022366498216e-04       4.624970612581e+02      -4.834174141717e-06      -4.624971607008e+02       0.000000000000e+00      -4.624971607008e+02      -4.624971607008e+02       4.624971607008e+02      -4.624971607008e+02 
       1.161114309768e-04       5.226834234659e+02      -7.046749022346e-06      -5.226835674377e+02       0.000000000000e+00      -5.226835674377e+02      -5.226835674377e+02       5.226835674377e+02      -5.226835674377e+02 
       1.302933329302e-04       5.839037256603e+02      -9.912559090997e-06      -5.839039266563e+02       0.000000000000e+00      -5.839039266563e+02      -5.839039266563e+02       5.839039266563e+02      -5.839039266563e+02 
       1.448274425204e-04       6.463633507439e+02      -1.355746944570e-05      -6.463636305922e+02       0.000000000000e+00      -6.463636305922e+02      -6.463636305922e+02       6.463636305922e+02      -6.463636305922e+02 
       1.597619066523e-04       7.102741402574e+02      -1.812895226292e-05      -7.102745102617e+02       0.000000000000e+00      -7.102745102617e+02      -7.102745102617e+02       7.102745102617e+02      -7.102745102617e+02 
       1.751483954535e-04       7.758573421968e+02      -2.380096002687e-05      -7.758578326946e+02       0.000000000000e+00      -7.758578326946e+02      -7.758578326946e+02       7.758578326946e+02      -7.758578326946e+02 
       1.910426039087e-04       8.433463768297e+02      -3.077986912670e-05      -8.433470108983e+02       0.000000000000e+00      -8.433470108983e+02      -8.433470108983e+02       8.433470108983e+02      -8.433470108983e+02 
       2.075047950409e-04       9.129893664074e+02      -3.931175051864e-05      -9.129901731997e+02       0.000000000000e+00      -9.129901731997e+02      -9.129901731997e+02       9.129901731997e+02      -9.129901731997e+02 
       2.246003867063e-04       9.850516753940e+02      -4.969131271568e-05      -9.850526955555e+02       0.000000000000e+00      -9.850526955555e+02      -9.850526955555e+02       9.850526955555e+02      -9.850526955555e+02 
       2.424005825081e-04       1.059818445142e+03      -6.227293304860e-05      -1.059819725752e+03       0.000000000000e+00      -1.059819725752e+03      -1.059819725752e+03       1.059819725752e+03      -1.059819725752e+03 
       2.609830450254e-04       1.137597123272e+03      -7.748429472439e-05      -1.137598719042e+03       0.000000000000e+00      -1.137598719042e+03      -1.137598719042e+03       1.137598719042e+03      -1.137598719042e+03 
       2.804326062259e-04       1.218719996832e+03      -9.584327766783e-05      -1.218721972138e+03       0.000000000000e+00      -1.218721972138e+03      -1.218721972138e+03       1.218721972138e+03      -1.218721972138e+03 
       3.008420052850e-04       1.303546689379e+03      -1.179789018864e-04      -1.303549121603e+03       0.000000000000e+00      -1.303549121603e+03      -1.303549121603e+03       1.303549121603e+03      -1.303549121603e+03 
       3.223126377126e-04       1.392466536746e+03      -1.446573028347e-04      -1.392469518963e+03       0.000000000000e+00      -1.392469518963e+03      -1.392469518963e+03       1.392469518963e+03      -1.392469518963e+03 
       3.449552912961e-04       1.485900743698e+03      -1.768139326493e-04      -1.485904388346e+03       0.000000000000e+00      -1.485904388346e+03      -1.485904388346e+03       1.485904388346e+03      -1.485904388346e+03 
       3.688908335588e-04       1.584304148957e+03      -2.155934192140e-04      -1.584308592103e+03       0.000000000000e+00      -1.584308592103e+03      -1.584308592103e+03       1.584308592103e+03      -1.584308592103e+03 
       3.942508019290e-04       1.688166391945e+03      -2.623987766456e-04      -1.688171798240e+03       0.000000000000e+00      -1.688171798240e+03      -1.688171798240e+03       1.688171798240e+03      -1.688171798240e+03 
       4.211778316147e-04       1.798012217372e+03      -3.189519247083e-04      -1.798018787178e+03       0.000000000000e+00      -1.798018787178e+03      -1.798018787178e+03       1.798018787178e+03      -1.798018787178e+03 
       4.498258377209e-04       1.914400539638e+03      -3.873676997586e-04      -1.914408516015e+03       0.000000000000e+00      -1.914408516015e+03      -1.914408516015e+03       1.914408516015e+03      -1.914408516015e+03 
       4.803598486087e-04       2.037921903606e+03      -4.702437043484e-04      -2.037931583953e+03       0.000000000000e+00      -2.037931583953e+03      -2.037931583953e+03       2.037931583953e+03      -2.037931583953e+03 
       5.129553691711e-04       2.169193827542e+03      -5.707683221726e-04      -2.169205572917e+03       0.000000000000e+00      -2.169205572917e+03      -2.169205572917e+03       2.169205572917e+03      -2.169205572917e+03 
       5.477971392924e-04       2.308853587512e+03      -6.928489817048e-04      -2.308867841221e+03       0.000000000000e+00      -2.308867841221e+03      -2.308867841221e+03       2.308867841221e+03      -2.308867841221e+03 
       5.850771496516e-04       2.457547908592e+03      -8.412620735740e-04      -2.457565209027e+03       0.000000000000e+00      -2.457565209027e+03      -2.457565209027e+03       2.457565209027e+03      -2.457565209027e+03 
       6.249917911014e-04       2.615919263936e+03      -1.021824784930e-03      -2.615940270535e+03       0.000000000000e+00      -2.615940270535e+03      -2.615940270535e+03       2.615940270535e+03      -2.615940270535e+03 
       6.677380526826e-04       2.784588542337e+03      -1.241587243081e-03      -2.784614056659e+03       0.000000000000e+00      -2.784614056659e+03      -2.784614056659e+03       2.784614056659e+03      -2.784614056659e+03 
       7.135087534068e-04       2.964134267527e+03      -1.509040851220e-03      -2.964165265159e+03       0.000000000000e+00      -2.964165265159e+03      -2.964165265159e+03       2.964165265159e+03      -2.964165265159e+03 
       7.624868968117e-04       3.155068965566e+03      -1.834335516195e-03      -3.155106627855e+03       0.000000000000e+00      -3.155106627855e+03      -3.155106627855e+03       3.155106627855e+03      -3.155106627855e+03 
       8.148393700181e-04       3.357813804384e+03      -2.229494940578e-03      -3.357859556160e+03       0.000000000000e+00      -3.357859556160e+03      -3.357859556160e+03       3.357859556160e+03      -3.357859556160e+03 
       8.707103551033e-04       3.572673155601e+03      -2.708615763797e-03      -3.572728712163e+03       0.000000000000e+00      -3.572728712163e+03      -3.572728712163e+03       3.572728712163e+03      -3.572728712163e+03 
       9.302149532168e-04       3.799811284263e+03      -3.288033944819e-03      -3.799878681995e+03       0.000000000000e+00      -3.799878681995e+03      -3.799878681995e+03       3.799878681995e+03      -3.799878681995e+03 
       9.934336065143e-04       4.039233538126e+03      -3.986441082282e-03      -4.039315206278e+03       0.000000000000e+00      -4.039315206278e+03      -4.039315206278e+03       4.039315206278e+03      -4.039315206278e+03 
       1.060407906282e-03       4.290774284446e+03      -4.824935006908e-03      -4.290873073725e+03       0.000000000000e+00      -4.290873073725e+03      -4.290873073725e+03       4.290873073725e+03      -4.290873073725e+03 
       1.131138277637e-03       4.554093653574e+03      -5.826994239758e-03      -4.554212812489e+03       0.000000000000e+00      -4.554212812489e+03      -4.554212812489e+03       4.554212812489e+03      -4.554212812489e+03 
