# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.865951564270e-10       7.887453721592e-15       5.644418244454e-13       4.851915808804e-15       8.367310131831e-09       4.722430963935e-10      -2.078006339446e-12 
    3       2.447263124377e-10       1.020490845697e-14       4.559187698470e-13       4.883175820370e-15       5.145819141537e-09       3.348623319559e-10      -1.663875124233e-12 
    4       2.256158530733e-10       9.752986050244e-15       3.898850279793e-13       4.243466216174e-15       3.575586847234e-09       2.536965498875e-10      -1.181422675199e-12 
    5       2.148553865512e-10       7.512151561241e-15       3.262436339300e-13       3.320933069913e-15       2.668389206173e-09       2.004375759467e-10      -7.507435354028e-13 
    6       2.078042347311e-10       4.932272797339e-15       2.632985909113e-13       2.406992659050e-15       2.084515010645e-09       1.630740659025e-10      -4.076622255812e-13 
    7       2.031824336669e-10       2.953844451733e-15       2.065155095993e-13       1.661552925989e-15       1.682013216837e-09       1.356914091379e-10      -1.609314522628e-13 
    8       2.002073293552e-10       1.818654728325e-15       1.594915337227e-13       1.137888951940e-15       1.390479723492e-09       1.149301540718e-10      -4.202320811024e-15 
    9       1.983301016049e-10       1.330447402470e-15       1.238984222994e-13       8.234187581091e-16       1.171143368989e-09       9.871231136281e-11       7.741533648918e-14 
   10       1.972656617662e-10       1.184581024937e-15       9.963917962201e-14       6.756756683366e-16       1.001154130251e-09       8.577179711300e-11       1.030081273281e-13 
   11       1.967640419502e-10       1.166256800770e-15       8.531166662126e-14       6.458059467916e-16       8.423362032485e-10       7.560317008218e-11       9.227576907775e-14 
   12       1.966306663053e-10       1.188794946225e-15       7.881957651338e-14       6.914587852088e-16       7.359038305310e-10       6.699101823249e-11       6.319475495304e-14 
   13       1.968579746357e-10       1.243024686146e-15       7.770376199166e-14       7.816493056487e-16       6.485353410459e-10       5.965074235449e-11       2.884594561453e-14 
   14       1.972928863778e-10       1.338441886471e-15       7.957605952070e-14       8.960077699271e-16       5.758506041505e-10       5.357423780832e-11      -1.199751710408e-15 
   15       1.978814981491e-10       1.473433611653e-15       8.265034971573e-14       1.023604555141e-15       5.146835291040e-10       4.841076165931e-11      -2.232527367364e-14 
   16       1.986412686437e-10       1.637789207843e-15       8.569966156815e-14       1.158308515971e-15       4.626812754182e-10       4.384279158390e-11      -3.356475380867e-14 
   17       1.994986201738e-10       1.821845589999e-15       8.799571641446e-14       1.298182859499e-15       4.180742093120e-10       3.992394954408e-11      -3.590639849048e-14 
   18       2.004400001084e-10       2.024029457377e-15       8.944693202766e-14       1.442344714693e-15       3.793602811616e-10       3.649754512589e-11      -3.212930346372e-14 
   19       2.014883071268e-10       2.248351694400e-15       9.019441867296e-14       1.590514864688e-15       3.459268142853e-10       3.349619655937e-11      -2.490723330862e-14 
   20       2.025701282199e-10       2.499770444179e-15       9.045516275075e-14       1.742737389271e-15       3.164832354126e-10       3.083348062692e-11      -1.729236604687e-14 
   21       2.037132791205e-10       2.779997727858e-15       9.049204057677e-14       1.898915099815e-15       2.905664303130e-10       2.847723547594e-11      -1.090187757023e-14 
   22       2.049179611918e-10       3.088976120365e-15       9.056341149134e-14       2.058971602209e-15       2.675560490622e-10       2.637390135850e-11      -6.823569570792e-15 
   23       2.061763136899e-10       3.425514510022e-15       9.067253412450e-14       2.222789683104e-15       2.471352270111e-10       2.449242257677e-11      -5.155887321334e-15 
   24       2.074422462864e-10       3.787800586666e-15       9.068630476482e-14       2.390265781710e-15       2.288312260087e-10       2.279004786512e-11      -5.489334922937e-15 
   25       2.087355435335e-10       4.175801442708e-15       9.037963125882e-14       2.561204428453e-15       2.124281721396e-10       2.126997932699e-11      -7.144455941439e-15 
   26       2.100667350253e-10       4.589916138191e-15       8.945567160444e-14       2.735394984051e-15       1.976287465723e-10       1.992710567655e-11      -9.253904800923e-15 
   27       2.114339539695e-10       5.030518276130e-15       8.764489666657e-14       2.912617421494e-15       1.842558763228e-10       1.871155758057e-11      -1.124554161299e-14 
   28       2.128143950466e-10       5.497999324525e-15       8.468889057984e-14       3.092656889056e-15       1.720796451130e-10       1.755660171907e-11      -1.264123109054e-14 
   29       2.142223421552e-10       5.993253330906e-15       8.049227101025e-14       3.275291575620e-15       1.610375742150e-10       1.646867542664e-11      -1.330685188425e-14 
   30       2.156611936203e-10       6.517365837280e-15       7.501647543804e-14       3.460306672971e-15       1.510103704337e-10       1.547319866079e-11      -1.322913411533e-14 
   31       2.171145147469e-10       7.071450772995e-15       6.824218212262e-14       3.647492872778e-15       1.417927583715e-10       1.458656923103e-11      -1.245799805605e-14 
   32       2.185892584029e-10       7.656526866620e-15       6.019102149785e-14       3.836619534693e-15       1.333371942243e-10       1.379762246689e-11      -1.122619795954e-14 
   33       2.200837540843e-10       8.273596075962e-15       5.091489087827e-14       4.027452000606e-15       1.255842383779e-10       1.307722629836e-11      -9.885144446719e-15 
   34       2.215839515482e-10       8.923631656280e-15       4.047473165456e-14       4.219750316094e-15       1.184257213038e-10       1.239225940562e-11      -8.796640935886e-15 
   35       2.230983284353e-10       9.607426605257e-15       2.887986232094e-14       4.413240290614e-15       1.118248881541e-10       1.174206452847e-11      -8.039610595625e-15 
   36       2.246320467186e-10       1.032568641183e-14       1.612833478668e-14       4.607631482416e-15       1.057284878741e-10       1.113387755995e-11      -7.602064700511e-15 
   37       2.261818407684e-10       1.107904492177e-14       2.210635970093e-15       4.802639566101e-15       1.000568747358e-10       1.057228579725e-11      -7.452114953845e-15 
   38       2.277554885279e-10       1.186799712335e-14      -1.293279276626e-14       4.998039323717e-15       9.479535753647e-11       1.005684986151e-11      -7.521202900308e-15 
   39       2.293566141763e-10       1.269293478174e-14      -2.938409625185e-14       5.193629436749e-15       8.992728748121e-11       9.583210122501e-12      -7.712620659729e-15 
   40       2.309780638785e-10       1.355415664028e-14      -4.723784140811e-14       5.389219088635e-15       8.540628209526e-11       9.143331449081e-12      -7.903777435592e-15 
   41       2.326077443616e-10       1.445194063911e-14      -6.658318393405e-14       5.584608639679e-15       8.117238142592e-11       8.728017667719e-12      -7.976884156617e-15 
   42       2.342510774078e-10       1.538680345108e-14      -8.744112804998e-14       5.779522619816e-15       7.721307727745e-11       8.336175212693e-12      -7.927174538623e-15 
   43       2.359139976009e-10       1.635931520755e-14      -1.098084238627e-13       5.973655949107e-15       7.351778534530e-11       7.968049905657e-12      -7.787005404924e-15 
   44       2.375960261977e-10       1.737002781604e-14      -1.336742325327e-13       6.166691243114e-15       7.005952898565e-11       7.622556539505e-12      -7.596976177047e-15 
   45       2.392934059420e-10       1.841941918044e-14      -1.590241519570e-13       6.358312004874e-15       6.680456274795e-11       7.297846710833e-12      -7.399371689925e-15 
   46       2.410111006961e-10       1.950770764870e-14      -1.858545612905e-13       6.548248697023e-15       6.374774799739e-11       6.993479009517e-12      -7.214966170646e-15 
   47       2.427533166163e-10       2.063498088495e-14      -2.141619640810e-13       6.736245149016e-15       6.088553411778e-11       6.708706877114e-12      -7.060141247903e-15 
   48       2.445196520160e-10       2.180124234301e-14      -2.439388833155e-13       6.922045841479e-15       5.820529091831e-11       6.441783876590e-12      -6.953439187518e-15 
   49       2.463046869799e-10       2.300640738506e-14      -2.751737604143e-13       7.105395948828e-15       5.568463344270e-11       6.189890713403e-12      -6.915659877251e-15 
   50       2.481015148227e-10       2.425032205144e-14      -3.078548927947e-13       7.286044311554e-15       5.329816235591e-11       5.949973286248e-12      -6.963273257273e-15 
   51       2.499144186248e-10       2.553283438087e-14      -3.419837409182e-13       7.463753205373e-15       5.104140847058e-11       5.721694326640e-12      -7.086323584583e-15 
   52       2.517489262224e-10       2.685373574024e-14      -3.775650586953e-13       7.638291297461e-15       4.891222058287e-11       5.505156799997e-12      -7.264695175120e-15 
   53       2.536079495506e-10       2.821273711690e-14      -4.146032575416e-13       7.809431124733e-15       4.690359947026e-11       5.300033507817e-12      -7.474060339654e-15 
   54       2.554915597561e-10       2.960946630333e-14      -4.531024954222e-13       7.976949274322e-15       4.500337166909e-11       5.105536980742e-12      -7.685661801328e-15 
   55       2.573986579453e-10       3.104350708469e-14      -4.930658231343e-13       8.140636436675e-15       4.319789946888e-11       4.920698778322e-12      -7.872928780818e-15 
   56       2.593329886591e-10       3.251453465125e-14      -5.344921708083e-13       8.300330075896e-15       4.148503751250e-11       4.745357611407e-12      -8.033748392752e-15 
   57       2.612982263676e-10       3.402220889398e-14      -5.773787687565e-13       8.455890191538e-15       3.986382348939e-11       4.579363955912e-12      -8.173345829523e-15 
   58       2.632960629761e-10       3.556613419565e-14      -6.217220758193e-13       8.607190709895e-15       3.833055863166e-11       4.422274493556e-12      -8.297983039672e-15 
   59       2.653260567948e-10       3.714585825192e-14      -6.675178316782e-13       8.754120049127e-15       3.687863874691e-11       4.273334059737e-12      -8.415007392228e-15 
   60       2.673854815074e-10       3.876087089248e-14      -7.147611091686e-13       8.896581684386e-15       3.549838525091e-11       4.131457591404e-12      -8.532900341035e-15 
