# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.865956405088e-10       7.887706228516e-15       5.644418204004e-13       4.852168315691e-15       8.367310131831e-09       4.722430963935e-10      -2.078006339446e-12 
    3       2.447272771130e-10       1.020541360425e-14       4.559187518396e-13       4.883680967288e-15       5.145819141537e-09       3.348623319559e-10      -1.663875124233e-12 
    4       2.256174532208e-10       9.753828252791e-15       3.898849763106e-13       4.244308416906e-15       3.575586847234e-09       2.536965498875e-10      -1.181422675199e-12 
    5       2.148577726932e-10       7.513415394994e-15       3.262435164325e-13       3.322196897465e-15       2.668389206173e-09       2.004375759467e-10      -7.507435354028e-13 
    6       2.078075521887e-10       4.934043025533e-15       2.632983603646e-13       2.408762870380e-15       2.084515010645e-09       1.630740659025e-10      -4.076622255812e-13 
    7       2.031868218655e-10       2.956206042498e-15       2.065151014710e-13       1.663914477648e-15       1.682013216837e-09       1.356914091379e-10      -1.609314522628e-13 
    8       2.002129212968e-10       1.821692862638e-15       1.594908642741e-13       1.140927005733e-15       1.390479723492e-09       1.149301540718e-10      -4.202320811024e-15 
    9       1.983370235197e-10       1.334247471754e-15       1.238973870867e-13       8.272186763055e-16       1.171143368989e-09       9.871231136281e-11       7.741533648918e-14 
   10       1.972740329467e-10       1.189228617975e-15       9.963765240730e-14       6.803229984119e-16       1.001154130251e-09       8.577179711300e-11       1.030081273281e-13 
   11       1.967739747685e-10       1.171837679968e-15       8.530949869781e-14       6.513863961502e-16       8.423362032485e-10       7.560317008218e-11       9.227576907775e-14 
   12       1.966422664035e-10       1.195395013618e-15       7.881659643492e-14       6.980581867616e-16       7.359038305310e-10       6.699101823249e-11       6.319475495304e-14 
   13       1.968713412768e-10       1.250729939906e-15       7.769977568633e-14       7.893535755253e-16       6.485353410459e-10       5.965074235449e-11       2.884594561453e-14 
   14       1.973081129373e-10       1.347338368976e-15       7.957085075935e-14       9.049028589482e-16       5.758506041505e-10       5.357423780832e-11      -1.199751710408e-15 
   15       1.978986727232e-10       1.483607350468e-15       8.264368089653e-14       1.033776395949e-15       5.146835291040e-10       4.841076165931e-11      -2.232527367364e-14 
   16       1.986604747465e-10       1.649326151176e-15       8.569127477370e-14       1.169842967917e-15       4.626812754182e-10       4.384279158390e-11      -3.356475380867e-14 
   17       1.995199374934e-10       1.834831538369e-15       8.798533469377e-14       1.311165653482e-15       4.180742093120e-10       3.992394954408e-11      -3.590639849048e-14 
   18       2.004635053046e-10       2.038549992509e-15       8.943426087600e-14       1.456861399059e-15       3.793602811616e-10       3.649754512589e-11      -3.212930346372e-14 
   19       2.015140745523e-10       2.264492112054e-15       9.017914753259e-14       1.606650760952e-15       3.459268142853e-10       3.349619655937e-11      -2.490723330862e-14 
   20       2.025982307649e-10       2.517615679749e-15       9.043696683342e-14       1.760577542020e-15       3.164832354126e-10       3.083348062692e-11      -1.729236604687e-14 
   21       2.037437887801e-10       2.799632297491e-15       9.047058241392e-14       1.918544250506e-15       2.905664303130e-10       2.847723547594e-11      -1.090187757023e-14 
   22       2.049509497747e-10       3.110484053734e-15       9.053834284018e-14       2.080474155717e-15       2.675560490622e-10       2.637390135850e-11      -6.823569570792e-15 
   23       2.062118531777e-10       3.448979303160e-15       9.064349751621e-14       2.246249701286e-15       2.471352270111e-10       2.449242257677e-11      -5.155887321334e-15 
