# dimensionless [l(l+1)/2pi] C_l's for tensor mode
# for l=2 to 500, i.e. number of multipoles equal to 499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.424884397279e-10       2.713998812052e-15       1.688687048639e-13       4.851915808804e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    3       1.089475875690e-10       2.867753584533e-15      -7.559672987315e-15       4.883175820370e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    4       9.773337935934e-11       2.628374124870e-15      -6.028980274539e-14       4.243466216174e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    5       9.299735391104e-11       2.097873847441e-15      -7.130469049597e-14       3.320933069913e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    6       9.020789262943e-11       1.509450455016e-15      -6.780884563954e-14       2.406992659050e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    7       8.844633591321e-11       1.025718372695e-15      -6.016693534453e-14       1.661552925989e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    8       8.725601585830e-11       7.123070352612e-16      -5.292844371674e-14       1.137888951940e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    9       8.639103789784e-11       5.636447427741e-16      -4.776903674348e-14       8.234187581091e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   10       8.570958164046e-11       5.393941994428e-16      -4.502535809012e-14       6.756756683366e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   11       8.512858773948e-11       5.937386161572e-16      -4.447217660549e-14       6.458059467916e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   12       8.459975199131e-11       6.906590854539e-16      -4.571098387189e-14       6.914587852088e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   13       8.409444577840e-11       8.077842835102e-16      -4.836272329934e-14       7.816493056487e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   14       8.359500185076e-11       9.345784251788e-16      -5.212217663552e-14       8.960077699271e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   15       8.309031695846e-11       1.066746286962e-15      -5.676005970159e-14       1.023604555141e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   16       8.257372727636e-11       1.204211164488e-15      -6.212506618016e-14       1.158308515971e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   17       8.204159456370e-11       1.346891159418e-15      -6.811169926471e-14       1.298182859499e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   18       8.148623389218e-11       1.495161116554e-15      -7.463529448358e-14       1.442344714693e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   19       8.092497409648e-11       1.649031330427e-15      -8.165122248307e-14       1.590514864688e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   20       8.033857533867e-11       1.808363321385e-15      -8.910420430684e-14       1.742737389271e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   21       7.973757793428e-11       1.972872670394e-15      -9.695667830796e-14       1.898915099815e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   22       7.911651840489e-11       2.142262543332e-15      -1.051674936571e-13       2.058971602209e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   23       7.848285628868e-11       2.316387520239e-15      -1.137071536492e-13       2.222789683104e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   24       7.783053709999e-11       2.495208278615e-15      -1.225437013292e-13       2.390265781710e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   25       7.716546848824e-11       2.678783816495e-15      -1.316447069939e-13       2.561204428453e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
