# Matter power spectrum P(k) at redshift z=0
# for k=1.03549e-05 to 104.598 h/Mpc,
# number of wavenumbers equal to 622
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.035494839108e-05       5.166178990526e+01 
       2.315654277398e-05       1.120401663878e+02 
       3.600252388562e-05       1.712862901615e+02 
       4.892702916578e-05       2.300653182778e+02 
       6.196475311028e-05       2.887503832732e+02 
       7.515125284626e-05       3.476179206814e+02 
       8.852326335445e-05       4.069022452957e+02 
       1.021190264838e-04       4.668177726643e+02 
       1.159786379356e-04       5.275703446108e+02 
       1.301444164282e-04       5.893640190106e+02 
       1.446612992605e-04       6.524057195192e+02 
       1.595772684413e-04       7.169088149899e+02 
       1.749438113895e-04       7.830961372399e+02 
       1.908164198713e-04       8.512026999872e+02 
       2.072551302351e-04       9.214782949826e+02 
       2.243251070118e-04       9.941900191358e+02 
       2.420972704092e-04       1.069624823733e+03 
       2.606489659466e-04       1.148092053966e+03 
       2.800646711895e-04       1.229925991764e+03 
       3.004367299549e-04       1.315488368454e+03 
       3.218660981068e-04       1.405170742906e+03 
       3.444630767754e-04       1.499396675461e+03 
       3.683479981370e-04       1.598623496830e+03 
       3.936518155415e-04       1.703343493006e+03 
       4.205165337363e-04       1.814084211337e+03 
       4.490953966438e-04       1.931407555903e+03 
       4.795527307539e-04       2.055907249257e+03 
       5.120633239319e-04       2.188204208432e+03 
       5.468112059601e-04       2.328939327365e+03 
       5.839876937170e-04       2.478763206117e+03 
       6.237885773498e-04       2.638322447191e+03 
       6.664103616144e-04       2.808242321897e+03 
       7.120455452490e-04       2.989105965520e+03 
       7.608770234777e-04       3.181430700549e+03 
       8.130718298831e-04       3.385642528968e+03 
       8.687745788886e-04       3.602050580134e+03 
       9.281011026734e-04       3.830823560851e+03 
       9.911328624302e-04       4.071970686657e+03 
       1.057912720161e-03       4.325329305130e+03 
       1.128442563302e-03       4.590561252066e+03 
       1.202683083844e-03       4.867158531501e+03 
       1.280555757722e-03       5.154458445129e+03 
       1.361946801497e-03       5.451653006143e+03 
       1.446712659293e-03       5.757829283605e+03 
       1.534686437266e-03       6.072042554084e+03 
       1.625684672800e-03       6.393281530063e+03 
       1.719513890232e-03       6.720522555667e+03 
       1.815976523161e-03       7.052754602147e+03 
       1.914875937787e-03       7.388999354568e+03 
       2.016020439466e-03       7.728326645206e+03 
       2.119226264526e-03       8.069865060229e+03 
       2.224319642585e-03       8.412809032447e+03 
       2.331138062027e-03       8.756421363148e+03 
       2.439530889528e-03       9.100033663824e+03 
       2.549359492156e-03       9.443044743383e+03 
       2.660496995767e-03       9.784917469437e+03 
       2.772827792660e-03       1.012517533460e+04 
       2.886246889251e-03       1.046339321124e+04 
       3.000659163633e-03       1.079920392464e+04 
       3.115978584705e-03       1.113228093061e+04 
       3.232127429605e-03       1.146234166264e+04 
       3.349035524329e-03       1.178913826379e+04 
       3.466639523441e-03       1.211245927144e+04 
       3.584882238093e-03       1.243211982562e+04 
       3.703712016818e-03       1.274796489529e+04 
       3.823082180235e-03       1.305985885460e+04 
       3.942950508618e-03       1.336768958181e+04 
       4.063278779846e-03       1.367136287873e+04 
       4.184032354468e-03       1.397080121107e+04 
       4.305179804184e-03       1.426594160129e+04 
       4.426692579911e-03       1.455673165884e+04 
       4.548544715674e-03       1.484313606523e+04 
       4.670712564692e-03       1.512512254927e+04 
       4.793174564293e-03       1.540267217083e+04 
       4.915911026553e-03       1.567577747072e+04 
       5.038903951796e-03       1.594442629583e+04 
       5.162136862444e-03       1.620862498525e+04 
       5.285594654870e-03       1.646838100774e+04 
       5.409263467255e-03       1.672370096630e+04 
       5.533130561591e-03       1.697460549370e+04 
       5.657184218242e-03       1.722110624414e+04 
       5.781413641616e-03       1.746323056412e+04 
       5.905808875697e-03       1.770101126492e+04 
       6.030360728320e-03       1.793449708489e+04 
       6.155060703207e-03       1.816365099861e+04 
       6.279900938886e-03       1.838852109248e+04 
       6.404874153754e-03       1.860917519477e+04 
       6.529973596574e-03       1.882561152612e+04 
       6.655193001847e-03       1.903775568716e+04 
       6.780526549503e-03       1.924589056321e+04 
       6.905968828465e-03       1.944992945588e+04 
       7.031514803667e-03       1.964992188499e+04 
       7.157159786167e-03       1.984589600041e+04 
       7.282899406028e-03       2.003788675016e+04 
       7.408729587684e-03       2.022594931804e+04 
       7.534646527540e-03       2.041011638083e+04 
       7.660646673573e-03       2.059041539646e+04 
       7.786726706740e-03       2.076690544553e+04 
       7.912883524020e-03       2.093961665659e+04 
       8.039114222911e-03       2.110858169657e+04 
       8.165416087266e-03       2.127385243851e+04 
       8.291786574319e-03       2.143545451365e+04 
       8.418223302802e-03       2.159344489857e+04 
       8.544724042042e-03       2.174784915734e+04 
       8.671286701957e-03       2.189871685445e+04 
       8.797909323857e-03       2.204608090668e+04 
       8.924590071986e-03       2.218997664020e+04 
       9.051327225738e-03       2.233044496775e+04 
       9.178119172480e-03       2.246753702794e+04 
