# PT power spectra for matter and bias tracers P(k), P_CTR(k) (for c_s^2 = 1 (Mpc/h)^2 ), Id2d2(k), Id2(k), IG2(k), Id2G2(k), IG2G2(k), IFG2(k) at redshift z=0
# for k=1.03549e-05 to 104.598 h/Mpc,
# number of wavenumbers equal to 622
#    1:k (h/Mpc)           2:P_lin + P_1loop (Mpc/h)^3     3:P_CTR (Mpc/h)^3        4:Id2d2 (Mpc/h)^3        5:Id2 (Mpc/h)^3          6:IG2 (Mpc/h)^3          7:Id2G2 (Mpc/h)^3        8:IG2G2 (Mpc/h)^3        9:IFG2 (Mpc/h)^3     
       1.035494839108e-05       5.166178979173e+01      -5.539433158876e-09      -5.166178990526e+01       0.000000000000e+00      -5.166178990526e+01      -5.166178990526e+01       5.166178990526e+01      -5.166178990526e+01 
       2.315654277398e-05       1.120401651972e+02      -6.007879128406e-08      -1.120401663878e+02       0.000000000000e+00      -1.120401663878e+02      -1.120401663878e+02       1.120401663878e+02      -1.120401663878e+02 
       3.600252388562e-05       1.712862864199e+02      -2.220181619567e-07      -1.712862901615e+02       0.000000000000e+00      -1.712862901615e+02      -1.712862901615e+02       1.712862901615e+02      -1.712862901615e+02 
       4.892702916578e-05       2.300653069952e+02      -5.507428245525e-07      -2.300653182778e+02       0.000000000000e+00      -2.300653182778e+02      -2.300653182778e+02       2.300653182778e+02      -2.300653182778e+02 
       6.196475311028e-05       2.887503620388e+02      -1.108694829782e-06      -2.887503832732e+02       0.000000000000e+00      -2.887503832732e+02      -2.887503832732e+02       2.887503832732e+02      -2.887503832732e+02 
       7.515125284626e-05       3.476178820903e+02      -1.963245510327e-06      -3.476179206814e+02       0.000000000000e+00      -3.476179206814e+02      -3.476179206814e+02       3.476179206814e+02      -3.476179206814e+02 
       8.852326335445e-05       4.069021809774e+02      -3.188635814263e-06      -4.069022452957e+02       0.000000000000e+00      -4.069022452957e+02      -4.069022452957e+02       4.069022452957e+02      -4.069022452957e+02 
       1.021190264838e-04       4.668176732709e+02      -4.868113714675e-06      -4.668177726643e+02       0.000000000000e+00      -4.668177726643e+02      -4.668177726643e+02       4.668177726643e+02      -4.668177726643e+02 
       1.159786379356e-04       5.275702007219e+02      -7.096372193796e-06      -5.275703446108e+02       0.000000000000e+00      -5.275703446108e+02      -5.275703446108e+02       5.275703446108e+02      -5.275703446108e+02 
       1.301444164282e-04       5.893638184327e+02      -9.982393957970e-06      -5.893640190106e+02       0.000000000000e+00      -5.893640190106e+02      -5.893640190106e+02       5.893640190106e+02      -5.893640190106e+02 
       1.446612992605e-04       6.524054402871e+02      -1.365282369835e-05      -6.524057195192e+02       0.000000000000e+00      -6.524057195192e+02      -6.524057195192e+02       6.524057195192e+02      -6.524057195192e+02 
       1.595772684413e-04       7.169084457733e+02      -1.825601484360e-05      -7.169088149899e+02       0.000000000000e+00      -7.169088149899e+02      -7.169088149899e+02       7.169088149899e+02      -7.169088149899e+02 
       1.749438113895e-04       7.830956474135e+02      -2.396692127103e-05      -7.830961372399e+02       0.000000000000e+00      -7.830961372399e+02      -7.830961372399e+02       7.830961372399e+02      -7.830961372399e+02 
       1.908164198713e-04       8.512020674545e+02      -3.099306168904e-05      -8.512026999872e+02       0.000000000000e+00      -8.512026999872e+02      -8.512026999872e+02       8.512026999872e+02      -8.512026999872e+02 
       2.072551302351e-04       9.214774899015e+02      -3.958181416696e-05      -9.214782949826e+02       0.000000000000e+00      -9.214782949826e+02      -9.214782949826e+02       9.214782949826e+02      -9.214782949826e+02 
       2.243251070118e-04       9.941890010798e+02      -5.002938596689e-05      -9.941900191358e+02       0.000000000000e+00      -9.941900191358e+02      -9.941900191358e+02       9.941900191358e+02      -9.941900191358e+02 
       2.420972704092e-04       1.069623545608e+03      -6.269187564530e-05      -1.069624823733e+03       0.000000000000e+00      -1.069624823733e+03      -1.069624823733e+03       1.069624823733e+03      -1.069624823733e+03 
       2.606489659466e-04       1.148090461343e+03      -7.799894443551e-05      -1.148092053966e+03       0.000000000000e+00      -1.148092053966e+03      -1.148092053966e+03       1.148092053966e+03      -1.148092053966e+03 
       2.800646711895e-04       1.229924020672e+03      -9.647074564691e-05      -1.229925991764e+03       0.000000000000e+00      -1.229925991764e+03      -1.229925991764e+03       1.229925991764e+03      -1.229925991764e+03 
       3.004367299549e-04       1.315485941722e+03      -1.187389114789e-04      -1.315488368454e+03       0.000000000000e+00      -1.315488368454e+03      -1.315488368454e+03       1.315488368454e+03      -1.315488368454e+03 
       3.218660981068e-04       1.405167767894e+03      -1.455725756976e-04      -1.405170742906e+03       0.000000000000e+00      -1.405170742906e+03      -1.405170742906e+03       1.405170742906e+03      -1.405170742906e+03 
