# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.856871635914e-10       7.778868046202e-15       5.610971262949e-13       4.785113321007e-15       8.346602066807e-09       4.689012949038e-10      -2.065870745661e-12 
    3       2.442218844884e-10       1.006041123281e-14       4.537193294217e-13       4.814190546020e-15       5.165007532982e-09       3.327993560744e-10      -1.652795156342e-12 
    4       2.252019746668e-10       9.610137651703e-15       3.877221765674e-13       4.182637946446e-15       3.593078292408e-09       2.520951468249e-10      -1.173013808873e-12 
    5       2.145601751113e-10       7.399952244382e-15       3.243165300582e-13       3.273419165209e-15       2.680368916286e-09       1.992019317585e-10      -7.451018543140e-13 
    6       2.075903608583e-10       4.859101129893e-15       2.617144603661e-13       2.373646003858e-15       2.092510358231e-09       1.621609640246e-10      -4.043802249160e-13 
    7       2.030444255706e-10       2.913101613426e-15       2.052898675098e-13       1.640797809551e-15       1.688057177990e-09       1.349506324946e-10      -1.595099664875e-13 
    8       2.000702590026e-10       1.798539925147e-15       1.586095994644e-13       1.126991374715e-15       1.395565807693e-09       1.142650402785e-10      -4.083487487890e-15 
    9       1.982334601296e-10       1.320866416038e-15       1.232887173229e-13       8.197194404572e-16       1.175689880580e-09       9.817128811138e-11       7.676411994684e-14 
   10       1.972110392734e-10       1.179961976689e-15       9.922919139915e-14       6.768931842730e-16       1.005432795965e-09       8.538758355803e-11       1.020266626359e-13 
   11       1.966966017122e-10       1.164646669878e-15       8.509745902158e-14       6.503127223453e-16       8.459705633632e-10       7.526695661152e-11       9.127970469338e-14 
   12       1.966155575694e-10       1.189930359478e-15       7.871807841416e-14       6.982454184091e-16       7.391249480823e-10       6.664039540257e-11       6.234220822323e-14 
   13       1.968279137291e-10       1.246911628710e-15       7.762904919327e-14       7.901348422117e-16       6.514250168522e-10       5.938071634194e-11       2.835124191499e-14 
   14       1.972587949025e-10       1.344753033909e-15       7.953992854850e-14       9.059825689613e-16       5.784567223809e-10       5.328935336117e-11      -1.485136719974e-15 
   15       1.978791301658e-10       1.481981778881e-15       8.260027041853e-14       1.034874984037e-15       5.170450053394e-10       4.814507273788e-11      -2.238581431527e-14 
   16       1.986072740316e-10       1.648301655674e-15       8.563986610866e-14       1.171138050384e-15       4.648361027461e-10       4.371860771098e-11      -3.324192710819e-14 
   17       1.994958829824e-10       1.834661230885e-15       8.802750483884e-14       1.312440674925e-15       4.200513759896e-10       3.977611117238e-11      -3.556836615118e-14 
   18       2.004476598846e-10       2.039275411489e-15       8.950487354381e-14       1.458154322719e-15       3.811808925518e-10       3.634713280212e-11      -3.184702689494e-14 
