# dimensionless [l(l+1)/2pi] C_l's for scalar mode
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.434671153554e-10       5.103722334041e-15       3.937330262369e-13       0.000000000000e+00       8.346602066807e-09       4.689012949038e-10      -2.065870745661e-12 
    3       1.352817517648e-10       7.234633217988e-15       4.610000239748e-13       0.000000000000e+00       5.165007532982e-09       3.327993560744e-10      -1.652795156342e-12 
    4       1.274921825503e-10       7.020748440451e-15       4.474310974861e-13       0.000000000000e+00       3.593078292408e-09       2.520951468249e-10      -1.173013808873e-12 
    5       1.215559108260e-10       5.332884360296e-15       3.949748356253e-13       0.000000000000e+00       2.680368916286e-09       1.992019317585e-10      -7.451018543140e-13 
    6       1.173645267863e-10       3.370391855829e-15       3.289541811396e-13       0.000000000000e+00       2.092510358231e-09       1.621609640246e-10      -4.043802249160e-13 
    7       1.145736423234e-10       1.898891040315e-15       2.649985320202e-13       0.000000000000e+00       1.688057177990e-09       1.349506324946e-10      -1.595099664875e-13 
    8       1.127850681287e-10       1.090511690010e-15       2.111875426290e-13       0.000000000000e+00       1.395565807693e-09       1.142650402785e-10      -4.083487487890e-15 
    9       1.118097766122e-10       7.565853161067e-16       1.708044052378e-13       0.000000000000e+00       1.175689880580e-09       9.817128811138e-11       7.676411994684e-14 
   10       1.114662673818e-10       6.367846780972e-16       1.440769345471e-13       0.000000000000e+00       1.005432795965e-09       8.538758355803e-11       1.020266626359e-13 
   11       1.115309046843e-10       5.651075027806e-16       1.294500518327e-13       0.000000000000e+00       8.459705633632e-10       7.526695661152e-11       9.127970469338e-14 
