# dimensionless [l(l+1)/2pi] C_l's for tensor mode
# for l=2 to 500, i.e. number of multipoles equal to 499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.422195609645e-10       2.674889687177e-15       1.673641041337e-13       4.784857296059e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    3       1.089391616997e-10       2.825265832040e-15      -7.280676409296e-15       4.813678363596e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    4       9.770818145551e-11       2.588535284284e-15      -5.970886885998e-14       4.181784021231e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    5       9.300186249670e-11       2.065786466340e-15      -7.065818718599e-14       3.272137753452e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    6       9.022249491136e-11       1.486914432745e-15      -6.723948850125e-14       2.371851178820e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    7       8.846636641579e-11       1.011816171843e-15      -5.970825334332e-14       1.638403446014e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    8       8.727956254989e-11       7.049479262446e-16      -5.257726876106e-14       1.123911143460e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    9       8.641671670636e-11       5.604283270780e-16      -4.751464509007e-14       8.158668131662e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   10       8.573634659165e-11       5.384653100945e-16      -4.484620478279e-14       6.721814488824e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   11       8.515570021062e-11       5.938810398874e-16      -4.435040917951e-14       6.446550083909e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   12       8.462681073001e-11       6.911908049741e-16      -4.563657109050e-14       6.915547314960e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   13       8.412122755410e-11       8.084263365705e-16      -4.832143287101e-14       7.823241063263e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   14       8.362128306958e-11       9.352237274762e-16      -5.210422378949e-14       8.969646750027e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   15       8.311593624395e-11       1.067553693624e-15      -5.676626441924e-14       1.024562842669e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   16       8.259862837036e-11       1.204972552645e-15      -6.215229215533e-14       1.159444647117e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   17       8.206579161217e-11       1.347848344166e-15      -6.815356897933e-14       1.299279125225e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   18       8.150973149231e-11       1.496343774109e-15      -7.469324951634e-14       1.443437926052e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   19       8.094776164629e-11       1.650360267380e-15      -8.172530894421e-14       1.591713092395e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   20       8.036061636796e-11       1.809784426466e-15      -8.918978044848e-14       1.744066789473e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   21       7.975885122297e-11       1.974375680903e-15      -9.705210841649e-14       1.900402086505e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   22       7.913701952115e-11       2.143887037484e-15      -1.052762102279e-13       2.060663232679e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   23       7.850257081341e-11       2.318172670705e-15      -1.138301061807e-13       2.224705467328e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   24       7.784942862753e-11       2.497173295350e-15      -1.226774169934e-13       2.392382701439e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
