# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.907274574058e-10       7.950735266957e-15       5.707085884067e-13       4.890089115191e-15       8.440651755326e-09       4.775591499771e-10      -2.108171660915e-12 
    3       2.487228837103e-10       1.030357707419e-14       4.623998915372e-13       4.925600518711e-15       5.255152053568e-09       3.392639904130e-10      -1.687941233410e-12 
    4       2.293335873092e-10       9.860153436358e-15       3.953682821462e-13       4.284169681775e-15       3.660782059299e-09       2.569649361526e-10      -1.199503144787e-12 
    5       2.184839277895e-10       7.606479206147e-15       3.309234611702e-13       3.356208707321e-15       2.733191201765e-09       2.030393937642e-10      -7.633639825049e-13 
    6       2.113759646489e-10       5.002484469348e-15       2.672132589704e-13       2.435398204573e-15       2.133907386380e-09       1.652694214584e-10      -4.155625706922e-13 
    7       2.067351075142e-10       3.000336935615e-15       2.097080272408e-13       1.683580421564e-15       1.720226574105e-09       1.375103416720e-10      -1.651339536535e-13 
    8       2.036967783538e-10       1.848648509596e-15       1.620687317244e-13       1.154884991992e-15       1.421316106458e-09       1.164157629697e-10      -5.757354550174e-15 
    9       2.018186606084e-10       1.352036282759e-15       1.259704717248e-13       8.372470292223e-16       1.197326313020e-09       1.000187714550e-10       7.754902387246e-14 
   10       2.007712507254e-10       1.203648814858e-15       1.013371746584e-13       6.879798161386e-16       1.024168836652e-09       8.699994769690e-11       1.040294539611e-13 
   11       2.002423852671e-10       1.185623624629e-15       8.683800009920e-14       6.580291141030e-16       8.615550560446e-10       7.666630459688e-11       9.356006066341e-14 
   12       2.001554703208e-10       1.209448500355e-15       8.026789314082e-14       7.046232627836e-16       7.527407844630e-10       6.788418748643e-11       6.428553721992e-14 
   13       2.003681490232e-10       1.265322429929e-15       7.911748987679e-14       7.964637277844e-16       6.634251673851e-10       6.049549093585e-11       2.960863902633e-14 
   14       2.008036110795e-10       1.362742503515e-15       8.105987194794e-14       9.129869256836e-16       5.891126500489e-10       5.429470078001e-11      -1.010645348923e-15 
   15       2.014321225032e-10       1.500626872851e-15       8.418930600839e-14       1.042788376144e-15       5.265697199862e-10       4.905465514428e-11      -2.259633830018e-14 
   16       2.021706007754e-10       1.668214567820e-15       8.730999507740e-14       1.180264062536e-15       4.733990795456e-10       4.454243431308e-11      -3.392784254031e-14 
   17       2.030723186618e-10       1.856423383132e-15       8.976513406253e-14       1.322589837732e-15       4.277894216261e-10       4.052184168278e-11      -3.649333983177e-14 
   18       2.040384824604e-10       2.062893882108e-15       9.128356796330e-14       1.469420584323e-15       3.882028782669e-10       3.702521869815e-11      -3.279726343116e-14 
   19       2.050865822357e-10       2.291618358456e-15       9.203138141576e-14       1.620536357731e-15       3.540138292815e-10       3.400618007480e-11      -2.545194667881e-14 
   20       2.061873767030e-10       2.547973443178e-15       9.234104884280e-14       1.775694340265e-15       3.239034041355e-10       3.129180367810e-11      -1.763411532122e-14 
   21       2.073519504264e-10       2.833735055019e-15       9.246321677573e-14       1.934792467851e-15       2.973984573145e-10       2.887258720384e-11      -1.105736980260e-14 
   22       2.085483002340e-10       3.148779363359e-15       9.259933644956e-14       2.097846440572e-15       2.738648670815e-10       2.675055741366e-11      -6.888540835551e-15 
   23       2.097955083330e-10       3.491875187338e-15       9.273601736667e-14       2.264756555721e-15       2.529786349203e-10       2.488699096850e-11      -5.189830063081e-15 
   24       2.110868686915e-10       3.861186965580e-15       9.273977375467e-14       2.435414148225e-15       2.342563463597e-10       2.320377894599e-11      -5.492670732289e-15 
