# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.907279626542e-10       7.951001004091e-15       5.707085841769e-13       4.890354852288e-15       8.440651755326e-09       4.775591499771e-10      -2.108171660915e-12 
    3       2.487238905601e-10       1.030410868772e-14       4.623998727079e-13       4.926132131876e-15       5.255152053568e-09       3.392639904130e-10      -1.687941233410e-12 
    4       2.293352573999e-10       9.861039761928e-15       3.953682281209e-13       4.285056005554e-15       3.660782059299e-09       2.569649361526e-10      -1.199503144787e-12 
    5       2.184864182062e-10       7.607809247337e-15       3.309233383180e-13       3.357538742394e-15       2.733191201765e-09       2.030393937642e-10      -7.633639825049e-13 
    6       2.113794270404e-10       5.004347424909e-15       2.672130179279e-13       2.437261143505e-15       2.133907386380e-09       1.652694214584e-10      -4.155625706922e-13 
    7       2.067396873668e-10       3.002822217631e-15       2.097076005539e-13       1.686065665044e-15       1.720226574105e-09       1.375103416720e-10      -1.651339536535e-13 
    8       2.037026144413e-10       1.851845751513e-15       1.620680318747e-13       1.158082154632e-15       1.421316106458e-09       1.164157629697e-10      -5.757354550174e-15 
    9       2.018258846285e-10       1.356035336555e-15       1.259693895699e-13       8.412459344067e-16       1.197326313020e-09       1.000187714550e-10       7.754902387246e-14 
   10       2.007799871282e-10       1.208539737011e-15       1.013355783026e-13       6.928704799411e-16       1.024168836652e-09       8.699994769690e-11       1.040294539611e-13 
   11       2.002527512745e-10       1.191496650938e-15       8.683573419812e-14       6.639017187105e-16       8.615550560446e-10       7.666630459688e-11       9.356006066341e-14 
   12       2.001675761275e-10       1.216394010056e-15       8.026477862883e-14       7.115681203650e-16       7.527407844630e-10       6.788418748643e-11       6.428553721992e-14 
   13       2.003820981656e-10       1.273430899895e-15       7.911332409737e-14       8.045712361402e-16       6.634251673851e-10       6.049549093585e-11       2.960863902633e-14 
   14       2.008195009515e-10       1.372104453694e-15       8.105442915378e-14       9.223475173816e-16       5.891126500489e-10       5.429470078001e-11      -1.010645348923e-15 
   15       2.014500449932e-10       1.511332804356e-15       8.418233819151e-14       1.053492463133e-15       5.265697199862e-10       4.905465514428e-11      -2.259633830018e-14 
   16       2.021906429977e-10       1.680354895333e-15       8.730123308267e-14       1.192401978435e-15       4.733990795456e-10       4.454243431308e-11      -3.392784254031e-14 
   17       2.030945637473e-10       1.870088363445e-15       8.975428893437e-14       1.336251780096e-15       4.277894216261e-10       4.052184168278e-11      -3.649333983177e-14 
   18       2.040630103921e-10       2.078173539864e-15       9.127033249724e-14       1.484696558046e-15       3.882028782669e-10       3.702521869815e-11      -3.279726343116e-14 
   19       2.051134706034e-10       2.308602416170e-15       9.201543172749e-14       1.637516128769e-15       3.540138292815e-10       3.400618007480e-11      -2.545194667881e-14 
   20       2.062167015858e-10       2.566751243693e-15       9.232204627378e-14       1.794467383281e-15       3.239034041355e-10       3.129180367810e-11      -1.763411532122e-14 
   21       2.073837869854e-10       2.854395500399e-15       9.244080950716e-14       1.955447938923e-15       2.973984573145e-10       2.887258720384e-11      -1.105736980260e-14 
   22       2.085827234529e-10       3.171410845049e-15       9.257316148881e-14       2.120473142322e-15       2.738648670815e-10       2.675055741366e-11      -6.888540835551e-15 
