# PT power spectra for matter and bias tracers P(k), P_CTR(k) (for c_s^2 = 1 (Mpc/h)^2 ), Id2d2(k), Id2(k), IG2(k), Id2G2(k), IG2G2(k), IFG2(k) at redshift z=0
# for k=1.03892e-05 to 104.924 h/Mpc,
# number of wavenumbers equal to 622
#    1:k (h/Mpc)           2:P_lin + P_1loop (Mpc/h)^3     3:P_CTR (Mpc/h)^3        4:Id2d2 (Mpc/h)^3        5:Id2 (Mpc/h)^3          6:IG2 (Mpc/h)^3          7:Id2G2 (Mpc/h)^3        8:IG2G2 (Mpc/h)^3        9:IFG2 (Mpc/h)^3     
       1.038922642939e-05       5.211100324386e+01      -5.624654603399e-09      -5.211100336195e+01       0.000000000000e+00      -5.211100336195e+01      -5.211100336195e+01       5.211100336195e+01      -5.211100336195e+01 
       2.321812845909e-05       1.129438575139e+02      -6.088594361284e-08      -1.129438587418e+02       0.000000000000e+00      -1.129438587418e+02      -1.129438587418e+02       1.129438587418e+02      -1.129438587418e+02 
       3.609173376214e-05       1.726376673744e+02      -2.248801201044e-07      -1.726376712794e+02       0.000000000000e+00      -1.726376712794e+02      -1.726376712794e+02       1.726376712794e+02      -1.726376712794e+02 
       4.904439972694e-05       2.318627350963e+02      -5.577117871295e-07      -2.318627468027e+02       0.000000000000e+00      -2.318627468027e+02      -2.318627468027e+02       2.318627468027e+02      -2.318627468027e+02 
       6.211104704304e-05       2.909954798328e+02      -1.122597271840e-06      -2.909955019027e+02       0.000000000000e+00      -2.909955019027e+02      -2.909955019027e+02       2.909955019027e+02      -2.909955019027e+02 
       7.532746857735e-05       3.503150096990e+02      -1.987767320761e-06      -3.503150498283e+02       0.000000000000e+00      -3.503150498283e+02      -3.503150498283e+02       3.503150498283e+02      -3.503150498283e+02 
       8.873064804491e-05       4.100580730668e+02      -3.228440200649e-06      -4.100581397177e+02       0.000000000000e+00      -4.100581397177e+02      -4.100581397177e+02       4.100581397177e+02      -4.100581397177e+02 
       1.023590926816e-04       4.704414303394e+02      -4.928996532197e-06      -4.704415333656e+02       0.000000000000e+00      -4.704415333656e+02      -4.704415333656e+02       4.704415333656e+02      -4.704415333656e+02 
       1.162531841578e-04       5.316732822438e+02      -7.185461632691e-06      -5.316734314219e+02       0.000000000000e+00      -5.316734314219e+02      -5.316734314219e+02       5.316734314219e+02      -5.316734314219e+02 
       1.304555520066e-04       5.939601118300e+02      -1.010840357062e-05      -5.939603200798e+02       0.000000000000e+00      -5.939603200798e+02      -5.939603200798e+02       5.939603200798e+02      -5.939603200798e+02 
       1.450114738457e-04       6.575113841471e+02      -1.382637082885e-05      -6.575116739578e+02       0.000000000000e+00      -6.575116739578e+02      -6.575116739578e+02       6.575116739578e+02      -6.575116739578e+02 
       1.599693066204e-04       7.225431983746e+02      -1.849001989774e-05      -7.225435817014e+02       0.000000000000e+00      -7.225435817014e+02      -7.225435817014e+02       7.225435817014e+02      -7.225435817014e+02 
       1.753809529236e-04       7.892812914760e+02      -2.427710736787e-05      -7.892817997030e+02       0.000000000000e+00      -7.892817997030e+02      -7.892817997030e+02       7.892817997030e+02      -7.892817997030e+02 
       1.913023661048e-04       8.579638620178e+02      -3.139858034834e-05      -8.579645188351e+02       0.000000000000e+00      -8.579645188351e+02      -8.579645188351e+02       8.579645188351e+02      -8.579645188351e+02 
       2.077940972509e-04       9.288441592484e+02      -4.010602910120e-05      -9.288449950828e+02       0.000000000000e+00      -9.288449950828e+02      -9.288449950828e+02       9.288449950828e+02      -9.288449950828e+02 
       2.249218861033e-04       1.002193076123e+03      -5.070085650548e-05      -1.002194133577e+03       0.000000000000e+00      -1.002194133577e+03      -1.002194133577e+03       1.002194133577e+03      -1.002194133577e+03 
       2.427572963948e-04       1.078301738942e+03      -6.354559180960e-05      -1.078303066152e+03       0.000000000000e+00      -1.078303066152e+03      -1.078303066152e+03       1.078303066152e+03      -1.078303066152e+03 
       2.613783937365e-04       1.157484102288e+03      -7.907788162544e-05      -1.157485756588e+03       0.000000000000e+00      -1.157485756588e+03      -1.157485756588e+03       1.157485756588e+03      -1.157485756588e+03 
       2.808704608154e-04       1.240079527355e+03      -9.782782279530e-05      -1.240081575184e+03       0.000000000000e+00      -1.240081575184e+03      -1.240081575184e+03       1.240081575184e+03      -1.240081575184e+03 
       3.013267399410e-04       1.326455341291e+03      -1.204394608505e-04      -1.326457863161e+03       0.000000000000e+00      -1.326457863161e+03      -1.326457863161e+03       1.326457863161e+03      -1.326457863161e+03 
       3.228491865615e-04       1.417009261614e+03      -1.476974600200e-04      -1.417012354126e+03       0.000000000000e+00      -1.417012354126e+03      -1.417012354126e+03       1.417012354126e+03      -1.417012354126e+03 
       3.455492088575e-04       1.512171597114e+03      -1.805601738011e-04      -1.512175377213e+03       0.000000000000e+00      -1.512175377213e+03      -1.512175377213e+03       1.512175377213e+03      -1.512175377213e+03 
       3.695483575494e-04       1.612407037752e+03      -2.202005879083e-04      -1.612411646733e+03       0.000000000000e+00      -1.612411646733e+03      -1.612411646733e+03       1.612411646733e+03      -1.612411646733e+03 
       3.949789163640e-04       1.718215841167e+03      -2.680568798434e-04      -1.718221450467e+03       0.000000000000e+00      -1.718221450467e+03      -1.718221450467e+03       1.718221450467e+03      -1.718221450467e+03 
       4.219843271948e-04       1.830134100613e+03      -3.258946012793e-04      -1.830140918246e+03       0.000000000000e+00      -1.830140918246e+03      -1.830140918246e+03       1.830140918246e+03      -1.830140918246e+03 
       4.507193653101e-04       1.948732775377e+03      -3.958827351675e-04      -1.948741054706e+03       0.000000000000e+00      -1.948741054706e+03      -1.948741054706e+03       1.948741054706e+03      -1.948741054706e+03 
       4.813499602484e-04       2.074615027322e+03      -4.806860225041e-04      -2.074625077058e+03       0.000000000000e+00      -2.074625077058e+03      -2.074625077058e+03       2.074625077058e+03      -2.074625077058e+03 
       5.140525396193e-04       2.208411412447e+03      -5.835759532885e-04      -2.208423609253e+03       0.000000000000e+00      -2.208423609253e+03      -2.208423609253e+03       2.208423609253e+03      -2.208423609253e+03 
       5.490127597170e-04       2.350772402598e+03      -7.085625285695e-04      -2.350787207052e+03       0.000000000000e+00      -2.350787207052e+03      -2.350787207052e+03       2.350787207052e+03      -2.350787207052e+03 
       5.864234841228e-04       2.502357760759e+03      -8.605482224078e-04      -2.502375734194e+03       0.000000000000e+00      -2.502375734194e+03      -2.502375734194e+03       2.502375734194e+03      -2.502375734194e+03 
       6.264818863381e-04       2.663822416571e+03      -1.045504353781e-03      -2.663844245355e+03       0.000000000000e+00      -2.663844245355e+03      -2.663844245355e+03       2.663844245355e+03      -2.663844245355e+03 
       6.693855925968e-04       2.835798631582e+03      -1.270668157237e-03      -2.835825150904e+03       0.000000000000e+00      -2.835825150904e+03      -2.835825150904e+03       2.835825150904e+03      -2.835825150904e+03 
       7.153278528513e-04       3.018874653744e+03      -1.544756236805e-03      -3.018906879441e+03       0.000000000000e+00      -3.018906879441e+03      -3.018906879441e+03       3.018906879441e+03      -3.018906879441e+03 
       7.644918338936e-04       3.213570463186e+03      -1.878186792036e-03      -3.213609627659e+03       0.000000000000e+00      -3.213609627659e+03      -3.213609627659e+03       3.213609627659e+03      -3.213609627659e+03 
       8.170442633386e-04       3.420311819297e+03      -2.283299409801e-03      -3.420359404690e+03       0.000000000000e+00      -3.420359404690e+03      -3.420359404690e+03       3.420359404690e+03      -3.420359404690e+03 
       8.731288006755e-04       3.639404322724e+03      -2.774557753267e-03      -3.639462119526e+03       0.000000000000e+00      -3.639462119526e+03      -3.639462119526e+03       3.639462119526e+03      -3.639462119526e+03 
       9.328596442615e-04       3.871009704277e+03      -3.368718042832e-03      -3.871079826754e+03       0.000000000000e+00      -3.871079826754e+03      -3.871079826754e+03       3.871079826754e+03      -3.871079826754e+03 
       9.963159659542e-04       4.115126772995e+03      -4.084945547346e-03      -4.115211781193e+03       0.000000000000e+00      -4.115211781193e+03      -4.115211781193e+03       4.115211781193e+03      -4.115211781193e+03 
       1.063537764581e-03       4.371579697579e+03      -4.944863721984e-03      -4.371682448488e+03       0.000000000000e+00      -4.371682448488e+03      -4.371682448488e+03       4.371682448488e+03      -4.371682448488e+03 
       1.134523626239e-03       4.640014181661e+03      -5.972523464964e-03      -4.640138425108e+03       0.000000000000e+00      -4.640138425108e+03      -4.640138425108e+03       4.640138425108e+03      -4.640138425108e+03 
       1.209230679194e-03       4.919905804927e+03      -7.194292664102e-03      -4.920054951929e+03       0.000000000000e+00      -4.920054951929e+03      -4.920054951929e+03       4.920054951929e+03      -4.920054951929e+03 
       1.287576767919e-03       5.210573036689e+03      -8.638661920241e-03      -5.210752021125e+03       0.000000000000e+00      -5.210752021125e+03      -5.210752021125e+03       5.210752021125e+03      -5.210752021125e+03 
       1.369444599257e-03       5.511187254284e+03      -1.033595686697e-02      -5.511402458335e+03       0.000000000000e+00      -5.511402458335e+03      -5.511402458335e+03       5.511402458335e+03      -5.511402458335e+03 
       1.454687391959e-03       5.820825824986e+03      -1.231806904723e-02      -5.821080273927e+03       0.000000000000e+00      -5.821080273927e+03      -5.821080273927e+03       5.821080273927e+03      -5.821080273927e+03 
       1.543135431684e-03       6.138522442250e+03      -1.461816586473e-02      -6.138825122750e+03       0.000000000000e+00      -6.138825122750e+03      -6.138825122750e+03       6.138825122750e+03      -6.138825122750e+03 
       1.634602912099e-03       6.463256040199e+03      -1.727027860807e-02      -6.463613123112e+03       0.000000000000e+00      -6.463613123112e+03      -6.463613123112e+03       6.463613123112e+03      -6.463613123112e+03 
       1.728894515478e-03       6.793990667868e+03      -2.030898065391e-02      -6.794410094797e+03       0.000000000000e+00      -6.794410094797e+03      -6.794410094797e+03       6.794410094797e+03      -6.794410094797e+03 
       1.825811320550e-03       7.129706110834e+03      -2.376909132201e-02      -7.130196533980e+03       0.000000000000e+00      -7.130196533980e+03      -7.130196533980e+03       7.130196533980e+03      -7.130196533980e+03 
       1.925155782887e-03       7.469416944155e+03      -2.768539956926e-02      -7.469987528225e+03       0.000000000000e+00      -7.469987528225e+03      -7.469987528225e+03       7.469987528225e+03      -7.469987528225e+03 
       2.026735681319e-03       7.812187248374e+03      -3.209242815619e-02      -7.812847967256e+03       0.000000000000e+00      -7.812847967256e+03      -7.812847967256e+03       7.812847967256e+03      -7.812847967256e+03 
       2.130367042364e-03       8.157141469612e+03      -3.702424413591e-02      -8.157902850000e+03       0.000000000000e+00      -8.157902850000e+03      -8.157902850000e+03       8.157902850000e+03      -8.157902850000e+03 
       2.235876135455e-03       8.503471044930e+03      -4.251429476752e-02      -8.504344306460e+03       0.000000000000e+00      -8.504344306460e+03      -8.504344306460e+03       8.504344306460e+03      -8.504344306460e+03 
       2.343100676636e-03       8.850436586961e+03      -4.859526546483e-02      -8.851433561453e+03       0.000000000000e+00      -8.851433561453e+03      -8.851433561453e+03       8.851433561453e+03      -8.851433561453e+03 
       2.451890394377e-03       9.197368246235e+03      -5.529900906270e-02      -9.198501367614e+03       0.000000000000e+00      -9.198501367614e+03      -9.198501367614e+03       9.198501367614e+03      -9.198501367614e+03 
       2.562107107073e-03       9.543663946393e+03      -6.265648371953e-02      -9.544946256722e+03       0.000000000000e+00      -9.544946256722e+03      -9.544946256722e+03       9.544946256722e+03      -9.544946256722e+03 
       2.673624445823e-03       9.888785756440e+03      -7.069763790013e-02      -9.890230777718e+03       0.000000000000e+00      -9.890230777718e+03      -9.890230777718e+03       9.890230777718e+03      -9.890230777718e+03 
       2.786327334635e-03       1.023225590638e+04      -7.945145021654e-02      -1.023387781631e+04       0.000000000000e+00      -1.023387781631e+04      -1.023387781631e+04       1.023387781631e+04      -1.023387781631e+04 
       2.900111317649e-03       1.057365237007e+04      -8.894589100107e-02      -1.057546536315e+04       0.000000000000e+00      -1.057546536315e+04      -1.057546536315e+04       1.057546536315e+04      -1.057546536315e+04 
       3.014881802039e-03       1.091260405806e+04      -9.920783417466e-02      -1.091462381005e+04       0.000000000000e+00      -1.091462381005e+04      -1.091462381005e+04       1.091462381005e+04      -1.091462381005e+04 
       3.130553267074e-03       1.124878595513e+04      -1.102632217846e-01      -1.125102739449e+04       0.000000000000e+00      -1.125102739449e+04      -1.125102739449e+04       1.125102739449e+04      -1.125102739449e+04 
       3.247048475047e-03       1.158191447387e+04      -1.221368393230e-01      -1.158439429763e+04       0.000000000000e+00      -1.158439429763e+04      -1.158439429763e+04       1.158439429763e+04      -1.158439429763e+04 
