# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.867175534931e-10       7.832488817499e-15       5.600623549492e-13       4.820519781744e-15       8.251952827185e-09       4.776381064758e-10      -2.071094981615e-12 
    3       2.452646776335e-10       1.012404126970e-14       4.541097278896e-13       4.846633472775e-15       5.132335215916e-09       3.389024154243e-10      -1.656449516332e-12 
    4       2.260293125208e-10       9.658966485089e-15       3.885001320605e-13       4.207077784884e-15       3.574812244377e-09       2.565927834572e-10      -1.174671042228e-12 
    5       2.152048449493e-10       7.426389982959e-15       3.251848998240e-13       3.288867196047e-15       2.668774509420e-09       2.026238211061e-10      -7.450917165089e-13 
    6       2.080948431368e-10       4.868143818742e-15       2.624966905725e-13       2.381578245035e-15       2.083492941308e-09       1.648187897819e-10      -4.032485014223e-13 
    7       2.034532340655e-10       2.913902538823e-15       2.059387179441e-13       1.643347521669e-15       1.679813252445e-09       1.371454057312e-10      -1.578520332020e-13 
    8       2.004259244691e-10       1.797599904620e-15       1.590939679522e-13       1.126207694557e-15       1.388240169633e-09       1.161537768390e-10      -2.421264798243e-15 
    9       1.985341753643e-10       1.320393878478e-15       1.236106721373e-13       8.171204664922e-16       1.169603997608e-09       9.974631538136e-11       7.807431322434e-14 
   10       1.974319637850e-10       1.179642279436e-15       9.945718097389e-14       6.732515270022e-16       1.000430940180e-09       8.667630310804e-11       1.028302128110e-13 
   11       1.968905843352e-10       1.163407630109e-15       8.531234935093e-14       6.462339169651e-16       8.420381820311e-10       7.641569505582e-11       9.163843431440e-14 
   12       1.968095019143e-10       1.187713809689e-15       7.896707278606e-14       6.936246164800e-16       7.357262229546e-10       6.766804391127e-11       6.222980005065e-14 
   13       1.970104392595e-10       1.243862535262e-15       7.786202138018e-14       7.850105276280e-16       6.484591712695e-10       6.040086580993e-11       2.813883470720e-14 
   14       1.973987585853e-10       1.341185706788e-15       7.973612406637e-14       9.002100948549e-16       5.758486657821e-10       5.409874737291e-11      -1.838138973456e-15 
   15       1.979847967515e-10       1.477964460592e-15       8.283309230137e-14       1.028273777242e-15       5.147322274473e-10       4.880221842754e-11      -2.274779168601e-14 
   16       1.987645458077e-10       1.643611603431e-15       8.586650474571e-14       1.163635161758e-15       4.627705533731e-10       4.432243407597e-11      -3.353131634150e-14 
   17       1.995925596664e-10       1.829231861311e-15       8.818389892583e-14       1.303909591436e-15       4.181972648607e-10       4.045972968266e-11      -3.554352918271e-14 
   18       2.005178320508e-10       2.033116280554e-15       8.965181705039e-14       1.448565209901e-15       3.795092380662e-10       3.698091601120e-11      -3.167253549653e-14 
   19       2.015708200618e-10       2.259287937906e-15       9.040818918068e-14       1.597368588004e-15       3.460944192165e-10       3.388197416280e-11      -2.449240248596e-14 
   20       2.026527701918e-10       2.512868094453e-15       9.069595576417e-14       1.750193793482e-15       3.166644888271e-10       3.116642951446e-11      -1.690516259047e-14 
   21       2.037875241416e-10       2.795446441368e-15       9.078325027091e-14       1.906928529423e-15       2.907573937255e-10       2.880098409287e-11      -1.050939556308e-14 
   22       2.049786787760e-10       3.106763944546e-15       9.092177902403e-14       2.067534503695e-15       2.677536962717e-10       2.669772676139e-11      -6.425923434947e-15 
   23       2.062203339058e-10       3.445686484929e-15       9.108845907110e-14       2.231906010134e-15       2.473369969227e-10       2.481051637111e-11      -4.802847087794e-15 
   24       2.074685009842e-10       3.810530016018e-15       9.112079128866e-14       2.399945141439e-15       2.290350960013e-10       2.308643601154e-11      -5.281837723426e-15 
   25       2.087462990753e-10       4.201209590059e-15       9.080410351388e-14       2.571469357100e-15       2.126330254987e-10       2.152109687000e-11      -7.177802475981e-15 
   26       2.100672491318e-10       4.618052444176e-15       8.986327472547e-14       2.746276812120e-15       1.978343790246e-10       2.011017247470e-11      -9.568948218943e-15 
   27       2.114268560614e-10       5.061599755294e-15       8.802534357692e-14       2.924117088563e-15       1.844616862993e-10       1.884235161928e-11      -1.171154699238e-14 
   28       2.127980671653e-10       5.532455347970e-15       8.502268609599e-14       3.104736604161e-15       1.722843130558e-10       1.769434717707e-11      -1.295376052538e-14 
   29       2.141947162050e-10       6.031439730112e-15       8.076567801653e-14       3.287919290338e-15       1.612399896584e-10       1.665374797382e-11      -1.326825080103e-14 
   30       2.156210521038e-10       6.559440795485e-15       7.522838439054e-14       3.473474474560e-15       1.512100129482e-10       1.569937369152e-11      -1.287827208058e-14 
   31       2.170616637647e-10       7.117390352777e-15       6.840339290884e-14       3.661215689753e-15       1.419896873374e-10       1.480289209987e-11      -1.206318622543e-14 
   32       2.185243570996e-10       7.706400450401e-15       6.030835347526e-14       3.850902004814e-15       1.335314479395e-10       1.396522920757e-11      -1.101097990097e-14 
   33       2.200083804198e-10       8.327683000607e-15       5.098458204871e-14       4.042274886804e-15       1.257755956026e-10       1.319237854884e-11      -9.918545406238e-15 
   34       2.215006116731e-10       8.982402914957e-15       4.048250155519e-14       4.235072455883e-15       1.186137090335e-10       1.248537015615e-11      -8.991325696517e-15 
   35       2.230099265137e-10       9.671277272442e-15       2.881127769516e-14       4.429027431465e-15       1.120091430421e-10       1.184013710543e-11      -8.296889284274e-15 
   36       2.245417032356e-10       1.039482784274e-14       1.597247629369e-14       4.623867880276e-15       1.059088867750e-10       1.124662033209e-11      -7.861061218311e-15 
   37       2.260924453574e-10       1.115351920077e-14       1.960567993743e-15       4.819326179552e-15       1.002335197503e-10       1.069210983194e-11      -7.691366152272e-15 
   38       2.276678716844e-10       1.194789650440e-14      -1.328146367194e-14       5.015169154994e-15       9.496837456492e-11       1.017456652280e-11      -7.726852723143e-15 
   39       2.292685973575e-10       1.277848418290e-14      -2.983331162432e-14       5.211178116601e-15       9.009674788861e-11       9.693093145337e-12      -7.869481486632e-15 
   40       2.308838292425e-10       1.364574374920e-14      -4.778663665895e-14       5.407141284140e-15       8.557217092807e-11       9.244055918831e-12      -7.995343211936e-15 
   41       2.324984874371e-10       1.455009677633e-14      -6.722842335334e-14       5.602839714801e-15       8.133459895781e-11       8.822463854886e-12      -7.987095641596e-15 
   42       2.341201037560e-10       1.549201278341e-14      -8.818233326187e-14       5.797998661810e-15       7.737155992367e-11       8.427232288832e-12      -7.848109932735e-15 
   43       2.357587571011e-10       1.647194298509e-14      -1.106497992456e-13       5.992321021927e-15       7.367254163359e-11       8.057222809618e-12      -7.622586382590e-15 
   44       2.374190018689e-10       1.749029340290e-14      -1.346256487696e-13       6.185499819796e-15       7.021064275910e-11       7.709638633675e-12      -7.365220048286e-15 
