# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.867180381852e-10       7.832743881533e-15       5.600623508769e-13       4.820774845743e-15       8.251952827185e-09       4.776381064758e-10      -2.071094981615e-12 
    3       2.452656435339e-10       1.012455153113e-14       4.541097097607e-13       4.847143733861e-15       5.132335215916e-09       3.389024154243e-10      -1.656449516332e-12 
    4       2.260309147204e-10       9.659817210960e-15       3.885000800441e-13       4.207928509075e-15       3.574812244377e-09       2.565927834572e-10      -1.174671042228e-12 
    5       2.152072341878e-10       7.427666601088e-15       3.251847815386e-13       3.290143808440e-15       2.668774509420e-09       2.026238211061e-10      -7.450917165089e-13 
    6       2.080981649594e-10       4.869931943732e-15       2.624964584868e-13       2.383366354437e-15       2.083492941308e-09       1.648187897819e-10      -4.032485014223e-13 
    7       2.034576281290e-10       2.916287989382e-15       2.059383071057e-13       1.645732936116e-15       1.679813252445e-09       1.371454057312e-10      -1.578520332020e-13 
    8       2.004315240145e-10       1.800668711139e-15       1.590932940849e-13       1.129276426815e-15       1.388240169633e-09       1.161537768390e-10      -2.421264798243e-15 
    9       1.985411068680e-10       1.324232280195e-15       1.236096301378e-13       8.209587290692e-16       1.169603997608e-09       9.974631538136e-11       7.807431322434e-14 
   10       1.974403467933e-10       1.184336710845e-15       9.945564382239e-14       6.779457166721e-16       1.000430940180e-09       8.667630310804e-11       1.028302128110e-13 
   11       1.969005314798e-10       1.169044696682e-15       8.531016743933e-14       6.518705892352e-16       8.420381820311e-10       7.641569505582e-11       9.163843431440e-14 
   12       1.968211191023e-10       1.194380253325e-15       7.896407365436e-14       7.002904509003e-16       7.357262229546e-10       6.766804391127e-11       6.222980005065e-14 
   13       1.970238260228e-10       1.251645190244e-15       7.785800984081e-14       7.927922852228e-16       6.484591712695e-10       6.040086580993e-11       2.813883470720e-14 
   14       1.974140085700e-10       1.350171447337e-15       7.973088268595e-14       9.091945693145e-16       5.758486657821e-10       5.409874737291e-11      -1.838138973456e-15 
   15       1.980019983245e-10       1.488240141396e-15       8.282638220142e-14       1.038547741784e-15       5.147322274473e-10       4.880221842754e-11      -2.274779168601e-14 
   16       1.987837827512e-10       1.655263994735e-15       8.585806667795e-14       1.175285313767e-15       4.627705533731e-10       4.432243407597e-11      -3.353131634150e-14 
   17       1.996139119318e-10       1.842347580322e-15       8.817345457401e-14       1.317022497087e-15       4.181972648607e-10       4.045972968266e-11      -3.554352918271e-14 
   18       2.005413765536e-10       2.047781720176e-15       8.963907053138e-14       1.463227249885e-15       3.795092380662e-10       3.698091601120e-11      -3.167253549653e-14 
   19       2.015966314009e-10       2.275589199600e-15       9.039282856585e-14       1.613665913157e-15       3.460944192165e-10       3.388197416280e-11      -2.449240248596e-14 
   20       2.026809214910e-10       2.530890913841e-15       9.067765492547e-14       1.768212274593e-15       3.166644888271e-10       3.116642951446e-11      -1.690516259047e-14 
   21       2.038180876147e-10       2.815276129613e-15       9.076167045118e-14       1.926753731084e-15       2.907573937255e-10       2.880098409287e-11      -1.050939556308e-14 
   22       2.050117264338e-10       3.128485321351e-15       9.089657076646e-14       2.089251650892e-15       2.677536962717e-10       2.669772676139e-11      -6.425923434947e-15 
   23       2.062559379136e-10       3.469383831701e-15       9.105926378692e-14       2.255599982001e-15       2.473369969227e-10       2.481051637111e-11      -4.802847087794e-15 
   24       2.075067341611e-10       3.836287020499e-15       9.108724319144e-14       2.425700457776e-15       2.290350960013e-10       2.308643601154e-11      -5.281837723426e-15 
   25       2.087872349617e-10       4.229109315841e-15       9.076583112399e-14       2.599370194980e-15       2.126330254987e-10       2.152109687000e-11      -7.177802475981e-15 
   26       2.101109622321e-10       4.648177289702e-15       8.981990277684e-14       2.776407013774e-15       1.978343790246e-10       2.011017247470e-11      -9.568948218943e-15 
   27       2.114734216930e-10       5.094031435298e-15       8.797649458938e-14       2.956560194743e-15       1.844616862993e-10       1.884235161928e-11      -1.171154699238e-14 
   28       2.128475614167e-10       5.567274867905e-15       8.496798228449e-14       3.139575881939e-15       1.722843130558e-10       1.769434717707e-11      -1.295376052538e-14 
   29       2.142472153694e-10       6.068727388980e-15       8.070474286442e-14       3.325237786356e-15       1.612399896584e-10       1.665374797382e-11      -1.326825080103e-14 
   30       2.156766324445e-10       6.599276170156e-15       7.516084469481e-14       3.513355056599e-15       1.512100129482e-10       1.569937369152e-11      -1.287827208058e-14 
   31       2.171204012631e-10       7.159852281568e-15       6.832888104371e-14       3.703741087709e-15       1.419896873374e-10       1.480289209987e-11      -1.206318622543e-14 
   32       2.185863266942e-10       7.751567038940e-15       6.022650962323e-14       3.896154861227e-15       1.335314479395e-10       1.396522920757e-11      -1.101097990097e-14 
   33       2.200736554775e-10       8.375631617957e-15       5.089505661712e-14       4.090337810038e-15       1.257755956026e-10       1.319237854884e-11      -9.918545406238e-15 
   34       2.215692635228e-10       9.033210183671e-15       4.038495790171e-14       4.286028068047e-15       1.186137090335e-10       1.248537015615e-11      -8.991325696517e-15 
   35       2.230820239331e-10       9.725019048436e-15       2.870539555701e-14       4.482958388717e-15       1.120091430421e-10       1.184013710543e-11      -8.296889284274e-15 
   36       2.246173118755e-10       1.045157920581e-14       1.585795494718e-14       4.680856918701e-15       1.059088867750e-10       1.124662033209e-11      -7.861061218311e-15 
   37       2.261716273093e-10       1.121335443123e-14       1.837129785394e-15       4.879456148314e-15       1.002335197503e-10       1.069210983194e-11      -7.691366152272e-15 
   38       2.277506856822e-10       1.201088899497e-14      -1.341406827729e-14       5.078522966289e-15       9.496837456492e-11       1.017456652280e-11      -7.726852723143e-15 
   39       2.293550984793e-10       1.284470639608e-14      -2.997529977573e-14       5.277838756247e-15       9.009674788861e-11       9.693093145337e-12      -7.869481486632e-15 
   40       2.309740683939e-10       1.371526719276e-14      -4.793818906391e-14       5.477191847225e-15       8.557217092807e-11       9.244055918831e-12      -7.995343211936e-15 
   41       2.325925111794e-10       1.462299194544e-14      -6.738967962303e-14       5.676363407457e-15       8.133459895781e-11       8.822463854886e-12      -7.987095641596e-15 
   42       2.342179553956e-10       1.556834898802e-14      -8.835338559055e-14       5.875078682885e-15       7.737155992367e-11       8.427232288832e-12      -7.848109932735e-15 
   43       2.358604768639e-10       1.655178825573e-14      -1.108306869570e-13       6.073040529313e-15       7.367254163359e-11       8.057222809618e-12      -7.622586382590e-15 
   44       2.375246267144e-10       1.757371442576e-14      -1.348163530836e-13       6.269941929114e-15       7.021064275910e-11       7.709638633675e-12      -7.365220048286e-15 
   45       2.392112284011e-10       1.863446208034e-14      -1.603013061815e-13       6.465476378885e-15       6.695218251008e-11       7.381048072156e-12      -7.131091230847e-15 
   46       2.409247643870e-10       1.973421775675e-14      -1.872825922293e-13       6.659374201363e-15       6.389203012967e-11       7.071130881173e-12      -6.940248295088e-15 
   47       2.426672196869e-10       2.087307068431e-14      -2.157558890780e-13       6.851376045747e-15       6.102661815552e-11       6.779827372550e-12      -6.803608115411e-15 
   48       2.444354745525e-10       2.205102979741e-14      -2.457125908945e-13       7.041222848546e-15       5.834328639557e-11       6.506216410096e-12      -6.732787504359e-15 
   49       2.462208660782e-10       2.326802013942e-14      -2.771396892568e-13       7.228655853645e-15       5.581960578462e-11       6.248449947017e-12      -6.740114686174e-15 
   50       2.480136023579e-10       2.452390481012e-14      -3.100233997179e-13       7.413420232459e-15       5.343013252867e-11       6.004336293926e-12      -6.833711097221e-15 
   51       2.498184345616e-10       2.581856617394e-14      -3.443614778589e-13       7.595277056289e-15       5.117040051674e-11       5.773428441839e-12      -7.001136344735e-15 
   52       2.516424810752e-10       2.715184047876e-14      -3.801540407552e-13       7.773994608409e-15       4.903827262276e-11       5.555389434756e-12      -7.221323689758e-15 
   53       2.534905416965e-10       2.852349190180e-14      -4.174001696848e-13       7.949345252996e-15       4.702676087512e-11       5.349359076999e-12      -7.468906434596e-15 
   54       2.553648875963e-10       2.993321015561e-14      -4.560979674809e-13       8.121105624604e-15       4.512369997391e-11       5.153918999123e-12      -7.713997411763e-15 
   55       2.572663518066e-10       3.138063283513e-14      -4.962456149320e-13       8.289066975225e-15       4.331545817016e-11       4.967520923452e-12      -7.929254822547e-15 
   56       2.591983991001e-10       3.286542444416e-14      -5.378447159078e-13       8.453068791405e-15       4.159989737439e-11       4.789976077825e-12      -8.113640440177e-15 
   57       2.611636992564e-10       3.438721280748e-14      -5.808978836918e-13       8.612973860229e-15       3.997606075707e-11       4.621274594406e-12      -8.274177211928e-15 
   58       2.631627592157e-10       3.594556465084e-14      -6.254079089228e-13       8.768659415923e-15       3.844025196495e-11       4.461138207610e-12      -8.419242004340e-15 
   59       2.651937637096e-10       3.753998417085e-14      -6.713778558707e-13       8.920017725086e-15       3.698586593820e-11       4.309003366765e-12      -8.558628975915e-15 
   60       2.672524158917e-10       3.916991160498e-14      -7.188111587139e-13       9.066956671919e-15       3.560321972738e-11       4.164004348756e-12      -8.703612949807e-15 
   61       2.693341488304e-10       4.083473536429e-14      -7.677083687519e-13       9.209390569773e-15       3.428224076004e-11       4.025230787065e-12      -8.863778698454e-15 
   62       2.714417005888e-10       4.253383484955e-14      -8.180563250495e-13       9.347208861749e-15       3.302161950114e-11       3.892606011652e-12      -9.036533766682e-15 
   63       2.735789643873e-10       4.426654475173e-14      -8.698367128097e-13       9.480301401144e-15       3.182142033696e-11       3.766176792224e-12      -9.215343432327e-15 
   64       2.757486853037e-10       4.603214135719e-14      -9.230291881529e-13       9.608567874853e-15       3.068032844783e-11       3.645848300692e-12      -9.392718611240e-15 
   65       2.779523761299e-10       4.782984154799e-14      -9.776113681296e-13       9.731918078489e-15       2.959557128997e-11       3.531375930841e-12      -9.560176614805e-15 
   66       2.801902332284e-10       4.965880180213e-14      -1.033558820735e-12       9.850272191506e-15       2.856284007719e-11       3.422357118010e-12      -9.708201907471e-15 
   67       2.824610523884e-10       5.151811719378e-14      -1.090845054919e-12       9.963561052310e-15       2.757621126268e-11       3.318223158764e-12      -9.826206864271e-15 
   68       2.847634227616e-10       5.340680743578e-14      -1.149443366283e-12       1.007172317922e-14       2.662972805172e-11       3.218392857123e-12      -9.904966126237e-15 
   69       2.870997776780e-10       5.532377395740e-14      -1.209332830746e-12       1.017469451741e-14       2.572269257183e-11       3.122787900729e-12      -9.944580174593e-15 
   70       2.894730172438e-10       5.726783229347e-14      -1.270493512992e-12       1.027241709912e-14       2.485530990899e-11       3.031407697785e-12      -9.948062303464e-15 
