# PT power spectra for matter and bias tracers P(k), P_CTR(k) (for c_s^2 = 1 (Mpc/h)^2 ), Id2d2(k), Id2(k), IG2(k), Id2G2(k), IG2G2(k), IFG2(k) at redshift z=0
# for k=1.03068e-05 to 104.714 h/Mpc,
# number of wavenumbers equal to 623
#    1:k (h/Mpc)           2:P_lin + P_1loop (Mpc/h)^3     3:P_CTR (Mpc/h)^3        4:Id2d2 (Mpc/h)^3        5:Id2 (Mpc/h)^3          6:IG2 (Mpc/h)^3          7:Id2G2 (Mpc/h)^3        8:IG2G2 (Mpc/h)^3        9:IFG2 (Mpc/h)^3     
       1.030680750951e-05       5.231047219288e+01      -5.556956174579e-09      -5.231047230862e+01       0.000000000000e+00      -5.231047230862e+01      -5.231047230862e+01       5.231047230862e+01      -5.231047230862e+01 
       2.300851568536e-05       1.132559004664e+02      -5.995674503700e-08      -1.132559016408e+02       0.000000000000e+00      -1.132559016408e+02      -1.132559016408e+02       1.132559016408e+02      -1.132559016408e+02 
       3.575366586725e-05       1.730579138533e+02      -2.212241999894e-07      -1.730579176723e+02       0.000000000000e+00      -1.730579176723e+02      -1.730579176723e+02       1.730579176723e+02      -1.730579176723e+02 
       4.857560011186e-05       2.323843195924e+02      -5.483314940907e-07      -2.323843309856e+02       0.000000000000e+00      -2.323843309856e+02      -2.323843309856e+02       2.323843309856e+02      -2.323843309856e+02 
       6.150819689367e-05       2.916090884057e+02      -1.103232595280e-06      -2.916091099150e+02       0.000000000000e+00      -2.916091099150e+02      -2.916091099150e+02       2.916091099150e+02      -2.916091099150e+02 
       7.458616487219e-05       3.510087248655e+02      -1.952695468948e-06      -3.510087641093e+02       0.000000000000e+00      -3.510087641093e+02      -3.510087641093e+02       3.510087641093e+02      -3.510087641093e+02 
       8.784534580483e-05       4.108171816505e+02      -3.170196513879e-06      -4.108172462413e+02       0.000000000000e+00      -4.108172462413e+02      -4.108172462413e+02       4.108172462413e+02      -4.108172462413e+02 
       1.013230305314e-04       4.712481772668e+02      -4.838002835561e-06      -4.712482772259e+02       0.000000000000e+00      -4.712482772259e+02      -4.712482772259e+02       4.712482772259e+02      -4.712482772259e+02 
       1.150582919869e-04       5.325065786240e+02      -7.049542680220e-06      -5.325067232436e+02       0.000000000000e+00      -5.325067232436e+02      -5.325067232436e+02       5.325067232436e+02      -5.325067232436e+02 
       1.290923392314e-04       5.947951875916e+02      -9.912165420997e-06      -5.947953901708e+02       0.000000000000e+00      -5.947953901708e+02      -5.947953901708e+02       5.947953901708e+02      -5.947953901708e+02 
       1.434688964973e-04       6.583193758098e+02      -1.355040695281e-05      -6.583196577299e+02       0.000000000000e+00      -6.583196577299e+02      -6.583196577299e+02       6.583196577299e+02      -6.583196577299e+02 
       1.582346112087e-04       7.232906691795e+02      -1.810990036149e-05      -7.232910415199e+02       0.000000000000e+00      -7.232910415199e+02      -7.232910415199e+02       7.232910415199e+02      -7.232910415199e+02 
       1.734394947856e-04       7.899296718325e+02      -2.376209341198e-05      -7.899301643607e+02       0.000000000000e+00      -7.899301643607e+02      -7.899301643607e+02       7.899301643607e+02      -7.899301643607e+02 
       1.891373997428e-04       8.584688059384e+02      -3.070998961500e-05      -8.584694439975e+02       0.000000000000e+00      -8.584694439975e+02      -8.584694439975e+02       8.584694439975e+02      -8.584694439975e+02 
       2.053865360464e-04       9.291548169338e+02      -3.919515692926e-05      -9.291556278106e+02       0.000000000000e+00      -9.291556278106e+02      -9.291556278106e+02       9.291556278106e+02      -9.291556278106e+02 
       2.222500287938e-04       1.002251261675e+03      -4.950632791286e-05      -1.002252285357e+03       0.000000000000e+00      -1.002252285357e+03      -1.002252285357e+03       1.002252285357e+03      -1.002252285357e+03 
       2.397965178950e-04       1.078040995872e+03      -6.198998689035e-05      -1.078042279031e+03       0.000000000000e+00      -1.078042279031e+03      -1.078042279031e+03       1.078042279031e+03      -1.078042279031e+03 
       2.581007983621e-04       1.156828665376e+03      -7.706343113398e-05      -1.156830262613e+03       0.000000000000e+00      -1.156830262613e+03      -1.156830262613e+03       1.156830262613e+03      -1.156830262613e+03 
       2.772444968410e-04       1.238943191233e+03      -9.523091499830e-05      -1.238945166782e+03       0.000000000000e+00      -1.238945166782e+03      -1.238945166782e+03       1.238945166782e+03      -1.238945166782e+03 
       2.973167758584e-04       1.324740223140e+03      -1.171036279851e-04      -1.324742653313e+03       0.000000000000e+00      -1.324742653313e+03      -1.324742653313e+03       1.324742653313e+03      -1.324742653313e+03 
       3.184150515916e-04       1.414604501850e+03      -1.434244283490e-04      -1.414607478587e+03       0.000000000000e+00      -1.414607478587e+03      -1.414607478587e+03       1.414607478587e+03      -1.414607478587e+03 
       3.406457034339e-04       1.508952006898e+03      -1.750984507531e-04      -1.508955640855e+03       0.000000000000e+00      -1.508955640855e+03      -1.508955640855e+03       1.508955640855e+03      -1.508955640855e+03 
       3.641247439009e-04       1.608231762566e+03      -2.132309360619e-04      -1.608236186960e+03       0.000000000000e+00      -1.608236186960e+03      -1.608236186960e+03       1.608236186960e+03      -1.608236186960e+03 
       3.889784052240e-04       1.712927099613e+03      -2.591738767879e-04      -1.712932476491e+03       0.000000000000e+00      -1.712932476491e+03      -1.712932476491e+03       1.712932476491e+03      -1.712932476491e+03 
       4.153435842542e-04       1.823556108725e+03      -3.145833231410e-04      -1.823562633076e+03       0.000000000000e+00      -1.823562633076e+03      -1.823562633076e+03       1.823562633076e+03      -1.823562633076e+03 
       4.433680703614e-04       1.940670993345e+03      -3.814894312656e-04      -1.940678903773e+03       0.000000000000e+00      -1.940678903773e+03      -1.940678903773e+03       1.940678903773e+03      -1.940678903773e+03 
       4.732104628082e-04       2.064855894922e+03      -4.623814889178e-04      -2.064865480010e+03       0.000000000000e+00      -2.064865480010e+03      -2.064865480010e+03       2.064865480010e+03      -2.064865480010e+03 
       5.050396664706e-04       2.196722787774e+03      -5.603101990885e-04      -2.196734400175e+03       0.000000000000e+00      -2.196734400175e+03      -2.196734400175e+03       2.196734400175e+03      -2.196734400175e+03 
       5.390338409116e-04       2.336904951607e+03      -6.790093001123e-04      -2.336919020339e+03       0.000000000000e+00      -2.336919020339e+03      -2.336919020339e+03       2.336919020339e+03      -2.336919020339e+03 
       5.753786723049e-04       2.486047557488e+03      -8.230380709012e-04      -2.486064605670e+03       0.000000000000e+00      -2.486064605670e+03      -2.486064605670e+03       2.486064605670e+03      -2.486064605670e+03 
       6.142648466296e-04       2.644794983531e+03      -9.979452638105e-04      -2.644815648522e+03       0.000000000000e+00      -2.644815648522e+03      -2.644815648522e+03       2.644815648522e+03      -2.644815648522e+03 
       6.558846328500e-04       2.813774635378e+03      -1.210453403961e-03      -2.813799691668e+03       0.000000000000e+00      -2.813799691668e+03      -2.813799691668e+03       2.813799691668e+03      -2.813799691668e+03 
       7.004275428668e-04       2.993577318502e+03      -1.468660113971e-03      -2.993607708781e+03       0.000000000000e+00      -2.993607708781e+03      -2.993607708781e+03       2.993607708781e+03      -2.993607708781e+03 
       7.480751244029e-04       3.184734623630e+03      -1.782250218435e-03      -3.184771485978e+03       0.000000000000e+00      -3.184771485978e+03      -3.184771485978e+03       3.184771485978e+03      -3.184771485978e+03 
       7.989950611462e-04       3.387694282037e+03      -2.162709042216e-03      -3.387738993881e+03       0.000000000000e+00      -3.387738993881e+03      -3.387738993881e+03       3.387738993881e+03      -3.387738993881e+03 
       8.533348898586e-04       3.602794975678e+03      -2.623523990774e-03      -3.602849183691e+03       0.000000000000e+00      -3.602849183691e+03      -3.602849183691e+03       3.602849183691e+03      -3.602849183691e+03 
       9.112157747092e-04       3.830242537010e+03      -3.180358783724e-03      -3.830308222441e+03       0.000000000000e+00      -3.830308222441e+03      -3.830308222441e+03       3.830308222441e+03      -3.830308222441e+03 
       9.727268743714e-04       4.070089931976e+03      -3.851183685454e-03      -4.070169408080e+03       0.000000000000e+00      -4.070169408080e+03      -4.070169408080e+03       4.070169408080e+03      -4.070169408080e+03 
       1.037920865324e-03       4.322223062768e+03      -4.656345541204e-03      -4.322319145268e+03       0.000000000000e+00      -4.322319145268e+03      -4.322319145268e+03       4.322319145268e+03      -4.322319145268e+03 
       1.106811122151e-03       4.586354993111e+03      -5.618566523448e-03      -4.586470739561e+03       0.000000000000e+00      -4.586470739561e+03      -4.586470739561e+03       4.586470739561e+03      -4.586470739561e+03 
       1.179370899079e-03       4.862028011907e+03      -6.762861997672e-03      -4.862167497380e+03       0.000000000000e+00      -4.862167497380e+03      -4.862167497380e+03       4.862167497380e+03      -4.862167497380e+03 
       1.255534628754e-03       5.148627960390e+03      -8.116387571796e-03      -5.148794802256e+03       0.000000000000e+00      -5.148794802256e+03      -5.148794802256e+03       5.148794802256e+03      -5.148794802256e+03 
       1.335201198917e-03       5.445395548017e+03      -9.708194974137e-03      -5.445595302343e+03       0.000000000000e+00      -5.445595302343e+03      -5.445595302343e+03       5.445595302343e+03      -5.445595302343e+03 
       1.418238838954e-03       5.751436250669e+03      -1.156891577215e-02      -5.751673957814e+03       0.000000000000e+00      -5.751673957814e+03      -5.751673957814e+03       5.751673957814e+03      -5.751673957814e+03 
       1.504491092406e-03       6.065838000503e+03      -1.373061019082e-02      -6.066120143236e+03       0.000000000000e+00      -6.066120143236e+03      -6.066120143236e+03       6.066120143236e+03      -6.066120143236e+03 
