# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.805294065823e-10       7.579323351553e-15       5.418558733633e-13       4.844285531316e-15       8.031816800059e-09       4.554601954346e-10      -1.970215686766e-12 
    3       2.393698912943e-10       9.802177752023e-15       4.314686362645e-13       4.873654008717e-15       5.013363339532e-09       3.240172793880e-10      -1.582257275704e-12 
    4       2.206730629569e-10       9.386100618196e-15       3.668657835276e-13       4.235329370533e-15       3.498181734577e-09       2.457063888126e-10      -1.126601211460e-12 
    5       2.103384581198e-10       7.250755297228e-15       3.066888292100e-13       3.315591940395e-15       2.615089556149e-09       1.943449592190e-10      -7.179097705993e-13 
    6       2.036098653572e-10       4.777700146888e-15       2.476496523141e-13       2.404324017395e-15       2.043771727930e-09       1.583363298799e-10      -3.910645610258e-13 
    7       1.992455247295e-10       2.872317452434e-15       1.943929149230e-13       1.660900794123e-15       1.648972292722e-09       1.318483644412e-10      -1.552308210610e-13 
    8       1.964119639693e-10       1.774068193743e-15       1.502090240944e-13       1.138329124199e-15       1.363474587070e-09       1.117041672606e-10      -4.900259069847e-15 
    9       1.946831915943e-10       1.299932024801e-15       1.166677388864e-13       8.243692129640e-16       1.149391423586e-09       9.603474537133e-11       7.377092910061e-14 
   10       1.937435597035e-10       1.159247789028e-15       9.374374711505e-14       6.766791472135e-16       9.837819159487e-10       8.358463398818e-11       9.878400258657e-14 
   11       1.932950679559e-10       1.144580910545e-15       8.023851215211e-14       6.467337015956e-16       8.276109995884e-10       7.366382492727e-11       8.882478333197e-14 
   12       1.932649192609e-10       1.170955369623e-15       7.411869531220e-14       6.922767471785e-16       7.234317503926e-10       6.525751727773e-11       6.105330798225e-14 
   13       1.935176296071e-10       1.228339639473e-15       7.304952972061e-14       7.824109527379e-16       6.378779236059e-10       5.818219910916e-11       2.813980394460e-14 
   14       1.939803272796e-10       1.325397125098e-15       7.485459528422e-14       8.968503849197e-16       5.666624454433e-10       5.224095870937e-11      -9.411085971845e-16 
   15       1.946248316200e-10       1.460986661395e-15       7.774427380696e-14       1.024349430019e-15       5.067001105376e-10       4.721661739398e-11      -2.145594341175e-14 
   16       1.953719132806e-10       1.624891294523e-15       8.059564302852e-14       1.159384824602e-15       4.557026170758e-10       4.288776104546e-11      -3.223297991926e-14 
   17       1.962731646599e-10       1.808538660290e-15       8.279201863703e-14       1.299176480143e-15       4.119403310198e-10       3.903048011780e-11      -3.467583049045e-14 
   18       1.972342123841e-10       2.009719571751e-15       8.407988594639e-14       1.443384597527e-15       3.739434943437e-10       3.567456033357e-11      -3.116015554449e-14 
   19       1.982721882027e-10       2.232261219278e-15       8.461957133978e-14       1.591793743638e-15       3.411159919682e-10       3.277546295032e-11      -2.416961263732e-14 
   20       1.993590199282e-10       2.481317007290e-15       8.473069390386e-14       1.744166589866e-15       3.121953415447e-10       3.016797808588e-11      -1.672666080517e-14 
   21       2.005056959871e-10       2.758594832018e-15       8.465363257382e-14       1.900403583314e-15       2.867296743318e-10       2.784327781713e-11      -1.046462327132e-14 
   22       2.016817352517e-10       3.063990482550e-15       8.458207991829e-14       2.060520824224e-15       2.641121756278e-10       2.580342458273e-11      -6.497716814995e-15 
   23       2.029055616886e-10       3.396344539178e-15       8.450434364798e-14       2.224420786541e-15       2.440331559135e-10       2.401129385126e-11      -4.886343598927e-15 
   24       2.041706678842e-10       3.753923559296e-15       8.429440372251e-14       2.391997087513e-15       2.260295622353e-10       2.239196414178e-11      -5.184586834914e-15 
   25       2.054739449208e-10       4.136777923279e-15       8.375378180712e-14       2.563057808698e-15       2.098907672981e-10       2.090777058254e-11      -6.815706702422e-15 
   26       2.067880614133e-10       4.545391190427e-15       8.262287709515e-14       2.737390742508e-15       1.953259958462e-10       1.952505928076e-11      -9.028949977017e-15 
   27       2.081233964474e-10       4.980140583249e-15       8.066234279087e-14       2.914740275714e-15       1.821616732675e-10       1.826067705005e-11      -1.112567809013e-14 
   28       2.094833916452e-10       5.441385169527e-15       7.763562131569e-14       3.094848957529e-15       1.701719422813e-10       1.713510940292e-11      -1.244946276619e-14 
   29       2.108812702066e-10       5.929947938179e-15       7.342568382932e-14       3.277497305488e-15       1.592958362891e-10       1.613648686910e-11      -1.292458163545e-14 
