# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.805298848408e-10       7.579578988126e-15       5.418558694731e-13       4.844541167852e-15       8.031816800059e-09       4.554601954346e-10      -1.970215686766e-12 
    3       2.393708443819e-10       9.802689153377e-15       4.314686189456e-13       4.874165409709e-15       5.013363339532e-09       3.240172793880e-10      -1.582257275704e-12 
    4       2.206746439210e-10       9.386953232773e-15       3.668657338327e-13       4.236181983335e-15       3.498181734577e-09       2.457063888126e-10      -1.126601211460e-12 
    5       2.103408157254e-10       7.252034728127e-15       3.066887161958e-13       3.316871365228e-15       2.615089556149e-09       1.943449592190e-10      -7.179097705993e-13 
    6       2.036131432569e-10       4.779492176980e-15       2.476494305524e-13       2.406116030990e-15       2.043771727930e-09       1.583363298799e-10      -3.910645610258e-13 
    7       1.992498607816e-10       2.874708061149e-15       1.943925223216e-13       1.663291364586e-15       1.648972292722e-09       1.318483644412e-10      -1.552308210610e-13 
    8       1.964174897198e-10       1.777143564519e-15       1.502083800685e-13       1.141404416222e-15       1.363474587070e-09       1.117041672606e-10      -4.900259069847e-15 
    9       1.946900319351e-10       1.303778542534e-15       1.166667429072e-13       8.282155829470e-16       1.149391423586e-09       9.603474537133e-11       7.377092910061e-14 
   10       1.937518327111e-10       1.163952027193e-15       9.374227765175e-14       6.813831282680e-16       9.837819159487e-10       8.358463398818e-11       9.878400258657e-14 
   11       1.933048849094e-10       1.150229608013e-15       8.023642601019e-14       6.523819788752e-16       8.276109995884e-10       7.366382492727e-11       8.882478333197e-14 
   12       1.932763848308e-10       1.177635397561e-15       7.411582735960e-14       6.989561243795e-16       7.234317503926e-10       6.525751727773e-11       6.105330798225e-14 
   13       1.935308422021e-10       1.236137959038e-15       7.304569298304e-14       7.902083110114e-16       6.378779236059e-10       5.818219910916e-11       2.813980394460e-14 
   14       1.939953795307e-10       1.334400736964e-15       7.484958138122e-14       9.058526357692e-16       5.666624454433e-10       5.224095870937e-11      -9.411085971845e-16 
   15       1.946418109805e-10       1.471282548402e-15       7.773785369277e-14       1.034643464022e-15       5.067001105376e-10       4.721661739398e-11      -2.145594341175e-14 
   16       1.953909027123e-10       1.636566358950e-15       8.058756799632e-14       1.171057457984e-15       4.557026170758e-10       4.288776104546e-11      -3.223297991926e-14 
   17       1.962942433773e-10       1.821679657443e-15       8.278202154151e-14       1.312314401336e-15       4.119403310198e-10       3.903048011780e-11      -3.467583049045e-14 
   18       1.972574566394e-10       2.024413040823e-15       8.406768261901e-14       1.458074314775e-15       3.739434943437e-10       3.567456033357e-11      -3.116015554449e-14 
   19       1.982976719952e-10       2.248593417976e-15       8.460486202967e-14       1.608121542135e-15       3.411159919682e-10       3.277546295032e-11      -2.416961263732e-14 
   20       1.993868158338e-10       2.499373839444e-15       8.471316502813e-14       1.762218483288e-15       3.121953415447e-10       3.016797808588e-11      -1.672666080517e-14 
   21       2.005358757157e-10       2.778461790132e-15       8.463295821671e-14       1.920265288499e-15       2.867296743318e-10       2.784327781713e-11      -1.046462327132e-14 
   22       2.017143703434e-10       3.085752582272e-15       8.455792367205e-14       2.082277728862e-15       2.641121756278e-10       2.580342458273e-11      -6.497716814995e-15 
   23       2.029407238643e-10       3.420086273102e-15       8.447636012170e-14       2.248157943017e-15       2.440331559135e-10       2.401129385126e-11      -4.886343598927e-15 
   24       2.042084295368e-10       3.779728842533e-15       8.426224039988e-14       2.417799199797e-15       2.260295622353e-10       2.239196414178e-11      -5.184586834914e-15 
   25       2.055143791794e-10       4.164730063148e-15       8.371708050841e-14       2.591009248222e-15       2.098907672981e-10       2.090777058254e-11      -6.815706702422e-15 
   26       2.068312423799e-10       4.575572845928e-15       8.258127582167e-14       2.767575555646e-15       1.953259958462e-10       1.952505928076e-11      -9.028949977017e-15 
   27       2.081693990453e-10       5.012633746477e-15       8.061547726294e-14       2.947242215829e-15       1.821616732675e-10       1.826067705005e-11      -1.112567809013e-14 
   28       2.095322915747e-10       5.476271140336e-15       7.758312683207e-14       3.129751511670e-15       1.701719422813e-10       1.713510940292e-11      -1.244946276619e-14 
   29       2.109331433829e-10       5.967307327234e-15       7.336719681942e-14       3.314883745698e-15       1.592958362891e-10       1.613648686910e-11      -1.292458163545e-14 
   30       2.123643621406e-10       6.486729546903e-15       6.788605829779e-14       3.502444608103e-15       1.494165721462e-10       1.522832875527e-11      -1.269735547504e-14 
   31       2.137994907331e-10       7.035571066644e-15       6.108041422272e-14       3.692244865145e-15       1.403327495225e-10       1.436703410058e-11      -1.196911223403e-14 
   32       2.152495929179e-10       7.614927277514e-15       5.299005582288e-14       3.884045518526e-15       1.319978788110e-10       1.355451656568e-11      -1.092501322697e-14 
   33       2.167232565707e-10       8.225950047681e-15       4.370954328499e-14       4.077592463104e-15       1.243536333543e-10       1.280397055638e-11      -9.786921706319e-15 
