# dimensionless [l(l+1)/2pi] C_l's for tensor mode
# for l=2 to 500, i.e. number of multipoles equal to 499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.434927556728e-10       2.708935892710e-15       1.685883793851e-13       4.844285531316e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    3       1.098981500428e-10       2.862510145104e-15      -7.768646570208e-15       4.873654008717e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    4       9.844840712690e-11       2.624786498719e-15      -6.083110173806e-14       4.235329370533e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    5       9.362900448316e-11       2.096618957064e-15      -7.185440357831e-14       3.315591940395e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    6       9.077233428760e-11       1.510100812939e-15      -6.832484340741e-14       2.404324017395e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    7       8.895634385921e-11       1.027264039850e-15      -6.062016065255e-14       1.660900794123e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    8       8.772217452992e-11       7.140180896478e-16      -5.331255657318e-14       1.138329124199e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    9       8.682050979995e-11       5.649978203976e-16      -4.809923142896e-14       8.243692129640e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   10       8.610742913253e-11       5.403688005055e-16      -4.531308962056e-14       6.766791472135e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   11       8.549861657077e-11       5.944326353314e-16      -4.472773275281e-14       6.467337015956e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   12       8.494505154696e-11       6.912646204328e-16      -4.595163744665e-14       6.922767471785e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   13       8.441754153796e-11       8.084208324048e-16      -4.859478012487e-14       7.824109527379e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   14       8.389788126704e-11       9.352577862554e-16      -5.234830896116e-14       8.968503849197e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   15       8.337463203033e-11       1.067747825943e-15      -5.699220681907e-14       1.024349430019e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   16       8.284093573313e-11       1.205134872027e-15      -6.236817535871e-14       1.159384824602e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   17       8.229299818716e-11       1.348168063043e-15      -6.836247095821e-14       1.299176480143e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   18       8.172291257027e-11       1.496692927675e-15      -7.489889436404e-14       1.443384597527e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   19       8.114797550894e-11       1.650584182834e-15      -8.192991160691e-14       1.591793743638e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   20       8.054868227339e-11       1.809898193830e-15      -8.939267998630e-14       1.744166589866e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
