# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.856500821479e-10       7.947238403598e-15       5.666305078387e-13       4.885246647456e-15       8.369861584650e-09       4.683808896825e-10      -2.088009626791e-12 
    3       2.440665383617e-10       1.029703599298e-14       4.582091409765e-13       4.920922097353e-15       5.168721831803e-09       3.324471792114e-10      -1.672548950882e-12 
    4       2.250255047778e-10       9.855225153509e-15       3.918159880338e-13       4.280225414877e-15       3.593639963217e-09       2.518801670506e-10      -1.188873011264e-12 
    5       2.143470270833e-10       7.602901567941e-15       3.278900592676e-13       3.352976121755e-15       2.680609174122e-09       1.990404152322e-10      -7.568766397991e-13 
    6       2.073507919841e-10       4.999102902228e-15       2.646693638146e-13       2.432577537126e-15       2.093311671103e-09       1.620401537530e-10      -4.123582901331e-13 
    7       2.027931084160e-10       2.995743845451e-15       2.075886027991e-13       1.680680844575e-15       1.689014835680e-09       1.348792607506e-10      -1.642289231221e-13 
    8       1.998093310071e-10       1.842207309811e-15       1.602696715227e-13       1.151427268036e-15       1.396339629732e-09       1.142183346065e-10      -6.228310983148e-15 
    9       1.979642772498e-10       1.343741163990e-15       1.243728629605e-13       8.329691463715e-16       1.176306482808e-09       9.811054660399e-11       7.644511950458e-14 
   10       1.969243389147e-10       1.193971646986e-15       9.986542431187e-14       6.825441586613e-16       1.005933173254e-09       8.531376951780e-11       1.028075655349e-13 
   11       1.964092748192e-10       1.174689434465e-15       8.544638570627e-14       6.514169759414e-16       8.463514491356e-10       7.521420923509e-11       9.253519199505e-14 
   12       1.963394217915e-10       1.197385069073e-15       7.891314372564e-14       6.965838794491e-16       7.394527357759e-10       6.659580226770e-11       6.357055922750e-14 
   13       1.965547381288e-10       1.251748332798e-15       7.772707299172e-14       7.870378642153e-16       6.517100884028e-10       5.937056319664e-11       2.930836058077e-14 
   14       1.969754907488e-10       1.347365687749e-15       7.961275247079e-14       9.020300759387e-16       5.787066319341e-10       5.324918889129e-11      -1.008803243619e-15 
   15       1.975953968015e-10       1.482900372761e-15       8.273817167781e-14       1.030366094448e-15       5.172647043841e-10       4.808831473419e-11      -2.239806810991e-14 
   16       1.983454423736e-10       1.647844434772e-15       8.582401151795e-14       1.166190858296e-15       4.650299308736e-10       4.367068829907e-11      -3.364418367432e-14 
   17       1.992171017830e-10       1.832887822911e-15       8.819452689769e-14       1.306962226324e-15       4.202239502388e-10       3.977923731649e-11      -3.613972544782e-14 
   18       2.001676117489e-10       2.035848340971e-15       8.964891140201e-14       1.452191746326e-15       3.813350990488e-10       3.636304779773e-11      -3.248247971619e-14 
