# dimensionless [l(l+1)/2pi] C_l's for scalar mode
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.433842375586e-10       5.213018156367e-15       3.981586451273e-13       0.000000000000e+00       8.369861584650e-09       4.683808896825e-10      -2.088009626791e-12 
    3       1.352039033264e-10       7.403223140699e-15       4.663567459503e-13       0.000000000000e+00       5.168721831803e-09       3.324471792114e-10      -1.672548950882e-12 
    4       1.274066513081e-10       7.199376715963e-15       4.528865242346e-13       0.000000000000e+00       3.593639963217e-09       2.518801670506e-10      -1.188873011264e-12 
    5       1.214562026129e-10       5.480251568311e-15       3.999465752516e-13       0.000000000000e+00       2.680609174122e-09       1.990404152322e-10      -7.568766397991e-13 
    6       1.172506696670e-10       3.469898784537e-15       3.331347831372e-13       0.000000000000e+00       2.093311671103e-09       1.620401537530e-10      -4.123582901331e-13 
    7       1.144566787413e-10       1.955821424912e-15       2.682871672157e-13       0.000000000000e+00       1.689014835680e-09       1.348792607506e-10      -1.642289231221e-13 
    8       1.126648342907e-10       1.120253431778e-15       2.136022988493e-13       0.000000000000e+00       1.396339629732e-09       1.142183346065e-10      -6.228310983148e-15 
    9       1.116860154947e-10       7.736857438311e-16       1.724372626857e-13       0.000000000000e+00       1.176306482808e-09       9.811054660399e-11       7.644511950458e-14 
   10       1.113283398386e-10       6.497483587623e-16       1.450944534351e-13       0.000000000000e+00       1.005933173254e-09       8.531376951780e-11       1.028075655349e-13 
   11       1.113943627287e-10       5.766954217368e-16       1.300493924441e-13       0.000000000000e+00       8.463514491356e-10       7.521420923509e-11       9.253519199505e-14 
   12       1.118525869283e-10       5.021117652321e-16       1.247002386722e-13       0.000000000000e+00       7.394527357759e-10       6.659580226770e-11       6.357055922750e-14 
   13       1.125717808496e-10       4.387167392944e-16       1.261193091066e-13       0.000000000000e+00       6.517100884028e-10       5.937056319664e-11       2.930836058077e-14 
   14       1.134902223203e-10       4.067221630788e-16       1.317261106844e-13       0.000000000000e+00       5.787066319341e-10       5.324918889129e-11      -1.008803243619e-15 
   15       1.146128721659e-10       4.090614690546e-16       1.394633138924e-13       0.000000000000e+00       5.172647043841e-10       4.808831473419e-11      -2.239806810991e-14 
   16       1.158773844214e-10       4.356915504435e-16       1.478945117734e-13       0.000000000000e+00       4.650299308736e-10       4.367068829907e-11      -3.364418367432e-14 
   17       1.172788927224e-10       4.768377208212e-16       1.562319983454e-13       0.000000000000e+00       4.202239502388e-10       3.977923731649e-11      -3.613972544782e-14 
   18       1.187823622581e-10       5.303865603977e-16       1.641937480354e-13       0.000000000000e+00       3.813350990488e-10       3.636304779773e-11      -3.248247971619e-14 
   19       1.203885220085e-10       6.003701552609e-16       1.719103796148e-13       0.000000000000e+00       3.477483422153e-10       3.337911008156e-11      -2.527109572631e-14 
