# PT power spectra for matter and bias tracers P(k), P_CTR(k) (for c_s^2 = 1 (Mpc/h)^2 ), Id2d2(k), Id2(k), IG2(k), Id2G2(k), IG2G2(k), IFG2(k) at redshift z=0
# for k=1.03956e-05 to 105.108 h/Mpc,
# number of wavenumbers equal to 622
#    1:k (h/Mpc)           2:P_lin + P_1loop (Mpc/h)^3     3:P_CTR (Mpc/h)^3        4:Id2d2 (Mpc/h)^3        5:Id2 (Mpc/h)^3          6:IG2 (Mpc/h)^3          7:Id2G2 (Mpc/h)^3        8:IG2G2 (Mpc/h)^3        9:IFG2 (Mpc/h)^3     
       1.039564326216e-05       5.107545761552e+01      -5.519694011948e-09      -5.107545772900e+01       0.000000000000e+00      -5.107545772900e+01      -5.107545772900e+01       5.107545772900e+01      -5.107545772900e+01 
       2.324005029469e-05       1.107341774227e+02      -5.980752301358e-08      -1.107341786068e+02       0.000000000000e+00      -1.107341786068e+02      -1.107341786068e+02       1.107341786068e+02      -1.107341786068e+02 
       3.612930635646e-05       1.692758566395e+02      -2.209603160911e-07      -1.692758603776e+02       0.000000000000e+00      -1.692758603776e+02      -1.692758603776e+02       1.692758603776e+02      -1.692758603776e+02 
       4.909789395017e-05       2.273584514868e+02      -5.480710356669e-07      -2.273584627513e+02       0.000000000000e+00      -2.273584627513e+02      -2.273584627513e+02       2.273584627513e+02      -2.273584627513e+02 
       6.218086214376e-05       2.853515323536e+02      -1.103300272791e-06      -2.853515535582e+02       0.000000000000e+00      -2.853515535582e+02      -2.853515535582e+02       2.853515535582e+02      -2.853515535582e+02 
       7.541413732903e-05       3.435292195716e+02      -1.953751262518e-06      -3.435292581406e+02       0.000000000000e+00      -3.435292581406e+02      -3.435292581406e+02       3.435292581406e+02      -3.435292581406e+02 
       8.883484385548e-05       4.021240911542e+02      -3.173414857982e-06      -4.021241553245e+02       0.000000000000e+00      -4.021241553245e+02      -4.021241553245e+02       4.021241553245e+02      -4.021241553245e+02 
       1.024816387820e-04       4.613491447210e+02      -4.845314112941e-06      -4.613492439191e+02       0.000000000000e+00      -4.613492439191e+02      -4.613492439191e+02       4.613492439191e+02      -4.613492439191e+02 
       1.163950650215e-04       5.214090146548e+02      -7.063952850346e-06      -5.214091582877e+02       0.000000000000e+00      -5.214091582877e+02      -5.214091582877e+02       5.214091582877e+02      -5.214091582877e+02 
       1.306179271866e-04       5.825066928122e+02      -9.938175239800e-06      -5.825068932127e+02       0.000000000000e+00      -5.825068932127e+02      -5.825068932127e+02       5.825068932127e+02      -5.825068932127e+02 
       1.451956944530e-04       6.448481439851e+02      -1.359455881966e-05      -6.448484229484e+02       0.000000000000e+00      -6.448484229484e+02      -6.448484229484e+02       6.448484229484e+02      -6.448484229484e+02 
       1.601769346991e-04       7.086458983179e+02      -1.818148980269e-05      -7.086462672911e+02       0.000000000000e+00      -7.086462672911e+02      -7.086462672911e+02       7.086462672911e+02      -7.086462672911e+02 
       1.756137840119e-04       7.741220074519e+02      -2.387409348553e-05      -7.741224968984e+02       0.000000000000e+00      -7.741224968984e+02      -7.741224968984e+02       7.741224968984e+02      -7.741224968984e+02 
       1.915624552923e-04       8.415108233231e+02      -3.088025113923e-05      -8.415114556371e+02       0.000000000000e+00      -8.415114556371e+02      -8.415114556371e+02       8.415114556371e+02      -8.415114556371e+02 
