# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.857109577405e-10       7.737187208413e-15       5.610485288890e-13       4.752087211995e-15       8.434843030905e-09       4.650102726306e-10      -2.059107313039e-12 
    3       2.437086510541e-10       1.003053649454e-14       4.521822669206e-13       4.790436478325e-15       5.183090782101e-09       3.304255169823e-10      -1.650908530063e-12 
    4       2.247949512105e-10       9.611407042463e-15       3.866734071914e-13       4.170347933521e-15       3.609136249632e-09       2.505697247287e-10      -1.174319619456e-12 
    5       2.142272044045e-10       7.425985430116e-15       3.236698108169e-13       3.270296478637e-15       2.696616102662e-09       1.980981575553e-10      -7.483515697515e-13 
    6       2.072966960772e-10       4.891692408340e-15       2.614218888912e-13       2.375877936186e-15       2.107731430411e-09       1.612763254469e-10      -4.084515717126e-13 
    7       2.027553845946e-10       2.938310345888e-15       2.052907491514e-13       1.644738992294e-15       1.701023100645e-09       1.342366155340e-10      -1.633765769846e-13 
    8       1.998278209809e-10       1.811730743272e-15       1.587597004252e-13       1.130200272338e-15       1.405823501621e-09       1.136947604107e-10      -7.083194977611e-15 
    9       1.980148747541e-10       1.324796945178e-15       1.234564830107e-13       8.207832194854e-16       1.183386922228e-09       9.767517814294e-11       7.491110018909e-14 
   10       1.969614666487e-10       1.179191641579e-15       9.938302296909e-14       6.754674742917e-16       1.011177578820e-09       8.493047948576e-11       1.012922876782e-13 
   11       1.964793414466e-10       1.162198238756e-15       8.522461241942e-14       6.464669998527e-16       8.495940716417e-10       7.493690402605e-11       9.150645710265e-14 
   12       1.964090868631e-10       1.186356933522e-15       7.880961886829e-14       6.924178878549e-16       7.423419932832e-10       6.628207819629e-11       6.295212658785e-14 
   13       1.966350256895e-10       1.241948881761e-15       7.767563391456e-14       7.824503000556e-16       6.543031642699e-10       5.921884292133e-11       2.934729028705e-14 
   14       1.970577366246e-10       1.337797876326e-15       7.957269834569e-14       8.969870663409e-16       5.810556008920e-10       5.306335957594e-11      -7.091610431149e-16 
   15       1.976753642797e-10       1.473495619754e-15       8.272961947459e-14       1.024437442569e-15       5.194023897331e-10       4.789922208003e-11      -2.197704750527e-14 
   16       1.984437800119e-10       1.638541771419e-15       8.584743418676e-14       1.159363447833e-15       4.669843909475e-10       4.349071719004e-11      -3.322893458270e-14 
   17       1.993057934942e-10       1.823642578947e-15       8.822287267613e-14       1.299443001130e-15       4.220198691543e-10       3.966410823579e-11      -3.568945821751e-14 
   18       2.002385985972e-10       2.026852570901e-15       8.978953680236e-14       1.443785424524e-15       3.829926635159e-10       3.627113616524e-11      -3.210465984158e-14 
   19       2.012702143711e-10       2.252015038475e-15       9.065962500018e-14       1.592162363793e-15       3.492863120892e-10       3.328736608506e-11      -2.504754352560e-14 
   20       2.023420767215e-10       2.504122505179e-15       9.100787159532e-14       1.744597422019e-15       3.195990784093e-10       3.065765206092e-11      -1.747581877359e-14 
